 Linear2 Linear1 Linear0
10 "[0.8782, 0.8804, 0.8749, 0.8805, 0.8785, 0.8761, 0.8769, 0.8804, 0.8762, 0.8758, 0.8807, 0.88, 0.878, 0.8707, 0.8781, 0.8794, 0.8851, 0.8771, 0.8786, 0.8768]" "[0.8764, 0.8671, 0.8523, 0.8779, 0.8801, 0.8811, 0.8739, 0.8655, 0.8267, 0.8763, 0.8636, 0.8747, 0.8788, 0.8778, 0.8579, 0.8706, 0.8659, 0.87, 0.874, 0.8629]" "[0.5034, 0.5275, 0.5306, 0.5085, 0.5388, 0.4959, 0.518, 0.5157, 0.5212, 0.5256, 0.5068, 0.5158, 0.5264, 0.5166, 0.5241, 0.5334, 0.5238, 0.4942, 0.5187, 0.5266]"
20 "[0.9727, 0.9647, 0.9675, 0.9668, 0.9669, 0.9656, 0.9731, 0.9739, 0.9734, 0.9731, 0.9762, 0.9744, 0.97, 0.9688, 0.9697, 0.9756, 0.9678, 0.9728, 0.9695, 0.9738]" "[0.8808, 0.8713, 0.8481, 0.8886, 0.8643, 0.8827, 0.8487, 0.8653, 0.8802, 0.8407, 0.9023, 0.8652, 0.8791, 0.8994, 0.9037, 0.8659, 0.8696, 0.8563, 0.8635, 0.8945]" "[0.7014, 0.7009, 0.7096, 0.6946, 0.6825, 0.7031, 0.7043, 0.6756, 0.7087, 0.7169, 0.7213, 0.7224, 0.7158, 0.7052, 0.7141, 0.7007, 0.6833, 0.7065, 0.7091, 0.7124]"
40 "[0.979, 0.9803, 0.9784, 0.978, 0.9766, 0.98, 0.9773, 0.9777, 0.9793, 0.9776, 0.9789, 0.9775, 0.9781, 0.9788, 0.9796, 0.9786, 0.9773, 0.9778, 0.9787, 0.9769]" "[0.9727, 0.9673, 0.9679, 0.9655, 0.9649, 0.9602, 0.968, 0.965, 0.9677, 0.9698, 0.9685, 0.9667, 0.9673, 0.9734, 0.9713, 0.9677, 0.9698, 0.9647, 0.9617, 0.962]" "[0.8196, 0.8188, 0.7899, 0.8158, 0.8167, 0.8282, 0.8168, 0.8052, 0.8325, 0.8086, 0.8316, 0.8004, 0.8055, 0.8367, 0.8266, 0.8074, 0.8294, 0.8205, 0.8189, 0.8289]"
80 "[0.9804, 0.9784, 0.9803, 0.9815, 0.9809, 0.9798, 0.9799, 0.9811, 0.9801, 0.9785, 0.9799, 0.98, 0.9802, 0.9809, 0.9798, 0.9796, 0.9806, 0.9805, 0.9802, 0.981]" "[0.967, 0.965, 0.973, 0.9681, 0.9665, 0.9675, 0.9649, 0.9651, 0.9675, 0.9648, 0.9636, 0.968, 0.9628, 0.9649, 0.9665, 0.967, 0.9672, 0.966, 0.9643, 0.9619]" "[0.88, 0.8735, 0.8791, 0.864, 0.8654, 0.875, 0.8789, 0.8807, 0.8801, 0.8729, 0.869, 0.8718, 0.8674, 0.871, 0.8755, 0.8663, 0.878, 0.8639, 0.8689, 0.8764]"
160 "[0.9776, 0.976, 0.9771, 0.9784, 0.9775, 0.9783, 0.9759, 0.9771, 0.9783, 0.9759, 0.9791, 0.9782, 0.977, 0.9754, 0.9761, 0.978, 0.9774, 0.9788, 0.9784, 0.9777]" "[0.9812, 0.9806, 0.9813, 0.9813, 0.9808, 0.9819, 0.9807, 0.9821, 0.9806, 0.9802, 0.9812, 0.9795, 0.9811, 0.9817, 0.9817, 0.9812, 0.9806, 0.9832, 0.9818, 0.9825]" "[0.9311, 0.9401, 0.9376, 0.9369, 0.9418, 0.9401, 0.9361, 0.9391, 0.9377, 0.9358, 0.9331, 0.9402, 0.9379, 0.9416, 0.9411, 0.9364, 0.9373, 0.9347, 0.9361, 0.9395]"
320 "[0.9754, 0.9761, 0.9784, 0.9771, 0.978, 0.9782, 0.9779, 0.9764, 0.9771, 0.9784, 0.9786, 0.9809, 0.9772, 0.9772, 0.9774, 0.9784, 0.9773, 0.9775, 0.9783, 0.9793]" "[0.9833, 0.9832, 0.9818, 0.9826, 0.9821, 0.9826, 0.982, 0.9821, 0.9828, 0.9813, 0.9812, 0.9814, 0.9826, 0.9831, 0.9814, 0.9825, 0.9826, 0.9821, 0.9815, 0.9821]" "[0.9519, 0.9438, 0.9486, 0.949, 0.9519, 0.9479, 0.9481, 0.9487, 0.9488, 0.9452, 0.9523, 0.9496, 0.9537, 0.9504, 0.9482, 0.9501, 0.9481, 0.9508, 0.95, 0.9448]"
640 "[0.9832, 0.9823, 0.9808, 0.9815, 0.9814, 0.9818, 0.9807, 0.9821, 0.9822, 0.9822, 0.9819, 0.9821, 0.9827, 0.9825, 0.9826, 0.9824, 0.9817, 0.9814, 0.9827, 0.9819]" "[0.9822, 0.9827, 0.9827, 0.9833, 0.9825, 0.9831, 0.9832, 0.9817, 0.9831, 0.9826, 0.9828, 0.9824, 0.9829, 0.9825, 0.9834, 0.9828, 0.9834, 0.9834, 0.9828, 0.9838]" "[0.9573, 0.9578, 0.9555, 0.9561, 0.956, 0.9551, 0.9573, 0.9563, 0.9572, 0.9572, 0.9588, 0.958, 0.9566, 0.9594, 0.9573, 0.9572, 0.9587, 0.9558, 0.959, 0.956]"
1280 "[0.9829, 0.9821, 0.9828, 0.9827, 0.9825, 0.9825, 0.9822, 0.9826, 0.9828, 0.9826, 0.9827, 0.9824, 0.9824, 0.9819, 0.9821, 0.9824, 0.9824, 0.9823, 0.982, 0.9822]" "[0.9834, 0.9835, 0.9837, 0.9829, 0.9836, 0.9838, 0.9835, 0.983, 0.9836, 0.983, 0.9836, 0.9838, 0.9837, 0.9832, 0.9831, 0.9838, 0.9837, 0.9829, 0.9833, 0.9831]" "[0.9663, 0.9654, 0.9665, 0.9657, 0.9619, 0.963, 0.9635, 0.9647, 0.9661, 0.9646, 0.9666, 0.9634, 0.9668, 0.9636, 0.9658, 0.9649, 0.9663, 0.9656, 0.9648, 0.9653]"
2560 "[0.9824, 0.9826, 0.9827, 0.9825, 0.9829, 0.9824, 0.9822, 0.9825, 0.9827, 0.9824, 0.9824, 0.9828, 0.9826, 0.982, 0.9826, 0.9822, 0.9823, 0.9827, 0.9824, 0.9827]" "[0.9836, 0.9833, 0.983, 0.9829, 0.9829, 0.9835, 0.9835, 0.9837, 0.984, 0.9832, 0.9836, 0.9834, 0.9829, 0.9832, 0.9833, 0.9839, 0.9836, 0.9837, 0.9836, 0.9833]" "[0.9704, 0.9705, 0.9691, 0.971, 0.97, 0.969, 0.9717, 0.9721, 0.9702, 0.9697, 0.9703, 0.9694, 0.9703, 0.9692, 0.9715, 0.9715, 0.971, 0.9695, 0.9695, 0.9712]"
5120 "[0.9825, 0.9822, 0.9829, 0.9824, 0.9822, 0.9826, 0.9832, 0.9828, 0.9826, 0.9828, 0.982, 0.9824, 0.9827, 0.983, 0.9827, 0.9824, 0.9826, 0.9827, 0.9826, 0.9826]" "[0.9829, 0.9834, 0.9838, 0.9827, 0.9832, 0.9831, 0.9838, 0.9825, 0.9827, 0.9831, 0.983, 0.9831, 0.9823, 0.9832, 0.9831, 0.9828, 0.9834, 0.9829, 0.9825, 0.9832]" "[0.9729, 0.9747, 0.974, 0.9737, 0.9751, 0.9746, 0.9739, 0.9747, 0.9753, 0.9747, 0.9743, 0.9757, 0.9743, 0.9752, 0.974, 0.9747, 0.9755, 0.9759, 0.975, 0.9746]"
