 Linear4 Linear3 Linear2
10 "[0.9678, 0.965, 0.9722, 0.9657, 0.9697]" "[0.9685, 0.9657, 0.9626, 0.9678, 0.9695]" "[0.9413, 0.9481, 0.939, 0.9465, 0.9618]"
20 "[0.9636, 0.9507, 0.9619, 0.9511, 0.9537]" "[0.96, 0.9692, 0.9612, 0.9688, 0.9703]" "[0.9543, 0.9563, 0.9617, 0.9624, 0.9322]"
40 "[0.9772, 0.9779, 0.9766, 0.9767, 0.9782]" "[0.9785, 0.9796, 0.9786, 0.977, 0.9795]" "[0.9786, 0.9793, 0.9796, 0.9785, 0.9783]"
80 "[0.9786, 0.9775, 0.9763, 0.977, 0.9812]" "[0.9722, 0.9796, 0.9804, 0.9775, 0.9793]" "[0.9794, 0.9794, 0.9783, 0.9746, 0.9786]"
160 "[0.9798, 0.9784, 0.9776, 0.9779, 0.977]" "[0.9777, 0.9805, 0.9798, 0.9799, 0.9815]" "[0.9787, 0.979, 0.9802, 0.9803, 0.979]"
320 "[0.9819, 0.9806, 0.9822, 0.9826, 0.9824]" "[0.9812, 0.9829, 0.9837, 0.9822, 0.9835]" "[0.9814, 0.981, 0.9822, 0.9807, 0.9814]"
640 "[0.9826, 0.9836, 0.9828, 0.9831, 0.9835]" "[0.9835, 0.9838, 0.9837, 0.9831, 0.9831]" "[0.9828, 0.9827, 0.9826, 0.9828, 0.9823]"
1280 "[0.9834, 0.9835, 0.9837, 0.9839, 0.9835]" "[0.9835, 0.9822, 0.9834, 0.9827, 0.9826]" "[0.9828, 0.9836, 0.9827, 0.9827, 0.9837]"
2560 "[0.9837, 0.9825, 0.9838, 0.9831, 0.9828]" "[0.9825, 0.9842, 0.9823, 0.9841, 0.9835]" "[0.9832, 0.9829, 0.9825, 0.984, 0.9829]"
5120 "[0.9833, 0.9831, 0.9833, 0.9834, 0.9841]" "[0.9842, 0.9844, 0.9836, 0.984, 0.9835]" "[0.983, 0.984, 0.9837, 0.9841, 0.9835]"
10240 "[0.984, 0.9839, 0.9847, 0.9832, 0.9839]" "[0.9843, 0.9842, 0.9843, 0.9844, 0.9838]" "[0.9838, 0.9841, 0.9836, 0.9833, 0.9841]"
20480 "[0.9831, 0.984, 0.9841, 0.9841, 0.9838]" "[0.9842, 0.984, 0.9839, 0.9839, 0.9839]" "[0.9835, 0.9835, 0.9837, 0.9835, 0.9837]"
