 Linear0
10 "[0.8197, 0.8216, 0.8203, 0.8183, 0.8216, 0.8225, 0.8186, 0.8216, 0.8178, 0.8187, 0.8207, 0.8202, 0.82, 0.8179, 0.8208, 0.8189, 0.8185, 0.8221, 0.8217, 0.8212, 0.8203, 0.8193, 0.8185, 0.8202, 0.8219, 0.8127, 0.8217, 0.8192, 0.8209, 0.8202, 0.8193, 0.8221, 0.8196, 0.8212, 0.8167, 0.8205, 0.8214, 0.8216, 0.8206, 0.8216]"
20 "[0.8229, 0.823, 0.8232, 0.8231, 0.8231, 0.8206, 0.8228, 0.8252, 0.8251, 0.8235, 0.8253, 0.8224, 0.824, 0.8223, 0.8218, 0.8236, 0.8248, 0.8223, 0.823, 0.8253, 0.8258, 0.8228, 0.8212, 0.8244, 0.8234, 0.8191, 0.8219, 0.8252, 0.8247, 0.8221, 0.8214, 0.8232, 0.816, 0.8221, 0.8247, 0.8212, 0.8239, 0.8245, 0.8124, 0.8229]"
40 "[0.8223, 0.8243, 0.8246, 0.8242, 0.8235, 0.823, 0.8238, 0.826, 0.8269, 0.8244, 0.8243, 0.8209, 0.8238, 0.8267, 0.8237, 0.8229, 0.8254, 0.8241, 0.8266, 0.825, 0.8236, 0.8253, 0.8231, 0.8256, 0.8244, 0.8232, 0.8267, 0.82, 0.8252, 0.8237, 0.8237, 0.823, 0.8251, 0.8253, 0.8245, 0.8241, 0.8247, 0.8272, 0.8262, 0.8214]"
80 "[0.8231, 0.8269, 0.8243, 0.8238, 0.8231, 0.8261, 0.8226, 0.8252, 0.8261, 0.8224, 0.8252, 0.8215, 0.8223, 0.8232, 0.823, 0.8239, 0.8232, 0.8225, 0.8225, 0.8222, 0.8248, 0.8226, 0.8209, 0.8236, 0.824, 0.8252, 0.8247, 0.8239, 0.8252, 0.8238, 0.8227, 0.824, 0.8248, 0.8225, 0.8244, 0.8186, 0.8213, 0.8229, 0.8246, 0.8238]"
160 "[0.8264, 0.8245, 0.825, 0.8247, 0.8265, 0.8238, 0.826, 0.8254, 0.8262, 0.8281, 0.8261, 0.8279, 0.8275, 0.827, 0.8254, 0.8272, 0.8265, 0.8286, 0.8283, 0.8264, 0.8273, 0.8276, 0.8257, 0.8259, 0.8279, 0.8248, 0.8294, 0.8286, 0.8269, 0.8249, 0.826, 0.8283, 0.8254, 0.8274, 0.8263, 0.8253, 0.8272, 0.8247, 0.8279, 0.8256]"
320 "[0.8285, 0.8277, 0.8287, 0.8288, 0.8257, 0.8277, 0.8241, 0.828, 0.8261, 0.8252, 0.8236, 0.8274, 0.827, 0.8277, 0.8276, 0.8277, 0.8281, 0.8278, 0.8244, 0.8276, 0.8265, 0.8281, 0.825, 0.8254, 0.8247, 0.8297, 0.8271, 0.8281, 0.8249, 0.825, 0.8271, 0.8292, 0.8263, 0.8283, 0.8271, 0.825, 0.8266, 0.8237, 0.8262, 0.8264]"
640 "[0.827, 0.8272, 0.8241, 0.828, 0.8279, 0.8259, 0.826, 0.827, 0.8269, 0.8252, 0.8284, 0.8278, 0.8263, 0.8273, 0.8274, 0.8275, 0.8265, 0.8264, 0.828, 0.8276, 0.8267, 0.826, 0.8265, 0.8258, 0.8264, 0.8257, 0.8243, 0.8284, 0.8283, 0.8283, 0.8282, 0.8269, 0.8276, 0.8256, 0.8262, 0.8272, 0.8275, 0.8261, 0.8272, 0.8276]"
1280 "[0.8073, 0.8152, 0.8128, 0.8102, 0.8098, 0.8063, 0.8135, 0.8135, 0.8139, 0.8053, 0.8083, 0.8126, 0.8156, 0.8124, 0.8145, 0.8112, 0.8149, 0.8145, 0.8121, 0.8147, 0.8122, 0.8118, 0.8151, 0.8127, 0.8144, 0.8091, 0.8149, 0.8087, 0.8144, 0.8077, 0.8057, 0.8093, 0.8103, 0.8148, 0.8106, 0.8019, 0.8131, 0.8144, 0.8119, 0.8122]"
2560 "[0.8229, 0.8143, 0.8184, 0.819, 0.8181, 0.8191, 0.8199, 0.8189, 0.8183, 0.8185, 0.8164, 0.8193, 0.8192, 0.8196, 0.8182, 0.8206, 0.819, 0.8092, 0.8188, 0.8193, 0.8178, 0.8159, 0.8162, 0.8164, 0.8198, 0.8151, 0.8215, 0.8197, 0.8153, 0.819, 0.8194, 0.8178, 0.8184, 0.8172, 0.8192, 0.8192, 0.8214, 0.8196, 0.8164, 0.8188]"
5120 "[0.8217, 0.8224, 0.816, 0.823, 0.8221, 0.8203, 0.8235, 0.8194, 0.8214, 0.8195, 0.8206, 0.8214, 0.8201, 0.82, 0.8217, 0.8207, 0.8218, 0.8197, 0.8202, 0.8222, 0.82, 0.823, 0.8197, 0.823, 0.8207, 0.8215, 0.8216, 0.821, 0.8236, 0.8238, 0.8193, 0.823, 0.8244, 0.8161, 0.8229, 0.8215, 0.8229, 0.8229, 0.8233, 0.8221]"
