 Linear0
10 "[0.781, 0.7783, 0.7845, 0.7842, 0.7743, 0.7742, 0.7612, 0.7825, 0.7824, 0.783, 0.8002, 0.7766, 0.793, 0.7861, 0.7688, 0.7498, 0.7998, 0.7845, 0.7832, 0.7892, 0.7844, 0.7738, 0.7929, 0.7865, 0.787, 0.774, 0.7752, 0.7795, 0.7608, 0.7661, 0.7785, 0.7891, 0.7848, 0.786, 0.782, 0.7806, 0.7813, 0.7796, 0.7902, 0.7704]"
20 "[0.7894, 0.8057, 0.809, 0.7977, 0.7902, 0.7937, 0.8009, 0.7978, 0.7991, 0.8, 0.8001, 0.7954, 0.7966, 0.7869, 0.8019, 0.8001, 0.8053, 0.7964, 0.7907, 0.8024, 0.7947, 0.8054, 0.8031, 0.7726, 0.8022, 0.8068, 0.8065, 0.7957, 0.799, 0.7918, 0.8032, 0.8033, 0.7922, 0.7938, 0.8047, 0.7993, 0.7911, 0.8007, 0.7941, 0.7967]"
40 "[0.7972, 0.8057, 0.8053, 0.8108, 0.8099, 0.7979, 0.7912, 0.8031, 0.7888, 0.7984, 0.8085, 0.8021, 0.8113, 0.7894, 0.8092, 0.8016, 0.809, 0.805, 0.8071, 0.8062, 0.7951, 0.7973, 0.8013, 0.7942, 0.8074, 0.8064, 0.8053, 0.8054, 0.7957, 0.8001, 0.8014, 0.8084, 0.7937, 0.7965, 0.8037, 0.8098, 0.8052, 0.7898, 0.8041, 0.8078]"
80 "[0.8098, 0.816, 0.8134, 0.809, 0.8141, 0.8145, 0.8043, 0.811, 0.8132, 0.8175, 0.8153, 0.8107, 0.814, 0.8092, 0.8226, 0.8164, 0.8173, 0.8124, 0.8156, 0.8117, 0.8172, 0.8111, 0.8086, 0.7967, 0.8111, 0.8185, 0.8155, 0.8154, 0.8133, 0.812, 0.82, 0.8134, 0.8183, 0.8121, 0.8179, 0.8101, 0.8059, 0.8109, 0.8136, 0.8179]"
160 "[0.8217, 0.8245, 0.8207, 0.8196, 0.8183, 0.8215, 0.8162, 0.8217, 0.8155, 0.8165, 0.8209, 0.8231, 0.822, 0.8184, 0.8207, 0.8153, 0.8203, 0.8228, 0.8233, 0.8211, 0.8153, 0.8137, 0.8163, 0.8154, 0.8182, 0.8208, 0.8217, 0.8176, 0.8231, 0.8214, 0.82, 0.8197, 0.8215, 0.8214, 0.8107, 0.8172, 0.8185, 0.8245, 0.8212, 0.8236]"
320 "[0.8211, 0.8211, 0.8137, 0.823, 0.826, 0.8225, 0.8208, 0.8185, 0.8203, 0.822, 0.8197, 0.8203, 0.8221, 0.8186, 0.8197, 0.8223, 0.8216, 0.8214, 0.8207, 0.8196, 0.8244, 0.8243, 0.8203, 0.8215, 0.8203, 0.8249, 0.8198, 0.8233, 0.8204, 0.8212, 0.824, 0.8238, 0.818, 0.8181, 0.8226, 0.8177, 0.8165, 0.823, 0.8231, 0.822]"
640 "[0.8228, 0.8229, 0.8243, 0.8246, 0.8236, 0.8249, 0.822, 0.8246, 0.8257, 0.8241, 0.8227, 0.8238, 0.8246, 0.8245, 0.8258, 0.8245, 0.826, 0.8233, 0.8224, 0.8225, 0.8268, 0.8263, 0.8264, 0.8213, 0.8252, 0.8247, 0.8236, 0.8257, 0.8254, 0.8233, 0.8251, 0.825, 0.8274, 0.8257, 0.8251, 0.8256, 0.8254, 0.8228, 0.8246, 0.826]"
1280 "[0.8235, 0.8256, 0.8238, 0.8238, 0.8255, 0.8263, 0.8255, 0.826, 0.8259, 0.8258, 0.8257, 0.8251, 0.826, 0.825, 0.8265, 0.8255, 0.8254, 0.8253, 0.8251, 0.8272, 0.8244, 0.8264, 0.8262, 0.8257, 0.8249, 0.8243, 0.8259, 0.8259, 0.8252, 0.8263, 0.8267, 0.8256, 0.826, 0.8272, 0.8259, 0.8262, 0.8246, 0.8253, 0.8262, 0.8248]"
2560 "[0.8286, 0.8298, 0.8261, 0.8268, 0.8268, 0.8264, 0.8286, 0.8279, 0.8289, 0.8291, 0.8292, 0.8282, 0.827, 0.8261, 0.8279, 0.828, 0.8283, 0.8248, 0.828, 0.8276, 0.8269, 0.8283, 0.8281, 0.8283, 0.8273, 0.8264, 0.8267, 0.8282, 0.8287, 0.8264, 0.8239, 0.8268, 0.8271, 0.8273, 0.8276, 0.8259, 0.8285, 0.8295, 0.8274, 0.8267]"
5120 "[0.8284, 0.8281, 0.8286, 0.828, 0.8288, 0.828, 0.8275, 0.8287, 0.8302, 0.8281, 0.8302, 0.8285, 0.8301, 0.8283, 0.8281, 0.8294, 0.8282, 0.8284, 0.8288, 0.8273, 0.8275, 0.8289, 0.8274, 0.8293, 0.8292, 0.828, 0.8288, 0.828, 0.8296, 0.8293, 0.8286, 0.8286, 0.8277, 0.8302, 0.8283, 0.8293, 0.8278, 0.8301, 0.8279, 0.8287]"
