 Linear2
10 "[0.9814, 0.9837, 0.982, 0.9818, 0.9848, 0.9828, 0.9836, 0.9835, 0.9827, 0.984, 0.9842, 0.9828, 0.984, 0.9839, 0.984, 0.9835, 0.9817, 0.9833, 0.9838, 0.9841, 0.9838, 0.9833, 0.9824, 0.9842, 0.9843, 0.9841, 0.983, 0.9839, 0.9823, 0.9831, 0.9844, 0.9842, 0.9833, 0.9838, 0.9837, 0.9841, 0.9835, 0.983, 0.9842, 0.9837]"
20 "[0.9838, 0.9832, 0.9819, 0.984, 0.9844, 0.9842, 0.9838, 0.9839, 0.9836, 0.9822, 0.9834, 0.9831, 0.9835, 0.9844, 0.9827, 0.9842, 0.9815, 0.9845, 0.9842, 0.9839, 0.9842, 0.9841, 0.9839, 0.983, 0.9829, 0.9821, 0.9826, 0.9818, 0.9841, 0.9846, 0.9832, 0.9832, 0.9823, 0.984, 0.9838, 0.9844, 0.9833, 0.9839, 0.9835, 0.9843]"
40 "[0.983, 0.9817, 0.9845, 0.984, 0.9835, 0.9838, 0.984, 0.9841, 0.9834, 0.9846, 0.9829, 0.9843, 0.9845, 0.9828, 0.9839, 0.9841, 0.983, 0.9847, 0.9838, 0.9849, 0.9845, 0.9835, 0.9817, 0.9831, 0.9839, 0.9841, 0.9838, 0.9833, 0.9839, 0.9847, 0.984, 0.9831, 0.9831, 0.9842, 0.9833, 0.9825, 0.9839, 0.9833, 0.984, 0.9802]"
80 "[0.9843, 0.9824, 0.985, 0.9822, 0.9842, 0.9843, 0.9834, 0.9823, 0.9829, 0.9838, 0.9829, 0.9825, 0.9851, 0.9826, 0.9837, 0.9831, 0.9842, 0.9843, 0.9841, 0.9842, 0.9842, 0.9837, 0.9832, 0.9844, 0.9828, 0.9842, 0.9848, 0.9841, 0.985, 0.9844, 0.9833, 0.9828, 0.9833, 0.9845, 0.9841, 0.9835, 0.9836, 0.9848, 0.9845, 0.9836]"
160 "[0.9834, 0.9844, 0.9826, 0.9849, 0.9834, 0.9829, 0.9843, 0.9824, 0.9831, 0.983, 0.9837, 0.9849, 0.9843, 0.9843, 0.9815, 0.9831, 0.9833, 0.9842, 0.9839, 0.9825, 0.9839, 0.9824, 0.9831, 0.9846, 0.9831, 0.9833, 0.9833, 0.9827, 0.9827, 0.9829, 0.9846, 0.9833, 0.9843, 0.9843, 0.9825, 0.9836, 0.9834, 0.9846, 0.9849, 0.9839]"
320 "[0.985, 0.9835, 0.9835, 0.9837, 0.9821, 0.9846, 0.9851, 0.9828, 0.9848, 0.9848, 0.9839, 0.9844, 0.9842, 0.9836, 0.9833, 0.9843, 0.983, 0.9827, 0.9835, 0.9841, 0.983, 0.9841, 0.9832, 0.9837, 0.9834, 0.984, 0.9825, 0.9844, 0.9832, 0.9828, 0.9843, 0.9848, 0.9831, 0.9833, 0.9831, 0.9842, 0.9831, 0.9838, 0.9836, 0.9827]"
640 "[0.9822, 0.9821, 0.9839, 0.9844, 0.9837, 0.9839, 0.983, 0.9851, 0.9849, 0.9826, 0.9834, 0.9812, 0.9834, 0.9829, 0.9841, 0.984, 0.9839, 0.9841, 0.9846, 0.9833, 0.9836, 0.984, 0.985, 0.9843, 0.9841, 0.985, 0.9839, 0.9846, 0.983, 0.9839, 0.9846, 0.9852, 0.9827, 0.9838, 0.9848, 0.9849, 0.9843, 0.9842, 0.9837, 0.984]"
1280 "[0.9842, 0.9838, 0.9838, 0.9837, 0.9846, 0.9821, 0.9839, 0.9838, 0.9826, 0.9843, 0.9834, 0.9839, 0.982, 0.9844, 0.9846, 0.9846, 0.9845, 0.9842, 0.9831, 0.9842, 0.9839, 0.9842, 0.9839, 0.9843, 0.9846, 0.9848, 0.9836, 0.9838, 0.9846, 0.9832, 0.9849, 0.984, 0.9851, 0.9841, 0.984, 0.9838, 0.9834, 0.9849, 0.9836, 0.9837]"
2560 "[0.9842, 0.9845, 0.9835, 0.9821, 0.9828, 0.9828, 0.9839, 0.9829, 0.9841, 0.9827, 0.9846, 0.9841, 0.9838, 0.9831, 0.9842, 0.9839, 0.9843, 0.9836, 0.9836, 0.9846, 0.9826, 0.9839, 0.9818, 0.9822, 0.9833, 0.9838, 0.983, 0.9842, 0.9841, 0.984, 0.9842, 0.9841, 0.9832, 0.9849, 0.9841, 0.9823, 0.9833, 0.9842, 0.982, 0.9834]"
5120 "[0.9839, 0.9839, 0.9842, 0.9837, 0.9836, 0.9818, 0.9836, 0.9842, 0.9835, 0.9831, 0.9832, 0.9835, 0.9837, 0.9843, 0.9834, 0.9823, 0.9832, 0.9836, 0.9833, 0.9838, 0.9832, 0.9829, 0.9821, 0.9832, 0.984, 0.9842, 0.9827, 0.9841, 0.9844, 0.9835, 0.9843, 0.984, 0.9837, 0.984, 0.9839, 0.9839, 0.9846, 0.9835, 0.9836, 0.984]"
10240 "[0.9828, 0.9828, 0.9831, 0.9838, 0.9833, 0.9848, 0.9835, 0.9842, 0.9836, 0.9847, 0.9839, 0.984, 0.9829, 0.9828, 0.9841, 0.9823, 0.9845, 0.9843, 0.9842, 0.9841, 0.9836, 0.982, 0.983, 0.9843, 0.9843, 0.9831, 0.9846, 0.9836, 0.9823, 0.9851, 0.9853, 0.9841, 0.9845, 0.9836, 0.9844, 0.9839, 0.9844, 0.9833, 0.984, 0.9836]"
20480 "[0.984, 0.9841, 0.9841, 0.9838, 0.984, 0.9843, 0.9836, 0.983, 0.9836, 0.982, 0.9833, 0.9827, 0.9838, 0.9838, 0.9834, 0.9843, 0.9843, 0.9845, 0.9831, 0.9846, 0.9839, 0.9828, 0.9845, 0.9837, 0.983, 0.9832, 0.9832, 0.9839, 0.9812, 0.9843, 0.9834, 0.9844, 0.9852, 0.9839, 0.9829, 0.9837, 0.983, 0.9847, 0.985, 0.9843]"
