 Linear0
10 "[0.5556, 0.6068, 0.539, 0.5822, 0.5875, 0.5513, 0.6036, 0.5473, 0.6079, 0.5362, 0.5635, 0.6178, 0.561, 0.5256, 0.5445, 0.5891, 0.5706, 0.5337, 0.5912, 0.6029, 0.5848, 0.5909, 0.6358, 0.6285, 0.6433, 0.6259, 0.5743, 0.5752, 0.4365, 0.6192, 0.5462, 0.6334, 0.6198, 0.604, 0.6178, 0.6086, 0.4926, 0.5874, 0.6191, 0.6185, 0.6182, 0.5117, 0.5879, 0.5668, 0.6118, 0.5823, 0.5899, 0.5994, 0.6105, 0.6053, 0.5735, 0.5619, 0.5826, 0.6426, 0.4997, 0.5907, 0.6251, 0.4733, 0.6152, 0.6095, 0.5406, 0.6255, 0.561, 0.5847, 0.5977, 0.6035, 0.5933, 0.5887, 0.5969, 0.5884, 0.5374, 0.5849, 0.6371, 0.61, 0.5731, 0.6174, 0.608, 0.6277, 0.5436, 0.6124, 0.5391, 0.5604, 0.5663, 0.5175, 0.6381, 0.5358, 0.5639, 0.5825, 0.5811, 0.4712, 0.5965, 0.6036, 0.5556, 0.5479, 0.5496, 0.576, 0.5924, 0.5607, 0.5785, 0.5801]"
20 "[0.6045, 0.6067, 0.5985, 0.5904, 0.6159, 0.6178, 0.6135, 0.6059, 0.579, 0.6321, 0.6005, 0.6094, 0.5497, 0.6083, 0.6119, 0.5915, 0.6157, 0.5833, 0.6343, 0.6014, 0.6068, 0.6051, 0.5803, 0.6206, 0.5989, 0.5701, 0.6223, 0.6129, 0.5855, 0.6111, 0.6173, 0.6077, 0.5939, 0.5895, 0.6061, 0.6211, 0.6208, 0.5806, 0.5719, 0.6072, 0.6037, 0.6013, 0.5995, 0.6129, 0.5879, 0.6194, 0.6075, 0.6186, 0.6113, 0.6072, 0.6118, 0.5889, 0.6304, 0.6088, 0.6122, 0.5927, 0.5826, 0.6025, 0.6043, 0.6186, 0.5962, 0.633, 0.614, 0.613, 0.6077, 0.5646, 0.6256, 0.6101, 0.6127, 0.599, 0.5858, 0.6095, 0.6429, 0.6217, 0.647, 0.6072, 0.5949, 0.6106, 0.6028, 0.5147, 0.6082, 0.6023, 0.5991, 0.5919, 0.6048, 0.6232, 0.5714, 0.5818, 0.6093, 0.6142, 0.6043, 0.6087, 0.6077, 0.6089, 0.5954, 0.5976, 0.6111, 0.6157, 0.6028, 0.6346]"
40 "[0.7025, 0.6777, 0.6805, 0.6879, 0.6837, 0.6685, 0.6723, 0.6922, 0.6683, 0.6774, 0.6863, 0.6905, 0.6579, 0.6903, 0.669, 0.6682, 0.6893, 0.6949, 0.6822, 0.692, 0.6866, 0.6871, 0.679, 0.7111, 0.6938, 0.6667, 0.6519, 0.6794, 0.6831, 0.6787, 0.6746, 0.6723, 0.696, 0.6895, 0.6817, 0.6907, 0.689, 0.6824, 0.6802, 0.6979, 0.6801, 0.6307, 0.7036, 0.689, 0.6946, 0.6696, 0.6699, 0.7013, 0.68, 0.682, 0.6743, 0.6927, 0.7047, 0.6788, 0.6808, 0.6979, 0.6885, 0.6913, 0.6662, 0.6962, 0.6897, 0.6926, 0.6888, 0.6846, 0.6697, 0.696, 0.6806, 0.6834, 0.6789, 0.6856, 0.6751, 0.6873, 0.6922, 0.6808, 0.6913, 0.6772, 0.6877, 0.6827, 0.6959, 0.6691, 0.6839, 0.69, 0.6738, 0.6792, 0.668, 0.7006, 0.6765, 0.6749, 0.6637, 0.6688, 0.7023, 0.6691, 0.6756, 0.6858, 0.6775, 0.688, 0.6887, 0.6872, 0.6817, 0.6831]"
80 "[0.6895, 0.6951, 0.6946, 0.6984, 0.7107, 0.7028, 0.6627, 0.6994, 0.7104, 0.6871, 0.6953, 0.6955, 0.6933, 0.7005, 0.6849, 0.6907, 0.6899, 0.6958, 0.6953, 0.6899, 0.6688, 0.6954, 0.7047, 0.713, 0.6871, 0.699, 0.7024, 0.6831, 0.6802, 0.6923, 0.6875, 0.6957, 0.6909, 0.6805, 0.6876, 0.7002, 0.6886, 0.705, 0.6805, 0.6972, 0.6959, 0.7036, 0.6991, 0.6978, 0.6876, 0.687, 0.7047, 0.6954, 0.7083, 0.6089, 0.6881, 0.6875, 0.697, 0.6818, 0.6903, 0.7043, 0.6967, 0.7074, 0.6995, 0.6893, 0.684, 0.6998, 0.7041, 0.7044, 0.6987, 0.6791, 0.706, 0.7094, 0.6919, 0.6952, 0.6923, 0.6943, 0.6859, 0.707, 0.6842, 0.6959, 0.6946, 0.6871, 0.6856, 0.7022, 0.6741, 0.6947, 0.7037, 0.6869, 0.7039, 0.6915, 0.6966, 0.6899, 0.7022, 0.701, 0.6858, 0.6971, 0.6956, 0.652, 0.6942, 0.6669, 0.7001, 0.7098, 0.709, 0.6987]"
160 "[0.7129, 0.7011, 0.7079, 0.7113, 0.7235, 0.7204, 0.6928, 0.7192, 0.717, 0.7017, 0.7142, 0.7016, 0.6993, 0.7054, 0.6998, 0.7129, 0.7179, 0.7066, 0.7051, 0.6923, 0.7142, 0.7067, 0.7118, 0.724, 0.7178, 0.7211, 0.7071, 0.7037, 0.7161, 0.7117, 0.7071, 0.7082, 0.7155, 0.7236, 0.7136, 0.6945, 0.7252, 0.7104, 0.7157, 0.709, 0.6949, 0.7092, 0.6936, 0.7108, 0.6971, 0.7178, 0.7093, 0.7164, 0.7102, 0.7047, 0.6991, 0.6593, 0.716, 0.7192, 0.7104, 0.7075, 0.7011, 0.6974, 0.7183, 0.6852, 0.7165, 0.7076, 0.7166, 0.7062, 0.7123, 0.7216, 0.6944, 0.7024, 0.711, 0.7106, 0.7183, 0.722, 0.6974, 0.7191, 0.7087, 0.7015, 0.725, 0.7133, 0.7015, 0.6986, 0.7003, 0.7118, 0.7199, 0.6868, 0.7014, 0.61, 0.7052, 0.6937, 0.7188, 0.7176, 0.7185, 0.721, 0.7176, 0.7089, 0.7192, 0.7203, 0.7064, 0.7122, 0.7159, 0.7203]"
320 "[0.7282, 0.7231, 0.7155, 0.7129, 0.7162, 0.7207, 0.7174, 0.719, 0.7286, 0.7269, 0.6834, 0.7175, 0.7137, 0.7171, 0.7169, 0.7206, 0.7112, 0.665, 0.7169, 0.7085, 0.7188, 0.7206, 0.7243, 0.7036, 0.7157, 0.6976, 0.7232, 0.7089, 0.7218, 0.7216, 0.7255, 0.7288, 0.726, 0.7184, 0.715, 0.717, 0.7094, 0.7306, 0.7117, 0.7119, 0.7111, 0.7245, 0.7096, 0.7256, 0.7091, 0.7169, 0.7143, 0.7151, 0.7211, 0.7224, 0.7276, 0.723, 0.6916, 0.7202, 0.5419, 0.7121, 0.713, 0.7256, 0.7072, 0.7068, 0.7208, 0.7352, 0.7193, 0.7214, 0.7016, 0.707, 0.7094, 0.7211, 0.7119, 0.7218, 0.7113, 0.7167, 0.7197, 0.7218, 0.7218, 0.7011, 0.7296, 0.7126, 0.72, 0.717, 0.731, 0.7203, 0.7075, 0.6876, 0.7211, 0.7121, 0.716, 0.7269, 0.7045, 0.7187, 0.7263, 0.719, 0.7134, 0.728, 0.7107, 0.7165, 0.7321, 0.7119, 0.6878, 0.7233]"
640 "[0.7207, 0.7218, 0.7157, 0.7278, 0.7284, 0.7271, 0.7204, 0.6781, 0.7235, 0.7224, 0.7077, 0.7271, 0.7327, 0.7277, 0.6123, 0.7268, 0.7312, 0.7219, 0.7307, 0.7359, 0.7229, 0.7275, 0.7329, 0.7263, 0.7211, 0.7246, 0.7269, 0.7345, 0.7184, 0.6973, 0.7276, 0.7354, 0.7273, 0.7224, 0.7241, 0.7234, 0.7112, 0.7279, 0.7176, 0.731, 0.6839, 0.7246, 0.7217, 0.732, 0.7282, 0.7323, 0.7244, 0.7232, 0.731, 0.7137, 0.7301, 0.7228, 0.7326, 0.7249, 0.7247, 0.7334, 0.7291, 0.7285, 0.7199, 0.7282, 0.7321, 0.7265, 0.7078, 0.7084, 0.7198, 0.7251, 0.7099, 0.7306, 0.7335, 0.7224, 0.7289, 0.7333, 0.7228, 0.7311, 0.7174, 0.7283, 0.72, 0.7288, 0.7209, 0.7191, 0.7259, 0.7275, 0.7246, 0.7172, 0.7239, 0.7315, 0.7271, 0.707, 0.7313, 0.7344, 0.7262, 0.7236, 0.7354, 0.7236, 0.7229, 0.7311, 0.7284, 0.7205, 0.7152, 0.7184]"
1280 "[0.7276, 0.7278, 0.7198, 0.7219, 0.7308, 0.7331, 0.7288, 0.7324, 0.7288, 0.7331, 0.7352, 0.7273, 0.7353, 0.7169, 0.7141, 0.7062, 0.7374, 0.7221, 0.7252, 0.733, 0.716, 0.7246, 0.7298, 0.7158, 0.7287, 0.7206, 0.7234, 0.7253, 0.7248, 0.7283, 0.7286, 0.7367, 0.7238, 0.7338, 0.727, 0.7255, 0.7328, 0.7322, 0.7322, 0.7202, 0.7272, 0.7264, 0.7113, 0.7329, 0.7346, 0.7087, 0.7167, 0.7271, 0.7208, 0.7271, 0.7377, 0.7249, 0.7242, 0.7188, 0.7236, 0.7222, 0.738, 0.7308, 0.6868, 0.7297, 0.7372, 0.7043, 0.7258, 0.7344, 0.7408, 0.7167, 0.7328, 0.7217, 0.7291, 0.725, 0.7183, 0.7301, 0.7168, 0.7288, 0.7254, 0.73, 0.7371, 0.7309, 0.7276, 0.7224, 0.72, 0.7315, 0.7239, 0.7293, 0.731, 0.7239, 0.7284, 0.7337, 0.7245, 0.6955, 0.7121, 0.7373, 0.7268, 0.7261, 0.7311, 0.7425, 0.7346, 0.7184, 0.7318, 0.7259]"
2560 "[0.6989, 0.7462, 0.7381, 0.7434, 0.7407, 0.7391, 0.7405, 0.743, 0.7477, 0.743, 0.7395, 0.7404, 0.736, 0.7364, 0.7404, 0.7383, 0.7353, 0.737, 0.7408, 0.7435, 0.7401, 0.7406, 0.7368, 0.7479, 0.723, 0.7451, 0.734, 0.7367, 0.7374, 0.7312, 0.7184, 0.7409, 0.7398, 0.7433, 0.742, 0.7471, 0.7318, 0.7352, 0.7333, 0.7372, 0.674, 0.7273, 0.7349, 0.7388, 0.7401, 0.7352, 0.7372, 0.7347, 0.7399, 0.743, 0.7349, 0.735, 0.7456, 0.7432, 0.7343, 0.746, 0.7299, 0.7454, 0.7405, 0.737, 0.7347, 0.7426, 0.7329, 0.7445, 0.7391, 0.7366, 0.7409, 0.7454, 0.7432, 0.7376, 0.7069, 0.739, 0.7431, 0.7358, 0.7378, 0.7374, 0.733, 0.7313, 0.7281, 0.7319, 0.7421, 0.7301, 0.7199, 0.7303, 0.7402, 0.743, 0.7343, 0.7418, 0.7409, 0.724, 0.7356, 0.7347, 0.7417, 0.7194, 0.7498, 0.7409, 0.7373, 0.738, 0.746, 0.732]"
5120 "[0.7266, 0.7452, 0.7442, 0.7351, 0.7354, 0.739, 0.7381, 0.7392, 0.7449, 0.7267, 0.7286, 0.7328, 0.7234, 0.754, 0.7299, 0.7422, 0.7493, 0.7296, 0.7456, 0.7402, 0.7353, 0.7297, 0.7423, 0.7314, 0.7401, 0.7435, 0.7462, 0.7226, 0.7318, 0.7421, 0.7429, 0.7322, 0.7135, 0.7373, 0.7294, 0.7413, 0.731, 0.7256, 0.7471, 0.7472, 0.7419, 0.7462, 0.7463, 0.7498, 0.7404, 0.7458, 0.7454, 0.7464, 0.7438, 0.7413, 0.7457, 0.7412, 0.743, 0.7394, 0.7418, 0.7347, 0.7325, 0.7398, 0.7461, 0.7225, 0.7386, 0.7421, 0.7509, 0.7378, 0.745, 0.7493, 0.6936, 0.7459, 0.7382, 0.7413, 0.7367, 0.7409, 0.7279, 0.7301, 0.728, 0.7473, 0.7385, 0.7413, 0.7315, 0.7269, 0.7396, 0.671, 0.7355, 0.7382, 0.7446, 0.7301, 0.7509, 0.7181, 0.7444, 0.726, 0.7307, 0.745, 0.7457, 0.7371, 0.7314, 0.7081, 0.7408, 0.7491, 0.7273, 0.7527]"
