 Linear0
10 "[0.1494, 0.188, 0.1107, 0.1635, 0.275, 0.2163, 0.154, 0.1244, 0.1002, 0.1459, 0.1752, 0.1006, 0.1003, 0.2566, 0.2094, 0.1576, 0.1003, 0.2173, 0.1545, 0.1346, 0.1832, 0.211, 0.1845, 0.1288, 0.1831, 0.1156, 0.1257, 0.1292, 0.1268, 0.2426, 0.1539, 0.1318, 0.1179, 0.1507, 0.1066, 0.2892, 0.217, 0.1299, 0.2735, 0.1948, 0.1332, 0.1027, 0.1921, 0.3098, 0.1881, 0.2392, 0.2605, 0.2075, 0.1018, 0.2583, 0.1411, 0.2153, 0.1286, 0.1007, 0.207, 0.3478, 0.1021, 0.1387, 0.2777, 0.1381, 0.1578, 0.1552, 0.1268, 0.1732, 0.271, 0.1826, 0.2053, 0.1115, 0.174, 0.1, 0.2359, 0.1837, 0.1984, 0.1821, 0.2906, 0.3107, 0.2045, 0.1535, 0.2247, 0.1777, 0.146, 0.1859, 0.1958, 0.1017, 0.2635, 0.101, 0.1807, 0.1779, 0.1831, 0.1849, 0.1959, 0.2353, 0.1691, 0.2148, 0.1227, 0.1611, 0.1746, 0.3258, 0.2524, 0.2452]"
20 "[0.4197, 0.2477, 0.3541, 0.3707, 0.3477, 0.2365, 0.2561, 0.3102, 0.1067, 0.2395, 0.1489, 0.2236, 0.3727, 0.2358, 0.2255, 0.3575, 0.2033, 0.2449, 0.1929, 0.3193, 0.3635, 0.1882, 0.2177, 0.2376, 0.3429, 0.133, 0.2375, 0.1918, 0.1922, 0.2984, 0.2229, 0.2303, 0.1918, 0.1904, 0.1352, 0.2869, 0.1472, 0.1688, 0.1428, 0.1803, 0.2528, 0.3795, 0.3443, 0.1649, 0.2632, 0.1206, 0.3628, 0.1953, 0.1588, 0.1774, 0.1459, 0.2441, 0.1819, 0.2473, 0.2561, 0.2069, 0.3208, 0.3884, 0.3033, 0.4402, 0.2236, 0.2783, 0.4514, 0.1762, 0.2411, 0.3456, 0.2165, 0.1052, 0.2968, 0.3662, 0.1203, 0.1139, 0.321, 0.1542, 0.2901, 0.1863, 0.3533, 0.3286, 0.1394, 0.2975, 0.3503, 0.4063, 0.2938, 0.2444, 0.4481, 0.3398, 0.2174, 0.2057, 0.1105, 0.2785, 0.4295, 0.1495, 0.2239, 0.2188, 0.2982, 0.1252, 0.3184, 0.1773, 0.3196, 0.3934]"
40 "[0.4807, 0.4158, 0.4723, 0.5196, 0.3553, 0.4059, 0.2556, 0.4987, 0.2786, 0.5236, 0.5337, 0.4005, 0.4151, 0.3499, 0.3656, 0.3832, 0.5149, 0.4573, 0.4808, 0.409, 0.3961, 0.41, 0.5, 0.3994, 0.619, 0.5388, 0.4988, 0.5014, 0.5594, 0.5099, 0.4434, 0.4928, 0.359, 0.5738, 0.4686, 0.5807, 0.3864, 0.4599, 0.4805, 0.4041, 0.4924, 0.4275, 0.4639, 0.3724, 0.4202, 0.5128, 0.5039, 0.5563, 0.6485, 0.5177, 0.3613, 0.1073, 0.4956, 0.3305, 0.4648, 0.4608, 0.4443, 0.5686, 0.289, 0.4447, 0.6736, 0.4781, 0.4487, 0.4825, 0.4475, 0.5447, 0.5014, 0.2744, 0.5455, 0.5412, 0.5894, 0.3731, 0.5419, 0.4135, 0.5997, 0.4037, 0.4518, 0.5125, 0.4776, 0.4192, 0.373, 0.6526, 0.4568, 0.5181, 0.5863, 0.3293, 0.4566, 0.4153, 0.4692, 0.5602, 0.598, 0.4087, 0.4, 0.281, 0.3549, 0.4058, 0.3233, 0.3184, 0.2485, 0.518]"
80 "[0.6356, 0.6804, 0.6574, 0.6983, 0.5647, 0.6225, 0.7105, 0.631, 0.6869, 0.5317, 0.518, 0.6311, 0.6723, 0.6292, 0.7, 0.6549, 0.5586, 0.707, 0.6031, 0.673, 0.5221, 0.6383, 0.5732, 0.5469, 0.6319, 0.652, 0.6978, 0.6965, 0.665, 0.6577, 0.5306, 0.5691, 0.608, 0.6775, 0.6586, 0.6103, 0.6101, 0.7133, 0.6536, 0.5515, 0.6912, 0.6682, 0.6836, 0.5732, 0.6287, 0.6984, 0.6943, 0.646, 0.665, 0.4649, 0.7113, 0.6178, 0.6822, 0.6854, 0.6204, 0.6645, 0.654, 0.5741, 0.6198, 0.6939, 0.6192, 0.6823, 0.6275, 0.6619, 0.709, 0.7058, 0.6931, 0.6977, 0.7038, 0.6175, 0.6416, 0.6645, 0.6594, 0.7071, 0.6847, 0.6962, 0.576, 0.6776, 0.5794, 0.683, 0.6959, 0.7064, 0.6867, 0.6483, 0.6774, 0.6071, 0.7032, 0.6288, 0.667, 0.6714, 0.6308, 0.6992, 0.7195, 0.7058, 0.6583, 0.5864, 0.7103, 0.2241, 0.7187, 0.6194]"
160 "[0.727, 0.7166, 0.7218, 0.7214, 0.7127, 0.709, 0.7153, 0.7193, 0.7121, 0.6982, 0.7226, 0.6988, 0.7118, 0.684, 0.6601, 0.6996, 0.7125, 0.6985, 0.7038, 0.7108, 0.7129, 0.7161, 0.7116, 0.7245, 0.7047, 0.6935, 0.6436, 0.7152, 0.6969, 0.7215, 0.6988, 0.703, 0.7132, 0.7212, 0.7125, 0.7239, 0.7028, 0.7105, 0.6784, 0.7182, 0.709, 0.7176, 0.7137, 0.7097, 0.7198, 0.7234, 0.6298, 0.6995, 0.7252, 0.7232, 0.6966, 0.5904, 0.7104, 0.7201, 0.6524, 0.701, 0.7245, 0.7139, 0.6827, 0.7239, 0.7243, 0.722, 0.6991, 0.6865, 0.723, 0.7154, 0.7099, 0.6408, 0.7151, 0.7099, 0.7036, 0.697, 0.7124, 0.7139, 0.7185, 0.7116, 0.7266, 0.713, 0.6634, 0.7156, 0.7172, 0.7197, 0.7232, 0.7115, 0.7174, 0.7065, 0.7201, 0.7057, 0.7161, 0.7043, 0.7235, 0.7258, 0.7117, 0.7158, 0.727, 0.7226, 0.7077, 0.72, 0.6692, 0.7025]"
320 "[0.7277, 0.7298, 0.7085, 0.7288, 0.727, 0.7276, 0.7184, 0.7156, 0.728, 0.7188, 0.7206, 0.7309, 0.6778, 0.7241, 0.7269, 0.7294, 0.7273, 0.7219, 0.7054, 0.7157, 0.7253, 0.7212, 0.7267, 0.7148, 0.7293, 0.7248, 0.7301, 0.7275, 0.7267, 0.7254, 0.725, 0.7254, 0.7267, 0.7277, 0.7241, 0.7272, 0.7303, 0.7301, 0.7293, 0.7275, 0.7245, 0.7227, 0.7202, 0.7246, 0.7298, 0.7291, 0.7237, 0.7137, 0.7273, 0.7308, 0.7306, 0.7298, 0.7263, 0.7241, 0.2957, 0.7265, 0.7302, 0.7302, 0.7198, 0.7288, 0.7279, 0.7284, 0.7288, 0.7242, 0.7243, 0.7288, 0.727, 0.7225, 0.7277, 0.6781, 0.7236, 0.7111, 0.7306, 0.7243, 0.7285, 0.694, 0.7304, 0.7277, 0.7276, 0.7303, 0.695, 0.7284, 0.7219, 0.7241, 0.7263, 0.7271, 0.7287, 0.7275, 0.7271, 0.7304, 0.7179, 0.7331, 0.7227, 0.7269, 0.7249, 0.7268, 0.7273, 0.7223, 0.7198, 0.7263]"
640 "[0.7309, 0.7309, 0.7258, 0.7262, 0.7277, 0.7285, 0.7295, 0.7309, 0.7324, 0.7176, 0.7299, 0.7288, 0.7311, 0.7282, 0.73, 0.7326, 0.731, 0.7287, 0.7299, 0.7315, 0.7257, 0.7172, 0.7304, 0.7271, 0.7246, 0.7291, 0.7291, 0.7278, 0.7281, 0.7286, 0.7313, 0.7315, 0.7291, 0.7301, 0.7292, 0.7247, 0.6868, 0.7246, 0.7146, 0.7321, 0.7294, 0.7306, 0.727, 0.7284, 0.7286, 0.7277, 0.7298, 0.727, 0.7311, 0.7325, 0.7323, 0.7293, 0.7167, 0.727, 0.7292, 0.7255, 0.7306, 0.73, 0.7277, 0.7215, 0.728, 0.733, 0.7192, 0.7263, 0.7268, 0.7306, 0.7273, 0.7274, 0.7307, 0.7288, 0.7285, 0.7306, 0.7312, 0.7279, 0.7234, 0.7287, 0.7309, 0.7278, 0.7281, 0.7288, 0.7301, 0.7301, 0.7289, 0.7297, 0.7299, 0.7256, 0.7294, 0.7304, 0.7291, 0.7298, 0.7261, 0.7274, 0.7279, 0.7302, 0.73, 0.7307, 0.722, 0.7173, 0.7296, 0.7294]"
1280 "[0.7328, 0.7298, 0.7302, 0.7313, 0.7329, 0.7317, 0.732, 0.7294, 0.7288, 0.7274, 0.7309, 0.7311, 0.725, 0.727, 0.7301, 0.7303, 0.7246, 0.7303, 0.7304, 0.7311, 0.7321, 0.7293, 0.732, 0.7302, 0.7309, 0.7312, 0.7307, 0.7304, 0.7315, 0.6822, 0.7317, 0.7319, 0.7329, 0.7324, 0.7312, 0.7303, 0.7311, 0.7324, 0.7311, 0.7293, 0.7278, 0.7322, 0.7333, 0.7305, 0.7324, 0.7309, 0.7316, 0.7271, 0.7309, 0.7249, 0.7323, 0.7287, 0.7284, 0.729, 0.7313, 0.7301, 0.73, 0.7285, 0.7302, 0.7295, 0.7252, 0.7311, 0.7317, 0.7289, 0.7315, 0.7301, 0.7317, 0.7296, 0.7295, 0.7304, 0.7289, 0.7297, 0.7211, 0.7318, 0.732, 0.7223, 0.7294, 0.7289, 0.73, 0.7293, 0.7304, 0.7319, 0.7288, 0.7296, 0.7253, 0.7306, 0.7313, 0.7311, 0.7298, 0.7245, 0.7287, 0.7314, 0.7327, 0.7322, 0.7286, 0.7302, 0.7335, 0.7281, 0.7303, 0.7315]"
2560 "[0.7311, 0.7323, 0.7332, 0.7305, 0.7321, 0.7313, 0.7321, 0.7337, 0.7301, 0.7256, 0.732, 0.7336, 0.7332, 0.7326, 0.7296, 0.7338, 0.7317, 0.7325, 0.73, 0.7304, 0.7342, 0.7322, 0.7314, 0.7326, 0.7325, 0.7332, 0.7303, 0.7334, 0.7339, 0.73, 0.7327, 0.7317, 0.7243, 0.7284, 0.7323, 0.7331, 0.7002, 0.7331, 0.7326, 0.732, 0.6957, 0.7319, 0.7311, 0.731, 0.7301, 0.7291, 0.7333, 0.7309, 0.7316, 0.7313, 0.7255, 0.7326, 0.7343, 0.7333, 0.7236, 0.7314, 0.7314, 0.7347, 0.7323, 0.7308, 0.7284, 0.7327, 0.7299, 0.7324, 0.7322, 0.733, 0.7317, 0.732, 0.7306, 0.7322, 0.7248, 0.7271, 0.7326, 0.7329, 0.7326, 0.7299, 0.7294, 0.7259, 0.7295, 0.7319, 0.7321, 0.731, 0.7189, 0.7312, 0.729, 0.7334, 0.73, 0.7322, 0.7315, 0.7279, 0.7313, 0.7323, 0.732, 0.7324, 0.7329, 0.7328, 0.7296, 0.7325, 0.7329, 0.7303]"
5120 "[0.7333, 0.7326, 0.7324, 0.7331, 0.7333, 0.7341, 0.7335, 0.7332, 0.7346, 0.7335, 0.7327, 0.731, 0.7268, 0.7336, 0.734, 0.7341, 0.7193, 0.7323, 0.7321, 0.7313, 0.7329, 0.7334, 0.7218, 0.7317, 0.7321, 0.7309, 0.7305, 0.7337, 0.7326, 0.7323, 0.7337, 0.7348, 0.7325, 0.7334, 0.7323, 0.7343, 0.7334, 0.7325, 0.7327, 0.7315, 0.7335, 0.7338, 0.7317, 0.7337, 0.7329, 0.733, 0.7333, 0.7329, 0.7339, 0.7334, 0.7308, 0.7328, 0.7317, 0.7313, 0.7328, 0.734, 0.7328, 0.734, 0.7315, 0.7329, 0.7332, 0.731, 0.7351, 0.7333, 0.7329, 0.734, 0.7318, 0.7322, 0.7283, 0.7343, 0.7322, 0.7341, 0.7319, 0.7321, 0.733, 0.7343, 0.7334, 0.7344, 0.7318, 0.7317, 0.732, 0.7321, 0.7335, 0.7337, 0.7326, 0.7315, 0.7319, 0.7335, 0.7324, 0.7321, 0.7335, 0.7333, 0.7339, 0.7312, 0.7348, 0.7331, 0.7312, 0.7328, 0.7326, 0.7333]"
