 Linear2
10 "[0.9303, 0.9446, 0.9125, 0.9351, 0.9331, 0.9412, 0.9361, 0.9366, 0.9157, 0.929, 0.9412, 0.9521, 0.93, 0.9312, 0.9362, 0.9211, 0.9329, 0.9371, 0.9444, 0.9396, 0.9375, 0.9329, 0.926, 0.9314, 0.9401, 0.9337, 0.939, 0.9292, 0.9401, 0.9199, 0.9394, 0.9427, 0.9199, 0.94, 0.922, 0.9405, 0.9327, 0.9365, 0.9379, 0.9392]"
20 "[0.9504, 0.9403, 0.9458, 0.9478, 0.9486, 0.9395, 0.9516, 0.9482, 0.9509, 0.9541, 0.9485, 0.9416, 0.9505, 0.9529, 0.9473, 0.9484, 0.941, 0.9534, 0.943, 0.9496, 0.9453, 0.9527, 0.9486, 0.9467, 0.9446, 0.9446, 0.9438, 0.9592, 0.9443, 0.9576, 0.9478, 0.952, 0.9522, 0.9534, 0.9603, 0.943, 0.9473, 0.9474, 0.9378, 0.9286]"
40 "[0.9595, 0.9711, 0.9674, 0.9696, 0.9688, 0.9731, 0.9648, 0.9692, 0.9711, 0.9723, 0.9706, 0.9664, 0.9672, 0.966, 0.9704, 0.9647, 0.9643, 0.9704, 0.969, 0.9664, 0.9678, 0.9657, 0.9681, 0.9724, 0.9713, 0.9644, 0.9625, 0.9701, 0.9586, 0.9686, 0.9689, 0.9716, 0.9668, 0.9698, 0.9663, 0.9731, 0.9677, 0.9653, 0.9667, 0.9621]"
80 "[0.9771, 0.9726, 0.9765, 0.9735, 0.9729, 0.9767, 0.9771, 0.9731, 0.9794, 0.9759, 0.9746, 0.971, 0.9703, 0.9724, 0.9658, 0.9795, 0.9783, 0.9789, 0.9758, 0.9752, 0.976, 0.9782, 0.9739, 0.9756, 0.9774, 0.9673, 0.9761, 0.9773, 0.9772, 0.9766, 0.9761, 0.9776, 0.9767, 0.9742, 0.9716, 0.9763, 0.9754, 0.9758, 0.9734, 0.9718]"
160 "[0.9747, 0.9749, 0.9691, 0.9779, 0.9743, 0.9763, 0.9751, 0.9746, 0.9741, 0.9757, 0.9782, 0.9732, 0.978, 0.9747, 0.9773, 0.9752, 0.9745, 0.9732, 0.9763, 0.9779, 0.9755, 0.9762, 0.9769, 0.9757, 0.9743, 0.977, 0.9766, 0.9745, 0.9776, 0.9738, 0.9772, 0.9783, 0.9766, 0.9774, 0.9767, 0.9774, 0.9773, 0.9751, 0.9755, 0.9752]"
320 "[0.9753, 0.9757, 0.977, 0.9742, 0.9715, 0.9761, 0.9775, 0.9744, 0.9731, 0.9708, 0.9756, 0.9755, 0.9698, 0.975, 0.9749, 0.9749, 0.9733, 0.9766, 0.9718, 0.9713, 0.9743, 0.9721, 0.9713, 0.9788, 0.9753, 0.977, 0.9747, 0.9761, 0.9778, 0.9765, 0.9752, 0.9739, 0.9746, 0.9755, 0.9755, 0.9698, 0.9743, 0.9661, 0.9724, 0.9728]"
640 "[0.9791, 0.9738, 0.9775, 0.9751, 0.9775, 0.9751, 0.9737, 0.9766, 0.9739, 0.9807, 0.9705, 0.9746, 0.9708, 0.9793, 0.9758, 0.976, 0.9753, 0.9725, 0.9746, 0.976, 0.9743, 0.9742, 0.9755, 0.9758, 0.9625, 0.9748, 0.9762, 0.9795, 0.9753, 0.9764, 0.9745, 0.9726, 0.9763, 0.9775, 0.9687, 0.9772, 0.9771, 0.9778, 0.9758, 0.9792]"
1280 "[0.9784, 0.9763, 0.9768, 0.9766, 0.9748, 0.978, 0.9797, 0.9716, 0.9782, 0.976, 0.976, 0.9793, 0.9778, 0.9748, 0.975, 0.9766, 0.9706, 0.9747, 0.9767, 0.9688, 0.9755, 0.9766, 0.974, 0.9751, 0.9767, 0.9778, 0.9727, 0.9733, 0.9776, 0.9721, 0.972, 0.9764, 0.9783, 0.973, 0.9775, 0.9769, 0.9762, 0.9786, 0.9786, 0.9799]"
2560 "[0.98, 0.9802, 0.9772, 0.979, 0.9807, 0.9794, 0.9791, 0.976, 0.9771, 0.9769, 0.979, 0.9764, 0.9793, 0.9782, 0.9752, 0.9757, 0.9758, 0.9787, 0.9779, 0.9775, 0.9782, 0.9789, 0.9795, 0.9786, 0.9756, 0.9798, 0.9776, 0.9778, 0.9794, 0.98, 0.974, 0.9795, 0.9784, 0.9794, 0.9795, 0.978, 0.979, 0.9794, 0.9756, 0.978]"
5120 "[0.9794, 0.9805, 0.9785, 0.9807, 0.9778, 0.9793, 0.9815, 0.9785, 0.979, 0.9756, 0.9801, 0.9797, 0.9755, 0.9789, 0.9795, 0.9736, 0.9806, 0.9794, 0.9796, 0.9785, 0.9797, 0.9796, 0.9787, 0.9783, 0.9773, 0.9807, 0.9788, 0.9798, 0.9801, 0.9748, 0.9787, 0.9759, 0.9752, 0.9747, 0.9807, 0.9797, 0.9793, 0.9759, 0.9809, 0.9796]"
