 Linear2
10 "[0.98, 0.983, 0.9738, 0.9817, 0.9808, 0.9785, 0.9804, 0.9833, 0.9762, 0.9772, 0.9809, 0.9816, 0.9813, 0.9779, 0.9816, 0.9795, 0.9776, 0.9818, 0.9833, 0.9781, 0.9816, 0.9808, 0.9806, 0.9818, 0.9819, 0.9802, 0.9807, 0.9823, 0.9784, 0.9818, 0.9807, 0.9816, 0.9814, 0.9818, 0.982, 0.9823, 0.9792, 0.9807, 0.9799, 0.982]"
20 "[0.9826, 0.9789, 0.982, 0.9826, 0.9836, 0.9789, 0.9834, 0.9833, 0.9824, 0.9815, 0.9829, 0.9825, 0.981, 0.9843, 0.9806, 0.982, 0.9837, 0.9843, 0.9816, 0.9821, 0.9829, 0.9828, 0.9842, 0.9818, 0.9817, 0.9725, 0.9829, 0.9832, 0.9808, 0.9836, 0.9806, 0.983, 0.9838, 0.9845, 0.9835, 0.9825, 0.9802, 0.9803, 0.981, 0.9816]"
40 "[0.9803, 0.9821, 0.9837, 0.9843, 0.9798, 0.9841, 0.9837, 0.9815, 0.9818, 0.9842, 0.9839, 0.984, 0.9837, 0.9824, 0.9834, 0.9838, 0.984, 0.9842, 0.9829, 0.9834, 0.9829, 0.9815, 0.984, 0.9841, 0.9826, 0.9847, 0.9845, 0.982, 0.982, 0.9825, 0.9842, 0.9835, 0.9839, 0.9837, 0.9834, 0.9832, 0.983, 0.9827, 0.9823, 0.9783]"
80 "[0.9847, 0.9833, 0.9845, 0.9851, 0.9836, 0.9844, 0.9829, 0.9842, 0.9833, 0.9841, 0.9849, 0.9844, 0.9816, 0.9827, 0.9837, 0.9842, 0.985, 0.9843, 0.9848, 0.9847, 0.9851, 0.9843, 0.9838, 0.9821, 0.9828, 0.9831, 0.9847, 0.9843, 0.9842, 0.9835, 0.9842, 0.9837, 0.9837, 0.9842, 0.9837, 0.9841, 0.9837, 0.9835, 0.9837, 0.9844]"
160 "[0.9838, 0.9839, 0.9832, 0.9844, 0.9844, 0.9837, 0.9835, 0.9843, 0.9846, 0.9818, 0.985, 0.9854, 0.9832, 0.983, 0.9819, 0.9836, 0.9848, 0.9849, 0.983, 0.9843, 0.9843, 0.9833, 0.9848, 0.9841, 0.98, 0.9841, 0.9837, 0.9834, 0.9844, 0.9832, 0.9845, 0.983, 0.9848, 0.9839, 0.9839, 0.9843, 0.9842, 0.9845, 0.985, 0.9846]"
320 "[0.9849, 0.9844, 0.9834, 0.9854, 0.983, 0.9843, 0.9848, 0.9839, 0.9838, 0.9849, 0.9844, 0.9841, 0.985, 0.9842, 0.9836, 0.9839, 0.9842, 0.9836, 0.9841, 0.9825, 0.9845, 0.9834, 0.9817, 0.9846, 0.9842, 0.9846, 0.9849, 0.9848, 0.9848, 0.984, 0.9843, 0.9842, 0.984, 0.9838, 0.9841, 0.9845, 0.985, 0.9837, 0.9836, 0.985]"
640 "[0.9846, 0.9849, 0.9842, 0.9841, 0.9845, 0.9835, 0.9848, 0.9846, 0.9837, 0.9832, 0.9849, 0.9836, 0.9829, 0.9845, 0.985, 0.9843, 0.9834, 0.9841, 0.9827, 0.9838, 0.9841, 0.9828, 0.9829, 0.9855, 0.9848, 0.9845, 0.9845, 0.9846, 0.9846, 0.9838, 0.985, 0.9845, 0.9825, 0.9839, 0.9843, 0.9846, 0.9845, 0.9846, 0.9844, 0.9848]"
1280 "[0.9837, 0.9847, 0.9843, 0.9838, 0.9849, 0.985, 0.9846, 0.984, 0.9846, 0.9855, 0.9848, 0.9843, 0.9847, 0.9851, 0.9848, 0.9845, 0.9842, 0.9841, 0.9839, 0.9846, 0.9838, 0.9851, 0.9848, 0.9845, 0.9849, 0.9848, 0.9831, 0.9848, 0.9844, 0.9844, 0.9855, 0.9844, 0.9838, 0.9846, 0.9855, 0.9845, 0.9851, 0.9849, 0.985, 0.9836]"
2560 "[0.9852, 0.9844, 0.9847, 0.9854, 0.9844, 0.9845, 0.9848, 0.9848, 0.9837, 0.9838, 0.9849, 0.9848, 0.9845, 0.984, 0.9843, 0.9841, 0.9848, 0.9848, 0.9851, 0.9853, 0.9849, 0.9846, 0.9845, 0.9837, 0.9854, 0.9845, 0.9848, 0.9841, 0.985, 0.9836, 0.9837, 0.9851, 0.9848, 0.9854, 0.9847, 0.9836, 0.9843, 0.9848, 0.9843, 0.9852]"
5120 "[0.9844, 0.9839, 0.9847, 0.9836, 0.985, 0.9842, 0.9842, 0.9844, 0.9851, 0.984, 0.9828, 0.9844, 0.9845, 0.984, 0.9848, 0.9847, 0.9836, 0.985, 0.9841, 0.9849, 0.9848, 0.9845, 0.9839, 0.9845, 0.9845, 0.9843, 0.9841, 0.985, 0.9843, 0.9847, 0.9851, 0.9843, 0.984, 0.9841, 0.9855, 0.9846, 0.9846, 0.9853, 0.9846, 0.9853]"
10240 "[0.9842, 0.9848, 0.9841, 0.9847, 0.9852, 0.9856, 0.9851, 0.9854, 0.9848, 0.9843, 0.9847, 0.9848, 0.9844, 0.9844, 0.9847, 0.985, 0.9852, 0.985, 0.9855, 0.9851, 0.9849, 0.9855, 0.9849, 0.9853, 0.9844, 0.9844, 0.984, 0.9848, 0.9849, 0.9849, 0.985, 0.9844, 0.9844, 0.9851, 0.9832, 0.985, 0.9847, 0.9845, 0.9843, 0.9853]"
20480 "[0.985, 0.9847, 0.9852, 0.9851, 0.9849, 0.9851, 0.9853, 0.9845, 0.9843, 0.9849, 0.9843, 0.9845, 0.9848, 0.9853, 0.9854, 0.9842, 0.9845, 0.9851, 0.9854, 0.985, 0.9844, 0.9853, 0.9845, 0.9846, 0.9848, 0.9843, 0.9846, 0.9839, 0.985, 0.9847, 0.9852, 0.9838, 0.9845, 0.9849, 0.9848, 0.985, 0.9851, 0.9855, 0.985, 0.9851]"
