 Linear0
10 "[0.4186, 0.3629, 0.2638, 0.5316, 0.534, 0.152, 0.5487, 0.6805, 0.5663, 0.3743, 0.3373, 0.5786, 0.4567, 0.4944, 0.6739, 0.2394, 0.1767, 0.7748, 0.6393, 0.2055, 0.654, 0.3719, 0.5535, 0.6649, 0.6139, 0.6114, 0.4294, 0.6303, 0.5675, 0.4801, 0.8125, 0.4235, 0.2024, 0.6714, 0.7751, 0.624, 0.6099, 0.398, 0.4929, 0.481, 0.4829, 0.5935, 0.696, 0.2421, 0.675, 0.4194, 0.6751, 0.6759, 0.7911, 0.3912, 0.5462, 0.6751, 0.7266, 0.2951, 0.5003, 0.6597, 0.7484, 0.498, 0.663, 0.5398, 0.7077, 0.4803, 0.3622, 0.5735, 0.7416, 0.5506, 0.596, 0.8307, 0.1521, 0.3739, 0.8034, 0.8364, 0.6568, 0.5035, 0.3452, 0.6867, 0.7682, 0.2187, 0.7484, 0.6174, 0.7213, 0.2703, 0.6954, 0.5832, 0.6077, 0.1684, 0.8282, 0.4185, 0.7156, 0.6801, 0.6199, 0.7629, 0.4975, 0.6777, 0.3512, 0.5892, 0.5897, 0.5506, 0.3148, 0.66]"
20 "[0.8263, 0.6674, 0.5986, 0.8178, 0.7611, 0.625, 0.6919, 0.8391, 0.8313, 0.6925, 0.8061, 0.801, 0.7005, 0.7755, 0.7605, 0.8088, 0.7601, 0.8362, 0.8401, 0.6888, 0.7926, 0.7842, 0.7159, 0.7842, 0.6414, 0.493, 0.8389, 0.7504, 0.345, 0.8145, 0.7899, 0.7825, 0.7262, 0.8332, 0.7267, 0.8234, 0.7714, 0.6936, 0.6312, 0.816, 0.8263, 0.8365, 0.8302, 0.5436, 0.3884, 0.7416, 0.8292, 0.6661, 0.8229, 0.8029, 0.8392, 0.7363, 0.8115, 0.832, 0.6689, 0.7561, 0.8408, 0.8317, 0.834, 0.7725, 0.7718, 0.6963, 0.839, 0.8243, 0.7509, 0.6395, 0.6421, 0.3804, 0.7481, 0.7646, 0.822, 0.6254, 0.8255, 0.7157, 0.8346, 0.6375, 0.8121, 0.7418, 0.6651, 0.8325, 0.8119, 0.7579, 0.8399, 0.7547, 0.8276, 0.8317, 0.8197, 0.5317, 0.7801, 0.6816, 0.8392, 0.8193, 0.7371, 0.8264, 0.6655, 0.7686, 0.7507, 0.7465, 0.7491, 0.6092]"
40 "[0.8331, 0.8351, 0.84, 0.8303, 0.8404, 0.8361, 0.832, 0.845, 0.84, 0.817, 0.8412, 0.8291, 0.8282, 0.8427, 0.8321, 0.8455, 0.8268, 0.8414, 0.8362, 0.8395, 0.8349, 0.8412, 0.8403, 0.8331, 0.8315, 0.8322, 0.839, 0.8405, 0.8389, 0.8433, 0.8352, 0.8374, 0.8407, 0.8373, 0.8433, 0.8416, 0.8412, 0.8441, 0.8247, 0.8215, 0.8376, 0.841, 0.8423, 0.7537, 0.8359, 0.8351, 0.8411, 0.841, 0.8414, 0.8423, 0.8302, 0.8354, 0.8421, 0.8318, 0.8405, 0.8369, 0.8412, 0.8483, 0.8333, 0.844, 0.8411, 0.8373, 0.8421, 0.7996, 0.8394, 0.8416, 0.8332, 0.8375, 0.8428, 0.8425, 0.8423, 0.8405, 0.8404, 0.8278, 0.8382, 0.8359, 0.8346, 0.8367, 0.8404, 0.8406, 0.839, 0.8446, 0.816, 0.8461, 0.8423, 0.8381, 0.8362, 0.8414, 0.8221, 0.8412, 0.842, 0.8363, 0.7693, 0.8233, 0.8418, 0.8347, 0.8401, 0.8357, 0.839, 0.8397]"
80 "[0.8408, 0.8438, 0.8434, 0.846, 0.8454, 0.8408, 0.8429, 0.843, 0.8398, 0.8446, 0.8439, 0.8416, 0.8422, 0.8449, 0.8447, 0.8436, 0.8445, 0.8433, 0.844, 0.8474, 0.8445, 0.8422, 0.8404, 0.8428, 0.8402, 0.843, 0.8434, 0.8351, 0.8419, 0.8432, 0.8235, 0.8444, 0.8403, 0.8401, 0.8381, 0.8427, 0.8454, 0.8344, 0.8421, 0.8406, 0.8439, 0.8444, 0.8438, 0.8465, 0.8427, 0.8445, 0.8396, 0.8361, 0.8355, 0.8426, 0.8397, 0.8419, 0.8451, 0.8433, 0.8429, 0.8429, 0.8425, 0.8448, 0.8364, 0.8433, 0.8443, 0.8393, 0.8396, 0.8405, 0.8448, 0.8448, 0.8404, 0.8404, 0.8453, 0.8413, 0.8425, 0.8469, 0.8441, 0.842, 0.8442, 0.8454, 0.8385, 0.8441, 0.843, 0.8408, 0.8341, 0.8378, 0.8364, 0.8448, 0.8445, 0.8394, 0.844, 0.8401, 0.8431, 0.8354, 0.8391, 0.8425, 0.8444, 0.8416, 0.843, 0.8387, 0.8415, 0.8214, 0.8448, 0.8455]"
160 "[0.8477, 0.8463, 0.843, 0.8461, 0.8438, 0.8417, 0.8449, 0.8446, 0.8464, 0.8458, 0.8454, 0.8424, 0.8442, 0.8466, 0.8439, 0.8438, 0.8434, 0.8426, 0.8438, 0.8424, 0.8449, 0.8402, 0.8461, 0.8425, 0.8426, 0.8454, 0.8449, 0.8451, 0.8461, 0.8432, 0.8461, 0.8469, 0.8444, 0.8451, 0.8437, 0.8408, 0.8457, 0.8451, 0.8415, 0.8441, 0.8448, 0.8453, 0.8429, 0.8445, 0.8448, 0.8385, 0.8445, 0.8467, 0.8436, 0.8454, 0.8437, 0.8438, 0.8426, 0.8417, 0.8426, 0.8457, 0.8461, 0.8459, 0.8417, 0.845, 0.8418, 0.8473, 0.8443, 0.8448, 0.8433, 0.8448, 0.8431, 0.8448, 0.8429, 0.8479, 0.8443, 0.8452, 0.8442, 0.8438, 0.8445, 0.8439, 0.8438, 0.8429, 0.846, 0.8457, 0.8448, 0.8411, 0.8458, 0.8438, 0.8451, 0.8359, 0.8443, 0.8407, 0.8462, 0.8445, 0.8458, 0.845, 0.8402, 0.8426, 0.8417, 0.8435, 0.8435, 0.8467, 0.8446, 0.8455]"
320 "[0.8437, 0.8428, 0.8454, 0.8458, 0.8438, 0.8439, 0.8454, 0.8438, 0.8427, 0.8442, 0.8447, 0.845, 0.8453, 0.845, 0.8452, 0.8435, 0.8439, 0.8456, 0.8435, 0.8455, 0.8442, 0.8456, 0.8459, 0.8457, 0.8435, 0.8439, 0.8445, 0.8392, 0.8441, 0.8459, 0.8444, 0.8447, 0.8458, 0.845, 0.843, 0.8419, 0.8444, 0.8456, 0.8426, 0.8446, 0.8451, 0.8408, 0.8416, 0.8425, 0.8441, 0.843, 0.8464, 0.8433, 0.8455, 0.8438, 0.8415, 0.8436, 0.8449, 0.8431, 0.842, 0.8431, 0.8422, 0.846, 0.8423, 0.8411, 0.8445, 0.8436, 0.8441, 0.8442, 0.8424, 0.8455, 0.8444, 0.8433, 0.8431, 0.8436, 0.8438, 0.8402, 0.8426, 0.8449, 0.8433, 0.8454, 0.8475, 0.8456, 0.844, 0.8443, 0.8443, 0.8446, 0.8458, 0.8444, 0.8457, 0.8453, 0.8457, 0.8432, 0.8453, 0.8446, 0.8454, 0.844, 0.844, 0.8447, 0.8454, 0.8327, 0.8439, 0.8429, 0.8463, 0.8441]"
640 "[0.844, 0.8446, 0.8437, 0.8438, 0.8455, 0.845, 0.8461, 0.8455, 0.8415, 0.8437, 0.8422, 0.8405, 0.8443, 0.8447, 0.8428, 0.8447, 0.8429, 0.845, 0.8428, 0.8468, 0.8441, 0.8452, 0.8452, 0.8436, 0.8447, 0.845, 0.8415, 0.8458, 0.8436, 0.8463, 0.8437, 0.8456, 0.8471, 0.8455, 0.843, 0.8441, 0.8428, 0.8458, 0.8434, 0.8442, 0.8452, 0.8469, 0.8451, 0.8441, 0.8454, 0.8447, 0.8445, 0.8445, 0.8453, 0.8432, 0.8427, 0.8454, 0.8437, 0.8438, 0.845, 0.8451, 0.8438, 0.8471, 0.8428, 0.8455, 0.8439, 0.8445, 0.8446, 0.843, 0.8447, 0.842, 0.8441, 0.8433, 0.8437, 0.8442, 0.8447, 0.8442, 0.8445, 0.8444, 0.8443, 0.8441, 0.8444, 0.8405, 0.8459, 0.845, 0.8451, 0.8459, 0.8444, 0.8445, 0.8452, 0.8419, 0.8451, 0.843, 0.8397, 0.8417, 0.8446, 0.8379, 0.8435, 0.8462, 0.8468, 0.8459, 0.8449, 0.843, 0.8446, 0.8424]"
1280 "[0.844, 0.8445, 0.8447, 0.8399, 0.8458, 0.8436, 0.8483, 0.8441, 0.8417, 0.8436, 0.8428, 0.8453, 0.845, 0.8442, 0.8432, 0.8424, 0.8422, 0.8422, 0.8433, 0.8421, 0.8454, 0.8427, 0.845, 0.8437, 0.8449, 0.8439, 0.8452, 0.8446, 0.8462, 0.8439, 0.844, 0.8441, 0.8444, 0.8454, 0.8426, 0.8452, 0.8438, 0.8429, 0.8448, 0.8445, 0.8433, 0.8456, 0.8453, 0.8435, 0.8455, 0.8443, 0.8444, 0.8458, 0.8446, 0.8439, 0.8466, 0.8444, 0.845, 0.8459, 0.8469, 0.8416, 0.846, 0.8437, 0.8428, 0.8443, 0.8438, 0.8415, 0.8452, 0.8455, 0.8427, 0.8458, 0.8428, 0.8434, 0.844, 0.8417, 0.8421, 0.8452, 0.843, 0.8443, 0.8467, 0.8447, 0.8459, 0.8445, 0.8444, 0.8438, 0.844, 0.8432, 0.8451, 0.8431, 0.846, 0.8458, 0.8452, 0.8428, 0.8464, 0.8416, 0.844, 0.8463, 0.8436, 0.8441, 0.8428, 0.8455, 0.8467, 0.8433, 0.8442, 0.844]"
2560 "[0.8445, 0.8461, 0.8445, 0.8446, 0.8467, 0.8455, 0.8446, 0.845, 0.8433, 0.8447, 0.8431, 0.8439, 0.8451, 0.8453, 0.8445, 0.8443, 0.8431, 0.8438, 0.847, 0.8428, 0.845, 0.8441, 0.8444, 0.8432, 0.8432, 0.8434, 0.8436, 0.8434, 0.8452, 0.8452, 0.8428, 0.8453, 0.8457, 0.8453, 0.8456, 0.8447, 0.8439, 0.844, 0.8433, 0.8468, 0.8454, 0.8451, 0.8438, 0.846, 0.8435, 0.8454, 0.8442, 0.8446, 0.8426, 0.8456, 0.8458, 0.8438, 0.8444, 0.8443, 0.8458, 0.8447, 0.8435, 0.844, 0.8449, 0.8412, 0.8454, 0.8441, 0.8449, 0.8453, 0.8447, 0.8455, 0.8453, 0.8431, 0.8458, 0.8453, 0.8439, 0.844, 0.8431, 0.8452, 0.8436, 0.844, 0.8464, 0.8423, 0.8452, 0.8451, 0.8454, 0.8452, 0.8459, 0.8428, 0.8444, 0.845, 0.8449, 0.8446, 0.8467, 0.8445, 0.8448, 0.8458, 0.8453, 0.8436, 0.8448, 0.8457, 0.841, 0.8456, 0.845, 0.8449]"
5120 "[0.8443, 0.8439, 0.8446, 0.8474, 0.8461, 0.8454, 0.8456, 0.8446, 0.8436, 0.8439, 0.8465, 0.8456, 0.8446, 0.8441, 0.8454, 0.8428, 0.8451, 0.8456, 0.8447, 0.8455, 0.8453, 0.8457, 0.8441, 0.8466, 0.8448, 0.8467, 0.8446, 0.8462, 0.8454, 0.8459, 0.8443, 0.8448, 0.8475, 0.8456, 0.8441, 0.8443, 0.8449, 0.8459, 0.8452, 0.8456, 0.8456, 0.8454, 0.8449, 0.8445, 0.8445, 0.8458, 0.8454, 0.8467, 0.8427, 0.8471, 0.8464, 0.8461, 0.8457, 0.8439, 0.8468, 0.8443, 0.8448, 0.8451, 0.8453, 0.8436, 0.8455, 0.8431, 0.8448, 0.8451, 0.846, 0.8445, 0.8456, 0.845, 0.8457, 0.8428, 0.8448, 0.8433, 0.843, 0.8462, 0.8453, 0.8456, 0.8455, 0.8465, 0.8462, 0.8459, 0.8445, 0.8445, 0.846, 0.8451, 0.8452, 0.8459, 0.8458, 0.8452, 0.8446, 0.8442, 0.8454, 0.8437, 0.8444, 0.8458, 0.8458, 0.845, 0.8448, 0.8452, 0.841, 0.8436]"
10240 "[0.8472, 0.8443, 0.8447, 0.8456, 0.8443, 0.8453, 0.8449, 0.845, 0.8455, 0.8463, 0.843, 0.8452, 0.8465, 0.8463, 0.8443, 0.8446, 0.8435, 0.8444, 0.845, 0.8467, 0.8462, 0.8474, 0.8447, 0.8452, 0.8447, 0.8455, 0.8443, 0.846, 0.8433, 0.8458, 0.8448, 0.8455, 0.8428, 0.844, 0.8452, 0.8473, 0.844, 0.8438, 0.8441, 0.8436, 0.8445, 0.8445, 0.8454, 0.8448, 0.845, 0.8458, 0.8439, 0.8449, 0.8448, 0.847, 0.8444, 0.8462, 0.8473, 0.8447, 0.8466, 0.8465, 0.8425, 0.8466, 0.8458, 0.8445, 0.8448, 0.8432, 0.8453, 0.8446, 0.8485, 0.8456, 0.8449, 0.8453, 0.842, 0.8482, 0.8458, 0.842, 0.8436, 0.8447, 0.843, 0.8463, 0.8456, 0.8446, 0.8458, 0.8451, 0.8451, 0.8464, 0.8455, 0.847, 0.8435, 0.8458, 0.8444, 0.8441, 0.8464, 0.8455, 0.8452, 0.8424, 0.8436, 0.8469, 0.8451, 0.8438, 0.8461, 0.8485, 0.8429, 0.8474]"
20480 "[0.8435, 0.8458, 0.8462, 0.8474, 0.8443, 0.8453, 0.8467, 0.846, 0.8467, 0.8456, 0.8451, 0.8452, 0.8451, 0.846, 0.8452, 0.8454, 0.8451, 0.8473, 0.8433, 0.8452, 0.8462, 0.8446, 0.8464, 0.8458, 0.8449, 0.8446, 0.844, 0.8459, 0.8457, 0.846, 0.8474, 0.8447, 0.8452, 0.845, 0.8448, 0.8463, 0.8464, 0.8453, 0.8438, 0.845, 0.8458, 0.8467, 0.8455, 0.8441, 0.8458, 0.8458, 0.8467, 0.8461, 0.8439, 0.8457, 0.8468, 0.8491, 0.8449, 0.8473, 0.8441, 0.8406, 0.8465, 0.8476, 0.8435, 0.8444, 0.8452, 0.8457, 0.8441, 0.8458, 0.8449, 0.8467, 0.8483, 0.8452, 0.8475, 0.8446, 0.8456, 0.8464, 0.8452, 0.8475, 0.8475, 0.8471, 0.8467, 0.8459, 0.8464, 0.8458, 0.8462, 0.846, 0.8479, 0.8453, 0.8448, 0.844, 0.8458, 0.8469, 0.8453, 0.8465, 0.8477, 0.8452, 0.8463, 0.8479, 0.8448, 0.8476, 0.8464, 0.8444, 0.8454, 0.8457]"
