 Linear2
10 "[0.1811, 0.1842, 0.1068, 0.1156, 0.1906, 0.1013, 0.185, 0.186, 0.1823, 0.1809, 0.1049, 0.1774, 0.1109, 0.1863, 0.1808, 0.179, 0.1874, 0.1042, 0.1857, 0.1791, 0.1131, 0.1888, 0.1874, 0.1843, 0.0974, 0.1861, 0.1854, 0.1788, 0.1787, 0.1871, 0.1822, 0.1773, 0.1729, 0.1787, 0.1815, 0.1056, 0.1918, 0.1658, 0.1781, 0.106]"
20 "[0.2128, 0.2105, 0.1275, 0.2288, 0.2192, 0.1503, 0.147, 0.1494, 0.1154, 0.2079, 0.1405, 0.1364, 0.2074, 0.1472, 0.1545, 0.2009, 0.1549, 0.1871, 0.147, 0.1827, 0.1311, 0.2095, 0.182, 0.2196, 0.1784, 0.1294, 0.2172, 0.1961, 0.2085, 0.1465, 0.2208, 0.1546, 0.1838, 0.1522, 0.2261, 0.1782, 0.2217, 0.1468, 0.2108, 0.1393]"
40 "[0.1916, 0.2286, 0.2281, 0.2136, 0.2287, 0.2205, 0.191, 0.1951, 0.2223, 0.1865, 0.2261, 0.217, 0.2328, 0.2277, 0.2239, 0.2215, 0.1857, 0.2323, 0.2321, 0.2344, 0.1798, 0.2331, 0.2109, 0.2267, 0.2269, 0.235, 0.2184, 0.1911, 0.185, 0.219, 0.1935, 0.2326, 0.2207, 0.2166, 0.2114, 0.2262, 0.226, 0.1901, 0.2292, 0.1816]"
80 "[0.2256, 0.2055, 0.1891, 0.232, 0.2219, 0.2222, 0.2321, 0.2249, 0.1956, 0.2297, 0.2236, 0.2031, 0.2042, 0.2279, 0.2233, 0.2317, 0.1981, 0.1989, 0.1996, 0.2244, 0.1834, 0.2237, 0.217, 0.2119, 0.1979, 0.192, 0.1939, 0.2212, 0.2228, 0.2071, 0.2378, 0.2182, 0.2239, 0.1982, 0.2265, 0.1998, 0.2042, 0.2047, 0.2021, 0.2109]"
160 "[0.2265, 0.2089, 0.2258, 0.2234, 0.2317, 0.2304, 0.2294, 0.2139, 0.2317, 0.2293, 0.2281, 0.2286, 0.2234, 0.2386, 0.2212, 0.2287, 0.2324, 0.2174, 0.2288, 0.2179, 0.2118, 0.2241, 0.2234, 0.2242, 0.2201, 0.2262, 0.2228, 0.2232, 0.2305, 0.189, 0.23, 0.2112, 0.2238, 0.2208, 0.2254, 0.2309, 0.2209, 0.2334, 0.2302, 0.2245]"
320 "[0.2339, 0.2319, 0.2373, 0.2291, 0.2316, 0.2251, 0.2328, 0.2306, 0.2215, 0.2317, 0.2356, 0.2319, 0.2212, 0.2052, 0.2294, 0.2283, 0.2338, 0.2357, 0.2291, 0.2245, 0.2172, 0.226, 0.2216, 0.2343, 0.2228, 0.2232, 0.2338, 0.2292, 0.2249, 0.2257, 0.2354, 0.2109, 0.2042, 0.2207, 0.2344, 0.2247, 0.2358, 0.2304, 0.2327, 0.2291]"
640 "[0.2333, 0.2312, 0.2334, 0.2292, 0.2284, 0.2105, 0.2136, 0.2126, 0.2271, 0.2289, 0.2192, 0.2274, 0.2168, 0.2308, 0.2325, 0.2243, 0.2226, 0.2151, 0.227, 0.2241, 0.2398, 0.2187, 0.2358, 0.2232, 0.22, 0.2259, 0.2403, 0.2148, 0.2372, 0.2273, 0.2245, 0.2259, 0.241, 0.2398, 0.2339, 0.2292, 0.2389, 0.23, 0.1853, 0.2366]"
1280 "[0.2241, 0.1848, 0.2283, 0.2293, 0.2332, 0.2201, 0.2164, 0.2065, 0.2306, 0.2294, 0.1764, 0.216, 0.2281, 0.2132, 0.2256, 0.2287, 0.2313, 0.2271, 0.2093, 0.2406, 0.2273, 0.234, 0.2366, 0.2237, 0.2327, 0.2355, 0.2061, 0.2253, 0.212, 0.2251, 0.241, 0.2225, 0.2224, 0.1742, 0.2229, 0.2214, 0.227, 0.2263, 0.2266, 0.2329]"
2560 "[0.2085, 0.2086, 0.2292, 0.225, 0.2198, 0.2195, 0.2005, 0.2292, 0.2203, 0.2062, 0.2014, 0.2022, 0.2322, 0.2053, 0.2116, 0.2165, 0.212, 0.2381, 0.2045, 0.2188, 0.2353, 0.1577, 0.195, 0.2276, 0.2069, 0.2221, 0.2389, 0.2318, 0.2025, 0.2253, 0.2018, 0.2049, 0.2124, 0.2053, 0.2215, 0.2056, 0.2004, 0.2274, 0.2235, 0.2129]"
5120 "[0.2263, 0.2273, 0.2215, 0.1863, 0.2295, 0.215, 0.2149, 0.1942, 0.2213, 0.23, 0.2364, 0.2298, 0.2358, 0.2111, 0.2323, 0.2369, 0.2361, 0.2071, 0.2194, 0.231, 0.2297, 0.2306, 0.2362, 0.16, 0.239, 0.2262, 0.2254, 0.2305, 0.2327, 0.2261, 0.2456, 0.2212, 0.2257, 0.2283, 0.2309, 0.227, 0.2008, 0.2257, 0.2331, 0.2258]"
