 Linear2
10 "[0.9637, 0.9674, 0.9647, 0.9648, 0.9653, 0.9725, 0.9672, 0.9672, 0.9635, 0.9639, 0.973, 0.9693, 0.9676, 0.9566, 0.9696, 0.9743, 0.964, 0.975, 0.9702, 0.971, 0.9732, 0.9637, 0.9738, 0.9658, 0.9726, 0.9724, 0.9694, 0.9672, 0.972, 0.9702, 0.9723, 0.967, 0.9545, 0.9711, 0.9722, 0.9769, 0.9713, 0.9691, 0.9727, 0.9745]"
20 "[0.9722, 0.9757, 0.9765, 0.9742, 0.9755, 0.9747, 0.9759, 0.9723, 0.9752, 0.9723, 0.9777, 0.9774, 0.9763, 0.9749, 0.9764, 0.9765, 0.9782, 0.9761, 0.9763, 0.9773, 0.9783, 0.977, 0.9744, 0.9745, 0.972, 0.9698, 0.9745, 0.9729, 0.9693, 0.9766, 0.9648, 0.9743, 0.9724, 0.9752, 0.9763, 0.9754, 0.9751, 0.9752, 0.9734, 0.9723]"
40 "[0.9716, 0.9736, 0.978, 0.9785, 0.9746, 0.9775, 0.9752, 0.9778, 0.9796, 0.9753, 0.9775, 0.9781, 0.9781, 0.9763, 0.9762, 0.9793, 0.9782, 0.9762, 0.9744, 0.9783, 0.9784, 0.9744, 0.9797, 0.9771, 0.9781, 0.9798, 0.9739, 0.9771, 0.9788, 0.9767, 0.9753, 0.9739, 0.9763, 0.9785, 0.9769, 0.977, 0.9788, 0.9782, 0.9783, 0.9624]"
80 "[0.9788, 0.973, 0.9751, 0.9781, 0.9767, 0.9787, 0.9792, 0.9768, 0.9731, 0.9777, 0.9794, 0.9769, 0.9799, 0.977, 0.9787, 0.977, 0.9784, 0.9783, 0.9765, 0.9784, 0.977, 0.9782, 0.9774, 0.9766, 0.9714, 0.976, 0.98, 0.977, 0.98, 0.9799, 0.9798, 0.9762, 0.9794, 0.9781, 0.9774, 0.9797, 0.9797, 0.978, 0.9775, 0.9764]"
160 "[0.9796, 0.9804, 0.9769, 0.9797, 0.9808, 0.9793, 0.9798, 0.9799, 0.9787, 0.9773, 0.9785, 0.9789, 0.9777, 0.9789, 0.9764, 0.9797, 0.9795, 0.9794, 0.9782, 0.9799, 0.9803, 0.9717, 0.9761, 0.9796, 0.9767, 0.9785, 0.9768, 0.9782, 0.979, 0.9784, 0.9787, 0.9775, 0.9806, 0.9793, 0.9803, 0.9782, 0.976, 0.9796, 0.9796, 0.9782]"
320 "[0.9805, 0.9787, 0.9787, 0.9799, 0.9784, 0.9789, 0.9814, 0.9799, 0.9783, 0.9801, 0.9805, 0.9784, 0.9749, 0.9788, 0.9806, 0.9812, 0.9796, 0.9807, 0.9781, 0.9796, 0.9807, 0.9807, 0.9774, 0.9798, 0.9809, 0.9808, 0.9808, 0.9804, 0.9798, 0.9804, 0.9792, 0.9798, 0.9808, 0.9812, 0.981, 0.9791, 0.9797, 0.9784, 0.9801, 0.9799]"
640 "[0.9805, 0.9782, 0.9786, 0.9794, 0.9804, 0.9798, 0.9797, 0.9809, 0.98, 0.9798, 0.9821, 0.981, 0.979, 0.9788, 0.9806, 0.9817, 0.9806, 0.9809, 0.9815, 0.979, 0.9805, 0.9799, 0.977, 0.9798, 0.9808, 0.9797, 0.9794, 0.9811, 0.9807, 0.9769, 0.9801, 0.9803, 0.9781, 0.9803, 0.9804, 0.9815, 0.9806, 0.98, 0.9802, 0.9809]"
1280 "[0.9823, 0.9813, 0.9819, 0.9803, 0.9817, 0.9818, 0.9809, 0.9811, 0.981, 0.9815, 0.9821, 0.9817, 0.982, 0.9804, 0.9816, 0.9822, 0.9804, 0.9803, 0.9808, 0.9805, 0.9817, 0.9819, 0.9793, 0.9801, 0.9809, 0.9807, 0.9803, 0.9788, 0.9824, 0.9814, 0.9805, 0.9816, 0.9811, 0.9818, 0.981, 0.9821, 0.9821, 0.9806, 0.9822, 0.9812]"
2560 "[0.9816, 0.9816, 0.9808, 0.9795, 0.9816, 0.9796, 0.9802, 0.9807, 0.9819, 0.9804, 0.9824, 0.98, 0.9791, 0.9815, 0.9808, 0.9816, 0.9813, 0.9804, 0.9814, 0.9798, 0.9798, 0.982, 0.9814, 0.9786, 0.9809, 0.9824, 0.9818, 0.9815, 0.9821, 0.9794, 0.9823, 0.9812, 0.9807, 0.9802, 0.9822, 0.9811, 0.9818, 0.9802, 0.9809, 0.981]"
5120 "[0.9811, 0.9811, 0.9823, 0.9801, 0.9799, 0.9778, 0.9811, 0.9817, 0.9797, 0.9811, 0.9798, 0.981, 0.9816, 0.9816, 0.9819, 0.9808, 0.9815, 0.9808, 0.9815, 0.9816, 0.9813, 0.9819, 0.9811, 0.9815, 0.9817, 0.9821, 0.9821, 0.9811, 0.982, 0.982, 0.9824, 0.9816, 0.9811, 0.9821, 0.9808, 0.982, 0.9816, 0.9818, 0.981, 0.9806]"
