 Linear0
10 "[0.5554, 0.5846, 0.5555, 0.6139, 0.5601, 0.6393, 0.582, 0.6021, 0.6039, 0.5764, 0.5831, 0.5905, 0.569, 0.5727, 0.5737, 0.6218, 0.5975, 0.6274, 0.6049, 0.5619, 0.6268, 0.588, 0.5581, 0.5427, 0.5835, 0.5825, 0.5401, 0.6045, 0.574, 0.5998, 0.563, 0.579, 0.5797, 0.5652, 0.5742, 0.5998, 0.6119, 0.5559, 0.5593, 0.5784, 0.5727, 0.577, 0.5815, 0.5728, 0.6148, 0.5658, 0.6043, 0.6026, 0.5829, 0.613, 0.636, 0.5901, 0.5679, 0.5859, 0.5435, 0.5805, 0.5678, 0.4738, 0.582, 0.5543, 0.5877, 0.5385, 0.6211, 0.5563, 0.5754, 0.5508, 0.5895, 0.6336, 0.5623, 0.6001, 0.5804, 0.5912, 0.6078, 0.5601, 0.5598, 0.5796, 0.5716, 0.6015, 0.5669, 0.5872, 0.6126, 0.5762, 0.6183, 0.5726, 0.6252, 0.5603, 0.5495, 0.5778, 0.5634, 0.6088, 0.5626, 0.5718, 0.5777, 0.6005, 0.5693, 0.5844, 0.5826, 0.5693, 0.5786, 0.5575]"
20 "[0.608, 0.5872, 0.6105, 0.6286, 0.6125, 0.5796, 0.6112, 0.6131, 0.6129, 0.6173, 0.5932, 0.6078, 0.6145, 0.6159, 0.6161, 0.5981, 0.6107, 0.6043, 0.6067, 0.6023, 0.6081, 0.6091, 0.6092, 0.6127, 0.6188, 0.5839, 0.6151, 0.6152, 0.6309, 0.6092, 0.6491, 0.6109, 0.6191, 0.6005, 0.6234, 0.6115, 0.6113, 0.5899, 0.6376, 0.5725, 0.6252, 0.6092, 0.6036, 0.6204, 0.6207, 0.6042, 0.6146, 0.5963, 0.611, 0.6053, 0.5955, 0.6161, 0.5856, 0.6183, 0.6193, 0.6046, 0.6122, 0.6223, 0.5993, 0.6, 0.5899, 0.6138, 0.625, 0.6176, 0.6334, 0.6088, 0.6143, 0.6138, 0.6099, 0.6148, 0.5889, 0.6261, 0.6016, 0.6137, 0.5972, 0.5721, 0.5975, 0.6058, 0.5873, 0.6075, 0.6093, 0.6107, 0.6037, 0.6223, 0.6081, 0.6118, 0.6221, 0.6113, 0.6135, 0.6293, 0.6072, 0.6162, 0.6027, 0.6068, 0.6204, 0.6114, 0.607, 0.615, 0.6188, 0.613]"
40 "[0.662, 0.6742, 0.6702, 0.6504, 0.6247, 0.6773, 0.6552, 0.678, 0.6656, 0.6353, 0.6776, 0.6613, 0.6526, 0.6836, 0.6826, 0.6749, 0.6597, 0.6479, 0.6678, 0.6319, 0.6597, 0.6711, 0.6671, 0.6548, 0.6633, 0.6401, 0.6654, 0.6671, 0.6851, 0.6416, 0.6955, 0.6789, 0.6813, 0.65, 0.6921, 0.6844, 0.6717, 0.655, 0.6666, 0.6702, 0.6772, 0.6762, 0.6678, 0.6702, 0.6768, 0.6468, 0.6777, 0.6817, 0.6538, 0.6747, 0.6486, 0.5825, 0.6559, 0.6789, 0.6671, 0.6863, 0.6757, 0.6705, 0.6656, 0.6601, 0.6628, 0.6544, 0.6734, 0.6696, 0.6691, 0.679, 0.6693, 0.6814, 0.6644, 0.647, 0.6506, 0.6704, 0.672, 0.6703, 0.6631, 0.6688, 0.6647, 0.6829, 0.6588, 0.6602, 0.679, 0.6546, 0.6703, 0.6805, 0.6668, 0.6725, 0.6746, 0.6473, 0.6546, 0.6776, 0.6762, 0.6804, 0.653, 0.6908, 0.6727, 0.6729, 0.668, 0.677, 0.6783, 0.6348]"
80 "[0.7076, 0.6824, 0.6512, 0.6827, 0.7014, 0.6967, 0.6719, 0.6679, 0.6678, 0.6729, 0.6774, 0.6807, 0.6895, 0.6801, 0.6678, 0.6603, 0.6703, 0.6716, 0.6657, 0.6966, 0.6967, 0.6937, 0.6774, 0.6861, 0.6965, 0.6838, 0.6876, 0.6636, 0.6562, 0.6812, 0.6866, 0.7001, 0.677, 0.6784, 0.6744, 0.6705, 0.6814, 0.6796, 0.6434, 0.6778, 0.6814, 0.6779, 0.6957, 0.682, 0.6602, 0.6904, 0.6843, 0.695, 0.6692, 0.6688, 0.6975, 0.673, 0.6627, 0.6739, 0.6593, 0.6665, 0.6713, 0.6868, 0.649, 0.6528, 0.6688, 0.6656, 0.6685, 0.6948, 0.6769, 0.6631, 0.6747, 0.7019, 0.663, 0.6591, 0.684, 0.6581, 0.6609, 0.6837, 0.6721, 0.6688, 0.6871, 0.6648, 0.7131, 0.6742, 0.6723, 0.6752, 0.6856, 0.6725, 0.6705, 0.6839, 0.6916, 0.6808, 0.6709, 0.6573, 0.6717, 0.6723, 0.6744, 0.6803, 0.6732, 0.6694, 0.6962, 0.6641, 0.6809, 0.6937]"
160 "[0.7133, 0.7136, 0.6878, 0.7077, 0.6971, 0.7067, 0.7192, 0.7159, 0.707, 0.6973, 0.6724, 0.6646, 0.7011, 0.6827, 0.6522, 0.7226, 0.6908, 0.7132, 0.7038, 0.6986, 0.7123, 0.7081, 0.7274, 0.7109, 0.7072, 0.6954, 0.7008, 0.7041, 0.6913, 0.7154, 0.6798, 0.6913, 0.7244, 0.6894, 0.7253, 0.723, 0.711, 0.7028, 0.6891, 0.707, 0.6985, 0.6848, 0.7291, 0.7083, 0.7033, 0.6723, 0.7072, 0.7105, 0.7183, 0.7029, 0.7072, 0.7077, 0.6992, 0.7231, 0.6894, 0.7204, 0.6723, 0.7022, 0.7003, 0.6929, 0.7075, 0.7189, 0.7157, 0.731, 0.7148, 0.7099, 0.7156, 0.6971, 0.7132, 0.6828, 0.6843, 0.7044, 0.6914, 0.6908, 0.688, 0.703, 0.7019, 0.7022, 0.7059, 0.707, 0.7052, 0.71, 0.7129, 0.6898, 0.7173, 0.6837, 0.7084, 0.6827, 0.7045, 0.683, 0.7009, 0.6937, 0.6866, 0.7111, 0.7119, 0.703, 0.7036, 0.7178, 0.7111, 0.7018]"
320 "[0.7053, 0.7096, 0.7318, 0.6968, 0.7198, 0.7194, 0.7187, 0.6978, 0.7166, 0.7206, 0.6577, 0.7142, 0.6916, 0.7103, 0.7155, 0.7162, 0.7208, 0.7074, 0.6295, 0.7221, 0.7065, 0.6939, 0.7168, 0.7117, 0.7177, 0.7142, 0.7195, 0.7269, 0.7161, 0.6869, 0.691, 0.7197, 0.7211, 0.723, 0.7182, 0.7093, 0.7158, 0.7095, 0.7124, 0.6806, 0.7189, 0.7232, 0.7105, 0.7168, 0.7206, 0.7283, 0.7212, 0.711, 0.6951, 0.713, 0.709, 0.7037, 0.7224, 0.7294, 0.7194, 0.6911, 0.7092, 0.7104, 0.7176, 0.7177, 0.7161, 0.7155, 0.7281, 0.7165, 0.7277, 0.7124, 0.7142, 0.7071, 0.722, 0.707, 0.7174, 0.7055, 0.7032, 0.7165, 0.726, 0.7127, 0.7138, 0.7219, 0.7167, 0.7048, 0.6787, 0.7203, 0.7217, 0.708, 0.715, 0.726, 0.7188, 0.7129, 0.7101, 0.7124, 0.713, 0.729, 0.7033, 0.7153, 0.7235, 0.7133, 0.707, 0.6985, 0.6471, 0.7149]"
640 "[0.7183, 0.7255, 0.7119, 0.7215, 0.727, 0.7155, 0.7178, 0.6601, 0.7226, 0.7122, 0.7233, 0.7245, 0.7201, 0.7284, 0.551, 0.7249, 0.7253, 0.7199, 0.7187, 0.728, 0.7351, 0.7187, 0.723, 0.7267, 0.7045, 0.7285, 0.7301, 0.7263, 0.7178, 0.6966, 0.7169, 0.7268, 0.7231, 0.7084, 0.7094, 0.7259, 0.7142, 0.7337, 0.7152, 0.7242, 0.7206, 0.7311, 0.7012, 0.7341, 0.7242, 0.7271, 0.7215, 0.7284, 0.7291, 0.6901, 0.7147, 0.7061, 0.7219, 0.7181, 0.7318, 0.7313, 0.7333, 0.7153, 0.6469, 0.7199, 0.7188, 0.7234, 0.6469, 0.7165, 0.7004, 0.7084, 0.6939, 0.7314, 0.7216, 0.7206, 0.7215, 0.7091, 0.7358, 0.7232, 0.7176, 0.7245, 0.7224, 0.7145, 0.708, 0.7236, 0.7219, 0.7253, 0.7095, 0.7307, 0.7167, 0.7213, 0.7195, 0.7116, 0.723, 0.7161, 0.7233, 0.7146, 0.7258, 0.716, 0.7147, 0.7224, 0.7305, 0.6822, 0.7267, 0.7138]"
1280 "[0.7346, 0.7268, 0.7216, 0.7261, 0.7378, 0.7354, 0.74, 0.7281, 0.7351, 0.7377, 0.7353, 0.7328, 0.7363, 0.719, 0.7332, 0.7156, 0.7314, 0.7471, 0.7318, 0.7448, 0.7209, 0.7236, 0.7319, 0.7061, 0.7278, 0.7191, 0.7239, 0.7048, 0.7151, 0.6922, 0.735, 0.7348, 0.7115, 0.736, 0.7227, 0.7291, 0.7351, 0.7284, 0.7257, 0.7099, 0.7138, 0.7308, 0.6712, 0.7358, 0.7397, 0.7098, 0.7169, 0.7376, 0.7078, 0.7399, 0.7368, 0.7337, 0.715, 0.7097, 0.7146, 0.7302, 0.7471, 0.7286, 0.6973, 0.7307, 0.7171, 0.7339, 0.7154, 0.73, 0.7476, 0.725, 0.7366, 0.7281, 0.74, 0.7338, 0.7162, 0.7258, 0.736, 0.7066, 0.7145, 0.7215, 0.7295, 0.737, 0.7293, 0.738, 0.7238, 0.7233, 0.7261, 0.7302, 0.7309, 0.716, 0.7341, 0.7529, 0.7299, 0.7087, 0.7084, 0.7216, 0.7338, 0.7236, 0.7294, 0.7289, 0.7259, 0.7077, 0.7221, 0.7341]"
2560 "[0.6753, 0.7411, 0.7366, 0.7392, 0.7289, 0.7448, 0.7368, 0.7219, 0.7469, 0.7399, 0.7244, 0.7356, 0.7391, 0.7178, 0.7452, 0.7319, 0.7307, 0.7322, 0.7483, 0.736, 0.7332, 0.7348, 0.7271, 0.7522, 0.7216, 0.7454, 0.7235, 0.7233, 0.7314, 0.7272, 0.7395, 0.7319, 0.7105, 0.7305, 0.7468, 0.739, 0.7357, 0.7433, 0.7302, 0.7241, 0.7212, 0.7, 0.7404, 0.724, 0.7265, 0.7327, 0.728, 0.7308, 0.725, 0.7475, 0.7448, 0.7122, 0.73, 0.7222, 0.752, 0.7403, 0.7156, 0.7567, 0.7377, 0.7336, 0.7314, 0.7392, 0.7379, 0.7226, 0.7313, 0.7426, 0.7294, 0.706, 0.7227, 0.7412, 0.7002, 0.7175, 0.7096, 0.7256, 0.73, 0.7437, 0.7401, 0.7263, 0.7471, 0.7319, 0.7357, 0.722, 0.6988, 0.7223, 0.7419, 0.7064, 0.7385, 0.7311, 0.7403, 0.7348, 0.7372, 0.7311, 0.7469, 0.7154, 0.731, 0.7176, 0.7321, 0.7307, 0.7309, 0.7376]"
5120 "[0.7419, 0.7358, 0.7383, 0.7525, 0.7486, 0.7518, 0.7459, 0.7577, 0.7423, 0.7472, 0.7483, 0.7366, 0.735, 0.7607, 0.7395, 0.7422, 0.754, 0.7363, 0.7446, 0.7425, 0.7423, 0.7341, 0.7417, 0.7339, 0.7479, 0.7428, 0.7513, 0.725, 0.7213, 0.758, 0.7492, 0.7455, 0.7222, 0.7285, 0.7376, 0.7539, 0.7233, 0.7401, 0.7461, 0.7609, 0.7498, 0.7431, 0.7383, 0.755, 0.7373, 0.7518, 0.7486, 0.7486, 0.7443, 0.7482, 0.7293, 0.7506, 0.7518, 0.7583, 0.7361, 0.7393, 0.7438, 0.7461, 0.7328, 0.7328, 0.7539, 0.7367, 0.753, 0.7425, 0.7432, 0.7541, 0.7474, 0.7502, 0.7333, 0.7395, 0.7518, 0.7536, 0.7375, 0.745, 0.6703, 0.7573, 0.7424, 0.7373, 0.7233, 0.7355, 0.7477, 0.7395, 0.7361, 0.7569, 0.7533, 0.7401, 0.7581, 0.7228, 0.7494, 0.7443, 0.7449, 0.7542, 0.7569, 0.7515, 0.7349, 0.7387, 0.7504, 0.7491, 0.742, 0.7557]"
