 Linear0
10 "[0.5112, 0.5149, 0.476, 0.5161, 0.4932, 0.516, 0.4965, 0.512, 0.5119, 0.5083, 0.4758, 0.5075, 0.5138, 0.4964, 0.5006, 0.4981, 0.5102, 0.506, 0.5135, 0.5075, 0.5105, 0.5058, 0.5154, 0.5063, 0.5037, 0.5022, 0.5132, 0.5102, 0.5029, 0.513, 0.5044, 0.5113, 0.4989, 0.5197, 0.5118, 0.5, 0.5021, 0.5164, 0.5076, 0.4958, 0.5227, 0.5009, 0.4868, 0.5186, 0.5068, 0.5109, 0.5105, 0.5065, 0.4945, 0.4986, 0.4904, 0.5146, 0.5137, 0.5034, 0.4918, 0.5158, 0.5092, 0.4346, 0.5094, 0.5044, 0.5218, 0.52, 0.4962, 0.496, 0.5022, 0.5037, 0.5103, 0.5074, 0.4857, 0.5125, 0.5015, 0.4885, 0.5102, 0.5101, 0.5134, 0.5158, 0.5093, 0.5056, 0.5006, 0.5018, 0.5101, 0.5043, 0.4986, 0.5008, 0.5071, 0.4868, 0.4946, 0.5128, 0.5069, 0.4894, 0.5, 0.5144, 0.5131, 0.4885, 0.5096, 0.5138, 0.5037, 0.5142, 0.5145, 0.5016]"
20 "[0.6009, 0.5988, 0.6013, 0.5858, 0.6039, 0.5871, 0.5907, 0.5812, 0.6026, 0.6072, 0.5903, 0.5932, 0.6045, 0.5997, 0.5991, 0.6053, 0.6015, 0.5957, 0.5995, 0.5963, 0.6081, 0.5972, 0.5992, 0.5825, 0.6001, 0.5822, 0.5899, 0.59, 0.6102, 0.5855, 0.6, 0.5951, 0.5718, 0.5947, 0.5944, 0.6066, 0.5979, 0.5942, 0.5688, 0.5965, 0.5753, 0.5926, 0.6013, 0.594, 0.5861, 0.5856, 0.5935, 0.5754, 0.5904, 0.5898, 0.5779, 0.584, 0.6155, 0.5941, 0.6043, 0.5957, 0.5902, 0.5871, 0.6002, 0.5868, 0.5888, 0.6037, 0.6008, 0.5859, 0.5889, 0.5864, 0.5897, 0.5994, 0.6177, 0.606, 0.5936, 0.5966, 0.6057, 0.5921, 0.6219, 0.593, 0.6001, 0.584, 0.5953, 0.5981, 0.574, 0.5955, 0.5924, 0.5944, 0.5853, 0.5906, 0.544, 0.5881, 0.5678, 0.6, 0.5811, 0.5973, 0.6051, 0.6064, 0.596, 0.5953, 0.5953, 0.6004, 0.5909, 0.6027]"
40 "[0.6416, 0.6525, 0.6484, 0.6563, 0.649, 0.6435, 0.6195, 0.6549, 0.6046, 0.647, 0.6446, 0.6417, 0.6548, 0.6476, 0.6261, 0.6372, 0.6454, 0.651, 0.6445, 0.6519, 0.6236, 0.655, 0.6439, 0.6404, 0.6309, 0.6698, 0.6517, 0.6568, 0.6467, 0.6618, 0.6661, 0.6554, 0.6499, 0.655, 0.6385, 0.6298, 0.6378, 0.6445, 0.6529, 0.6504, 0.6548, 0.6311, 0.6247, 0.6238, 0.6515, 0.6272, 0.666, 0.6366, 0.633, 0.6407, 0.6417, 0.6355, 0.645, 0.6522, 0.644, 0.6633, 0.6462, 0.6516, 0.6414, 0.6482, 0.6475, 0.6441, 0.6433, 0.6507, 0.6393, 0.6509, 0.6441, 0.6412, 0.6552, 0.6452, 0.6578, 0.6487, 0.6405, 0.6318, 0.6223, 0.653, 0.6487, 0.6628, 0.6505, 0.6444, 0.6223, 0.6522, 0.6518, 0.6646, 0.6355, 0.65, 0.6354, 0.6371, 0.6417, 0.6247, 0.6458, 0.6591, 0.6255, 0.6654, 0.6426, 0.6411, 0.657, 0.6447, 0.6604, 0.6383]"
80 "[0.6553, 0.6633, 0.6567, 0.6687, 0.6604, 0.6356, 0.6662, 0.6723, 0.6681, 0.6551, 0.6606, 0.6586, 0.6612, 0.669, 0.6651, 0.6672, 0.6743, 0.668, 0.6647, 0.6649, 0.6542, 0.6676, 0.667, 0.6475, 0.6547, 0.6619, 0.6632, 0.6716, 0.6482, 0.6636, 0.6683, 0.6684, 0.6638, 0.6477, 0.665, 0.6636, 0.6574, 0.6636, 0.6519, 0.6531, 0.6639, 0.6669, 0.669, 0.6521, 0.6482, 0.6412, 0.6523, 0.6684, 0.6708, 0.6674, 0.6652, 0.6528, 0.6673, 0.6547, 0.6511, 0.6427, 0.6592, 0.6698, 0.6468, 0.6586, 0.6727, 0.6519, 0.6497, 0.6694, 0.6733, 0.6447, 0.6659, 0.6675, 0.666, 0.6746, 0.6703, 0.6585, 0.6672, 0.6675, 0.6603, 0.6557, 0.6594, 0.6674, 0.6657, 0.6537, 0.668, 0.6662, 0.6695, 0.6635, 0.6643, 0.6558, 0.6626, 0.6587, 0.6619, 0.6463, 0.6424, 0.6555, 0.6623, 0.6588, 0.672, 0.6597, 0.6604, 0.6659, 0.6683, 0.6631]"
160 "[0.6569, 0.6251, 0.6495, 0.6781, 0.6664, 0.6754, 0.6523, 0.6773, 0.6811, 0.6511, 0.6528, 0.6644, 0.6565, 0.6655, 0.6725, 0.6797, 0.6837, 0.6438, 0.6256, 0.6794, 0.667, 0.6158, 0.6693, 0.6728, 0.6588, 0.653, 0.6683, 0.6762, 0.6662, 0.671, 0.6653, 0.6774, 0.6607, 0.6648, 0.6713, 0.6699, 0.6721, 0.6644, 0.6614, 0.6571, 0.6739, 0.6626, 0.6561, 0.6739, 0.6626, 0.6628, 0.652, 0.6735, 0.6533, 0.6477, 0.6705, 0.6623, 0.6638, 0.6625, 0.6687, 0.6648, 0.6442, 0.6198, 0.6636, 0.6668, 0.6744, 0.6649, 0.6581, 0.6521, 0.643, 0.6449, 0.6532, 0.6789, 0.6672, 0.672, 0.669, 0.6652, 0.6444, 0.6635, 0.6607, 0.6595, 0.6648, 0.6571, 0.6715, 0.6714, 0.6779, 0.6657, 0.6758, 0.653, 0.6761, 0.6357, 0.6579, 0.6452, 0.6664, 0.6617, 0.6663, 0.6691, 0.668, 0.6715, 0.6731, 0.6595, 0.6668, 0.6509, 0.6772, 0.6787]"
320 "[0.6809, 0.6566, 0.6791, 0.6776, 0.6696, 0.6547, 0.6722, 0.6493, 0.6641, 0.6661, 0.6725, 0.6653, 0.68, 0.668, 0.6718, 0.6784, 0.6774, 0.6602, 0.6495, 0.685, 0.6707, 0.6515, 0.6767, 0.6654, 0.6528, 0.6762, 0.6734, 0.6391, 0.6691, 0.666, 0.6689, 0.6669, 0.6794, 0.6576, 0.6556, 0.6755, 0.6648, 0.6749, 0.6793, 0.6632, 0.6806, 0.6737, 0.6798, 0.6582, 0.6741, 0.689, 0.664, 0.6697, 0.6687, 0.6695, 0.6668, 0.6683, 0.6197, 0.6713, 0.6513, 0.6533, 0.6713, 0.6597, 0.6691, 0.6613, 0.6635, 0.669, 0.6563, 0.6739, 0.6719, 0.6655, 0.6726, 0.6725, 0.6743, 0.671, 0.6475, 0.6673, 0.6739, 0.6766, 0.6695, 0.6748, 0.6542, 0.6688, 0.6692, 0.6532, 0.6635, 0.6838, 0.6661, 0.6421, 0.6556, 0.6631, 0.6526, 0.676, 0.6661, 0.6734, 0.674, 0.6803, 0.641, 0.664, 0.6699, 0.6029, 0.6734, 0.6603, 0.6769, 0.6661]"
640 "[0.6778, 0.6734, 0.6788, 0.681, 0.6614, 0.6787, 0.6692, 0.6286, 0.6682, 0.6788, 0.6622, 0.672, 0.6717, 0.6732, 0.4794, 0.6721, 0.6823, 0.6553, 0.6649, 0.6726, 0.6723, 0.6634, 0.6816, 0.6736, 0.661, 0.666, 0.6839, 0.6615, 0.6607, 0.682, 0.6696, 0.6793, 0.6749, 0.6687, 0.6698, 0.6723, 0.6729, 0.6732, 0.6743, 0.6776, 0.6768, 0.6743, 0.6546, 0.6773, 0.6705, 0.6649, 0.6686, 0.6706, 0.6584, 0.6712, 0.6732, 0.6728, 0.6737, 0.6792, 0.6604, 0.6717, 0.661, 0.6683, 0.6561, 0.6672, 0.6701, 0.6739, 0.6793, 0.671, 0.6528, 0.6773, 0.6662, 0.6588, 0.6775, 0.6716, 0.671, 0.6705, 0.6648, 0.6657, 0.6672, 0.6729, 0.6656, 0.6847, 0.6618, 0.6677, 0.6658, 0.673, 0.6703, 0.6734, 0.6633, 0.6777, 0.6604, 0.6697, 0.6763, 0.6785, 0.6697, 0.6553, 0.6771, 0.6691, 0.6744, 0.6629, 0.6715, 0.6466, 0.6723, 0.6683]"
1280 "[0.6878, 0.6791, 0.6839, 0.6804, 0.6785, 0.6882, 0.6864, 0.6849, 0.6795, 0.6945, 0.6695, 0.6855, 0.6819, 0.6831, 0.6826, 0.6711, 0.6804, 0.6773, 0.6874, 0.6786, 0.6887, 0.6799, 0.6875, 0.6776, 0.6829, 0.6724, 0.6845, 0.6836, 0.6911, 0.6853, 0.6808, 0.6917, 0.6871, 0.663, 0.689, 0.6572, 0.6836, 0.686, 0.6886, 0.681, 0.6875, 0.679, 0.6856, 0.6857, 0.6831, 0.6892, 0.6589, 0.6846, 0.6906, 0.6704, 0.6875, 0.6709, 0.6826, 0.6834, 0.6799, 0.6855, 0.6846, 0.6849, 0.6864, 0.6922, 0.68, 0.6771, 0.6761, 0.6728, 0.6913, 0.6856, 0.6883, 0.6907, 0.6879, 0.6899, 0.6869, 0.6742, 0.6834, 0.6866, 0.6913, 0.6917, 0.6802, 0.6762, 0.6815, 0.686, 0.6859, 0.6758, 0.6857, 0.6824, 0.6711, 0.6881, 0.678, 0.6838, 0.6833, 0.6663, 0.6824, 0.686, 0.6874, 0.6852, 0.6829, 0.6782, 0.684, 0.672, 0.6856, 0.6864]"
2560 "[0.6769, 0.6823, 0.6935, 0.6925, 0.6823, 0.6904, 0.6915, 0.6922, 0.6924, 0.6901, 0.6873, 0.6873, 0.6897, 0.6921, 0.6804, 0.6941, 0.6968, 0.6863, 0.6913, 0.6927, 0.6859, 0.6945, 0.6782, 0.6912, 0.6865, 0.6938, 0.6778, 0.6874, 0.6928, 0.6688, 0.6754, 0.6763, 0.684, 0.6971, 0.6814, 0.6896, 0.5867, 0.6927, 0.6899, 0.6894, 0.6355, 0.6633, 0.6817, 0.694, 0.6895, 0.6952, 0.6937, 0.6927, 0.6836, 0.6892, 0.66, 0.6883, 0.6922, 0.6916, 0.6861, 0.6906, 0.6898, 0.6935, 0.6948, 0.6917, 0.6784, 0.692, 0.6872, 0.6888, 0.6752, 0.6938, 0.6965, 0.7, 0.6913, 0.6884, 0.6781, 0.6817, 0.6953, 0.6851, 0.6896, 0.6864, 0.6854, 0.6889, 0.6411, 0.6895, 0.6586, 0.679, 0.6338, 0.6951, 0.6725, 0.6877, 0.6921, 0.6956, 0.6977, 0.6805, 0.6864, 0.6897, 0.6898, 0.6872, 0.6832, 0.6805, 0.6921, 0.6954, 0.6887, 0.6903]"
5120 "[0.6875, 0.6951, 0.6925, 0.6851, 0.6916, 0.6884, 0.6899, 0.698, 0.6982, 0.6883, 0.673, 0.6822, 0.6912, 0.6862, 0.6989, 0.6951, 0.6431, 0.6889, 0.6944, 0.6839, 0.6966, 0.6987, 0.6771, 0.6977, 0.5994, 0.6947, 0.6846, 0.6953, 0.694, 0.6804, 0.6917, 0.694, 0.6939, 0.6953, 0.687, 0.6964, 0.6915, 0.6955, 0.6668, 0.6948, 0.6912, 0.6842, 0.689, 0.6944, 0.6915, 0.6941, 0.6919, 0.6931, 0.667, 0.6929, 0.6926, 0.6966, 0.6961, 0.6949, 0.6922, 0.6959, 0.6969, 0.6945, 0.7007, 0.6925, 0.6961, 0.6931, 0.6957, 0.6947, 0.698, 0.6948, 0.6954, 0.6894, 0.6881, 0.6952, 0.6845, 0.6947, 0.6976, 0.6664, 0.6918, 0.6943, 0.6941, 0.6925, 0.6942, 0.6915, 0.6858, 0.6964, 0.6919, 0.6957, 0.689, 0.6971, 0.6955, 0.6935, 0.6902, 0.695, 0.6998, 0.6936, 0.6852, 0.678, 0.6936, 0.6866, 0.6915, 0.6929, 0.6984, 0.6398]"
