 Linear0
10 "[0.6633, 0.6763, 0.6169, 0.5938, 0.6238, 0.6014, 0.6749, 0.6863, 0.6632, 0.6666, 0.635, 0.6821, 0.6792, 0.6603, 0.6656, 0.623, 0.6585, 0.6598, 0.6822, 0.6813, 0.6546, 0.6647, 0.6744, 0.6723, 0.6669, 0.6706, 0.669, 0.6792, 0.6503, 0.677, 0.6692, 0.6789, 0.6857, 0.6739, 0.674, 0.6793, 0.6678, 0.6429, 0.6633, 0.6617, 0.672, 0.6517, 0.6385, 0.6738, 0.6747, 0.6261, 0.6752, 0.609, 0.6786, 0.664, 0.6835, 0.6751, 0.6723, 0.6825, 0.6472, 0.6629, 0.6617, 0.6836, 0.6688, 0.6785, 0.6704, 0.6664, 0.6673, 0.6472, 0.6517, 0.6656, 0.68, 0.6784, 0.6789, 0.678, 0.6678, 0.6401, 0.6694, 0.6571, 0.6665, 0.6786, 0.678, 0.6538, 0.6718, 0.6736, 0.6756, 0.6713, 0.6735, 0.6473, 0.6713, 0.654, 0.6663, 0.6463, 0.6809, 0.6602, 0.6674, 0.6706, 0.5701, 0.6235, 0.6127, 0.6669, 0.6499, 0.6766, 0.6639, 0.6715]"
20 "[0.6955, 0.6741, 0.6861, 0.7055, 0.6762, 0.6871, 0.6914, 0.6856, 0.6953, 0.674, 0.6956, 0.6977, 0.6887, 0.6988, 0.6752, 0.7059, 0.6855, 0.7023, 0.7001, 0.6921, 0.6919, 0.6734, 0.6687, 0.6683, 0.6736, 0.6595, 0.6931, 0.7104, 0.6985, 0.6832, 0.7042, 0.6985, 0.6854, 0.7094, 0.6106, 0.6931, 0.704, 0.6752, 0.6816, 0.7, 0.7036, 0.6958, 0.6912, 0.7005, 0.7056, 0.6918, 0.6905, 0.6496, 0.7017, 0.6966, 0.6926, 0.6772, 0.6831, 0.6932, 0.6694, 0.6865, 0.6979, 0.6911, 0.6772, 0.6983, 0.6862, 0.6993, 0.7032, 0.6785, 0.6804, 0.6967, 0.6698, 0.7015, 0.6989, 0.7038, 0.6795, 0.6915, 0.6815, 0.7001, 0.6786, 0.6823, 0.688, 0.6763, 0.7001, 0.6938, 0.6863, 0.6586, 0.694, 0.7013, 0.6888, 0.7063, 0.6969, 0.697, 0.6822, 0.7148, 0.6972, 0.6859, 0.6909, 0.6961, 0.7075, 0.6927, 0.6775, 0.7092, 0.6973, 0.6719]"
40 "[0.7004, 0.6858, 0.6817, 0.7217, 0.7071, 0.6836, 0.7029, 0.6958, 0.7074, 0.6179, 0.7028, 0.7155, 0.6907, 0.6978, 0.6858, 0.7092, 0.7023, 0.6448, 0.6808, 0.7054, 0.7106, 0.6815, 0.6956, 0.6894, 0.7104, 0.7067, 0.6839, 0.7075, 0.676, 0.7053, 0.7069, 0.6988, 0.6673, 0.699, 0.6944, 0.7068, 0.7033, 0.7002, 0.7069, 0.6961, 0.7007, 0.6804, 0.7003, 0.6853, 0.6899, 0.6825, 0.6927, 0.6991, 0.6885, 0.6909, 0.7016, 0.5197, 0.6927, 0.7077, 0.687, 0.7091, 0.6996, 0.6968, 0.6924, 0.6969, 0.693, 0.6824, 0.6919, 0.6933, 0.6963, 0.6927, 0.7015, 0.6262, 0.6952, 0.6867, 0.6928, 0.6887, 0.7054, 0.6909, 0.6803, 0.7011, 0.6993, 0.6751, 0.7049, 0.7086, 0.7071, 0.7006, 0.6863, 0.698, 0.6721, 0.6904, 0.6894, 0.692, 0.6132, 0.6894, 0.6946, 0.6901, 0.7104, 0.6972, 0.6929, 0.6892, 0.6705, 0.6954, 0.6839, 0.6995]"
80 "[0.7198, 0.7243, 0.72, 0.7286, 0.7183, 0.7261, 0.7083, 0.7384, 0.7231, 0.7155, 0.7259, 0.7274, 0.7118, 0.71, 0.7206, 0.7234, 0.7213, 0.7173, 0.7363, 0.7324, 0.726, 0.7291, 0.7122, 0.7155, 0.7132, 0.7307, 0.7318, 0.7195, 0.7145, 0.7232, 0.7076, 0.7331, 0.7212, 0.7109, 0.7389, 0.7241, 0.7199, 0.7199, 0.7118, 0.7265, 0.7218, 0.7212, 0.7152, 0.7217, 0.7245, 0.727, 0.7212, 0.7274, 0.6935, 0.7054, 0.7263, 0.7284, 0.7227, 0.7221, 0.7311, 0.7154, 0.7223, 0.7119, 0.7322, 0.7097, 0.7197, 0.7042, 0.7394, 0.7114, 0.7223, 0.7227, 0.7271, 0.7243, 0.7135, 0.7269, 0.7168, 0.7377, 0.7226, 0.7339, 0.7181, 0.7113, 0.7215, 0.7205, 0.7245, 0.7312, 0.6976, 0.7202, 0.7338, 0.6936, 0.7277, 0.7263, 0.7149, 0.7126, 0.6613, 0.7137, 0.6331, 0.7225, 0.7134, 0.7313, 0.7154, 0.7241, 0.7207, 0.7042, 0.7273, 0.7286]"
160 "[0.7136, 0.7234, 0.7186, 0.7093, 0.7047, 0.7191, 0.7166, 0.6824, 0.7242, 0.708, 0.7202, 0.7142, 0.705, 0.7114, 0.7167, 0.7104, 0.7209, 0.7133, 0.6589, 0.6544, 0.7122, 0.7222, 0.721, 0.7261, 0.708, 0.7244, 0.7162, 0.718, 0.7266, 0.719, 0.7226, 0.7133, 0.7194, 0.722, 0.6804, 0.7134, 0.7169, 0.7172, 0.7214, 0.7164, 0.711, 0.718, 0.7188, 0.7013, 0.7179, 0.7202, 0.7141, 0.7162, 0.7204, 0.7235, 0.6728, 0.7148, 0.7253, 0.7084, 0.7136, 0.7208, 0.7121, 0.726, 0.7209, 0.7137, 0.7176, 0.7195, 0.7133, 0.7167, 0.7173, 0.7071, 0.7133, 0.7096, 0.7152, 0.7197, 0.7187, 0.7108, 0.6008, 0.6755, 0.7107, 0.7239, 0.7068, 0.7067, 0.7116, 0.7186, 0.7193, 0.7251, 0.7092, 0.7204, 0.7214, 0.6455, 0.7274, 0.7307, 0.718, 0.7217, 0.6843, 0.7148, 0.7162, 0.7118, 0.7115, 0.7258, 0.7102, 0.7152, 0.7081, 0.7242]"
320 "[0.7318, 0.7087, 0.7329, 0.7296, 0.7083, 0.7074, 0.7113, 0.7163, 0.7289, 0.7133, 0.6754, 0.6416, 0.7086, 0.715, 0.7278, 0.7264, 0.7211, 0.7144, 0.7269, 0.7359, 0.709, 0.7037, 0.728, 0.7138, 0.7139, 0.7235, 0.7042, 0.7276, 0.6969, 0.5467, 0.7094, 0.7159, 0.7203, 0.7048, 0.6716, 0.7344, 0.723, 0.7255, 0.7083, 0.7047, 0.7252, 0.7153, 0.7173, 0.6839, 0.7209, 0.6691, 0.7252, 0.7234, 0.7122, 0.7103, 0.7191, 0.7142, 0.6042, 0.7209, 0.7316, 0.7275, 0.7172, 0.7086, 0.7241, 0.7137, 0.685, 0.7213, 0.7063, 0.7286, 0.717, 0.7153, 0.7185, 0.7247, 0.7155, 0.7194, 0.7209, 0.72, 0.5602, 0.7251, 0.7166, 0.7176, 0.7171, 0.7174, 0.7068, 0.6855, 0.7247, 0.7206, 0.7098, 0.7039, 0.7198, 0.7156, 0.664, 0.7162, 0.7087, 0.717, 0.7282, 0.6535, 0.6527, 0.7231, 0.7208, 0.7246, 0.709, 0.7281, 0.7127, 0.7158]"
640 "[0.7093, 0.736, 0.7296, 0.7186, 0.7299, 0.7229, 0.705, 0.711, 0.72, 0.7142, 0.7187, 0.7249, 0.7279, 0.7338, 0.6344, 0.7109, 0.7149, 0.7238, 0.6962, 0.7377, 0.6558, 0.7263, 0.7178, 0.6933, 0.7036, 0.7269, 0.6271, 0.7287, 0.6931, 0.7153, 0.7277, 0.7339, 0.6985, 0.7257, 0.7152, 0.6054, 0.7202, 0.7325, 0.7251, 0.7223, 0.6826, 0.7124, 0.7177, 0.7309, 0.7276, 0.7267, 0.7203, 0.7332, 0.7213, 0.7125, 0.7239, 0.7378, 0.7405, 0.7142, 0.7265, 0.7268, 0.7055, 0.7191, 0.7224, 0.7184, 0.7187, 0.7259, 0.7323, 0.7202, 0.7119, 0.6145, 0.7067, 0.7213, 0.7173, 0.7149, 0.7315, 0.7332, 0.7223, 0.7073, 0.711, 0.7319, 0.7213, 0.7253, 0.7246, 0.7306, 0.7212, 0.7447, 0.7176, 0.7307, 0.7223, 0.7208, 0.7104, 0.6406, 0.7142, 0.6681, 0.7161, 0.7113, 0.7208, 0.7269, 0.7225, 0.7237, 0.7185, 0.6958, 0.7102, 0.7205]"
1280 "[0.6533, 0.7084, 0.7318, 0.7256, 0.7229, 0.7315, 0.7261, 0.711, 0.725, 0.7039, 0.7274, 0.73, 0.7319, 0.7145, 0.7267, 0.7072, 0.7318, 0.7255, 0.7525, 0.7212, 0.6389, 0.7067, 0.72, 0.7041, 0.7235, 0.713, 0.7274, 0.7142, 0.7276, 0.7069, 0.7288, 0.7084, 0.7205, 0.7199, 0.7329, 0.7292, 0.7301, 0.7296, 0.7119, 0.724, 0.7261, 0.6675, 0.7046, 0.7107, 0.721, 0.7101, 0.7143, 0.7262, 0.7288, 0.7328, 0.7333, 0.7244, 0.7228, 0.7063, 0.72, 0.7292, 0.7376, 0.7308, 0.702, 0.7265, 0.7314, 0.7005, 0.716, 0.733, 0.6968, 0.7271, 0.7365, 0.7301, 0.7095, 0.7177, 0.6862, 0.6914, 0.7026, 0.7077, 0.7078, 0.7173, 0.7036, 0.737, 0.7225, 0.7163, 0.7144, 0.7235, 0.721, 0.7267, 0.7157, 0.7165, 0.7276, 0.7083, 0.7227, 0.7207, 0.7144, 0.7381, 0.6976, 0.7063, 0.7209, 0.7348, 0.7256, 0.706, 0.7292, 0.7241]"
2560 "[0.7472, 0.7167, 0.731, 0.7199, 0.7272, 0.7068, 0.7266, 0.7109, 0.7216, 0.7219, 0.7353, 0.7287, 0.7256, 0.737, 0.6828, 0.6657, 0.7107, 0.7315, 0.7132, 0.7387, 0.6676, 0.7135, 0.677, 0.7256, 0.7371, 0.7169, 0.7344, 0.7224, 0.7361, 0.7198, 0.7231, 0.7315, 0.7277, 0.7177, 0.7199, 0.7308, 0.7308, 0.7359, 0.72, 0.7184, 0.7257, 0.7224, 0.737, 0.7262, 0.733, 0.7133, 0.7422, 0.7137, 0.7318, 0.7315, 0.7354, 0.729, 0.7368, 0.7428, 0.7256, 0.7349, 0.7126, 0.6877, 0.7296, 0.7374, 0.7315, 0.7157, 0.708, 0.7233, 0.7357, 0.7226, 0.7251, 0.7198, 0.7191, 0.7261, 0.7189, 0.7212, 0.7314, 0.7154, 0.7137, 0.7231, 0.7397, 0.734, 0.7195, 0.7066, 0.7283, 0.727, 0.7346, 0.7249, 0.7174, 0.7127, 0.7, 0.7305, 0.7324, 0.725, 0.738, 0.7326, 0.7182, 0.6432, 0.7271, 0.6762, 0.7223, 0.7156, 0.7224, 0.739]"
5120 "[0.7432, 0.7382, 0.7331, 0.7238, 0.7366, 0.7421, 0.73, 0.751, 0.7416, 0.7371, 0.7361, 0.7426, 0.7465, 0.7425, 0.7348, 0.745, 0.7411, 0.7397, 0.745, 0.7273, 0.7451, 0.7283, 0.7442, 0.7409, 0.7354, 0.7398, 0.7033, 0.6937, 0.7344, 0.7404, 0.7411, 0.7371, 0.7049, 0.7098, 0.7395, 0.7308, 0.7154, 0.7474, 0.7453, 0.7422, 0.7551, 0.741, 0.6951, 0.7426, 0.7313, 0.7402, 0.7515, 0.7454, 0.7415, 0.7446, 0.7241, 0.7328, 0.7512, 0.741, 0.7357, 0.7231, 0.7406, 0.7418, 0.7508, 0.7075, 0.7376, 0.7347, 0.7407, 0.7381, 0.7424, 0.7473, 0.7336, 0.743, 0.7137, 0.734, 0.6926, 0.7449, 0.7474, 0.7437, 0.6667, 0.7521, 0.7404, 0.7473, 0.7202, 0.7384, 0.7409, 0.6725, 0.7248, 0.7176, 0.7471, 0.7393, 0.7523, 0.7059, 0.7409, 0.7273, 0.734, 0.7476, 0.7442, 0.7402, 0.7353, 0.7043, 0.7439, 0.7473, 0.7435, 0.745]"
10240 "[0.7518, 0.7443, 0.7598, 0.7414, 0.7492, 0.7509, 0.7455, 0.754, 0.7493, 0.7482, 0.7491, 0.737, 0.7493, 0.743, 0.7496, 0.7338, 0.7596, 0.7486, 0.733, 0.7442, 0.7509, 0.7516, 0.7388, 0.7448, 0.7531, 0.7529, 0.7484, 0.7432, 0.753, 0.7424, 0.7407, 0.7459, 0.7404, 0.7538, 0.7505, 0.7561, 0.7475, 0.7511, 0.7478, 0.7502, 0.7558, 0.7626, 0.7413, 0.7494, 0.7469, 0.7437, 0.7468, 0.7546, 0.7143, 0.7562, 0.7364, 0.7382, 0.7505, 0.7488, 0.7458, 0.7378, 0.7347, 0.7542, 0.749, 0.7366, 0.7372, 0.7462, 0.7576, 0.7529, 0.7466, 0.7495, 0.7531, 0.7498, 0.7557, 0.7529, 0.7501, 0.7507, 0.7487, 0.7496, 0.7414, 0.7408, 0.7316, 0.7553, 0.7461, 0.7349, 0.7462, 0.7348, 0.7456, 0.7521, 0.7502, 0.728, 0.7454, 0.7396, 0.7507, 0.7414, 0.754, 0.7545, 0.7569, 0.7556, 0.7489, 0.7355, 0.749, 0.7392, 0.7404, 0.7513]"
20480 "[0.75, 0.7573, 0.7625, 0.7539, 0.7543, 0.7536, 0.7473, 0.7547, 0.7526, 0.7576, 0.7299, 0.7576, 0.7546, 0.7468, 0.761, 0.755, 0.76, 0.7515, 0.7589, 0.7582, 0.7486, 0.7466, 0.7512, 0.7592, 0.7537, 0.7595, 0.754, 0.7395, 0.7569, 0.7528, 0.7571, 0.7237, 0.7534, 0.7495, 0.749, 0.7473, 0.7356, 0.7576, 0.7588, 0.7527, 0.7387, 0.7501, 0.7449, 0.7549, 0.7455, 0.752, 0.7574, 0.7534, 0.7525, 0.7549, 0.7446, 0.7493, 0.7542, 0.7553, 0.744, 0.75, 0.7413, 0.7559, 0.7584, 0.7493, 0.7549, 0.7531, 0.7387, 0.7554, 0.754, 0.7509, 0.7519, 0.7311, 0.7434, 0.7608, 0.755, 0.7428, 0.7466, 0.7578, 0.7568, 0.7555, 0.7297, 0.7466, 0.7591, 0.7576, 0.7496, 0.7536, 0.7579, 0.7494, 0.7495, 0.7379, 0.7571, 0.7486, 0.7548, 0.7446, 0.7514, 0.7531, 0.756, 0.7506, 0.751, 0.7556, 0.7429, 0.749, 0.7453, 0.7592]"
