 Linear0
10 "[0.576, 0.6186, 0.5659, 0.6142, 0.5689, 0.5621, 0.5682, 0.6163, 0.6296, 0.6009, 0.6076, 0.6222, 0.6303, 0.5903, 0.5386, 0.5672, 0.5992, 0.5857, 0.6164, 0.6184, 0.5847, 0.6273, 0.6234, 0.6183, 0.611, 0.6091, 0.6052, 0.6197, 0.5515, 0.6226, 0.5962, 0.6068, 0.6216, 0.6261, 0.613, 0.6183, 0.6012, 0.5826, 0.6071, 0.6221, 0.6171, 0.5718, 0.5467, 0.5971, 0.6265, 0.6222, 0.6272, 0.5479, 0.5834, 0.6019, 0.5759, 0.6145, 0.56, 0.623, 0.5777, 0.616, 0.6132, 0.4784, 0.6179, 0.6275, 0.6161, 0.6078, 0.5704, 0.5936, 0.6061, 0.5951, 0.6134, 0.5849, 0.6167, 0.5792, 0.6209, 0.5944, 0.6272, 0.6037, 0.6062, 0.6241, 0.6114, 0.592, 0.5595, 0.6205, 0.6078, 0.6152, 0.6048, 0.6243, 0.626, 0.5705, 0.6071, 0.5628, 0.587, 0.5935, 0.5622, 0.6097, 0.6252, 0.5582, 0.6039, 0.5942, 0.612, 0.6087, 0.6275, 0.6038]"
20 "[0.6174, 0.6073, 0.6075, 0.607, 0.6156, 0.5947, 0.6163, 0.6178, 0.616, 0.5798, 0.5943, 0.6028, 0.6198, 0.6319, 0.6016, 0.6132, 0.6185, 0.6079, 0.6134, 0.6051, 0.6261, 0.5833, 0.6004, 0.6066, 0.6217, 0.6014, 0.6185, 0.6204, 0.5936, 0.6048, 0.6018, 0.5996, 0.5849, 0.6161, 0.5979, 0.6183, 0.6047, 0.6029, 0.5963, 0.593, 0.586, 0.6057, 0.6216, 0.6268, 0.605, 0.6045, 0.5977, 0.5692, 0.6246, 0.6167, 0.5989, 0.6028, 0.5998, 0.5817, 0.613, 0.5932, 0.5959, 0.6109, 0.627, 0.611, 0.6259, 0.6264, 0.6354, 0.6138, 0.5973, 0.6265, 0.6023, 0.6148, 0.6126, 0.6242, 0.5528, 0.6147, 0.624, 0.6157, 0.6179, 0.5705, 0.5914, 0.6228, 0.6081, 0.6023, 0.6173, 0.6091, 0.613, 0.6008, 0.6047, 0.619, 0.5982, 0.6133, 0.5458, 0.6202, 0.601, 0.6181, 0.6258, 0.6193, 0.5946, 0.6002, 0.5965, 0.626, 0.6023, 0.6349]"
40 "[0.6632, 0.6544, 0.644, 0.6692, 0.6835, 0.666, 0.6405, 0.663, 0.6303, 0.6508, 0.663, 0.6498, 0.642, 0.6549, 0.6605, 0.6561, 0.6524, 0.6564, 0.684, 0.6474, 0.6472, 0.6661, 0.6462, 0.6598, 0.6534, 0.6699, 0.6495, 0.6673, 0.6536, 0.6374, 0.6776, 0.6522, 0.6631, 0.6714, 0.6787, 0.6516, 0.6633, 0.6683, 0.6561, 0.6784, 0.6649, 0.6561, 0.647, 0.6433, 0.6647, 0.645, 0.6587, 0.6719, 0.6636, 0.6606, 0.6528, 0.663, 0.6709, 0.6591, 0.6644, 0.6503, 0.6702, 0.661, 0.6571, 0.6579, 0.6684, 0.6642, 0.657, 0.6686, 0.6643, 0.6621, 0.6659, 0.6301, 0.6689, 0.6619, 0.6512, 0.6455, 0.6659, 0.6433, 0.6535, 0.6429, 0.6624, 0.657, 0.6316, 0.656, 0.6645, 0.6701, 0.6456, 0.6677, 0.6507, 0.6649, 0.6319, 0.6636, 0.6694, 0.6496, 0.6578, 0.6562, 0.6729, 0.6712, 0.642, 0.6604, 0.6592, 0.6622, 0.6676, 0.6698]"
80 "[0.6757, 0.6704, 0.6705, 0.6668, 0.6802, 0.6672, 0.6744, 0.6865, 0.6766, 0.6626, 0.6812, 0.6716, 0.6759, 0.6823, 0.6741, 0.6831, 0.6706, 0.6759, 0.6729, 0.677, 0.6705, 0.6915, 0.678, 0.6737, 0.6721, 0.6701, 0.6817, 0.6776, 0.685, 0.6722, 0.6499, 0.6775, 0.6738, 0.6754, 0.6809, 0.6763, 0.685, 0.6759, 0.6769, 0.686, 0.6793, 0.6728, 0.6558, 0.6796, 0.6753, 0.6793, 0.6901, 0.6654, 0.6774, 0.6462, 0.6752, 0.6764, 0.6811, 0.6757, 0.6697, 0.6629, 0.6725, 0.6838, 0.6807, 0.6665, 0.6795, 0.6564, 0.6815, 0.6761, 0.6746, 0.6797, 0.6813, 0.6748, 0.6709, 0.6831, 0.6842, 0.6808, 0.6837, 0.6787, 0.6841, 0.6664, 0.6784, 0.6849, 0.6862, 0.6849, 0.6711, 0.6852, 0.682, 0.6792, 0.6773, 0.6859, 0.6727, 0.6714, 0.6807, 0.6781, 0.6844, 0.6867, 0.6764, 0.6844, 0.6817, 0.6534, 0.6823, 0.6769, 0.6774, 0.6882]"
160 "[0.6904, 0.6643, 0.6965, 0.6974, 0.6971, 0.6912, 0.6709, 0.6919, 0.6883, 0.675, 0.6813, 0.6797, 0.6823, 0.6798, 0.6868, 0.6839, 0.6886, 0.6865, 0.6838, 0.6694, 0.6847, 0.6882, 0.6858, 0.6812, 0.6946, 0.6755, 0.6909, 0.6757, 0.6801, 0.678, 0.6821, 0.6853, 0.6919, 0.6885, 0.6905, 0.688, 0.6772, 0.682, 0.6879, 0.6835, 0.6783, 0.6796, 0.6751, 0.6852, 0.6825, 0.6894, 0.6792, 0.6858, 0.6767, 0.6821, 0.6806, 0.667, 0.6852, 0.6906, 0.6869, 0.6869, 0.6732, 0.6649, 0.678, 0.679, 0.6851, 0.683, 0.6805, 0.6793, 0.6696, 0.6892, 0.6743, 0.6742, 0.6856, 0.695, 0.682, 0.698, 0.6764, 0.6918, 0.6895, 0.6806, 0.6755, 0.6886, 0.6787, 0.686, 0.6755, 0.6867, 0.6864, 0.6772, 0.6933, 0.6757, 0.6893, 0.674, 0.6685, 0.6745, 0.6854, 0.6931, 0.6925, 0.6912, 0.6923, 0.6806, 0.6821, 0.6719, 0.687, 0.6897]"
320 "[0.6767, 0.6947, 0.6925, 0.6976, 0.6963, 0.6833, 0.686, 0.6862, 0.6883, 0.6909, 0.6901, 0.6901, 0.6985, 0.6917, 0.6947, 0.6999, 0.6941, 0.6709, 0.6954, 0.6952, 0.7012, 0.6983, 0.7018, 0.695, 0.7029, 0.7046, 0.703, 0.6942, 0.6959, 0.6953, 0.6849, 0.6919, 0.6981, 0.6932, 0.6865, 0.6914, 0.6932, 0.6891, 0.706, 0.672, 0.6944, 0.697, 0.6974, 0.7011, 0.6955, 0.6944, 0.7014, 0.6891, 0.683, 0.6918, 0.6823, 0.7058, 0.69, 0.6987, 0.5959, 0.6939, 0.6958, 0.6953, 0.7037, 0.6921, 0.7031, 0.6887, 0.6953, 0.6962, 0.691, 0.6949, 0.6989, 0.7005, 0.7001, 0.7081, 0.6954, 0.6906, 0.6985, 0.6871, 0.696, 0.6854, 0.6961, 0.6987, 0.6897, 0.6984, 0.6987, 0.6977, 0.69, 0.6812, 0.6875, 0.7039, 0.6949, 0.705, 0.6931, 0.6977, 0.7083, 0.7022, 0.69, 0.7045, 0.6948, 0.6978, 0.6938, 0.6863, 0.6916, 0.6964]"
640 "[0.6907, 0.6551, 0.6962, 0.6912, 0.7062, 0.6882, 0.7075, 0.6937, 0.6933, 0.6915, 0.7031, 0.6937, 0.703, 0.7093, 0.6792, 0.6968, 0.7009, 0.7, 0.6906, 0.6962, 0.6896, 0.6963, 0.6826, 0.6974, 0.6914, 0.6859, 0.7014, 0.6928, 0.7032, 0.6925, 0.7029, 0.6928, 0.701, 0.696, 0.6904, 0.6962, 0.6948, 0.6873, 0.6936, 0.7043, 0.7071, 0.7032, 0.6914, 0.6854, 0.6892, 0.6959, 0.7027, 0.6928, 0.6891, 0.6935, 0.6962, 0.6944, 0.6872, 0.7032, 0.6949, 0.6815, 0.6863, 0.7069, 0.698, 0.6964, 0.6935, 0.6966, 0.6848, 0.6958, 0.7042, 0.6935, 0.6968, 0.6973, 0.6944, 0.6988, 0.6848, 0.7064, 0.7035, 0.6935, 0.6974, 0.7019, 0.7084, 0.6998, 0.6916, 0.6942, 0.7014, 0.6752, 0.6936, 0.699, 0.705, 0.6965, 0.7025, 0.7076, 0.6936, 0.7019, 0.6929, 0.7043, 0.6994, 0.6997, 0.6985, 0.6986, 0.6959, 0.6883, 0.6908, 0.7019]"
1280 "[0.7118, 0.7079, 0.703, 0.6922, 0.7035, 0.7033, 0.7091, 0.6806, 0.7048, 0.7075, 0.7061, 0.7003, 0.7003, 0.7076, 0.7142, 0.6893, 0.7035, 0.6851, 0.6928, 0.7092, 0.7024, 0.6936, 0.6964, 0.7112, 0.7096, 0.6991, 0.6925, 0.6996, 0.6992, 0.7114, 0.6948, 0.7026, 0.6981, 0.6974, 0.7114, 0.712, 0.7064, 0.701, 0.7146, 0.7083, 0.7087, 0.7111, 0.7019, 0.7137, 0.7023, 0.6906, 0.7037, 0.702, 0.6939, 0.701, 0.6969, 0.7014, 0.7016, 0.7032, 0.7048, 0.6831, 0.7088, 0.7055, 0.6848, 0.7109, 0.7114, 0.7017, 0.6914, 0.7184, 0.6869, 0.6984, 0.6978, 0.6967, 0.7032, 0.703, 0.6975, 0.705, 0.7034, 0.7133, 0.7017, 0.6999, 0.7148, 0.6935, 0.711, 0.7083, 0.7075, 0.7062, 0.7045, 0.7, 0.701, 0.7103, 0.6918, 0.7004, 0.7076, 0.7014, 0.6814, 0.6921, 0.691, 0.7125, 0.7011, 0.7079, 0.7117, 0.7198, 0.7077, 0.7053]"
2560 "[0.7143, 0.7065, 0.7135, 0.703, 0.7077, 0.7186, 0.7091, 0.7086, 0.7065, 0.7117, 0.7075, 0.7001, 0.7124, 0.7004, 0.7083, 0.705, 0.7107, 0.7153, 0.7044, 0.7107, 0.6958, 0.7177, 0.7136, 0.7087, 0.7095, 0.7034, 0.7144, 0.7046, 0.7157, 0.7093, 0.6925, 0.7085, 0.6955, 0.7166, 0.7043, 0.7051, 0.7029, 0.6854, 0.6897, 0.7181, 0.69, 0.7097, 0.715, 0.709, 0.7071, 0.7099, 0.7054, 0.7101, 0.7096, 0.6971, 0.6899, 0.7076, 0.7176, 0.7003, 0.701, 0.7044, 0.7115, 0.7099, 0.708, 0.7133, 0.7139, 0.7056, 0.7195, 0.7002, 0.7112, 0.7102, 0.7108, 0.7092, 0.7169, 0.7125, 0.7116, 0.7033, 0.7138, 0.7083, 0.713, 0.7155, 0.7027, 0.7042, 0.6877, 0.7072, 0.7114, 0.7072, 0.7051, 0.7073, 0.7072, 0.7074, 0.7086, 0.7029, 0.7104, 0.7121, 0.7127, 0.7087, 0.7142, 0.6977, 0.7066, 0.6926, 0.7, 0.712, 0.716, 0.7023]"
5120 "[0.7186, 0.7146, 0.704, 0.7203, 0.7197, 0.713, 0.7037, 0.7234, 0.7075, 0.6981, 0.7118, 0.7238, 0.7092, 0.711, 0.7215, 0.7103, 0.6758, 0.7237, 0.7135, 0.7174, 0.7271, 0.7128, 0.7117, 0.7225, 0.7018, 0.7128, 0.7147, 0.7212, 0.7063, 0.7123, 0.715, 0.7147, 0.7113, 0.7158, 0.7188, 0.7086, 0.7133, 0.7128, 0.7192, 0.7189, 0.7074, 0.7084, 0.7109, 0.7212, 0.7134, 0.7052, 0.7113, 0.706, 0.7186, 0.7134, 0.7148, 0.7227, 0.716, 0.7154, 0.7214, 0.694, 0.7108, 0.7124, 0.7167, 0.718, 0.7055, 0.7125, 0.7176, 0.7105, 0.7079, 0.7153, 0.6916, 0.708, 0.7144, 0.7173, 0.7001, 0.7174, 0.7068, 0.7044, 0.7129, 0.7221, 0.7162, 0.7016, 0.7109, 0.7134, 0.7127, 0.7192, 0.7205, 0.7144, 0.7203, 0.7168, 0.7118, 0.7055, 0.7118, 0.7266, 0.7195, 0.698, 0.7183, 0.7138, 0.7036, 0.7163, 0.7059, 0.7205, 0.7123, 0.7057]"
