 Linear0
10 "[0.6249, 0.6192, 0.5336, 0.5736, 0.5687, 0.5497, 0.6229, 0.6216, 0.5786, 0.6214, 0.6036, 0.6151, 0.6184, 0.5715, 0.5953, 0.6262, 0.5714, 0.6139, 0.6277, 0.5736, 0.613, 0.5992, 0.5708, 0.5513, 0.6107, 0.5785, 0.5509, 0.6148, 0.6165, 0.6368, 0.5805, 0.6107, 0.6138, 0.6219, 0.5569, 0.6195, 0.478, 0.6098, 0.6039, 0.6136, 0.5921, 0.546, 0.567, 0.6124, 0.5873, 0.5619, 0.6353, 0.5522, 0.6098, 0.6079, 0.6107, 0.6093, 0.6138, 0.6122, 0.5669, 0.608, 0.5765, 0.548, 0.5934, 0.6157, 0.6007, 0.5371, 0.6087, 0.6287, 0.5629, 0.6055, 0.6038, 0.4918, 0.5685, 0.6265, 0.5931, 0.6213, 0.5795, 0.5257, 0.5952, 0.5903, 0.6108, 0.576, 0.5783, 0.5532, 0.6333, 0.613, 0.6222, 0.6151, 0.6032, 0.603, 0.5866, 0.5792, 0.6177, 0.614, 0.549, 0.6172, 0.5789, 0.5731, 0.5535, 0.614, 0.5641, 0.6163, 0.6098, 0.6059]"
20 "[0.6187, 0.6503, 0.639, 0.6344, 0.6514, 0.6579, 0.6622, 0.6321, 0.5838, 0.6312, 0.6503, 0.6413, 0.556, 0.6491, 0.545, 0.6265, 0.5467, 0.6224, 0.5802, 0.6399, 0.6004, 0.6479, 0.6307, 0.5808, 0.6438, 0.5377, 0.6019, 0.6096, 0.6597, 0.6489, 0.6437, 0.6493, 0.6043, 0.656, 0.5526, 0.6639, 0.6575, 0.5885, 0.6421, 0.57, 0.6448, 0.6518, 0.65, 0.6186, 0.6416, 0.6397, 0.6588, 0.5746, 0.6554, 0.6523, 0.626, 0.63, 0.6799, 0.6451, 0.6564, 0.6387, 0.6371, 0.657, 0.6307, 0.6323, 0.6333, 0.6436, 0.6498, 0.6671, 0.659, 0.6496, 0.5758, 0.5892, 0.64, 0.6468, 0.6561, 0.6639, 0.6413, 0.6671, 0.6207, 0.5721, 0.6387, 0.5869, 0.6341, 0.6109, 0.6268, 0.6168, 0.6467, 0.6534, 0.6366, 0.6503, 0.6514, 0.6381, 0.627, 0.6268, 0.6556, 0.6621, 0.6353, 0.642, 0.6358, 0.6505, 0.6638, 0.6012, 0.5661, 0.5714]"
40 "[0.6916, 0.7028, 0.6873, 0.687, 0.6957, 0.6775, 0.6531, 0.7077, 0.647, 0.7045, 0.703, 0.6529, 0.6787, 0.7047, 0.6163, 0.6868, 0.647, 0.647, 0.7106, 0.6997, 0.6882, 0.674, 0.6921, 0.5784, 0.7103, 0.686, 0.6947, 0.6976, 0.7116, 0.6711, 0.7171, 0.7062, 0.6664, 0.6787, 0.687, 0.6879, 0.71, 0.6844, 0.686, 0.6696, 0.6804, 0.7086, 0.6892, 0.6867, 0.6726, 0.6328, 0.6996, 0.694, 0.6904, 0.693, 0.6842, 0.7138, 0.6821, 0.6742, 0.7081, 0.6515, 0.6684, 0.6462, 0.7044, 0.7008, 0.7018, 0.6939, 0.707, 0.6922, 0.68, 0.6831, 0.7033, 0.6508, 0.7073, 0.6815, 0.7003, 0.6671, 0.699, 0.7039, 0.6973, 0.6579, 0.703, 0.668, 0.6676, 0.7203, 0.6756, 0.664, 0.6329, 0.7006, 0.6767, 0.7062, 0.7061, 0.7009, 0.623, 0.6971, 0.6744, 0.7106, 0.6287, 0.7107, 0.6824, 0.6888, 0.658, 0.6733, 0.6614, 0.6851]"
80 "[0.7063, 0.7002, 0.7134, 0.7168, 0.7054, 0.7142, 0.7027, 0.7065, 0.7116, 0.7049, 0.7176, 0.7131, 0.7073, 0.714, 0.7098, 0.7185, 0.6941, 0.7041, 0.7124, 0.6937, 0.706, 0.6764, 0.701, 0.708, 0.6912, 0.7139, 0.7123, 0.7072, 0.7102, 0.7091, 0.6932, 0.7182, 0.7079, 0.7075, 0.7183, 0.7171, 0.7034, 0.6857, 0.6979, 0.7145, 0.7063, 0.7055, 0.7129, 0.7163, 0.6931, 0.709, 0.7142, 0.6645, 0.7119, 0.6973, 0.7111, 0.7124, 0.7149, 0.7041, 0.7085, 0.7115, 0.715, 0.6904, 0.708, 0.7078, 0.6952, 0.7141, 0.702, 0.6719, 0.7023, 0.7201, 0.7038, 0.6166, 0.7163, 0.7138, 0.7124, 0.7037, 0.7145, 0.706, 0.6993, 0.7012, 0.7198, 0.7056, 0.7145, 0.7097, 0.6946, 0.7057, 0.7063, 0.7143, 0.7203, 0.7089, 0.6301, 0.7089, 0.693, 0.7065, 0.7022, 0.7061, 0.7139, 0.7124, 0.7077, 0.7077, 0.7204, 0.6774, 0.7147, 0.6986]"
160 "[0.7153, 0.7056, 0.704, 0.7118, 0.712, 0.7169, 0.7012, 0.7022, 0.7046, 0.7064, 0.7224, 0.7036, 0.7193, 0.7111, 0.7071, 0.7114, 0.709, 0.7165, 0.7117, 0.7167, 0.7162, 0.7164, 0.7063, 0.6942, 0.7033, 0.7136, 0.6732, 0.7134, 0.7111, 0.7035, 0.7117, 0.7149, 0.7145, 0.7125, 0.6969, 0.6834, 0.7131, 0.7175, 0.7045, 0.7089, 0.7147, 0.7136, 0.7148, 0.7061, 0.7086, 0.7027, 0.711, 0.7158, 0.7111, 0.6954, 0.7166, 0.7159, 0.7115, 0.7034, 0.7068, 0.7143, 0.709, 0.7089, 0.7096, 0.7171, 0.7005, 0.7161, 0.7101, 0.7084, 0.7143, 0.7115, 0.7127, 0.7083, 0.7009, 0.7063, 0.7138, 0.7081, 0.7162, 0.6507, 0.707, 0.7043, 0.7081, 0.6905, 0.7104, 0.7067, 0.7192, 0.7225, 0.7169, 0.7111, 0.71, 0.7065, 0.7036, 0.7036, 0.706, 0.6877, 0.7032, 0.7011, 0.7055, 0.7026, 0.7168, 0.7134, 0.698, 0.7096, 0.7055, 0.7028]"
320 "[0.7253, 0.7062, 0.7235, 0.7189, 0.7123, 0.6949, 0.7164, 0.6901, 0.7197, 0.7112, 0.6892, 0.7149, 0.7095, 0.7107, 0.7102, 0.7164, 0.7205, 0.7126, 0.6548, 0.7234, 0.7117, 0.7135, 0.7198, 0.7167, 0.7127, 0.7103, 0.7219, 0.5875, 0.7022, 0.7141, 0.7083, 0.7199, 0.719, 0.7017, 0.6899, 0.7207, 0.716, 0.7185, 0.7166, 0.6996, 0.7168, 0.716, 0.7147, 0.7004, 0.7175, 0.7079, 0.728, 0.7132, 0.7049, 0.7147, 0.7083, 0.7186, 0.7002, 0.7135, 0.7199, 0.7204, 0.7122, 0.7124, 0.7211, 0.7141, 0.7047, 0.7083, 0.7216, 0.7249, 0.6815, 0.7198, 0.7136, 0.7148, 0.7197, 0.715, 0.7206, 0.7092, 0.7139, 0.7155, 0.7134, 0.7147, 0.7173, 0.7081, 0.7139, 0.7103, 0.7184, 0.7124, 0.7118, 0.6887, 0.7155, 0.709, 0.6932, 0.7197, 0.7052, 0.719, 0.7184, 0.7075, 0.7175, 0.7259, 0.7179, 0.7202, 0.7153, 0.7111, 0.658, 0.7205]"
640 "[0.7264, 0.7315, 0.7147, 0.7238, 0.725, 0.7244, 0.7275, 0.7241, 0.7236, 0.723, 0.7086, 0.7229, 0.7272, 0.7351, 0.5634, 0.7169, 0.7262, 0.7278, 0.7225, 0.7244, 0.732, 0.7289, 0.7216, 0.7208, 0.7191, 0.7333, 0.7339, 0.7371, 0.7281, 0.7232, 0.7334, 0.7217, 0.7102, 0.7243, 0.7247, 0.7191, 0.6935, 0.734, 0.7188, 0.724, 0.7236, 0.7229, 0.7103, 0.7297, 0.7221, 0.7294, 0.7204, 0.7252, 0.7268, 0.7036, 0.7245, 0.7197, 0.7237, 0.7187, 0.7245, 0.7342, 0.7156, 0.7245, 0.7252, 0.7208, 0.7263, 0.7104, 0.7139, 0.72, 0.717, 0.7194, 0.717, 0.7176, 0.7289, 0.7275, 0.7256, 0.7188, 0.7244, 0.7263, 0.7398, 0.7338, 0.7241, 0.7103, 0.7182, 0.6934, 0.7314, 0.7285, 0.715, 0.7226, 0.722, 0.7284, 0.7252, 0.7201, 0.7226, 0.7277, 0.7188, 0.7216, 0.7349, 0.7193, 0.7208, 0.7294, 0.7257, 0.6921, 0.7254, 0.7233]"
1280 "[0.725, 0.7271, 0.7277, 0.7273, 0.7223, 0.7314, 0.7306, 0.7175, 0.7167, 0.721, 0.7319, 0.7266, 0.7364, 0.7088, 0.7238, 0.7039, 0.7218, 0.7308, 0.7329, 0.7275, 0.7081, 0.7176, 0.7223, 0.7047, 0.7166, 0.7156, 0.723, 0.7113, 0.7197, 0.7008, 0.7197, 0.7252, 0.7178, 0.7218, 0.73, 0.7239, 0.7251, 0.7315, 0.7136, 0.7172, 0.7274, 0.7261, 0.7061, 0.7272, 0.7179, 0.7094, 0.7144, 0.7313, 0.7095, 0.7291, 0.7311, 0.724, 0.7188, 0.7014, 0.724, 0.7189, 0.7335, 0.7241, 0.6767, 0.7227, 0.7296, 0.7226, 0.714, 0.7234, 0.7355, 0.7123, 0.7302, 0.7229, 0.7299, 0.7196, 0.7142, 0.732, 0.7164, 0.7233, 0.7195, 0.7177, 0.7266, 0.7297, 0.7224, 0.7279, 0.7184, 0.7189, 0.7181, 0.7321, 0.7053, 0.7202, 0.724, 0.7426, 0.7194, 0.7301, 0.7261, 0.7363, 0.7067, 0.7165, 0.7277, 0.7315, 0.7263, 0.7243, 0.7277, 0.7264]"
2560 "[0.6968, 0.7407, 0.7327, 0.7376, 0.7297, 0.7377, 0.7206, 0.7353, 0.7395, 0.7196, 0.7421, 0.7359, 0.7331, 0.7305, 0.7299, 0.7352, 0.7323, 0.7308, 0.7351, 0.73, 0.7332, 0.7375, 0.7173, 0.7393, 0.7307, 0.7327, 0.7265, 0.7306, 0.735, 0.7286, 0.7319, 0.7326, 0.7104, 0.7269, 0.7354, 0.7297, 0.6699, 0.7309, 0.736, 0.7378, 0.6322, 0.7189, 0.7297, 0.7227, 0.7281, 0.7374, 0.7226, 0.7308, 0.7401, 0.7355, 0.7281, 0.7213, 0.7322, 0.7354, 0.7395, 0.744, 0.7318, 0.7376, 0.734, 0.7324, 0.7424, 0.7398, 0.738, 0.7387, 0.723, 0.7375, 0.7369, 0.7338, 0.7308, 0.7342, 0.7006, 0.7245, 0.7307, 0.7293, 0.7291, 0.6995, 0.7265, 0.7201, 0.7389, 0.7235, 0.7301, 0.7308, 0.6683, 0.7339, 0.7325, 0.7156, 0.7293, 0.7288, 0.7232, 0.7312, 0.7247, 0.7273, 0.7345, 0.7268, 0.7411, 0.7255, 0.7217, 0.7227, 0.7418, 0.7243]"
5120 "[0.7326, 0.7375, 0.7295, 0.7367, 0.7348, 0.7267, 0.7257, 0.7368, 0.7273, 0.735, 0.7292, 0.729, 0.7318, 0.7406, 0.7187, 0.7276, 0.7333, 0.7235, 0.7314, 0.7284, 0.7295, 0.7099, 0.7365, 0.7143, 0.7283, 0.7259, 0.7045, 0.7184, 0.7182, 0.7359, 0.7328, 0.7279, 0.7112, 0.7037, 0.7275, 0.7248, 0.693, 0.7238, 0.7296, 0.7339, 0.7345, 0.7372, 0.6982, 0.7265, 0.7265, 0.7368, 0.7416, 0.7346, 0.7362, 0.7324, 0.7252, 0.7372, 0.7318, 0.734, 0.7327, 0.7255, 0.7273, 0.7301, 0.7387, 0.7173, 0.7215, 0.7146, 0.739, 0.7248, 0.7356, 0.7465, 0.7439, 0.7354, 0.7171, 0.7275, 0.7027, 0.7353, 0.6631, 0.7273, 0.6623, 0.7405, 0.7357, 0.7367, 0.7144, 0.7094, 0.7351, 0.692, 0.7152, 0.7191, 0.7358, 0.7327, 0.7402, 0.659, 0.7352, 0.7158, 0.7221, 0.7314, 0.7307, 0.7302, 0.7213, 0.668, 0.7375, 0.7427, 0.7299, 0.7392]"
