 Linear0
10 "[0.6478, 0.6404, 0.6482, 0.661, 0.6249, 0.6266, 0.6462, 0.66, 0.6435, 0.6675, 0.6144, 0.6629, 0.6307, 0.6365, 0.6246, 0.6331, 0.6697, 0.6227, 0.6558, 0.6519, 0.6411, 0.662, 0.6723, 0.6599, 0.659, 0.666, 0.6371, 0.6651, 0.6457, 0.653, 0.6611, 0.6263, 0.6587, 0.6363, 0.6379, 0.6662, 0.6547, 0.6117, 0.6612, 0.6555, 0.619, 0.655, 0.6048, 0.6816, 0.6452, 0.6277, 0.6459, 0.6452, 0.6468, 0.658, 0.64, 0.6297, 0.6592, 0.6644, 0.6118, 0.6619, 0.6562, 0.5687, 0.6602, 0.673, 0.6365, 0.634, 0.6511, 0.6232, 0.6356, 0.6285, 0.6691, 0.6596, 0.6349, 0.6563, 0.6414, 0.6563, 0.6648, 0.6299, 0.649, 0.6578, 0.653, 0.638, 0.6609, 0.6562, 0.6591, 0.6621, 0.6617, 0.6532, 0.6544, 0.5985, 0.66, 0.6235, 0.6528, 0.6443, 0.6596, 0.6326, 0.6395, 0.6001, 0.5982, 0.6564, 0.6156, 0.6582, 0.6376, 0.6388]"
20 "[0.6395, 0.6407, 0.6308, 0.6282, 0.6373, 0.6404, 0.6407, 0.6253, 0.6431, 0.6639, 0.6302, 0.6333, 0.6415, 0.6275, 0.6719, 0.6272, 0.6335, 0.629, 0.6483, 0.6414, 0.6432, 0.6267, 0.645, 0.6224, 0.6419, 0.6132, 0.6558, 0.6592, 0.6324, 0.6303, 0.6415, 0.6507, 0.5942, 0.6504, 0.6182, 0.6551, 0.6511, 0.6334, 0.6224, 0.6041, 0.6478, 0.6397, 0.6587, 0.6465, 0.6345, 0.653, 0.6292, 0.6557, 0.6406, 0.6297, 0.6385, 0.6045, 0.6442, 0.6285, 0.6452, 0.6245, 0.621, 0.6408, 0.6303, 0.6503, 0.645, 0.6521, 0.6531, 0.643, 0.6431, 0.6342, 0.6333, 0.6185, 0.6429, 0.653, 0.624, 0.6456, 0.6433, 0.6413, 0.6719, 0.632, 0.6394, 0.6599, 0.6436, 0.6088, 0.6458, 0.6362, 0.6287, 0.5808, 0.6328, 0.6396, 0.5935, 0.6274, 0.6136, 0.6442, 0.6298, 0.6402, 0.641, 0.6592, 0.6309, 0.6415, 0.6404, 0.6315, 0.6355, 0.6705]"
40 "[0.6769, 0.691, 0.6794, 0.6736, 0.6944, 0.6911, 0.6649, 0.6797, 0.5989, 0.6876, 0.68, 0.6881, 0.7006, 0.6888, 0.6839, 0.6754, 0.7135, 0.6993, 0.6837, 0.6897, 0.6865, 0.6884, 0.6983, 0.6785, 0.6902, 0.6879, 0.6866, 0.6919, 0.6622, 0.692, 0.6942, 0.6895, 0.6798, 0.68, 0.6818, 0.6881, 0.6846, 0.6945, 0.6846, 0.6965, 0.6866, 0.6877, 0.6648, 0.6724, 0.698, 0.6717, 0.6877, 0.6797, 0.7043, 0.6873, 0.6811, 0.7008, 0.6841, 0.6845, 0.6754, 0.7024, 0.6873, 0.6941, 0.6846, 0.6798, 0.6898, 0.6662, 0.6735, 0.6847, 0.681, 0.6656, 0.6786, 0.6824, 0.6968, 0.6944, 0.6881, 0.6784, 0.6725, 0.6668, 0.6846, 0.6915, 0.6743, 0.6774, 0.6827, 0.6873, 0.6904, 0.6864, 0.6791, 0.627, 0.6734, 0.6786, 0.6827, 0.6971, 0.6872, 0.6882, 0.6667, 0.6878, 0.6653, 0.6879, 0.6859, 0.6704, 0.6779, 0.6931, 0.6882, 0.6829]"
80 "[0.7005, 0.6987, 0.7045, 0.7017, 0.7009, 0.6953, 0.7018, 0.7071, 0.7087, 0.6983, 0.7127, 0.71, 0.7052, 0.7086, 0.7061, 0.7071, 0.7005, 0.705, 0.7082, 0.6999, 0.6945, 0.7167, 0.6999, 0.7091, 0.7047, 0.685, 0.7079, 0.702, 0.7091, 0.7126, 0.703, 0.7069, 0.6976, 0.7126, 0.6994, 0.7031, 0.7123, 0.6891, 0.7008, 0.7067, 0.7079, 0.6948, 0.7071, 0.7117, 0.6975, 0.704, 0.7134, 0.7044, 0.7022, 0.708, 0.7033, 0.7169, 0.7076, 0.7075, 0.7133, 0.7069, 0.6993, 0.6968, 0.6974, 0.7151, 0.7105, 0.682, 0.7144, 0.6998, 0.6958, 0.7015, 0.7087, 0.6996, 0.7045, 0.7072, 0.6992, 0.7148, 0.7092, 0.7003, 0.6931, 0.6974, 0.7077, 0.7, 0.7035, 0.7084, 0.7088, 0.7, 0.6651, 0.7139, 0.7007, 0.7026, 0.6936, 0.7122, 0.695, 0.6996, 0.6888, 0.7036, 0.7048, 0.7072, 0.7147, 0.7054, 0.692, 0.6991, 0.7118, 0.705]"
160 "[0.7168, 0.7165, 0.7225, 0.7137, 0.7167, 0.7124, 0.719, 0.7192, 0.7219, 0.7022, 0.7282, 0.7196, 0.7153, 0.7138, 0.7199, 0.7156, 0.7226, 0.7265, 0.7233, 0.7177, 0.7171, 0.7193, 0.7194, 0.7275, 0.707, 0.7081, 0.725, 0.7191, 0.7044, 0.7112, 0.7075, 0.7173, 0.7254, 0.7214, 0.7195, 0.6994, 0.7193, 0.7076, 0.7222, 0.7258, 0.7086, 0.7228, 0.7134, 0.719, 0.7211, 0.7237, 0.7187, 0.7243, 0.7158, 0.7238, 0.7089, 0.7059, 0.7258, 0.7175, 0.7145, 0.7259, 0.7162, 0.7223, 0.719, 0.7182, 0.7188, 0.7148, 0.7208, 0.7162, 0.7197, 0.7199, 0.7154, 0.7122, 0.722, 0.7185, 0.7172, 0.7182, 0.7159, 0.7248, 0.7155, 0.7129, 0.7106, 0.7207, 0.7205, 0.7146, 0.7195, 0.73, 0.7254, 0.7119, 0.7207, 0.634, 0.7229, 0.718, 0.7269, 0.7183, 0.7121, 0.7202, 0.7189, 0.7096, 0.7169, 0.7234, 0.7254, 0.7167, 0.7144, 0.7187]"
320 "[0.7135, 0.7203, 0.733, 0.7195, 0.7228, 0.7248, 0.7212, 0.7215, 0.7262, 0.7194, 0.6772, 0.7253, 0.7242, 0.722, 0.7219, 0.7278, 0.7205, 0.7185, 0.717, 0.7209, 0.7163, 0.7048, 0.7279, 0.7224, 0.7299, 0.7235, 0.7167, 0.7174, 0.7081, 0.7229, 0.7279, 0.7176, 0.7147, 0.7199, 0.7236, 0.7245, 0.7217, 0.7165, 0.7211, 0.7295, 0.719, 0.726, 0.7286, 0.7229, 0.7229, 0.7191, 0.7159, 0.7191, 0.7235, 0.7181, 0.7114, 0.7263, 0.7199, 0.7246, 0.7193, 0.7147, 0.7102, 0.7254, 0.7171, 0.7227, 0.7182, 0.7192, 0.7296, 0.715, 0.7126, 0.7137, 0.7226, 0.7167, 0.725, 0.7125, 0.7204, 0.7222, 0.7074, 0.7226, 0.7258, 0.7159, 0.7161, 0.7236, 0.7253, 0.725, 0.7171, 0.7252, 0.7147, 0.7326, 0.7232, 0.7201, 0.7254, 0.7209, 0.7179, 0.7258, 0.7223, 0.7252, 0.7374, 0.7248, 0.7342, 0.7231, 0.725, 0.7239, 0.7273, 0.7227]"
640 "[0.7142, 0.7181, 0.7161, 0.7165, 0.7316, 0.7215, 0.7141, 0.7187, 0.7277, 0.712, 0.7216, 0.7182, 0.7158, 0.7308, 0.7246, 0.7171, 0.7217, 0.7211, 0.7075, 0.7198, 0.7126, 0.701, 0.7074, 0.7121, 0.7158, 0.7334, 0.7074, 0.7128, 0.7153, 0.7202, 0.7133, 0.7183, 0.7193, 0.7189, 0.7167, 0.7136, 0.7342, 0.7151, 0.7116, 0.7159, 0.7151, 0.7271, 0.7163, 0.7203, 0.7205, 0.7227, 0.7167, 0.7227, 0.7253, 0.7171, 0.7189, 0.7208, 0.7227, 0.714, 0.7175, 0.7175, 0.7287, 0.7179, 0.7165, 0.7185, 0.718, 0.7245, 0.7159, 0.7179, 0.7198, 0.7128, 0.723, 0.7204, 0.7265, 0.719, 0.7146, 0.7204, 0.7258, 0.7223, 0.7267, 0.717, 0.7196, 0.7146, 0.7212, 0.7218, 0.7193, 0.7167, 0.7244, 0.7209, 0.7241, 0.7101, 0.7187, 0.7234, 0.7165, 0.7163, 0.7228, 0.7209, 0.7149, 0.7226, 0.7228, 0.7251, 0.7234, 0.711, 0.7212, 0.6963]"
1280 "[0.7302, 0.7243, 0.7208, 0.716, 0.7294, 0.7173, 0.7275, 0.7222, 0.7251, 0.7209, 0.7195, 0.7243, 0.7203, 0.7263, 0.7235, 0.7268, 0.7225, 0.7291, 0.7295, 0.7115, 0.7241, 0.7258, 0.7264, 0.7319, 0.7182, 0.7309, 0.7252, 0.7285, 0.7303, 0.7266, 0.7235, 0.7248, 0.7179, 0.6983, 0.7275, 0.7354, 0.7263, 0.7253, 0.7267, 0.6971, 0.7249, 0.7261, 0.7158, 0.7308, 0.7252, 0.7225, 0.726, 0.7228, 0.71, 0.7188, 0.723, 0.7164, 0.7162, 0.7217, 0.7166, 0.7266, 0.7282, 0.7353, 0.7186, 0.7246, 0.7141, 0.7261, 0.7234, 0.7192, 0.7225, 0.7191, 0.7197, 0.7359, 0.7301, 0.7256, 0.7207, 0.7233, 0.7282, 0.717, 0.7216, 0.7138, 0.7373, 0.7237, 0.7109, 0.7231, 0.7205, 0.7121, 0.7157, 0.7228, 0.7243, 0.7221, 0.7292, 0.7489, 0.719, 0.7096, 0.7181, 0.7198, 0.7249, 0.7153, 0.7305, 0.7359, 0.7287, 0.7316, 0.7181, 0.7208]"
2560 "[0.6493, 0.7444, 0.7208, 0.731, 0.7241, 0.7298, 0.7207, 0.7354, 0.7443, 0.7347, 0.7331, 0.7308, 0.7291, 0.7243, 0.7466, 0.7327, 0.7284, 0.7264, 0.7352, 0.7322, 0.7285, 0.7276, 0.725, 0.7366, 0.7346, 0.7363, 0.7253, 0.7298, 0.7274, 0.7258, 0.739, 0.7316, 0.7169, 0.728, 0.7445, 0.7381, 0.7088, 0.7319, 0.7174, 0.7271, 0.6875, 0.7155, 0.7266, 0.7301, 0.7265, 0.7352, 0.722, 0.7309, 0.7459, 0.7241, 0.727, 0.7272, 0.7373, 0.7319, 0.7464, 0.7428, 0.7281, 0.7402, 0.7292, 0.7289, 0.7304, 0.7394, 0.7379, 0.7312, 0.7309, 0.7337, 0.7342, 0.7354, 0.7304, 0.7322, 0.7098, 0.7141, 0.7189, 0.7203, 0.7301, 0.7326, 0.7283, 0.7219, 0.7286, 0.7226, 0.7302, 0.7278, 0.6585, 0.7333, 0.7338, 0.7326, 0.7241, 0.7258, 0.7269, 0.7135, 0.7276, 0.7184, 0.7308, 0.7204, 0.7304, 0.7251, 0.7273, 0.7193, 0.7414, 0.7237]"
5120 "[0.7398, 0.7427, 0.7459, 0.7381, 0.7399, 0.7315, 0.7257, 0.7431, 0.7374, 0.7436, 0.7475, 0.7404, 0.7363, 0.7413, 0.7433, 0.7403, 0.7116, 0.7343, 0.7323, 0.736, 0.7417, 0.739, 0.7499, 0.7377, 0.7232, 0.7369, 0.7352, 0.7394, 0.7347, 0.7327, 0.74, 0.7304, 0.7352, 0.7453, 0.7368, 0.7463, 0.7395, 0.7355, 0.7433, 0.7386, 0.7354, 0.7425, 0.7484, 0.7357, 0.7365, 0.7318, 0.744, 0.7292, 0.7252, 0.7315, 0.7392, 0.7382, 0.7372, 0.7418, 0.7346, 0.7397, 0.7367, 0.7397, 0.7379, 0.7396, 0.7349, 0.7378, 0.7376, 0.7401, 0.7418, 0.7439, 0.7357, 0.7447, 0.7365, 0.7436, 0.7361, 0.7433, 0.7353, 0.7303, 0.7392, 0.7421, 0.7405, 0.7324, 0.7395, 0.7328, 0.7476, 0.7305, 0.7436, 0.7415, 0.7355, 0.7409, 0.7353, 0.7364, 0.7505, 0.7414, 0.7358, 0.7439, 0.7432, 0.7312, 0.737, 0.7383, 0.7362, 0.7418, 0.7404, 0.7414]"
