 Linear2
10 "[0.2072, 0.2245, 0.1775, 0.2673, 0.325, 0.1872, 0.3318, 0.3328, 0.2227, 0.3231, 0.2163, 0.2727, 0.2843, 0.2795, 0.304, 0.2519, 0.2355, 0.3135, 0.2341, 0.2266]"
20 "[0.4145, 0.351, 0.4522, 0.4701, 0.4444, 0.4223, 0.4701, 0.4868, 0.5002, 0.3308, 0.3967, 0.4442, 0.4862, 0.4612, 0.4269, 0.4662, 0.4184, 0.4045, 0.38, 0.4321]"
40 "[0.6021, 0.6261, 0.5949, 0.6414, 0.5746, 0.6269, 0.6335, 0.6141, 0.5922, 0.6293, 0.6171, 0.6515, 0.6194, 0.5643, 0.6064, 0.6231, 0.6487, 0.6252, 0.6465, 0.5831]"
80 "[0.803, 0.7918, 0.7861, 0.8042, 0.8104, 0.7556, 0.8199, 0.7893, 0.7963, 0.7942, 0.7663, 0.8055, 0.8107, 0.8204, 0.7999, 0.7954, 0.7829, 0.843, 0.79, 0.8233]"
160 "[0.8867, 0.9027, 0.8574, 0.8974, 0.9048, 0.8573, 0.8891, 0.9064, 0.9019, 0.8886, 0.9028, 0.8888, 0.898, 0.8678, 0.9022, 0.896, 0.899, 0.8938, 0.8986, 0.8862]"
320 "[0.9201, 0.9354, 0.9291, 0.9385, 0.9412, 0.9361, 0.9252, 0.9122, 0.9425, 0.9406, 0.926, 0.9398, 0.9383, 0.9377, 0.9325, 0.9415, 0.939, 0.9421, 0.9315, 0.9394]"
640 "[0.9508, 0.9501, 0.9529, 0.9526, 0.9565, 0.9394, 0.9579, 0.9362, 0.9533, 0.9542, 0.9517, 0.9555, 0.9547, 0.9521, 0.9515, 0.953, 0.9565, 0.9551, 0.9115, 0.9543]"
1280 "[0.9308, 0.9595, 0.9629, 0.9548, 0.9664, 0.962, 0.9477, 0.9613, 0.9613, 0.961, 0.962, 0.9631, 0.9634, 0.9595, 0.9617, 0.9472, 0.9543, 0.9598, 0.9599, 0.9594]"
2560 "[0.9637, 0.9659, 0.963, 0.9651, 0.9674, 0.9598, 0.9683, 0.9511, 0.9677, 0.9654, 0.9626, 0.9646, 0.967, 0.9663, 0.9678, 0.9651, 0.9648, 0.9674, 0.9608, 0.9619]"
5120 "[0.9668, 0.9667, 0.9634, 0.9672, 0.9624, 0.9564, 0.9649, 0.9593, 0.9682, 0.9647, 0.9662, 0.969, 0.9662, 0.9679, 0.9658, 0.9531, 0.9681, 0.9656, 0.9693, 0.9669]"
10240 "[0.9685, 0.9635, 0.9672, 0.965, 0.9705, 0.9657, 0.9667, 0.9666, 0.9673, 0.9669, 0.9676, 0.9671, 0.9676, 0.9714, 0.9619, 0.9616, 0.9671, 0.9662, 0.9705, 0.9687]"
20480 "[0.9658, 0.9676, 0.9678, 0.97, 0.9684, 0.9671, 0.9657, 0.9702, 0.9682, 0.967, 0.968, 0.965, 0.9693, 0.966, 0.9701, 0.9691, 0.9676, 0.9674, 0.97, 0.9706]"
