 Linear2 Linear1 Linear0
10 "[0.9603, 0.9643, 0.9694, 0.9471, 0.9573, 0.9607, 0.961, 0.96, 0.9538, 0.9578, 0.9535, 0.9554, 0.9638, 0.9557, 0.955, 0.9454, 0.9495, 0.9582, 0.9541, 0.9538, 0.9564, 0.9476, 0.9495, 0.944, 0.9578, 0.9559, 0.9654, 0.9532, 0.9517, 0.9558, 0.9622, 0.9598, 0.9597, 0.9602, 0.9557, 0.9625, 0.9607, 0.9601, 0.9538, 0.9617]" "[0.8862, 0.8647, 0.8245, 0.8823, 0.8939, 0.8812, 0.8843, 0.8749, 0.8408, 0.912, 0.8701, 0.8942, 0.8755, 0.8824, 0.8903, 0.8935, 0.8452, 0.8861, 0.8901, 0.8864, 0.8667, 0.8922, 0.8867, 0.8853, 0.8614, 0.8906, 0.8695, 0.9058, 0.8884, 0.8788, 0.8725, 0.8917, 0.9046, 0.7884, 0.8951, 0.8654, 0.8833, 0.8752, 0.8955, 0.8907]" "[0.5339, 0.556, 0.5569, 0.5428, 0.5569, 0.5374, 0.5411, 0.5379, 0.5462, 0.5534, 0.5453, 0.551, 0.559, 0.5379, 0.5448, 0.5531, 0.5481, 0.531, 0.5487, 0.5543, 0.5355, 0.5509, 0.5495, 0.5479, 0.5563, 0.5546, 0.514, 0.5521, 0.5401, 0.5434, 0.5583, 0.5315, 0.5441, 0.5429, 0.5493, 0.5481, 0.5446, 0.5407, 0.5552, 0.5538]"
20 "[0.9718, 0.9627, 0.9713, 0.976, 0.9706, 0.9729, 0.9791, 0.9747, 0.9765, 0.9705, 0.9767, 0.9761, 0.9717, 0.9778, 0.9698, 0.9787, 0.9707, 0.9727, 0.9712, 0.9734, 0.9702, 0.9785, 0.9716, 0.9702, 0.9761, 0.9611, 0.9741, 0.9797, 0.9779, 0.9773, 0.9781, 0.9759, 0.9618, 0.9674, 0.9764, 0.9768, 0.9789, 0.9775, 0.9717, 0.9715]" "[0.9351, 0.9323, 0.9298, 0.9335, 0.9295, 0.9379, 0.9126, 0.9197, 0.9245, 0.9291, 0.9382, 0.9135, 0.933, 0.926, 0.9348, 0.9245, 0.9288, 0.9182, 0.9214, 0.9391, 0.9268, 0.923, 0.9261, 0.9331, 0.94, 0.9275, 0.9261, 0.9402, 0.9213, 0.9184, 0.9211, 0.9444, 0.9353, 0.9316, 0.9349, 0.9222, 0.9286, 0.927, 0.9246, 0.9196]" "[0.5628, 0.5406, 0.57, 0.5741, 0.5443, 0.5714, 0.5664, 0.5586, 0.5587, 0.5596, 0.5785, 0.5619, 0.5708, 0.5612, 0.578, 0.5468, 0.5509, 0.5595, 0.5743, 0.5744, 0.5718, 0.5741, 0.5682, 0.5611, 0.561, 0.566, 0.5591, 0.5805, 0.5758, 0.5776, 0.5726, 0.5461, 0.561, 0.56, 0.5659, 0.5737, 0.5795, 0.5577, 0.5624, 0.5634]"
40 "[0.9763, 0.9578, 0.9762, 0.9773, 0.975, 0.9786, 0.9755, 0.9775, 0.9563, 0.9784, 0.9765, 0.9796, 0.9743, 0.9765, 0.9766, 0.977, 0.9773, 0.9754, 0.9792, 0.9737, 0.9785, 0.9766, 0.9748, 0.9797, 0.9779, 0.9787, 0.9772, 0.9766, 0.979, 0.9785, 0.9766, 0.9779, 0.9767, 0.9774, 0.9759, 0.9788, 0.9777, 0.978, 0.9761, 0.9759]" "[0.9574, 0.9678, 0.9558, 0.9562, 0.9567, 0.9555, 0.9541, 0.9515, 0.9586, 0.9592, 0.9605, 0.9622, 0.9655, 0.964, 0.9648, 0.953, 0.9594, 0.9558, 0.9606, 0.9585, 0.9599, 0.9543, 0.9624, 0.9607, 0.9597, 0.9663, 0.9595, 0.9633, 0.9627, 0.96, 0.9638, 0.9492, 0.9595, 0.9669, 0.9556, 0.9554, 0.9546, 0.9668, 0.9603, 0.9605]" "[0.7156, 0.726, 0.7242, 0.7183, 0.7277, 0.7285, 0.7197, 0.7202, 0.7176, 0.7227, 0.7312, 0.7157, 0.7104, 0.7281, 0.7191, 0.7201, 0.7241, 0.7236, 0.7188, 0.7281, 0.7239, 0.7281, 0.7259, 0.7166, 0.739, 0.7319, 0.7064, 0.7217, 0.724, 0.7273, 0.722, 0.73, 0.7261, 0.718, 0.729, 0.7348, 0.7212, 0.7246, 0.7339, 0.7236]"
80 "[0.9742, 0.9743, 0.9765, 0.9736, 0.9767, 0.9757, 0.98, 0.9727, 0.9757, 0.9791, 0.9712, 0.9736, 0.9768, 0.9758, 0.9782, 0.9748, 0.9754, 0.9772, 0.9743, 0.975, 0.9781, 0.9786, 0.9779, 0.9746, 0.9725, 0.9751, 0.9789, 0.9768, 0.9753, 0.9757, 0.9769, 0.9716, 0.9775, 0.9805, 0.9738, 0.9752, 0.9772, 0.9772, 0.9766, 0.9694]" "[0.9752, 0.9714, 0.9717, 0.9788, 0.975, 0.9725, 0.9746, 0.9713, 0.9747, 0.9577, 0.9767, 0.9761, 0.9737, 0.9713, 0.9742, 0.9792, 0.979, 0.9749, 0.9759, 0.9769, 0.9739, 0.9771, 0.9716, 0.9766, 0.9677, 0.9761, 0.9778, 0.9758, 0.9658, 0.977, 0.9774, 0.9655, 0.9768, 0.9779, 0.9743, 0.9717, 0.9745, 0.9728, 0.9774, 0.9707]" "[0.8669, 0.8588, 0.8786, 0.8717, 0.866, 0.875, 0.8692, 0.8752, 0.8778, 0.866, 0.874, 0.8752, 0.863, 0.8601, 0.8724, 0.8698, 0.8749, 0.8734, 0.8677, 0.8689, 0.8703, 0.8627, 0.861, 0.8806, 0.8751, 0.8678, 0.8806, 0.8727, 0.8686, 0.8794, 0.8748, 0.8677, 0.8652, 0.8614, 0.8724, 0.8709, 0.8718, 0.8733, 0.8578, 0.8745]"
160 "[0.974, 0.9776, 0.9761, 0.9782, 0.9743, 0.9794, 0.9753, 0.9768, 0.9796, 0.9777, 0.9732, 0.9778, 0.978, 0.9741, 0.975, 0.9772, 0.9794, 0.9741, 0.9783, 0.977, 0.9771, 0.9792, 0.9774, 0.9752, 0.9772, 0.9769, 0.9766, 0.9758, 0.9758, 0.9766, 0.9756, 0.973, 0.9762, 0.9747, 0.9756, 0.9772, 0.9785, 0.9748, 0.9748, 0.9765]" "[0.9774, 0.9621, 0.9671, 0.975, 0.9688, 0.9748, 0.9677, 0.9781, 0.9637, 0.9779, 0.9743, 0.9736, 0.9781, 0.9727, 0.9745, 0.9775, 0.9749, 0.9698, 0.976, 0.9782, 0.9719, 0.9773, 0.9672, 0.9776, 0.9776, 0.9789, 0.9748, 0.9732, 0.975, 0.9782, 0.9738, 0.9775, 0.9762, 0.9779, 0.9767, 0.9768, 0.9755, 0.9781, 0.9734, 0.9736]" "[0.916, 0.9272, 0.9255, 0.9268, 0.9286, 0.9279, 0.927, 0.9272, 0.9247, 0.9216, 0.9246, 0.9322, 0.9261, 0.9289, 0.9289, 0.9237, 0.918, 0.9268, 0.9241, 0.9282, 0.9308, 0.9284, 0.9257, 0.9267, 0.9209, 0.9355, 0.9264, 0.9242, 0.9307, 0.924, 0.924, 0.9301, 0.9254, 0.9262, 0.9296, 0.9248, 0.9275, 0.9304, 0.9275, 0.9303]"
320 "[0.9779, 0.9797, 0.978, 0.9777, 0.9773, 0.9799, 0.9782, 0.9794, 0.9789, 0.9796, 0.9796, 0.9814, 0.9779, 0.9797, 0.9792, 0.9791, 0.9789, 0.9787, 0.9785, 0.9787, 0.9795, 0.978, 0.9781, 0.9781, 0.9798, 0.9785, 0.9789, 0.979, 0.9785, 0.9794, 0.9786, 0.9783, 0.9768, 0.9788, 0.9793, 0.9788, 0.9802, 0.9774, 0.9805, 0.9763]" "[0.9807, 0.9808, 0.9808, 0.9795, 0.9797, 0.9807, 0.98, 0.9787, 0.9804, 0.9781, 0.9789, 0.979, 0.9813, 0.9799, 0.9791, 0.9803, 0.9793, 0.979, 0.9807, 0.9807, 0.9804, 0.9807, 0.9797, 0.9798, 0.9806, 0.9809, 0.9792, 0.9799, 0.9809, 0.9798, 0.9799, 0.9797, 0.9797, 0.9803, 0.9809, 0.9807, 0.98, 0.9794, 0.98, 0.9812]" "[0.9446, 0.9398, 0.9437, 0.9418, 0.9424, 0.9386, 0.9399, 0.9423, 0.9393, 0.9408, 0.9435, 0.9392, 0.9441, 0.9418, 0.9394, 0.9403, 0.9433, 0.9463, 0.9434, 0.9384, 0.9383, 0.9389, 0.9405, 0.9399, 0.9403, 0.9411, 0.9422, 0.9435, 0.9438, 0.9429, 0.9412, 0.9441, 0.9452, 0.9456, 0.9414, 0.9418, 0.9425, 0.9431, 0.9395, 0.9437]"
640 "[0.98, 0.9804, 0.9815, 0.981, 0.9808, 0.9803, 0.9803, 0.9811, 0.9799, 0.9814, 0.9812, 0.9813, 0.9807, 0.9794, 0.98, 0.9798, 0.9809, 0.9803, 0.9796, 0.9814, 0.9811, 0.9809, 0.9817, 0.9798, 0.9813, 0.9809, 0.9813, 0.9817, 0.9826, 0.9805, 0.9816, 0.9814, 0.981, 0.9812, 0.9821, 0.9805, 0.9809, 0.981, 0.98, 0.98]" "[0.9802, 0.9801, 0.9808, 0.9815, 0.9796, 0.9803, 0.9806, 0.9809, 0.9805, 0.9799, 0.9797, 0.9801, 0.9808, 0.9803, 0.9806, 0.9812, 0.9814, 0.9799, 0.9805, 0.9814, 0.9797, 0.9806, 0.9799, 0.9808, 0.9812, 0.9808, 0.9806, 0.9813, 0.9803, 0.9808, 0.9796, 0.981, 0.9811, 0.9815, 0.9805, 0.9812, 0.9798, 0.9802, 0.9804, 0.9801]" "[0.9533, 0.9524, 0.9521, 0.955, 0.9548, 0.9527, 0.9547, 0.9535, 0.9532, 0.9544, 0.956, 0.9553, 0.9551, 0.9554, 0.9543, 0.9544, 0.9538, 0.9532, 0.9532, 0.9517, 0.9558, 0.9541, 0.9511, 0.954, 0.956, 0.9546, 0.9569, 0.9543, 0.9544, 0.9573, 0.9542, 0.9555, 0.9506, 0.9545, 0.9558, 0.954, 0.954, 0.9534, 0.9545, 0.955]"
1280 "[0.981, 0.9809, 0.9797, 0.9815, 0.981, 0.9809, 0.9811, 0.9801, 0.9809, 0.9799, 0.9815, 0.9804, 0.9801, 0.9798, 0.9795, 0.9798, 0.9804, 0.9806, 0.9814, 0.9805, 0.9821, 0.9805, 0.9799, 0.9807, 0.9799, 0.9806, 0.9799, 0.98, 0.9808, 0.9808, 0.9805, 0.9804, 0.9809, 0.9802, 0.9805, 0.9799, 0.98, 0.9806, 0.981, 0.9815]" "[0.9823, 0.981, 0.9815, 0.9809, 0.9816, 0.9816, 0.9816, 0.9817, 0.9813, 0.9813, 0.9819, 0.9819, 0.9822, 0.9812, 0.9815, 0.9815, 0.9818, 0.981, 0.9815, 0.9812, 0.9815, 0.9817, 0.9816, 0.9811, 0.982, 0.9814, 0.9814, 0.9821, 0.9817, 0.9812, 0.9814, 0.9813, 0.9819, 0.9818, 0.9812, 0.9812, 0.9813, 0.9814, 0.9812, 0.9817]" "[0.9643, 0.9635, 0.9628, 0.9628, 0.9605, 0.9608, 0.9618, 0.9637, 0.9647, 0.9627, 0.9615, 0.9622, 0.9618, 0.9608, 0.9628, 0.9614, 0.9607, 0.9613, 0.9635, 0.9638, 0.9636, 0.9607, 0.9627, 0.9626, 0.9624, 0.964, 0.9615, 0.9635, 0.963, 0.9622, 0.9631, 0.9626, 0.9638, 0.9632, 0.9628, 0.9632, 0.9591, 0.9631, 0.9646, 0.961]"
2560 "[0.9809, 0.9812, 0.9807, 0.9813, 0.9813, 0.9808, 0.9814, 0.982, 0.9809, 0.981, 0.9812, 0.9806, 0.981, 0.9817, 0.9808, 0.9811, 0.9811, 0.9808, 0.9812, 0.9803, 0.981, 0.9818, 0.9806, 0.9811, 0.9802, 0.9809, 0.9812, 0.9809, 0.9808, 0.9812, 0.9805, 0.9811, 0.9804, 0.9812, 0.9814, 0.9809, 0.981, 0.9811, 0.9809, 0.982]" "[0.9815, 0.9817, 0.982, 0.9815, 0.9817, 0.9824, 0.9811, 0.9816, 0.9813, 0.9816, 0.9819, 0.9817, 0.9815, 0.9821, 0.9818, 0.9816, 0.9814, 0.9815, 0.9819, 0.9817, 0.9818, 0.9816, 0.9821, 0.982, 0.9818, 0.9818, 0.9815, 0.9818, 0.9822, 0.982, 0.9817, 0.9813, 0.9818, 0.9818, 0.9819, 0.9821, 0.9817, 0.9818, 0.9819, 0.9817]" "[0.9705, 0.969, 0.9676, 0.9696, 0.9705, 0.9691, 0.9685, 0.9696, 0.9683, 0.9692, 0.9694, 0.9687, 0.9695, 0.9672, 0.9692, 0.969, 0.9695, 0.9698, 0.9673, 0.9684, 0.9697, 0.9697, 0.9702, 0.9672, 0.9685, 0.971, 0.9696, 0.9672, 0.9679, 0.9705, 0.9673, 0.9689, 0.9689, 0.9696, 0.9696, 0.9693, 0.9692, 0.9706, 0.9682, 0.9681]"
5120 "[0.9819, 0.9819, 0.9811, 0.9812, 0.9817, 0.9818, 0.9819, 0.9817, 0.9816, 0.9814, 0.982, 0.9816, 0.9809, 0.9821, 0.9821, 0.9817, 0.9819, 0.9819, 0.9819, 0.982, 0.9819, 0.9823, 0.9818, 0.9813, 0.9814, 0.9819, 0.9819, 0.9821, 0.982, 0.9818, 0.9811, 0.9819, 0.9816, 0.9827, 0.9816, 0.9819, 0.9821, 0.9817, 0.9821, 0.982]" "[0.9821, 0.9827, 0.9824, 0.9818, 0.9822, 0.982, 0.982, 0.9819, 0.9821, 0.9829, 0.9827, 0.9815, 0.9816, 0.9824, 0.9814, 0.9824, 0.9816, 0.9823, 0.9816, 0.9821, 0.9818, 0.982, 0.9815, 0.9815, 0.9821, 0.982, 0.9822, 0.9823, 0.9822, 0.9823, 0.9823, 0.9818, 0.9823, 0.9819, 0.9819, 0.982, 0.9818, 0.9822, 0.9819, 0.9827]" "[0.9727, 0.9738, 0.9732, 0.9748, 0.9747, 0.9731, 0.9727, 0.9732, 0.9747, 0.9748, 0.9731, 0.9762, 0.9733, 0.9736, 0.973, 0.9735, 0.9725, 0.9726, 0.9737, 0.9742, 0.974, 0.9732, 0.9741, 0.9739, 0.9732, 0.9743, 0.9737, 0.9741, 0.976, 0.9735, 0.9715, 0.9745, 0.9729, 0.9728, 0.9751, 0.9741, 0.9737, 0.9736, 0.9738, 0.9743]"
