 Linear0
10 "[0.1181, 0.1192, 0.1193, 0.1197, 0.1189, 0.1173, 0.117, 0.1207, 0.1193, 0.1166, 0.1178, 0.1201, 0.1192, 0.1189, 0.121, 0.1185, 0.1228, 0.12, 0.1177, 0.1193, 0.1171, 0.1191, 0.118, 0.118, 0.1188, 0.1203, 0.1205, 0.118, 0.1208, 0.1185, 0.1201, 0.1203, 0.1199, 0.1184, 0.1208, 0.118, 0.1191, 0.1196, 0.1198, 0.1197]"
20 "[0.0969, 0.1003, 0.097, 0.0988, 0.0946, 0.0982, 0.0961, 0.0948, 0.0959, 0.1013, 0.0963, 0.0969, 0.0993, 0.0949, 0.0948, 0.096, 0.0962, 0.0967, 0.097, 0.0979, 0.096, 0.0961, 0.0971, 0.0962, 0.0993, 0.0972, 0.0964, 0.0944, 0.0946, 0.0967, 0.0956, 0.095, 0.0955, 0.0962, 0.091, 0.0981, 0.0973, 0.0964, 0.0974, 0.0933]"
40 "[0.0982, 0.0942, 0.0952, 0.1044, 0.0942, 0.0934, 0.1039, 0.0979, 0.0961, 0.1013, 0.0933, 0.0963, 0.1004, 0.0908, 0.0968, 0.0976, 0.0976, 0.1054, 0.0962, 0.0939, 0.0956, 0.1011, 0.0965, 0.0973, 0.0896, 0.0999, 0.0925, 0.0979, 0.1009, 0.0972, 0.0959, 0.1011, 0.1027, 0.0938, 0.0969, 0.0965, 0.0992, 0.0984, 0.105, 0.0888]"
80 "[0.1051, 0.1037, 0.1045, 0.1051, 0.103, 0.1042, 0.1076, 0.1048, 0.1053, 0.1043, 0.1024, 0.1027, 0.1026, 0.1039, 0.1061, 0.1035, 0.1035, 0.1052, 0.1054, 0.1035, 0.1017, 0.1057, 0.1057, 0.105, 0.1053, 0.1049, 0.1057, 0.1028, 0.104, 0.1039, 0.1035, 0.1011, 0.1023, 0.1039, 0.1051, 0.1035, 0.1062, 0.1049, 0.1034, 0.1067]"
160 "[0.1278, 0.1281, 0.1296, 0.1281, 0.1263, 0.1272, 0.129, 0.1275, 0.1269, 0.1327, 0.1249, 0.1291, 0.1259, 0.1281, 0.1269, 0.1272, 0.1254, 0.125, 0.1289, 0.1316, 0.1288, 0.1281, 0.125, 0.13, 0.1284, 0.1268, 0.1307, 0.1311, 0.1292, 0.1278, 0.1289, 0.1294, 0.1285, 0.1281, 0.1308, 0.1248, 0.1272, 0.1259, 0.1287, 0.1271]"
320 "[0.1395, 0.1408, 0.1422, 0.1403, 0.1415, 0.1402, 0.14, 0.1406, 0.1419, 0.14, 0.1434, 0.1388, 0.1381, 0.1411, 0.1397, 0.143, 0.1396, 0.1403, 0.141, 0.1391, 0.1403, 0.1416, 0.1374, 0.1407, 0.1419, 0.1397, 0.1389, 0.1397, 0.1396, 0.14, 0.1382, 0.1414, 0.1395, 0.14, 0.1396, 0.141, 0.1431, 0.1428, 0.1393, 0.1404]"
640 "[0.1477, 0.1459, 0.1424, 0.1477, 0.1493, 0.1431, 0.1504, 0.1452, 0.1422, 0.1386, 0.1477, 0.1463, 0.1482, 0.1491, 0.1447, 0.1256, 0.1464, 0.1469, 0.1498, 0.143, 0.1398, 0.1452, 0.145, 0.1477, 0.1401, 0.1487, 0.1448, 0.147, 0.1491, 0.1462, 0.1473, 0.1485, 0.1443, 0.1496, 0.1477, 0.1404, 0.1467, 0.1441, 0.1478, 0.1429]"
1280 "[0.1668, 0.1637, 0.1643, 0.1677, 0.1663, 0.1688, 0.1657, 0.1707, 0.1665, 0.1524, 0.1665, 0.1691, 0.1673, 0.1684, 0.1693, 0.1685, 0.1662, 0.1699, 0.1664, 0.1669, 0.17, 0.1707, 0.1654, 0.1659, 0.161, 0.1673, 0.1671, 0.1612, 0.1682, 0.1617, 0.1673, 0.1661, 0.1676, 0.1658, 0.1668, 0.1688, 0.1688, 0.1697, 0.167, 0.1695]"
2560 "[0.173, 0.171, 0.1095, 0.1723, 0.1733, 0.1708, 0.178, 0.1752, 0.1746, 0.1696, 0.1745, 0.1717, 0.1762, 0.1746, 0.1754, 0.1736, 0.1683, 0.1736, 0.1714, 0.1738, 0.1742, 0.1653, 0.1721, 0.1216, 0.1668, 0.1738, 0.1727, 0.1662, 0.1761, 0.1726, 0.1745, 0.1731, 0.1758, 0.1741, 0.1727, 0.1684, 0.1767, 0.1754, 0.1747, 0.1679]"
5120 "[0.1741, 0.1752, 0.1706, 0.1767, 0.1741, 0.1726, 0.1742, 0.1732, 0.1745, 0.173, 0.1766, 0.1765, 0.1756, 0.1749, 0.1731, 0.1757, 0.1743, 0.1754, 0.1756, 0.1743, 0.1725, 0.1756, 0.1762, 0.1766, 0.1755, 0.1735, 0.1764, 0.175, 0.1733, 0.174, 0.1705, 0.1765, 0.1754, 0.1745, 0.1756, 0.1732, 0.1754, 0.1738, 0.1745, 0.1725]"
