 Linear0
10 "[0.7191, 0.7216, 0.7281, 0.7272, 0.7153, 0.7221, 0.7293, 0.7062, 0.7167, 0.7239, 0.7296, 0.7274, 0.704, 0.7273, 0.7354, 0.7294, 0.7081, 0.7175, 0.74, 0.7214, 0.7326, 0.7334, 0.7328, 0.7209, 0.7256, 0.7167, 0.7042, 0.7274, 0.7225, 0.7404, 0.7244, 0.7058, 0.7103, 0.7219, 0.728, 0.7355, 0.6959, 0.7057, 0.7274, 0.7407]"
20 "[0.7596, 0.7579, 0.7617, 0.762, 0.7688, 0.7772, 0.7663, 0.7636, 0.7569, 0.7737, 0.7699, 0.765, 0.7695, 0.7597, 0.7468, 0.7632, 0.7739, 0.7765, 0.7702, 0.7669, 0.7754, 0.7759, 0.7572, 0.7673, 0.7667, 0.7668, 0.771, 0.766, 0.755, 0.7721, 0.7515, 0.7639, 0.7657, 0.7699, 0.7519, 0.764, 0.7609, 0.7615, 0.7659, 0.7696]"
40 "[0.7662, 0.7608, 0.7781, 0.7879, 0.7751, 0.7707, 0.7736, 0.7806, 0.774, 0.7773, 0.7778, 0.767, 0.7723, 0.767, 0.7796, 0.7614, 0.7656, 0.7729, 0.7749, 0.7736, 0.7847, 0.7533, 0.7812, 0.7776, 0.7723, 0.7745, 0.7704, 0.7711, 0.7609, 0.7739, 0.7707, 0.7789, 0.7672, 0.767, 0.7657, 0.7891, 0.7646, 0.7732, 0.7665, 0.7722]"
80 "[0.787, 0.7816, 0.7879, 0.7842, 0.7796, 0.7805, 0.7858, 0.7738, 0.7847, 0.7788, 0.779, 0.7841, 0.7762, 0.7738, 0.7923, 0.7927, 0.7849, 0.7827, 0.7898, 0.7843, 0.7739, 0.7889, 0.7792, 0.7783, 0.7925, 0.7771, 0.7888, 0.7848, 0.7821, 0.7878, 0.7789, 0.7836, 0.777, 0.7852, 0.7859, 0.7825, 0.7781, 0.789, 0.773, 0.7874]"
160 "[0.8083, 0.8088, 0.8128, 0.8156, 0.8141, 0.8169, 0.8097, 0.8188, 0.8145, 0.8101, 0.8143, 0.8149, 0.8133, 0.8097, 0.8165, 0.8119, 0.8122, 0.8108, 0.8175, 0.8146, 0.8143, 0.8115, 0.8102, 0.8124, 0.8043, 0.8134, 0.8134, 0.8141, 0.8182, 0.8099, 0.8181, 0.8128, 0.8176, 0.8157, 0.8136, 0.8131, 0.8146, 0.8096, 0.8092, 0.8188]"
320 "[0.8196, 0.81, 0.8127, 0.8117, 0.82, 0.8204, 0.8162, 0.8165, 0.8218, 0.8199, 0.8164, 0.8149, 0.8184, 0.8135, 0.8198, 0.8195, 0.8168, 0.8143, 0.8174, 0.8175, 0.8166, 0.8166, 0.8165, 0.8211, 0.8103, 0.82, 0.8175, 0.8136, 0.8177, 0.816, 0.815, 0.8186, 0.8147, 0.8168, 0.8201, 0.8134, 0.8104, 0.8153, 0.8119, 0.8139]"
640 "[0.8263, 0.8325, 0.8315, 0.8299, 0.8299, 0.8241, 0.8231, 0.8306, 0.8335, 0.8274, 0.8307, 0.8308, 0.8291, 0.8286, 0.8314, 0.8313, 0.827, 0.829, 0.8247, 0.8239, 0.8324, 0.8292, 0.8333, 0.8269, 0.8319, 0.8341, 0.8324, 0.8296, 0.8299, 0.8303, 0.8286, 0.8298, 0.8316, 0.833, 0.8274, 0.8342, 0.8332, 0.829, 0.8316, 0.8343]"
1280 "[0.828, 0.8325, 0.8346, 0.8314, 0.8346, 0.8345, 0.8305, 0.8355, 0.8341, 0.8303, 0.8354, 0.8328, 0.8358, 0.8351, 0.8334, 0.8307, 0.8342, 0.8331, 0.8359, 0.8321, 0.8328, 0.8338, 0.8334, 0.8332, 0.8329, 0.8324, 0.8306, 0.8345, 0.836, 0.8302, 0.8358, 0.8342, 0.8313, 0.8345, 0.8335, 0.8355, 0.8312, 0.8346, 0.8335, 0.8346]"
2560 "[0.8335, 0.8358, 0.8345, 0.8316, 0.8363, 0.8338, 0.8366, 0.8329, 0.8375, 0.8331, 0.8358, 0.8328, 0.8368, 0.8361, 0.8361, 0.83, 0.835, 0.8365, 0.8338, 0.8353, 0.8332, 0.8351, 0.8314, 0.8362, 0.8344, 0.8358, 0.8355, 0.8357, 0.8337, 0.8326, 0.8319, 0.8341, 0.8343, 0.8372, 0.8356, 0.8305, 0.8342, 0.8378, 0.837, 0.833]"
5120 "[0.8363, 0.8343, 0.836, 0.8356, 0.8349, 0.8344, 0.8364, 0.8355, 0.8357, 0.8374, 0.8339, 0.8356, 0.8372, 0.8345, 0.8369, 0.8379, 0.8363, 0.8329, 0.837, 0.8373, 0.8353, 0.8364, 0.8361, 0.8381, 0.8369, 0.8356, 0.8376, 0.8355, 0.8352, 0.8353, 0.8376, 0.8359, 0.8363, 0.8355, 0.8376, 0.8367, 0.8347, 0.8379, 0.8381, 0.8344]"
