 Linear0
10 "[0.7203, 0.7396, 0.7089, 0.7523, 0.7454, 0.7389, 0.7417, 0.7513, 0.7432, 0.7322, 0.7116, 0.7464, 0.7231, 0.7116, 0.74, 0.7437, 0.7505, 0.7683, 0.7363, 0.733, 0.7654, 0.7437, 0.7437, 0.7161, 0.7456, 0.749, 0.7138, 0.7466, 0.7444, 0.744, 0.7235, 0.7335, 0.7393, 0.7149, 0.734, 0.7374, 0.7532, 0.7207, 0.7369, 0.739]"
20 "[0.7934, 0.7815, 0.7744, 0.7754, 0.7849, 0.788, 0.7731, 0.7896, 0.7898, 0.7718, 0.7747, 0.7836, 0.7848, 0.769, 0.7754, 0.7798, 0.7327, 0.7932, 0.7689, 0.7886, 0.7774, 0.7774, 0.7876, 0.7883, 0.7696, 0.7084, 0.781, 0.7867, 0.778, 0.7697, 0.7808, 0.7819, 0.7907, 0.7823, 0.7824, 0.7752, 0.7706, 0.7906, 0.7938, 0.7304]"
40 "[0.7921, 0.7903, 0.8011, 0.8093, 0.8016, 0.8052, 0.7747, 0.8104, 0.8005, 0.7953, 0.8046, 0.7702, 0.8121, 0.8065, 0.81, 0.799, 0.8039, 0.8025, 0.8114, 0.7984, 0.8054, 0.7997, 0.8068, 0.7751, 0.7982, 0.8058, 0.8091, 0.7958, 0.7946, 0.797, 0.8098, 0.8134, 0.8015, 0.7975, 0.8036, 0.8086, 0.7905, 0.8063, 0.7808, 0.8069]"
80 "[0.8149, 0.8168, 0.8083, 0.8116, 0.8045, 0.8108, 0.814, 0.8196, 0.8077, 0.801, 0.816, 0.8131, 0.8106, 0.8208, 0.8143, 0.8158, 0.8051, 0.8178, 0.8171, 0.8122, 0.8153, 0.8115, 0.8135, 0.8119, 0.8128, 0.8154, 0.8134, 0.8074, 0.8116, 0.815, 0.8204, 0.8194, 0.8177, 0.8158, 0.8113, 0.8167, 0.8118, 0.8111, 0.8073, 0.8153]"
160 "[0.8265, 0.8194, 0.8216, 0.8246, 0.8258, 0.8243, 0.8251, 0.8283, 0.8227, 0.8206, 0.8135, 0.8171, 0.8279, 0.8291, 0.825, 0.8216, 0.822, 0.8209, 0.8256, 0.8206, 0.8191, 0.8249, 0.8168, 0.8201, 0.8224, 0.8257, 0.8222, 0.8259, 0.8262, 0.8203, 0.8239, 0.8256, 0.827, 0.8304, 0.809, 0.8054, 0.8254, 0.8289, 0.8266, 0.8194]"
320 "[0.836, 0.8298, 0.8396, 0.8327, 0.8329, 0.8341, 0.831, 0.8334, 0.8325, 0.8341, 0.833, 0.8305, 0.836, 0.8353, 0.8326, 0.8205, 0.8345, 0.8307, 0.8397, 0.8303, 0.8337, 0.8364, 0.8336, 0.8344, 0.8318, 0.8306, 0.8323, 0.8295, 0.8343, 0.8349, 0.8351, 0.8355, 0.8295, 0.8339, 0.8288, 0.8304, 0.8328, 0.832, 0.8316, 0.8391]"
640 "[0.8311, 0.8392, 0.8366, 0.837, 0.8371, 0.8311, 0.8353, 0.8352, 0.8357, 0.8375, 0.8361, 0.8375, 0.8348, 0.8364, 0.8235, 0.8375, 0.8319, 0.8311, 0.8334, 0.8334, 0.8305, 0.8339, 0.8363, 0.8315, 0.8355, 0.8364, 0.8355, 0.8358, 0.8323, 0.8407, 0.8329, 0.8327, 0.8364, 0.8378, 0.8358, 0.8381, 0.8401, 0.8341, 0.8358, 0.8313]"
1280 "[0.8332, 0.8373, 0.8413, 0.8339, 0.8347, 0.8373, 0.837, 0.8393, 0.8301, 0.8332, 0.8358, 0.8367, 0.8369, 0.8396, 0.8374, 0.8382, 0.8249, 0.8372, 0.8395, 0.8416, 0.839, 0.8379, 0.8382, 0.8399, 0.8385, 0.8383, 0.8393, 0.8399, 0.8383, 0.8368, 0.8371, 0.8391, 0.8406, 0.8347, 0.8305, 0.8368, 0.8396, 0.837, 0.8395, 0.8383]"
2560 "[0.8402, 0.8405, 0.8357, 0.84, 0.8391, 0.838, 0.8395, 0.8396, 0.8418, 0.8405, 0.8365, 0.8378, 0.8407, 0.8391, 0.8361, 0.8385, 0.8351, 0.8381, 0.8381, 0.8391, 0.8374, 0.8392, 0.8389, 0.8375, 0.8394, 0.8393, 0.8385, 0.8405, 0.8407, 0.8409, 0.8328, 0.84, 0.8397, 0.8397, 0.8418, 0.8418, 0.8392, 0.8401, 0.8374, 0.8386]"
5120 "[0.8389, 0.8444, 0.8417, 0.8431, 0.8407, 0.8419, 0.8423, 0.8401, 0.8411, 0.8429, 0.8418, 0.8383, 0.8355, 0.8378, 0.8403, 0.8412, 0.8446, 0.8388, 0.8418, 0.8401, 0.8434, 0.8419, 0.8414, 0.8445, 0.8405, 0.8389, 0.8402, 0.841, 0.844, 0.8441, 0.8412, 0.844, 0.8386, 0.8378, 0.8397, 0.8421, 0.8404, 0.8437, 0.8412, 0.8425]"
10240 "[0.8442, 0.844, 0.845, 0.8434, 0.843, 0.8438, 0.8421, 0.8435, 0.8421, 0.8434, 0.8436, 0.8458, 0.8427, 0.8464, 0.8425, 0.8394, 0.8441, 0.8451, 0.8445, 0.8437, 0.842, 0.8451, 0.8419, 0.8424, 0.8435, 0.8449, 0.8456, 0.844, 0.8448, 0.8445, 0.8454, 0.8436, 0.8453, 0.8423, 0.8423, 0.8455, 0.8455, 0.846, 0.8419, 0.8419]"
20480 "[0.8459, 0.8437, 0.8456, 0.8437, 0.8457, 0.8462, 0.8452, 0.8466, 0.8429, 0.8439, 0.8459, 0.8437, 0.8457, 0.8438, 0.8454, 0.8455, 0.8447, 0.8463, 0.8446, 0.846, 0.8459, 0.8452, 0.8401, 0.8445, 0.8458, 0.8449, 0.8448, 0.8437, 0.844, 0.8451, 0.8445, 0.8455, 0.846, 0.8445, 0.8454, 0.8425, 0.8443, 0.8461, 0.8445, 0.8439]"
