 Linear4 Linear3 Linear2
10 "[0.9684, 0.967, 0.9701, 0.9697, 0.9713]" "[0.9548, 0.9697, 0.9691, 0.9714, 0.97]" "[0.8958, 0.898, 0.8922, 0.8972, 0.8997]"
20 "[0.9735, 0.975, 0.9746, 0.9677, 0.9763]" "[0.9758, 0.9758, 0.9756, 0.9756, 0.9748]" "[0.97, 0.97, 0.9681, 0.9687, 0.9676]"
40 "[0.9778, 0.9777, 0.977, 0.9762, 0.9783]" "[0.9778, 0.9758, 0.976, 0.9784, 0.9771]" "[0.9751, 0.9762, 0.9732, 0.9728, 0.9749]"
80 "[0.9786, 0.9794, 0.9791, 0.9774, 0.9787]" "[0.9778, 0.9786, 0.9794, 0.9797, 0.979]" "[0.9759, 0.978, 0.9774, 0.9727, 0.9766]"
160 "[0.9783, 0.9791, 0.9786, 0.9779, 0.9773]" "[0.9793, 0.9784, 0.9786, 0.9802, 0.9789]" "[0.9775, 0.9762, 0.9776, 0.978, 0.9776]"
320 "[0.9784, 0.9797, 0.9786, 0.9792, 0.9792]" "[0.9798, 0.978, 0.9798, 0.9794, 0.9795]" "[0.977, 0.9777, 0.9781, 0.979, 0.978]"
640 "[0.9783, 0.9795, 0.9791, 0.9805, 0.9801]" "[0.9789, 0.9789, 0.9798, 0.9788, 0.9783]" "[0.9779, 0.978, 0.9789, 0.9772, 0.9781]"
1280 "[0.9793, 0.9807, 0.9806, 0.9801, 0.9801]" "[0.9799, 0.98, 0.9801, 0.9802, 0.9795]" "[0.9793, 0.9787, 0.9785, 0.9784, 0.9796]"
2560 "[0.9814, 0.978, 0.9792, 0.9795, 0.9802]" "[0.98, 0.98, 0.9794, 0.9802, 0.9797]" "[0.979, 0.978, 0.9792, 0.9777, 0.9793]"
5120 "[0.9782, 0.98, 0.9803, 0.9802, 0.9794]" "[0.9797, 0.9798, 0.9804, 0.9801, 0.9801]" "[0.9794, 0.9776, 0.9791, 0.9782, 0.9797]"
10240 "[0.9799, 0.9801, 0.9801, 0.9788, 0.98]" "[0.9792, 0.9795, 0.9807, 0.98, 0.9791]" "[0.9793, 0.9782, 0.9797, 0.9791, 0.9778]"
20480 "[0.98, 0.9795, 0.9801, 0.9799, 0.9798]" "[0.9798, 0.98, 0.9791, 0.98, 0.9799]" "[0.9798, 0.9796, 0.9787, 0.9791, 0.9802]"
