 Linear4 Linear3
10 "[0.9506, 0.9497]" "[0.9524, 0.9566]"
20 "[0.9476, 0.9539]" "[0.9586, 0.9588]"
40 "[0.9661, 0.9645]" "[0.9674, 0.9666]"
80 "[0.9653, 0.9661]" "[0.9677, 0.9692]"
160 "[0.9694, 0.9676]" "[0.9694, 0.9677]"
320 "[0.9684, 0.9681]" "[0.9686, 0.9694]"
640 "[0.97, 0.9689]" "[0.9697, 0.9703]"
1280 "[0.9706, 0.9696]" "[0.971, 0.9711]"
2560 "[0.9685, 0.9699]" "[0.9714, 0.9696]"
5120 "[0.9701, 0.9712]" "[0.9703, 0.9715]"
10240 "[0.9706, 0.9709]" "[0.9705, 0.9707]"
20480 "[0.9706, 0.9701]" "[0.9709, 0.9715]"
