 Linear2 Linear1 Linear0
10 "[0.954, 0.9562, 0.9514, 0.9548, 0.9566, 0.9585, 0.9523, 0.9554, 0.9526, 0.9524, 0.9518, 0.957, 0.9543, 0.9579, 0.9546, 0.9542, 0.948, 0.9571, 0.9566, 0.9549, 0.9579, 0.9541, 0.9542, 0.9538, 0.9561, 0.9522, 0.9479, 0.9553, 0.9543, 0.9538, 0.953, 0.9564, 0.952, 0.9539, 0.9549, 0.9555, 0.9541, 0.9559, 0.9555, 0.9556]" "[0.6129, 0.6228, 0.6122, 0.6216, 0.6208, 0.6186, 0.6188, 0.6187, 0.6173, 0.6105, 0.6281, 0.6285, 0.6242, 0.6192, 0.6001, 0.6262, 0.6253, 0.6183, 0.6245, 0.6312, 0.6219, 0.6086, 0.606, 0.6222, 0.6188, 0.621, 0.6137, 0.6162, 0.6245, 0.6544, 0.6198, 0.6175, 0.6163, 0.5878, 0.6166, 0.6219, 0.6192, 0.6241, 0.6164, 0.6077]" "[0.6207, 0.6238, 0.631, 0.6341, 0.6206, 0.6207, 0.627, 0.6079, 0.6223, 0.628, 0.6336, 0.6319, 0.6253, 0.6219, 0.6152, 0.6216, 0.6279, 0.6082, 0.6152, 0.6171, 0.5943, 0.614, 0.6262, 0.6201, 0.6232, 0.623, 0.6179, 0.6267, 0.6234, 0.6238, 0.6226, 0.5982, 0.6286, 0.6287, 0.6112, 0.6189, 0.6243, 0.6145, 0.6429, 0.6264]"
20 "[0.9755, 0.9744, 0.9772, 0.9728, 0.9714, 0.9733, 0.9759, 0.9761, 0.9753, 0.975, 0.9707, 0.9771, 0.9748, 0.977, 0.9766, 0.9761, 0.975, 0.9773, 0.9762, 0.9772, 0.9768, 0.9745, 0.9764, 0.9777, 0.9754, 0.9741, 0.9743, 0.9775, 0.9751, 0.9743, 0.976, 0.9732, 0.9713, 0.9765, 0.976, 0.9777, 0.9769, 0.9748, 0.9639, 0.9753]" "[0.8682, 0.8863, 0.8757, 0.8681, 0.8805, 0.8794, 0.8651, 0.8745, 0.8554, 0.8705, 0.8786, 0.8657, 0.8652, 0.8668, 0.8747, 0.8749, 0.8681, 0.8566, 0.8552, 0.8816, 0.8563, 0.8837, 0.8655, 0.8818, 0.8811, 0.8752, 0.8444, 0.8753, 0.848, 0.8713, 0.868, 0.879, 0.8771, 0.878, 0.8762, 0.8718, 0.8655, 0.8763, 0.862, 0.865]" "[0.6658, 0.6674, 0.669, 0.6783, 0.6741, 0.6779, 0.643, 0.6571, 0.6716, 0.67, 0.6693, 0.682, 0.6568, 0.6658, 0.6823, 0.6311, 0.6735, 0.677, 0.6702, 0.6828, 0.6758, 0.6719, 0.6772, 0.6646, 0.6771, 0.6672, 0.6655, 0.6881, 0.6815, 0.6862, 0.6774, 0.6573, 0.6683, 0.6611, 0.661, 0.6807, 0.6742, 0.676, 0.6739, 0.6711]"
40 "[0.9753, 0.9755, 0.9787, 0.9779, 0.9718, 0.9783, 0.9786, 0.9786, 0.9773, 0.9784, 0.977, 0.9737, 0.9763, 0.9791, 0.9786, 0.9777, 0.9787, 0.9766, 0.9782, 0.9785, 0.978, 0.9771, 0.9737, 0.9778, 0.9782, 0.9794, 0.9769, 0.9786, 0.9785, 0.9789, 0.9785, 0.9775, 0.9781, 0.9784, 0.9772, 0.9785, 0.9789, 0.9797, 0.9785, 0.9765]" "[0.9346, 0.9331, 0.9303, 0.9302, 0.9239, 0.9245, 0.9293, 0.9235, 0.9178, 0.9304, 0.9295, 0.9375, 0.9291, 0.9273, 0.9307, 0.9274, 0.9321, 0.9299, 0.9272, 0.9197, 0.9338, 0.9242, 0.9343, 0.9263, 0.9338, 0.9351, 0.9235, 0.9288, 0.9325, 0.928, 0.9326, 0.9271, 0.9221, 0.927, 0.9244, 0.9325, 0.9306, 0.9346, 0.93, 0.9356]" "[0.8007, 0.8167, 0.7908, 0.8013, 0.8176, 0.8171, 0.8044, 0.8188, 0.818, 0.7901, 0.8167, 0.7925, 0.8069, 0.8348, 0.8255, 0.7968, 0.8158, 0.8144, 0.8043, 0.8266, 0.8041, 0.8312, 0.8166, 0.8237, 0.821, 0.8267, 0.7894, 0.8132, 0.8183, 0.8286, 0.8285, 0.8249, 0.8306, 0.8167, 0.8196, 0.8108, 0.8249, 0.8238, 0.8214, 0.8141]"
80 "[0.978, 0.9778, 0.9783, 0.9779, 0.9778, 0.9792, 0.9774, 0.9791, 0.9751, 0.9791, 0.9782, 0.9792, 0.9786, 0.9775, 0.9769, 0.9778, 0.9794, 0.9777, 0.9789, 0.9775, 0.9781, 0.9784, 0.9771, 0.9786, 0.9759, 0.9781, 0.9786, 0.9793, 0.9786, 0.979, 0.9786, 0.9771, 0.9784, 0.9777, 0.9794, 0.9764, 0.9792, 0.9802, 0.9768, 0.9759]" "[0.9534, 0.9552, 0.9566, 0.9513, 0.9496, 0.9571, 0.9524, 0.958, 0.959, 0.9546, 0.9558, 0.9531, 0.9475, 0.9544, 0.9522, 0.9472, 0.9472, 0.962, 0.957, 0.9552, 0.9531, 0.9554, 0.9548, 0.9592, 0.9562, 0.9569, 0.9557, 0.9572, 0.9593, 0.9566, 0.9583, 0.9537, 0.9573, 0.9545, 0.96, 0.9545, 0.954, 0.9552, 0.9573, 0.955]" "[0.8645, 0.8536, 0.8516, 0.8601, 0.8548, 0.8661, 0.8563, 0.8684, 0.8604, 0.8632, 0.852, 0.8681, 0.8613, 0.8559, 0.8696, 0.8584, 0.8572, 0.8645, 0.8645, 0.8667, 0.8659, 0.8653, 0.8474, 0.8712, 0.857, 0.8456, 0.872, 0.866, 0.861, 0.8674, 0.8635, 0.8626, 0.8577, 0.853, 0.874, 0.8581, 0.867, 0.8694, 0.8585, 0.8639]"
160 "[0.9796, 0.9778, 0.9784, 0.9752, 0.9767, 0.9783, 0.9776, 0.9768, 0.9773, 0.9759, 0.9773, 0.9781, 0.9769, 0.9768, 0.9782, 0.9775, 0.9786, 0.9774, 0.9772, 0.9783, 0.9795, 0.9737, 0.9779, 0.9787, 0.9767, 0.9777, 0.9779, 0.9773, 0.9767, 0.9779, 0.9789, 0.9792, 0.9781, 0.9786, 0.9778, 0.9764, 0.9784, 0.9763, 0.9771, 0.9787]" "[0.9622, 0.9642, 0.9636, 0.9617, 0.9627, 0.9639, 0.9636, 0.9618, 0.9627, 0.9581, 0.9576, 0.9636, 0.9637, 0.9601, 0.9631, 0.9639, 0.9615, 0.9652, 0.9655, 0.9634, 0.963, 0.9662, 0.9605, 0.9613, 0.9627, 0.9597, 0.961, 0.9627, 0.9618, 0.9597, 0.9609, 0.9638, 0.9618, 0.9633, 0.9611, 0.9579, 0.9639, 0.9583, 0.9636, 0.961]" "[0.8853, 0.8959, 0.8865, 0.8914, 0.8957, 0.8911, 0.8926, 0.8926, 0.8877, 0.8874, 0.8904, 0.8963, 0.8879, 0.8966, 0.8946, 0.8948, 0.8857, 0.884, 0.8939, 0.8932, 0.8953, 0.894, 0.8957, 0.895, 0.8887, 0.9037, 0.8962, 0.8861, 0.8952, 0.8946, 0.8837, 0.8981, 0.8949, 0.8962, 0.8977, 0.8965, 0.8942, 0.8983, 0.8938, 0.8972]"
320 "[0.9792, 0.9791, 0.9783, 0.9777, 0.9801, 0.9796, 0.9792, 0.9798, 0.9785, 0.9789, 0.9783, 0.9785, 0.979, 0.9799, 0.9785, 0.9793, 0.9797, 0.98, 0.977, 0.9792, 0.9802, 0.9783, 0.9793, 0.9795, 0.9786, 0.9774, 0.9792, 0.9799, 0.979, 0.9795, 0.9797, 0.9776, 0.9774, 0.9803, 0.9798, 0.9808, 0.9798, 0.9799, 0.9804, 0.9791]" "[0.9649, 0.969, 0.9681, 0.9633, 0.9653, 0.9663, 0.97, 0.9667, 0.9704, 0.9615, 0.9659, 0.9646, 0.9657, 0.9687, 0.9685, 0.9647, 0.9677, 0.9695, 0.9663, 0.9655, 0.9653, 0.9679, 0.9651, 0.9625, 0.9662, 0.9648, 0.9647, 0.967, 0.9649, 0.9708, 0.9671, 0.9667, 0.9645, 0.9636, 0.9655, 0.9692, 0.9629, 0.9702, 0.9707, 0.9625]" "[0.9289, 0.9257, 0.9318, 0.9356, 0.9286, 0.9281, 0.931, 0.9258, 0.9335, 0.9298, 0.9316, 0.9245, 0.9316, 0.9231, 0.9247, 0.9321, 0.9163, 0.9289, 0.934, 0.9263, 0.9234, 0.9256, 0.9261, 0.9283, 0.9255, 0.9303, 0.9339, 0.9348, 0.9296, 0.9256, 0.9237, 0.9239, 0.9325, 0.9288, 0.929, 0.928, 0.9281, 0.9285, 0.9246, 0.9296]"
640 "[0.9771, 0.9801, 0.9799, 0.9796, 0.9799, 0.9787, 0.9796, 0.9788, 0.9793, 0.9778, 0.9793, 0.98, 0.979, 0.9797, 0.9795, 0.9805, 0.9797, 0.9799, 0.9791, 0.9787, 0.9788, 0.9806, 0.9797, 0.9799, 0.9796, 0.979, 0.9799, 0.9795, 0.9799, 0.9789, 0.9803, 0.9794, 0.9784, 0.9805, 0.9793, 0.9805, 0.9795, 0.9796, 0.979, 0.9793]" "[0.9729, 0.9711, 0.9723, 0.974, 0.9731, 0.9736, 0.9722, 0.9734, 0.9732, 0.9736, 0.9719, 0.9722, 0.9728, 0.9695, 0.9736, 0.9733, 0.9737, 0.9721, 0.9732, 0.9724, 0.9729, 0.9735, 0.9721, 0.9738, 0.9734, 0.9733, 0.9714, 0.9721, 0.9728, 0.9691, 0.9742, 0.9722, 0.9734, 0.9728, 0.9721, 0.9729, 0.973, 0.9733, 0.9746, 0.9728]" "[0.9421, 0.9415, 0.9417, 0.9475, 0.9444, 0.9444, 0.9425, 0.9441, 0.9433, 0.9455, 0.9449, 0.9471, 0.9446, 0.9445, 0.9439, 0.9466, 0.9441, 0.9441, 0.9401, 0.9413, 0.9444, 0.9421, 0.9377, 0.9398, 0.9458, 0.9434, 0.9457, 0.9425, 0.9432, 0.9472, 0.9463, 0.9461, 0.9422, 0.942, 0.9467, 0.9441, 0.9447, 0.9435, 0.9444, 0.9466]"
1280 "[0.9802, 0.9814, 0.9797, 0.981, 0.9805, 0.9811, 0.9804, 0.981, 0.98, 0.9793, 0.9815, 0.9813, 0.9809, 0.9806, 0.9799, 0.9808, 0.9795, 0.9801, 0.98, 0.9809, 0.9803, 0.9795, 0.9804, 0.9796, 0.9801, 0.98, 0.9793, 0.98, 0.9808, 0.9811, 0.9808, 0.9803, 0.98, 0.9803, 0.9808, 0.9795, 0.9809, 0.9798, 0.98, 0.9804]" "[0.9737, 0.9761, 0.975, 0.9747, 0.9743, 0.9765, 0.9749, 0.9753, 0.9756, 0.9758, 0.9754, 0.9747, 0.9751, 0.9757, 0.9752, 0.9761, 0.9764, 0.9756, 0.9743, 0.9748, 0.9752, 0.9755, 0.9747, 0.9745, 0.9749, 0.9747, 0.975, 0.9761, 0.9768, 0.9765, 0.9763, 0.9751, 0.9756, 0.9744, 0.9757, 0.9749, 0.9758, 0.976, 0.9756, 0.9745]" "[0.9564, 0.9513, 0.9569, 0.9537, 0.9572, 0.9524, 0.9522, 0.9534, 0.9547, 0.9544, 0.9559, 0.9556, 0.9557, 0.9579, 0.9558, 0.9536, 0.9539, 0.9527, 0.9531, 0.9538, 0.955, 0.955, 0.9544, 0.9508, 0.9557, 0.9551, 0.9556, 0.9539, 0.9562, 0.9514, 0.953, 0.9549, 0.9555, 0.9534, 0.9532, 0.9545, 0.9523, 0.954, 0.9549, 0.9536]"
2560 "[0.9803, 0.98, 0.9799, 0.9799, 0.9804, 0.9793, 0.9811, 0.9805, 0.9807, 0.9796, 0.981, 0.9796, 0.9807, 0.9805, 0.9805, 0.9806, 0.9812, 0.9805, 0.9798, 0.9805, 0.9793, 0.9799, 0.9796, 0.9796, 0.9796, 0.9805, 0.981, 0.9799, 0.9798, 0.9807, 0.9805, 0.9811, 0.9796, 0.9795, 0.9806, 0.9803, 0.9805, 0.9797, 0.9801, 0.9797]" "[0.9775, 0.9767, 0.9764, 0.9769, 0.9775, 0.9775, 0.9775, 0.9762, 0.9761, 0.9762, 0.9779, 0.9773, 0.9762, 0.9778, 0.9784, 0.9764, 0.9754, 0.9764, 0.9774, 0.9765, 0.9774, 0.9769, 0.9774, 0.9772, 0.9775, 0.9777, 0.9769, 0.9765, 0.9765, 0.9752, 0.9774, 0.9776, 0.9775, 0.9775, 0.9774, 0.977, 0.9771, 0.9779, 0.9776, 0.9755]" "[0.9653, 0.9646, 0.9633, 0.9637, 0.9643, 0.9637, 0.9631, 0.965, 0.963, 0.9659, 0.9636, 0.9654, 0.964, 0.9664, 0.9666, 0.9671, 0.9638, 0.9661, 0.9617, 0.9658, 0.9665, 0.9659, 0.9659, 0.9648, 0.9641, 0.9664, 0.9654, 0.9634, 0.9644, 0.9646, 0.9643, 0.9661, 0.9634, 0.9627, 0.9672, 0.9641, 0.9627, 0.9659, 0.9626, 0.9658]"
5120 "[0.9809, 0.9807, 0.9806, 0.981, 0.9808, 0.9804, 0.9803, 0.9818, 0.9801, 0.9804, 0.9806, 0.9812, 0.9809, 0.9804, 0.98, 0.9806, 0.9807, 0.9809, 0.9809, 0.9802, 0.9808, 0.9803, 0.981, 0.9811, 0.9805, 0.9809, 0.9804, 0.9806, 0.9811, 0.9807, 0.9806, 0.9808, 0.9801, 0.9809, 0.981, 0.981, 0.9807, 0.9808, 0.9809, 0.9807]" "[0.9778, 0.9779, 0.9785, 0.9775, 0.9781, 0.9778, 0.9782, 0.9783, 0.9777, 0.9776, 0.9783, 0.9771, 0.9772, 0.9771, 0.9786, 0.9779, 0.9769, 0.977, 0.9781, 0.9781, 0.9783, 0.9778, 0.9764, 0.9766, 0.9789, 0.9778, 0.9786, 0.9762, 0.9768, 0.9777, 0.9763, 0.9775, 0.9772, 0.9786, 0.9784, 0.977, 0.9769, 0.9778, 0.9771, 0.9779]" "[0.9702, 0.9712, 0.9709, 0.9714, 0.9723, 0.9724, 0.9721, 0.9716, 0.9719, 0.9724, 0.9705, 0.9723, 0.9706, 0.9709, 0.9713, 0.9722, 0.9726, 0.972, 0.972, 0.9713, 0.9708, 0.9713, 0.9725, 0.9724, 0.971, 0.9721, 0.9713, 0.9697, 0.9734, 0.9718, 0.9708, 0.9725, 0.9718, 0.9687, 0.9729, 0.9704, 0.971, 0.9705, 0.9728, 0.9733]"
