 Linear2
10 "[0.967, 0.9703, 0.9644, 0.9707, 0.9649, 0.9704, 0.9679, 0.9702, 0.9689, 0.9683, 0.969, 0.97, 0.9686, 0.966, 0.9693, 0.971, 0.9676, 0.97, 0.968, 0.9691, 0.9694, 0.9673, 0.9698, 0.9699, 0.9689, 0.969, 0.9661, 0.9668, 0.9669, 0.9659, 0.9669, 0.9696, 0.9695, 0.9694, 0.9682, 0.9691, 0.9691, 0.9697, 0.9698, 0.9706]"
20 "[0.9683, 0.9776, 0.978, 0.9775, 0.9798, 0.9426, 0.9781, 0.979, 0.9759, 0.9746, 0.9738, 0.9797, 0.9744, 0.9772, 0.9706, 0.977, 0.9638, 0.9738, 0.9537, 0.9724, 0.9743, 0.9765, 0.9765, 0.9641, 0.9796, 0.9705, 0.9776, 0.979, 0.9563, 0.9369, 0.9748, 0.9811, 0.9699, 0.9773, 0.9769, 0.9793, 0.9585, 0.9778, 0.9653, 0.9725]"
40 "[0.9771, 0.9801, 0.9797, 0.9802, 0.9794, 0.9813, 0.9797, 0.9793, 0.981, 0.9791, 0.9796, 0.9806, 0.9803, 0.9807, 0.9809, 0.981, 0.9793, 0.9786, 0.9794, 0.9799, 0.9801, 0.979, 0.9807, 0.9814, 0.979, 0.9803, 0.9799, 0.9801, 0.9801, 0.9799, 0.9796, 0.9795, 0.9798, 0.9811, 0.9796, 0.9802, 0.9808, 0.9796, 0.98, 0.9778]"
80 "[0.9771, 0.977, 0.9773, 0.9776, 0.9761, 0.977, 0.9773, 0.9778, 0.9768, 0.9767, 0.9778, 0.9774, 0.9768, 0.9785, 0.9778, 0.9777, 0.9774, 0.9769, 0.9773, 0.9781, 0.9771, 0.9772, 0.9771, 0.9765, 0.9777, 0.9786, 0.9781, 0.9769, 0.9777, 0.9773, 0.9777, 0.9766, 0.9775, 0.9762, 0.9775, 0.9775, 0.9769, 0.9773, 0.9785, 0.9777]"
160 "[0.977, 0.9777, 0.9774, 0.9762, 0.9773, 0.9786, 0.9782, 0.978, 0.9776, 0.9773, 0.9778, 0.9768, 0.9781, 0.976, 0.9784, 0.9768, 0.9774, 0.978, 0.9785, 0.9779, 0.9784, 0.9776, 0.9779, 0.9769, 0.9786, 0.9766, 0.9775, 0.9779, 0.9778, 0.9785, 0.9777, 0.9778, 0.9791, 0.9788, 0.9769, 0.9768, 0.9767, 0.9782, 0.9769, 0.9771]"
320 "[0.9781, 0.9783, 0.9786, 0.9787, 0.9776, 0.9785, 0.9796, 0.9778, 0.9787, 0.9783, 0.9786, 0.9784, 0.9795, 0.98, 0.9789, 0.9788, 0.9782, 0.9794, 0.9777, 0.9785, 0.9781, 0.9792, 0.9794, 0.9782, 0.9788, 0.9775, 0.9785, 0.978, 0.9792, 0.9792, 0.9789, 0.9787, 0.9788, 0.979, 0.9785, 0.9792, 0.979, 0.9787, 0.9782, 0.9782]"
640 "[0.9773, 0.9777, 0.9776, 0.9777, 0.9776, 0.9772, 0.9777, 0.9774, 0.9771, 0.9776, 0.9772, 0.978, 0.9773, 0.9772, 0.9773, 0.9774, 0.9778, 0.9772, 0.9771, 0.9774, 0.9775, 0.9786, 0.9773, 0.9777, 0.9778, 0.9777, 0.9784, 0.9775, 0.9782, 0.9775, 0.9777, 0.978, 0.9779, 0.9775, 0.9785, 0.9774, 0.978, 0.978, 0.9778, 0.9779]"
1280 "[0.9776, 0.977, 0.9772, 0.9778, 0.9775, 0.9776, 0.9776, 0.9766, 0.9776, 0.9774, 0.9782, 0.9771, 0.9779, 0.9771, 0.9771, 0.9771, 0.9772, 0.9778, 0.9776, 0.9782, 0.9781, 0.9777, 0.9771, 0.9773, 0.9769, 0.9774, 0.9777, 0.9778, 0.9772, 0.9772, 0.9773, 0.9774, 0.9768, 0.9772, 0.9771, 0.9771, 0.9779, 0.9778, 0.9776, 0.9771]"
2560 "[0.9784, 0.9786, 0.9788, 0.9788, 0.9789, 0.9785, 0.9782, 0.9788, 0.9784, 0.9786, 0.978, 0.9783, 0.979, 0.979, 0.9787, 0.9792, 0.979, 0.9787, 0.9787, 0.9787, 0.9784, 0.9788, 0.9787, 0.9787, 0.9785, 0.9787, 0.9789, 0.979, 0.9786, 0.9786, 0.9787, 0.9789, 0.9788, 0.9785, 0.9788, 0.9787, 0.9786, 0.9789, 0.9785, 0.9782]"
5120 "[0.9793, 0.979, 0.9792, 0.979, 0.9791, 0.9796, 0.979, 0.9789, 0.9792, 0.9791, 0.9795, 0.9793, 0.9793, 0.9794, 0.9792, 0.9791, 0.9796, 0.9792, 0.9791, 0.9792, 0.9793, 0.979, 0.9796, 0.9795, 0.979, 0.9793, 0.979, 0.9791, 0.979, 0.9793, 0.9791, 0.9793, 0.9789, 0.9792, 0.9797, 0.9791, 0.9794, 0.9793, 0.9795, 0.9795]"
10240 "[0.9805, 0.9806, 0.9809, 0.9803, 0.9809, 0.981, 0.9803, 0.9806, 0.9812, 0.981, 0.9805, 0.9805, 0.9806, 0.9806, 0.9808, 0.9812, 0.9808, 0.9808, 0.9809, 0.9803, 0.9811, 0.9805, 0.9805, 0.9809, 0.9804, 0.9805, 0.9805, 0.981, 0.9805, 0.9809, 0.9807, 0.9807, 0.981, 0.9809, 0.9804, 0.9807, 0.9811, 0.9805, 0.9813, 0.9808]"
20480 "[0.9821, 0.9819, 0.9819, 0.9819, 0.9821, 0.9823, 0.9819, 0.9819, 0.982, 0.9819, 0.982, 0.982, 0.982, 0.9823, 0.9819, 0.9824, 0.9819, 0.9821, 0.982, 0.9822, 0.9821, 0.9819, 0.9821, 0.9822, 0.9815, 0.9819, 0.9819, 0.982, 0.9819, 0.9819, 0.9818, 0.9818, 0.982, 0.9821, 0.9822, 0.9822, 0.9819, 0.9822, 0.9819, 0.9824]"
