 Linear2
10 "[0.873, 0.8814, 0.8405, 0.8628, 0.8871, 0.8726, 0.8804, 0.8739, 0.8799, 0.8853, 0.8645, 0.8811, 0.884, 0.8808, 0.8647, 0.865, 0.8695, 0.8651, 0.8753, 0.8827, 0.8848, 0.8747, 0.8814, 0.8748, 0.8758, 0.8648, 0.8703, 0.8727, 0.8745, 0.8833, 0.8821, 0.8783, 0.878, 0.8791, 0.8848, 0.8837, 0.8753, 0.8783, 0.8736, 0.8747]"
20 "[0.8871, 0.8863, 0.8908, 0.8964, 0.8882, 0.9018, 0.8886, 0.8866, 0.8812, 0.8908, 0.8867, 0.8966, 0.8663, 0.8948, 0.8793, 0.8893, 0.8915, 0.8826, 0.8819, 0.8861, 0.8899, 0.8842, 0.8818, 0.8923, 0.8906, 0.8728, 0.8818, 0.8838, 0.8816, 0.8913, 0.8739, 0.8945, 0.8775, 0.8861, 0.8848, 0.8837, 0.8995, 0.895, 0.8754, 0.8763]"
40 "[0.9339, 0.9351, 0.9361, 0.9475, 0.934, 0.9333, 0.9357, 0.9317, 0.9444, 0.9393, 0.9346, 0.9364, 0.9347, 0.9436, 0.9297, 0.9389, 0.9445, 0.9467, 0.9355, 0.9402, 0.9337, 0.9411, 0.9463, 0.9432, 0.9328, 0.936, 0.9405, 0.932, 0.9315, 0.9381, 0.9268, 0.9378, 0.9358, 0.9358, 0.9314, 0.9354, 0.9356, 0.9329, 0.9313, 0.9263]"
80 "[0.962, 0.9596, 0.9614, 0.9622, 0.9643, 0.9615, 0.9612, 0.9632, 0.9613, 0.9608, 0.9571, 0.962, 0.9632, 0.9617, 0.9616, 0.9606, 0.9616, 0.96, 0.9623, 0.9619, 0.9616, 0.961, 0.9627, 0.962, 0.9605, 0.9609, 0.9648, 0.9621, 0.9609, 0.9619, 0.9611, 0.9622, 0.9593, 0.9623, 0.9624, 0.9633, 0.9635, 0.9613, 0.9617, 0.9625]"
160 "[0.9716, 0.9702, 0.973, 0.9697, 0.9713, 0.9719, 0.9715, 0.9727, 0.9724, 0.9713, 0.9714, 0.972, 0.971, 0.971, 0.9711, 0.9701, 0.9715, 0.9727, 0.9717, 0.9724, 0.9717, 0.9709, 0.9719, 0.9711, 0.9716, 0.9722, 0.9722, 0.9724, 0.9718, 0.9731, 0.973, 0.9718, 0.9723, 0.9716, 0.9718, 0.9713, 0.9722, 0.9711, 0.9708, 0.9702]"
320 "[0.9732, 0.9731, 0.9712, 0.9734, 0.9722, 0.9728, 0.9731, 0.9726, 0.9727, 0.974, 0.9732, 0.9727, 0.9732, 0.973, 0.9735, 0.9728, 0.9741, 0.9735, 0.9732, 0.9723, 0.9731, 0.9731, 0.9724, 0.9726, 0.9735, 0.9727, 0.9737, 0.9737, 0.9732, 0.9723, 0.974, 0.9731, 0.9732, 0.9727, 0.9726, 0.9734, 0.9728, 0.9726, 0.9726, 0.9728]"
640 "[0.9736, 0.9741, 0.9748, 0.9749, 0.9737, 0.9738, 0.9744, 0.9735, 0.9748, 0.9758, 0.9749, 0.9751, 0.9748, 0.9748, 0.9747, 0.9738, 0.9742, 0.9754, 0.9748, 0.9753, 0.9743, 0.9732, 0.9742, 0.973, 0.9743, 0.9749, 0.9745, 0.9744, 0.9748, 0.9748, 0.9743, 0.9744, 0.974, 0.9745, 0.9745, 0.975, 0.974, 0.9745, 0.9744, 0.9742]"
1280 "[0.9746, 0.9742, 0.9739, 0.9743, 0.9753, 0.9742, 0.9745, 0.9745, 0.9736, 0.9746, 0.9749, 0.9755, 0.9736, 0.9745, 0.9746, 0.9745, 0.9738, 0.9745, 0.9749, 0.9751, 0.9734, 0.974, 0.9738, 0.9751, 0.9753, 0.9748, 0.974, 0.9737, 0.9748, 0.974, 0.9752, 0.9753, 0.9746, 0.974, 0.9739, 0.9752, 0.9746, 0.9744, 0.9749, 0.9743]"
2560 "[0.9758, 0.9761, 0.9756, 0.9752, 0.9763, 0.9756, 0.9757, 0.9759, 0.9755, 0.976, 0.9759, 0.9747, 0.9759, 0.976, 0.975, 0.975, 0.9746, 0.9756, 0.976, 0.9748, 0.9759, 0.9761, 0.9751, 0.9751, 0.9744, 0.9764, 0.9756, 0.975, 0.9755, 0.9748, 0.9756, 0.9755, 0.9755, 0.9758, 0.9753, 0.9748, 0.976, 0.9752, 0.9756, 0.9754]"
5120 "[0.9766, 0.9765, 0.9773, 0.9766, 0.976, 0.977, 0.9768, 0.9761, 0.9765, 0.9763, 0.9766, 0.9764, 0.976, 0.9764, 0.9767, 0.9763, 0.9763, 0.9766, 0.9767, 0.977, 0.976, 0.9756, 0.9764, 0.9769, 0.9759, 0.9762, 0.9763, 0.9762, 0.9767, 0.9766, 0.9767, 0.9766, 0.9764, 0.977, 0.9766, 0.9769, 0.9764, 0.9775, 0.9767, 0.9763]"
10240 "[0.9776, 0.9779, 0.9779, 0.9782, 0.9776, 0.9781, 0.978, 0.9776, 0.978, 0.9777, 0.9777, 0.9782, 0.9777, 0.9782, 0.9781, 0.9777, 0.978, 0.9783, 0.9779, 0.9774, 0.9781, 0.9779, 0.9783, 0.9781, 0.9781, 0.9778, 0.9775, 0.9776, 0.9778, 0.9778, 0.9786, 0.9786, 0.9779, 0.9776, 0.9782, 0.978, 0.9781, 0.9782, 0.978, 0.9781]"
20480 "[0.9783, 0.9782, 0.9785, 0.9786, 0.978, 0.9789, 0.9784, 0.9785, 0.9788, 0.9783, 0.9785, 0.9789, 0.9776, 0.9783, 0.9778, 0.9783, 0.9785, 0.9784, 0.9784, 0.9778, 0.9791, 0.9789, 0.9783, 0.9783, 0.9788, 0.979, 0.9784, 0.9788, 0.979, 0.9783, 0.9781, 0.9783, 0.9784, 0.9783, 0.9781, 0.9781, 0.9777, 0.9785, 0.9788, 0.9788]"
