 Linear0
10 "[0.5181, 0.5322, 0.5075, 0.5206, 0.5073, 0.53, 0.5184, 0.5112, 0.5393, 0.5148, 0.5067, 0.501, 0.5274, 0.5263, 0.5089, 0.5377, 0.5393, 0.5378, 0.5283, 0.5349, 0.516, 0.5359, 0.5367, 0.5054, 0.5385, 0.5154, 0.5071, 0.5568, 0.5, 0.5383, 0.4848, 0.5246, 0.5486, 0.5236, 0.552, 0.5406, 0.4929, 0.5251, 0.5297, 0.53, 0.5254, 0.463, 0.4931, 0.5158, 0.553, 0.5273, 0.528, 0.5619, 0.5132, 0.5206, 0.5414, 0.5188, 0.4966, 0.5373, 0.4828, 0.5512, 0.5326, 0.4938, 0.5261, 0.5182, 0.5064, 0.5423, 0.527, 0.5093, 0.5336, 0.5441, 0.5038, 0.5366, 0.5018, 0.5295, 0.5383, 0.5098, 0.5548, 0.5547, 0.5315, 0.5202, 0.5292, 0.5379, 0.5414, 0.5475, 0.4849, 0.5084, 0.5277, 0.5297, 0.5483, 0.4943, 0.5824, 0.5209, 0.5346, 0.5095, 0.5191, 0.5359, 0.5304, 0.5091, 0.516, 0.5232, 0.5058, 0.5332, 0.5462, 0.5076]"
20 "[0.5829, 0.5764, 0.5834, 0.5743, 0.6061, 0.6091, 0.5692, 0.5692, 0.5808, 0.5899, 0.5621, 0.5751, 0.5749, 0.5886, 0.6028, 0.58, 0.5767, 0.5718, 0.6092, 0.5747, 0.6001, 0.5527, 0.5857, 0.552, 0.5891, 0.5508, 0.6001, 0.5832, 0.5726, 0.562, 0.5733, 0.6018, 0.5735, 0.587, 0.5783, 0.5986, 0.5864, 0.5477, 0.553, 0.5694, 0.5811, 0.568, 0.5786, 0.5753, 0.5609, 0.5598, 0.5628, 0.602, 0.5863, 0.596, 0.5569, 0.5468, 0.5933, 0.5693, 0.5606, 0.5645, 0.5049, 0.576, 0.5839, 0.5667, 0.5801, 0.6076, 0.5974, 0.5927, 0.571, 0.5768, 0.6185, 0.5729, 0.5921, 0.587, 0.5793, 0.5558, 0.5751, 0.5839, 0.6145, 0.5741, 0.5756, 0.5938, 0.5609, 0.5514, 0.571, 0.5776, 0.5527, 0.588, 0.5639, 0.5586, 0.5341, 0.5839, 0.5723, 0.5939, 0.5673, 0.5928, 0.5821, 0.5825, 0.6213, 0.5752, 0.5734, 0.5823, 0.5639, 0.6167]"
40 "[0.7127, 0.6904, 0.6801, 0.7036, 0.6847, 0.6755, 0.6807, 0.6933, 0.6499, 0.6906, 0.6774, 0.6969, 0.6642, 0.6947, 0.6887, 0.6754, 0.7077, 0.6882, 0.6882, 0.6726, 0.6836, 0.7072, 0.6894, 0.7058, 0.7042, 0.7014, 0.665, 0.6982, 0.6961, 0.6936, 0.6945, 0.6874, 0.6844, 0.6923, 0.6606, 0.692, 0.6978, 0.6718, 0.6996, 0.6994, 0.7028, 0.6803, 0.6745, 0.6838, 0.6857, 0.6732, 0.6852, 0.6743, 0.7091, 0.6836, 0.7116, 0.718, 0.7045, 0.6771, 0.6897, 0.7014, 0.704, 0.704, 0.6795, 0.6908, 0.6973, 0.6966, 0.6823, 0.6937, 0.6935, 0.706, 0.7033, 0.7209, 0.688, 0.7, 0.6805, 0.6814, 0.6702, 0.6799, 0.6865, 0.691, 0.6795, 0.6862, 0.6842, 0.6913, 0.6982, 0.6994, 0.678, 0.6927, 0.6937, 0.696, 0.6936, 0.6895, 0.6744, 0.6837, 0.6989, 0.6909, 0.7001, 0.6868, 0.6861, 0.6974, 0.6821, 0.6839, 0.6951, 0.6882]"
80 "[0.7063, 0.7067, 0.7173, 0.7129, 0.7169, 0.7147, 0.7013, 0.7275, 0.7175, 0.7002, 0.7157, 0.7114, 0.6942, 0.7156, 0.7177, 0.7038, 0.7096, 0.6989, 0.7068, 0.7192, 0.7, 0.7256, 0.7139, 0.7011, 0.6965, 0.6955, 0.7119, 0.7065, 0.7064, 0.7023, 0.7253, 0.6967, 0.7032, 0.6998, 0.6995, 0.6833, 0.696, 0.7283, 0.6958, 0.7131, 0.7165, 0.7055, 0.7158, 0.6988, 0.71, 0.6954, 0.703, 0.6979, 0.7204, 0.6605, 0.7021, 0.7173, 0.7118, 0.7065, 0.6927, 0.7149, 0.6947, 0.7214, 0.7023, 0.6976, 0.7095, 0.7057, 0.6999, 0.7142, 0.7174, 0.7131, 0.7076, 0.7166, 0.7114, 0.7155, 0.7139, 0.7162, 0.7097, 0.7176, 0.6994, 0.7093, 0.7108, 0.716, 0.7239, 0.6949, 0.6897, 0.7061, 0.713, 0.7143, 0.7038, 0.7191, 0.7142, 0.7264, 0.6929, 0.6929, 0.7128, 0.7167, 0.7034, 0.7179, 0.7204, 0.6984, 0.724, 0.7149, 0.7248, 0.7173]"
160 "[0.7244, 0.6889, 0.7213, 0.7227, 0.7078, 0.7183, 0.718, 0.7271, 0.7177, 0.7221, 0.7241, 0.7206, 0.7209, 0.7213, 0.7248, 0.7165, 0.7372, 0.7145, 0.6899, 0.7267, 0.7309, 0.6559, 0.7309, 0.7105, 0.7039, 0.7181, 0.7235, 0.7194, 0.7195, 0.719, 0.7235, 0.7327, 0.7187, 0.7218, 0.7166, 0.7214, 0.7259, 0.7199, 0.7254, 0.7215, 0.7067, 0.7297, 0.7167, 0.7273, 0.7222, 0.7087, 0.7119, 0.7207, 0.7242, 0.7037, 0.7116, 0.7127, 0.735, 0.7174, 0.7304, 0.7239, 0.718, 0.6876, 0.7283, 0.7258, 0.7227, 0.7206, 0.7243, 0.7211, 0.7282, 0.7338, 0.7162, 0.7297, 0.727, 0.7136, 0.7103, 0.7259, 0.7224, 0.7176, 0.7235, 0.7247, 0.7245, 0.7198, 0.72, 0.7247, 0.7265, 0.5759, 0.7302, 0.7121, 0.728, 0.6704, 0.7189, 0.7146, 0.7097, 0.722, 0.7322, 0.7338, 0.7181, 0.7208, 0.7249, 0.7216, 0.7333, 0.7144, 0.7233, 0.7208]"
320 "[0.7331, 0.727, 0.7285, 0.7294, 0.7162, 0.7158, 0.7277, 0.7232, 0.7386, 0.7215, 0.7212, 0.7237, 0.7161, 0.7311, 0.7305, 0.7357, 0.733, 0.6925, 0.6946, 0.7379, 0.7347, 0.7317, 0.7374, 0.7393, 0.7267, 0.7153, 0.7383, 0.6985, 0.7461, 0.7133, 0.7232, 0.7337, 0.7424, 0.7291, 0.7255, 0.7337, 0.7168, 0.7374, 0.7273, 0.7225, 0.7309, 0.7375, 0.7408, 0.7109, 0.7352, 0.7349, 0.7327, 0.7316, 0.7236, 0.7335, 0.7257, 0.7493, 0.7243, 0.7364, 0.7239, 0.7291, 0.731, 0.7247, 0.7359, 0.7317, 0.7304, 0.721, 0.735, 0.737, 0.7312, 0.7329, 0.7423, 0.7415, 0.7442, 0.7398, 0.733, 0.7311, 0.7282, 0.7349, 0.7367, 0.7296, 0.7279, 0.7241, 0.7362, 0.7387, 0.7355, 0.7289, 0.7215, 0.7148, 0.7154, 0.7361, 0.7309, 0.7408, 0.7398, 0.7235, 0.7306, 0.7362, 0.7325, 0.7239, 0.7278, 0.7391, 0.7339, 0.7261, 0.7325, 0.7313]"
640 "[0.7447, 0.7043, 0.737, 0.7482, 0.7443, 0.7466, 0.7356, 0.7462, 0.7404, 0.7406, 0.731, 0.7481, 0.735, 0.7401, 0.6686, 0.7375, 0.7345, 0.7408, 0.7355, 0.7401, 0.7273, 0.7285, 0.7421, 0.732, 0.7458, 0.7447, 0.7476, 0.74, 0.7417, 0.7432, 0.7308, 0.7394, 0.7384, 0.7392, 0.7465, 0.6315, 0.7413, 0.7422, 0.7326, 0.743, 0.7181, 0.7152, 0.7443, 0.7353, 0.6939, 0.7455, 0.7391, 0.7343, 0.7415, 0.742, 0.7476, 0.7429, 0.7442, 0.7448, 0.7396, 0.7468, 0.743, 0.7361, 0.743, 0.7443, 0.7458, 0.7481, 0.7475, 0.7336, 0.7322, 0.7421, 0.7455, 0.7391, 0.7448, 0.7407, 0.7397, 0.7345, 0.7405, 0.7449, 0.7344, 0.7482, 0.7444, 0.7426, 0.7315, 0.7412, 0.7439, 0.7405, 0.746, 0.737, 0.7473, 0.7438, 0.7374, 0.7114, 0.7411, 0.7468, 0.7287, 0.7478, 0.7014, 0.7419, 0.7401, 0.7353, 0.7447, 0.7431, 0.7426, 0.7456]"
1280 "[0.7417, 0.7436, 0.7511, 0.7436, 0.7489, 0.7495, 0.7535, 0.737, 0.7078, 0.746, 0.7511, 0.7542, 0.7491, 0.7515, 0.747, 0.7469, 0.7537, 0.7337, 0.7458, 0.7501, 0.7469, 0.7507, 0.7528, 0.749, 0.7399, 0.7516, 0.7491, 0.7464, 0.7305, 0.7389, 0.7489, 0.75, 0.7508, 0.7295, 0.749, 0.7488, 0.7505, 0.7427, 0.7418, 0.7487, 0.7516, 0.7506, 0.7414, 0.758, 0.7499, 0.7465, 0.7487, 0.7496, 0.7573, 0.7537, 0.7479, 0.7499, 0.7527, 0.7543, 0.7524, 0.7467, 0.7477, 0.7498, 0.7298, 0.7415, 0.7548, 0.7424, 0.7459, 0.7413, 0.7454, 0.7453, 0.7515, 0.7501, 0.7486, 0.7482, 0.7526, 0.7394, 0.7496, 0.7483, 0.7489, 0.7426, 0.7325, 0.7482, 0.7459, 0.7547, 0.7545, 0.7354, 0.7477, 0.749, 0.731, 0.7519, 0.7536, 0.7513, 0.7463, 0.7452, 0.7376, 0.7443, 0.7358, 0.7466, 0.7518, 0.7496, 0.7507, 0.7394, 0.748, 0.7501]"
2560 "[0.7516, 0.7544, 0.7579, 0.7565, 0.7623, 0.7535, 0.7566, 0.7483, 0.7542, 0.7544, 0.7534, 0.7463, 0.7467, 0.7525, 0.7523, 0.7586, 0.7515, 0.7549, 0.7492, 0.7525, 0.7544, 0.7487, 0.747, 0.7604, 0.7515, 0.75, 0.7581, 0.7484, 0.7431, 0.7507, 0.7363, 0.7541, 0.7513, 0.7567, 0.7541, 0.7455, 0.7557, 0.7377, 0.7549, 0.7563, 0.7539, 0.7599, 0.751, 0.7572, 0.7542, 0.7557, 0.7469, 0.7491, 0.7553, 0.7505, 0.754, 0.7515, 0.7585, 0.7569, 0.7539, 0.7529, 0.7553, 0.7505, 0.754, 0.7517, 0.7578, 0.7431, 0.7562, 0.7563, 0.7582, 0.7569, 0.7569, 0.7569, 0.756, 0.759, 0.7346, 0.7539, 0.7521, 0.741, 0.7532, 0.7502, 0.7572, 0.7287, 0.7523, 0.7495, 0.7578, 0.7492, 0.7504, 0.7575, 0.746, 0.7573, 0.7492, 0.7522, 0.7547, 0.7465, 0.7498, 0.7552, 0.7561, 0.7535, 0.7495, 0.7356, 0.7566, 0.7557, 0.7534, 0.7434]"
5120 "[0.7518, 0.7521, 0.7567, 0.7486, 0.7586, 0.757, 0.7532, 0.7547, 0.7579, 0.7484, 0.7478, 0.7562, 0.7509, 0.7591, 0.7594, 0.7574, 0.7571, 0.7435, 0.7556, 0.7586, 0.7562, 0.7569, 0.7604, 0.749, 0.7557, 0.7553, 0.7561, 0.7574, 0.7557, 0.7592, 0.7594, 0.7576, 0.7254, 0.7559, 0.7559, 0.757, 0.7414, 0.7559, 0.7534, 0.7559, 0.7595, 0.7483, 0.7363, 0.7593, 0.7507, 0.7597, 0.7583, 0.7466, 0.7347, 0.7559, 0.7529, 0.742, 0.7571, 0.7544, 0.7586, 0.7549, 0.7554, 0.7584, 0.7552, 0.7553, 0.7587, 0.759, 0.7442, 0.7517, 0.7538, 0.7586, 0.7576, 0.7532, 0.7564, 0.759, 0.7568, 0.7598, 0.7462, 0.7536, 0.7615, 0.7595, 0.7588, 0.7518, 0.7502, 0.7521, 0.7568, 0.7417, 0.7592, 0.7594, 0.7609, 0.756, 0.7576, 0.745, 0.7587, 0.7566, 0.7433, 0.7467, 0.7587, 0.7511, 0.7508, 0.7445, 0.7526, 0.7575, 0.758, 0.7566]"
