 Linear0
10 "[0.1066, 0.1083, 0.1429, 0.103, 0.2423, 0.2246, 0.1144, 0.2098, 0.2224, 0.0954, 0.1004, 0.2073, 0.1102, 0.1258, 0.1081, 0.1952, 0.1387, 0.2264, 0.1798, 0.1738, 0.1159, 0.1977, 0.2401, 0.1039, 0.1084, 0.1832, 0.163, 0.1083, 0.1966, 0.1807, 0.2522, 0.1028, 0.1851, 0.1106, 0.2276, 0.163, 0.1799, 0.1501, 0.1702, 0.3093, 0.1628, 0.1793, 0.3242, 0.2172, 0.1731, 0.1534, 0.1934, 0.1486, 0.2825, 0.1089, 0.1164, 0.1049, 0.2003, 0.1081, 0.118, 0.2263, 0.2194, 0.2057, 0.1985, 0.1326, 0.2301, 0.1356, 0.1064, 0.2388, 0.2137, 0.1978, 0.1938, 0.1865, 0.0996, 0.1002, 0.1885, 0.2511, 0.1707, 0.13, 0.1875, 0.2031, 0.2276, 0.1004, 0.2241, 0.1146, 0.1801, 0.1126, 0.1442, 0.1356, 0.1684, 0.1099, 0.2104, 0.1714, 0.107, 0.1952, 0.2202, 0.1387, 0.1057, 0.2256, 0.206, 0.1707, 0.1071, 0.2062, 0.1071, 0.1647]"
20 "[0.3459, 0.1028, 0.2318, 0.3252, 0.1591, 0.1679, 0.273, 0.2166, 0.2014, 0.2116, 0.1142, 0.2988, 0.2268, 0.229, 0.2159, 0.2673, 0.2475, 0.1404, 0.2363, 0.2907, 0.186, 0.1704, 0.271, 0.2391, 0.2034, 0.2833, 0.1638, 0.1479, 0.3198, 0.2099, 0.2581, 0.173, 0.1107, 0.2225, 0.1013, 0.2516, 0.1044, 0.222, 0.1559, 0.1954, 0.1107, 0.2159, 0.296, 0.2148, 0.1049, 0.2697, 0.327, 0.1662, 0.2013, 0.1801, 0.2101, 0.1521, 0.1799, 0.2653, 0.1816, 0.2358, 0.3071, 0.2939, 0.1941, 0.2894, 0.2444, 0.2557, 0.3751, 0.336, 0.1552, 0.2691, 0.242, 0.1134, 0.3306, 0.2906, 0.1139, 0.1426, 0.282, 0.1467, 0.1972, 0.2522, 0.4157, 0.1686, 0.1237, 0.2781, 0.1784, 0.2762, 0.2838, 0.1967, 0.1964, 0.2459, 0.1919, 0.1841, 0.1503, 0.3176, 0.2501, 0.3074, 0.124, 0.3225, 0.2311, 0.3594, 0.1747, 0.1286, 0.2931, 0.2987]"
40 "[0.3734, 0.3127, 0.3455, 0.4883, 0.4434, 0.4278, 0.2029, 0.4358, 0.3744, 0.5521, 0.3238, 0.3951, 0.3533, 0.3687, 0.3028, 0.4721, 0.3863, 0.3589, 0.4054, 0.4011, 0.4866, 0.5217, 0.5367, 0.2924, 0.5161, 0.4934, 0.5007, 0.4538, 0.5374, 0.6511, 0.5125, 0.4474, 0.4178, 0.5007, 0.4315, 0.2946, 0.5536, 0.2926, 0.4358, 0.2508, 0.3856, 0.4532, 0.5049, 0.5919, 0.5111, 0.5454, 0.3901, 0.572, 0.3766, 0.3168, 0.2514, 0.4988, 0.431, 0.3608, 0.4701, 0.3341, 0.403, 0.5252, 0.2946, 0.3926, 0.5233, 0.3045, 0.4595, 0.4385, 0.4576, 0.4665, 0.4683, 0.2508, 0.5581, 0.3914, 0.4311, 0.3351, 0.4474, 0.368, 0.5749, 0.3368, 0.5325, 0.1261, 0.4566, 0.4214, 0.4207, 0.5206, 0.3718, 0.482, 0.2814, 0.3926, 0.4198, 0.3817, 0.3457, 0.469, 0.5754, 0.3126, 0.291, 0.3332, 0.4764, 0.4781, 0.4337, 0.3438, 0.1857, 0.4949]"
80 "[0.5534, 0.5024, 0.5348, 0.6197, 0.5454, 0.535, 0.6609, 0.6448, 0.6703, 0.5457, 0.6393, 0.5854, 0.574, 0.5914, 0.6367, 0.5987, 0.4874, 0.6862, 0.61, 0.6078, 0.5359, 0.5672, 0.5392, 0.4636, 0.518, 0.63, 0.6248, 0.6614, 0.6, 0.6096, 0.4759, 0.4708, 0.6206, 0.6222, 0.6462, 0.4978, 0.5013, 0.5996, 0.6324, 0.5334, 0.661, 0.5911, 0.6207, 0.5099, 0.5439, 0.5504, 0.5835, 0.6058, 0.6533, 0.3883, 0.6608, 0.5, 0.5529, 0.5826, 0.5652, 0.5743, 0.6686, 0.5793, 0.532, 0.5692, 0.5925, 0.5338, 0.6192, 0.5506, 0.5324, 0.6293, 0.5964, 0.4932, 0.6139, 0.6176, 0.6069, 0.6542, 0.6534, 0.6395, 0.5408, 0.6416, 0.514, 0.6501, 0.5797, 0.6141, 0.6477, 0.6222, 0.4019, 0.6166, 0.5769, 0.6512, 0.5429, 0.6203, 0.5268, 0.5254, 0.6223, 0.5986, 0.6481, 0.5956, 0.5925, 0.5369, 0.6546, 0.641, 0.6686, 0.5339]"
160 "[0.679, 0.6838, 0.692, 0.6597, 0.6308, 0.6783, 0.6894, 0.6788, 0.6863, 0.6598, 0.6618, 0.6027, 0.678, 0.6467, 0.6376, 0.674, 0.632, 0.6191, 0.6718, 0.6738, 0.6873, 0.3261, 0.5937, 0.6309, 0.6072, 0.6365, 0.6099, 0.6295, 0.6406, 0.6942, 0.6429, 0.6846, 0.6805, 0.6823, 0.6853, 0.6663, 0.6773, 0.6731, 0.606, 0.6717, 0.6163, 0.6307, 0.6923, 0.6381, 0.6426, 0.6659, 0.6762, 0.6799, 0.6823, 0.685, 0.6534, 0.539, 0.6422, 0.5934, 0.6445, 0.614, 0.6538, 0.6716, 0.6319, 0.6602, 0.6848, 0.692, 0.6386, 0.6438, 0.6686, 0.6362, 0.5697, 0.6617, 0.6872, 0.5971, 0.6513, 0.6413, 0.6738, 0.6846, 0.6818, 0.6775, 0.6429, 0.6559, 0.6045, 0.6783, 0.6006, 0.6732, 0.6597, 0.6359, 0.6575, 0.5614, 0.6574, 0.6614, 0.6792, 0.6553, 0.6495, 0.673, 0.6691, 0.6642, 0.6034, 0.677, 0.6863, 0.6563, 0.5481, 0.5882]"
320 "[0.692, 0.6941, 0.6896, 0.6747, 0.6931, 0.6979, 0.6943, 0.6588, 0.6874, 0.6952, 0.6671, 0.697, 0.6624, 0.6877, 0.6926, 0.6947, 0.6866, 0.671, 0.4772, 0.6967, 0.6985, 0.6947, 0.6961, 0.6831, 0.6909, 0.6879, 0.6846, 0.6804, 0.6979, 0.7007, 0.6808, 0.6814, 0.6824, 0.6941, 0.6964, 0.6932, 0.7003, 0.6861, 0.6869, 0.6884, 0.7012, 0.6954, 0.6686, 0.6708, 0.6979, 0.6632, 0.6738, 0.6845, 0.6685, 0.7002, 0.6714, 0.6898, 0.6946, 0.6922, 0.2342, 0.6924, 0.6832, 0.6982, 0.688, 0.697, 0.6869, 0.6842, 0.6842, 0.6871, 0.6819, 0.6942, 0.693, 0.6566, 0.6978, 0.6254, 0.6894, 0.6846, 0.6864, 0.687, 0.6955, 0.6796, 0.6899, 0.6931, 0.6795, 0.6931, 0.6204, 0.6751, 0.6883, 0.6808, 0.6938, 0.6976, 0.6944, 0.6885, 0.6691, 0.6958, 0.6892, 0.6972, 0.6974, 0.6981, 0.6901, 0.6892, 0.6947, 0.6695, 0.6988, 0.6612]"
640 "[0.6925, 0.6978, 0.6984, 0.6952, 0.6986, 0.7008, 0.6995, 0.6991, 0.6953, 0.6993, 0.686, 0.6962, 0.6999, 0.7006, 0.7043, 0.7016, 0.7007, 0.7004, 0.7035, 0.6984, 0.6944, 0.6873, 0.6732, 0.7037, 0.7031, 0.7, 0.696, 0.699, 0.695, 0.691, 0.6957, 0.6902, 0.699, 0.6889, 0.6958, 0.6952, 0.6972, 0.6893, 0.6859, 0.7, 0.7033, 0.6986, 0.6776, 0.6924, 0.6955, 0.6822, 0.6984, 0.6902, 0.6996, 0.7022, 0.6973, 0.7003, 0.6986, 0.7036, 0.7014, 0.6851, 0.6993, 0.6996, 0.5676, 0.7012, 0.698, 0.7026, 0.6968, 0.7014, 0.6936, 0.6956, 0.6949, 0.6953, 0.6847, 0.6938, 0.6911, 0.696, 0.6962, 0.7015, 0.6788, 0.6949, 0.6997, 0.6959, 0.6998, 0.7015, 0.6991, 0.6984, 0.6927, 0.6993, 0.6986, 0.7001, 0.692, 0.6995, 0.6994, 0.7021, 0.6927, 0.6984, 0.6982, 0.6944, 0.6974, 0.6946, 0.6951, 0.6817, 0.698, 0.6955]"
1280 "[0.701, 0.6819, 0.6925, 0.6948, 0.7019, 0.7001, 0.7, 0.7057, 0.697, 0.6741, 0.6988, 0.7017, 0.7006, 0.705, 0.7008, 0.7039, 0.6767, 0.6943, 0.7027, 0.6993, 0.7017, 0.6823, 0.7007, 0.6959, 0.7011, 0.7037, 0.6998, 0.7045, 0.7046, 0.7033, 0.7037, 0.7021, 0.7038, 0.7032, 0.6995, 0.6964, 0.7034, 0.6962, 0.705, 0.6845, 0.6993, 0.7007, 0.7024, 0.7046, 0.7008, 0.7047, 0.6984, 0.6982, 0.7023, 0.6896, 0.6983, 0.6954, 0.6999, 0.6985, 0.704, 0.6915, 0.6985, 0.6887, 0.7024, 0.7015, 0.7011, 0.7004, 0.7033, 0.6659, 0.7044, 0.6953, 0.7032, 0.6985, 0.6963, 0.7004, 0.7049, 0.6991, 0.6933, 0.7037, 0.7045, 0.6628, 0.7031, 0.6969, 0.707, 0.7014, 0.7037, 0.6913, 0.6994, 0.7025, 0.6793, 0.7036, 0.7021, 0.7037, 0.7024, 0.6964, 0.7026, 0.701, 0.7018, 0.7047, 0.7004, 0.698, 0.6999, 0.7035, 0.7003, 0.6976]"
2560 "[0.7071, 0.7019, 0.7055, 0.6948, 0.6889, 0.702, 0.7052, 0.7042, 0.7062, 0.7033, 0.7077, 0.7052, 0.7036, 0.6948, 0.701, 0.7033, 0.6942, 0.7049, 0.7034, 0.707, 0.7071, 0.7053, 0.7059, 0.6996, 0.7085, 0.7068, 0.7047, 0.7021, 0.7075, 0.7029, 0.7051, 0.7054, 0.7006, 0.7068, 0.7027, 0.697, 0.7054, 0.7068, 0.7052, 0.7062, 0.696, 0.7082, 0.7011, 0.7063, 0.704, 0.6803, 0.7064, 0.7005, 0.7003, 0.707, 0.7039, 0.6866, 0.7059, 0.7049, 0.7042, 0.7064, 0.6543, 0.7066, 0.7102, 0.7035, 0.7054, 0.6964, 0.7053, 0.7026, 0.7008, 0.7045, 0.7042, 0.7055, 0.7016, 0.7082, 0.7048, 0.7074, 0.7054, 0.7006, 0.7045, 0.7014, 0.7006, 0.7066, 0.706, 0.7067, 0.6959, 0.7063, 0.7059, 0.6996, 0.701, 0.7032, 0.7009, 0.7011, 0.7071, 0.7071, 0.7085, 0.7036, 0.7049, 0.7091, 0.7048, 0.7021, 0.7083, 0.7034, 0.7028, 0.6797]"
5120 "[0.71, 0.7084, 0.6992, 0.7099, 0.7086, 0.7075, 0.7086, 0.708, 0.7079, 0.7017, 0.7075, 0.7044, 0.7061, 0.7059, 0.7074, 0.7092, 0.7099, 0.7058, 0.7066, 0.7075, 0.7067, 0.7085, 0.6994, 0.7083, 0.7117, 0.709, 0.71, 0.7104, 0.7077, 0.7097, 0.7058, 0.7102, 0.7108, 0.7037, 0.7049, 0.7103, 0.7088, 0.7091, 0.7082, 0.7087, 0.7079, 0.7101, 0.7046, 0.7088, 0.7085, 0.706, 0.7083, 0.7063, 0.7055, 0.7064, 0.7068, 0.7072, 0.7082, 0.7011, 0.7063, 0.7077, 0.7094, 0.7087, 0.7078, 0.7087, 0.7066, 0.7086, 0.7101, 0.7051, 0.7113, 0.7098, 0.7093, 0.7075, 0.7083, 0.6992, 0.7076, 0.707, 0.7101, 0.7074, 0.7072, 0.7072, 0.7084, 0.7062, 0.7013, 0.7062, 0.7094, 0.7082, 0.7094, 0.7083, 0.7061, 0.7075, 0.7065, 0.7101, 0.707, 0.7079, 0.7101, 0.706, 0.7072, 0.7034, 0.7068, 0.7069, 0.7035, 0.7075, 0.7076, 0.7064]"
