 Linear2 Linear1 Linear0
10 "[0.9603, 0.9643, 0.9694, 0.9471, 0.9573, 0.9607, 0.961, 0.96, 0.9538, 0.9578, 0.9535, 0.9554, 0.9638, 0.9557, 0.955, 0.9454, 0.9495, 0.9582, 0.9541, 0.9538]" "[0.8862, 0.8647, 0.8245, 0.8823, 0.8939, 0.8812, 0.8843, 0.8749, 0.8408, 0.912, 0.8701, 0.8942, 0.8755, 0.8824, 0.8903, 0.8935, 0.8452, 0.8861, 0.8901, 0.8864]" "[0.5339, 0.556, 0.5569, 0.5428, 0.5569, 0.5374, 0.5411, 0.5379, 0.5462, 0.5534, 0.5453, 0.551, 0.559, 0.5379, 0.5448, 0.5531, 0.5481, 0.531, 0.5487, 0.5543]"
20 "[0.9718, 0.9627, 0.9713, 0.976, 0.9706, 0.9729, 0.9791, 0.9747, 0.9765, 0.9705, 0.9767, 0.9761, 0.9717, 0.9778, 0.9698, 0.9787, 0.9707, 0.9727, 0.9712, 0.9734]" "[0.9351, 0.9323, 0.9298, 0.9335, 0.9295, 0.9379, 0.9126, 0.9197, 0.9245, 0.9291, 0.9382, 0.9135, 0.933, 0.926, 0.9348, 0.9245, 0.9288, 0.9182, 0.9214, 0.9391]" "[0.5628, 0.5406, 0.57, 0.5741, 0.5443, 0.5714, 0.5664, 0.5586, 0.5587, 0.5596, 0.5785, 0.5619, 0.5708, 0.5612, 0.578, 0.5468, 0.5509, 0.5595, 0.5743, 0.5744]"
40 "[0.9763, 0.9578, 0.9762, 0.9773, 0.975, 0.9786, 0.9755, 0.9775, 0.9563, 0.9784, 0.9765, 0.9796, 0.9743, 0.9765, 0.9766, 0.977, 0.9773, 0.9754, 0.9792, 0.9737]" "[0.9574, 0.9678, 0.9558, 0.9562, 0.9567, 0.9555, 0.9541, 0.9515, 0.9586, 0.9592, 0.9605, 0.9622, 0.9655, 0.964, 0.9648, 0.953, 0.9594, 0.9558, 0.9606, 0.9585]" "[0.7156, 0.726, 0.7242, 0.7183, 0.7277, 0.7285, 0.7197, 0.7202, 0.7176, 0.7227, 0.7312, 0.7157, 0.7104, 0.7281, 0.7191, 0.7201, 0.7241, 0.7236, 0.7188, 0.7281]"
80 "[0.9742, 0.9743, 0.9765, 0.9736, 0.9767, 0.9757, 0.98, 0.9727, 0.9757, 0.9791, 0.9712, 0.9736, 0.9768, 0.9758, 0.9782, 0.9748, 0.9754, 0.9772, 0.9743, 0.975]" "[0.9752, 0.9714, 0.9717, 0.9788, 0.975, 0.9725, 0.9746, 0.9713, 0.9747, 0.9577, 0.9767, 0.9761, 0.9737, 0.9713, 0.9742, 0.9792, 0.979, 0.9749, 0.9759, 0.9769]" "[0.8669, 0.8588, 0.8786, 0.8717, 0.866, 0.875, 0.8692, 0.8752, 0.8778, 0.866, 0.874, 0.8752, 0.863, 0.8601, 0.8724, 0.8698, 0.8749, 0.8734, 0.8677, 0.8689]"
160 "[0.974, 0.9776, 0.9761, 0.9782, 0.9743, 0.9794, 0.9753, 0.9768, 0.9796, 0.9777, 0.9732, 0.9778, 0.978, 0.9741, 0.975, 0.9772, 0.9794, 0.9741, 0.9783, 0.977]" "[0.9774, 0.9621, 0.9671, 0.975, 0.9688, 0.9748, 0.9677, 0.9781, 0.9637, 0.9779, 0.9743, 0.9736, 0.9781, 0.9727, 0.9745, 0.9775, 0.9749, 0.9698, 0.976, 0.9782]" "[0.916, 0.9272, 0.9255, 0.9268, 0.9286, 0.9279, 0.927, 0.9272, 0.9247, 0.9216, 0.9246, 0.9322, 0.9261, 0.9289, 0.9289, 0.9237, 0.918, 0.9268, 0.9241, 0.9282]"
320 "[0.9779, 0.9797, 0.978, 0.9777, 0.9773, 0.9799, 0.9782, 0.9794, 0.9789, 0.9796, 0.9796, 0.9814, 0.9779, 0.9797, 0.9792, 0.9791, 0.9789, 0.9787, 0.9785, 0.9787]" "[0.9807, 0.9808, 0.9808, 0.9795, 0.9797, 0.9807, 0.98, 0.9787, 0.9804, 0.9781, 0.9789, 0.979, 0.9813, 0.9799, 0.9791, 0.9803, 0.9793, 0.979, 0.9807, 0.9807]" "[0.9446, 0.9398, 0.9437, 0.9418, 0.9424, 0.9386, 0.9399, 0.9423, 0.9393, 0.9408, 0.9435, 0.9392, 0.9441, 0.9418, 0.9394, 0.9403, 0.9433, 0.9463, 0.9434, 0.9384]"
640 "[0.98, 0.9804, 0.9815, 0.981, 0.9808, 0.9803, 0.9803, 0.9811, 0.9799, 0.9814, 0.9812, 0.9813, 0.9807, 0.9794, 0.98, 0.9798, 0.9809, 0.9803, 0.9796, 0.9814]" "[0.9802, 0.9801, 0.9808, 0.9815, 0.9796, 0.9803, 0.9806, 0.9809, 0.9805, 0.9799, 0.9797, 0.9801, 0.9808, 0.9803, 0.9806, 0.9812, 0.9814, 0.9799, 0.9805, 0.9814]" "[0.9533, 0.9524, 0.9521, 0.955, 0.9548, 0.9527, 0.9547, 0.9535, 0.9532, 0.9544, 0.956, 0.9553, 0.9551, 0.9554, 0.9543, 0.9544, 0.9538, 0.9532, 0.9532, 0.9517]"
1280 "[0.981, 0.9809, 0.9797, 0.9815, 0.981, 0.9809, 0.9811, 0.9801, 0.9809, 0.9799, 0.9815, 0.9804, 0.9801, 0.9798, 0.9795, 0.9798, 0.9804, 0.9806, 0.9814, 0.9805]" "[0.9823, 0.981, 0.9815, 0.9809, 0.9816, 0.9816, 0.9816, 0.9817, 0.9813, 0.9813, 0.9819, 0.9819, 0.9822, 0.9812, 0.9815, 0.9815, 0.9818, 0.981, 0.9815, 0.9812]" "[0.9643, 0.9635, 0.9628, 0.9628, 0.9605, 0.9608, 0.9618, 0.9637, 0.9647, 0.9627, 0.9615, 0.9622, 0.9618, 0.9608, 0.9628, 0.9614, 0.9607, 0.9613, 0.9635, 0.9638]"
2560 "[0.9809, 0.9812, 0.9807, 0.9813, 0.9813, 0.9808, 0.9814, 0.982, 0.9809, 0.981, 0.9812, 0.9806, 0.981, 0.9817, 0.9808, 0.9811, 0.9811, 0.9808, 0.9812, 0.9803]" "[0.9815, 0.9817, 0.982, 0.9815, 0.9817, 0.9824, 0.9811, 0.9816, 0.9813, 0.9816, 0.9819, 0.9817, 0.9815, 0.9821, 0.9818, 0.9816, 0.9814, 0.9815, 0.9819, 0.9817]" "[0.9705, 0.969, 0.9676, 0.9696, 0.9705, 0.9691, 0.9685, 0.9696, 0.9683, 0.9692, 0.9694, 0.9687, 0.9695, 0.9672, 0.9692, 0.969, 0.9695, 0.9698, 0.9673, 0.9684]"
5120 "[0.9819, 0.9819, 0.9811, 0.9812, 0.9817, 0.9818, 0.9819, 0.9817, 0.9816, 0.9814, 0.982, 0.9816, 0.9809, 0.9821, 0.9821, 0.9817, 0.9819, 0.9819, 0.9819, 0.982]" "[0.9821, 0.9827, 0.9824, 0.9818, 0.9822, 0.982, 0.982, 0.9819, 0.9821, 0.9829, 0.9827, 0.9815, 0.9816, 0.9824, 0.9814, 0.9824, 0.9816, 0.9823, 0.9816, 0.9821]" "[0.9727, 0.9738, 0.9732, 0.9748, 0.9747, 0.9731, 0.9727, 0.9732, 0.9747, 0.9748, 0.9731, 0.9762, 0.9733, 0.9736, 0.973, 0.9735, 0.9725, 0.9726, 0.9737, 0.9742]"
