 Linear2
10 "[0.9684, 0.9688, 0.9698, 0.9675, 0.9636, 0.9688, 0.9676, 0.9721, 0.9633, 0.9582, 0.9738, 0.9724, 0.9698, 0.967, 0.9685, 0.9674, 0.9682, 0.975, 0.9735, 0.9728]"
20 "[0.9731, 0.9764, 0.9759, 0.9724, 0.9747, 0.9742, 0.9747, 0.9729, 0.9744, 0.9737, 0.9704, 0.9774, 0.9774, 0.9753, 0.9741, 0.9747, 0.9758, 0.9771, 0.9753, 0.9751]"
40 "[0.9734, 0.9749, 0.9802, 0.9788, 0.9778, 0.9795, 0.9797, 0.9763, 0.9795, 0.9804, 0.9788, 0.9803, 0.9812, 0.9786, 0.9772, 0.9802, 0.9764, 0.9797, 0.9802, 0.9806]"
80 "[0.9821, 0.977, 0.9787, 0.9811, 0.9793, 0.9807, 0.9793, 0.9805, 0.9805, 0.9775, 0.9796, 0.9797, 0.9789, 0.9797, 0.9765, 0.9791, 0.9797, 0.9809, 0.9796, 0.9799]"
160 "[0.9791, 0.9816, 0.9803, 0.9799, 0.9808, 0.9814, 0.9823, 0.9811, 0.9794, 0.9795, 0.9791, 0.9807, 0.9805, 0.9801, 0.981, 0.9791, 0.981, 0.9805, 0.9812, 0.9812]"
320 "[0.9813, 0.9822, 0.9808, 0.9822, 0.9783, 0.981, 0.9819, 0.9822, 0.9807, 0.9814, 0.9824, 0.9793, 0.9796, 0.9811, 0.9824, 0.9811, 0.98, 0.9833, 0.9787, 0.9811]"
640 "[0.98, 0.9809, 0.979, 0.9817, 0.9815, 0.9802, 0.9817, 0.9807, 0.9817, 0.9802, 0.9833, 0.9821, 0.98, 0.9801, 0.9815, 0.9821, 0.9828, 0.9811, 0.9816, 0.9799]"
1280 "[0.9831, 0.9823, 0.9837, 0.982, 0.9819, 0.9838, 0.9834, 0.9813, 0.9826, 0.982, 0.9826, 0.9822, 0.9821, 0.9808, 0.9818, 0.9826, 0.981, 0.9816, 0.9817, 0.983]"
2560 "[0.9832, 0.981, 0.9825, 0.9833, 0.9828, 0.9813, 0.9823, 0.9825, 0.984, 0.9832, 0.9829, 0.982, 0.9822, 0.9839, 0.9809, 0.9826, 0.9821, 0.9821, 0.9831, 0.9805]"
5120 "[0.9808, 0.9828, 0.9822, 0.9827, 0.9836, 0.9812, 0.9817, 0.9839, 0.9832, 0.9811, 0.9788, 0.9828, 0.9828, 0.9822, 0.9832, 0.9824, 0.9834, 0.9814, 0.9829, 0.9828]"
10240 "[0.9837, 0.9837, 0.9833, 0.9824, 0.9825, 0.9834, 0.9839, 0.9851, 0.984, 0.9841, 0.9837, 0.9835, 0.9831, 0.9826, 0.9832, 0.9816, 0.9823, 0.9835, 0.9829, 0.9835]"
20480 "[0.9827, 0.984, 0.9834, 0.9842, 0.9842, 0.9838, 0.9842, 0.9833, 0.9836, 0.9831, 0.9836, 0.9845, 0.9842, 0.9843, 0.9843, 0.9835, 0.9834, 0.9834, 0.9846, 0.9842]"
