 Linear2
10 "[0.1021, 0.0989, 0.0987, 0.1039, 0.1054, 0.0992, 0.1029, 0.1002, 0.0967, 0.0999, 0.1023, 0.0994, 0.1015, 0.1036, 0.1003, 0.0982, 0.1002, 0.1005, 0.0979, 0.0985]"
20 "[0.1003, 0.1041, 0.0914, 0.1027, 0.097, 0.1008, 0.0999, 0.1078, 0.1004, 0.0931, 0.1029, 0.101, 0.1034, 0.0969, 0.0943, 0.1054, 0.1113, 0.0985, 0.1047, 0.0978]"
40 "[0.1007, 0.0983, 0.0997, 0.1021, 0.0971, 0.097, 0.1082, 0.1004, 0.097, 0.099, 0.1047, 0.0999, 0.0956, 0.1043, 0.0992, 0.102, 0.1018, 0.0936, 0.098, 0.0959]"
80 "[0.1002, 0.1038, 0.0988, 0.1049, 0.106, 0.0938, 0.1035, 0.0958, 0.1006, 0.1053, 0.1062, 0.0997, 0.1051, 0.1004, 0.0977, 0.1042, 0.1024, 0.1024, 0.0978, 0.1018]"
160 "[0.1059, 0.1029, 0.0979, 0.1001, 0.1016, 0.103, 0.1037, 0.1053, 0.1026, 0.1054, 0.1068, 0.0997, 0.0986, 0.0998, 0.1006, 0.0985, 0.1012, 0.1082, 0.1028, 0.1062]"
320 "[0.1001, 0.1058, 0.1059, 0.1042, 0.1026, 0.1033, 0.1007, 0.0998, 0.105, 0.1024, 0.1103, 0.0975, 0.0984, 0.0988, 0.1031, 0.1023, 0.1, 0.1035, 0.1058, 0.097]"
640 "[0.1034, 0.1017, 0.1106, 0.103, 0.1067, 0.1051, 0.0935, 0.1051, 0.1049, 0.1006, 0.1042, 0.0988, 0.1052, 0.1069, 0.1, 0.1061, 0.098, 0.1043, 0.1048, 0.104]"
1280 "[0.1065, 0.1056, 0.1042, 0.1023, 0.1057, 0.1007, 0.1047, 0.1035, 0.1061, 0.1119, 0.1085, 0.1082, 0.1042, 0.0994, 0.1025, 0.1055, 0.1024, 0.1047, 0.1049, 0.1064]"
2560 "[0.1126, 0.1113, 0.1001, 0.1074, 0.1151, 0.1107, 0.1127, 0.1096, 0.1115, 0.1116, 0.1118, 0.1086, 0.1091, 0.112, 0.1119, 0.1052, 0.1101, 0.1081, 0.1027, 0.1042]"
5120 "[0.112, 0.1168, 0.1103, 0.116, 0.1104, 0.1151, 0.1089, 0.1103, 0.1111, 0.1141, 0.1053, 0.1136, 0.1177, 0.1104, 0.1172, 0.1137, 0.1144, 0.1136, 0.1114, 0.1146]"
10240 "[0.1211, 0.1189, 0.114, 0.1198, 0.1126, 0.1194, 0.1146, 0.1155, 0.1217, 0.1103, 0.1152, 0.1118, 0.1228, 0.1152, 0.1147, 0.1129, 0.1171, 0.1168, 0.1171, 0.1156]"
20480 "[0.1268, 0.1205, 0.1211, 0.1208, 0.1239, 0.1169, 0.1254, 0.1224, 0.1219, 0.1183, 0.1212, 0.1245, 0.1209, 0.1247, 0.1273, 0.1178, 0.1288, 0.1247, 0.1234, 0.1251]"
