 Linear2 Linear1 Linear0
10 "[0.8778, 0.9087, 0.89, 0.9022, 0.9176, 0.9279, 0.9197, 0.9264, 0.9307, 0.9176, 0.9241, 0.9189, 0.9155, 0.9203, 0.8676, 0.9276, 0.9245, 0.9321, 0.9249, 0.9153]" "[0.7023, 0.7103, 0.6966, 0.6766, 0.6921, 0.6954, 0.7033, 0.6816, 0.6835, 0.682, 0.6977, 0.6927, 0.7143, 0.6964, 0.6822, 0.7027, 0.6976, 0.6803, 0.6898, 0.6976]" "[0.4276, 0.4122, 0.4346, 0.4421, 0.4319, 0.4466, 0.4335, 0.4255, 0.4383, 0.4256, 0.431, 0.4318, 0.4351, 0.423, 0.4479, 0.4232, 0.4363, 0.4253, 0.4378, 0.4188]"
20 "[0.9372, 0.9403, 0.9405, 0.944, 0.9431, 0.9336, 0.9438, 0.9359, 0.936, 0.9355, 0.9376, 0.942, 0.9441, 0.9435, 0.9375, 0.9475, 0.9406, 0.9408, 0.9376, 0.9363]" "[0.8126, 0.8078, 0.8072, 0.8067, 0.7994, 0.8093, 0.8214, 0.7992, 0.8253, 0.8144, 0.8122, 0.8052, 0.8155, 0.8123, 0.8113, 0.8092, 0.8217, 0.7817, 0.7954, 0.8006]" "[0.5674, 0.571, 0.5797, 0.5858, 0.5553, 0.5807, 0.5769, 0.5845, 0.5765, 0.5888, 0.5918, 0.5805, 0.5724, 0.566, 0.586, 0.5831, 0.5606, 0.5867, 0.5768, 0.5998]"
40 "[0.9551, 0.9541, 0.9535, 0.9514, 0.955, 0.9527, 0.9545, 0.9535, 0.9529, 0.9562, 0.9513, 0.9549, 0.9524, 0.9522, 0.9505, 0.9524, 0.9523, 0.9454, 0.9541, 0.9526]" "[0.8986, 0.8923, 0.8983, 0.8986, 0.8964, 0.8896, 0.8965, 0.8742, 0.8863, 0.9016, 0.8948, 0.8911, 0.8869, 0.8896, 0.8917, 0.891, 0.9016, 0.8944, 0.8914, 0.868]" "[0.6889, 0.721, 0.6975, 0.6863, 0.7273, 0.7214, 0.7191, 0.7121, 0.7245, 0.6827, 0.7213, 0.6994, 0.6902, 0.7253, 0.721, 0.7095, 0.7152, 0.7165, 0.7182, 0.7212]"
80 "[0.9594, 0.9566, 0.9572, 0.9584, 0.9564, 0.9588, 0.9586, 0.9569, 0.9587, 0.9585, 0.9585, 0.9571, 0.956, 0.9574, 0.9586, 0.9558, 0.9586, 0.9576, 0.9576, 0.957]" "[0.9288, 0.9235, 0.923, 0.9173, 0.9214, 0.9251, 0.9265, 0.9242, 0.9219, 0.9243, 0.9222, 0.921, 0.9233, 0.9248, 0.9218, 0.9239, 0.9253, 0.9212, 0.9224, 0.9242]" "[0.7525, 0.7529, 0.7666, 0.7625, 0.7398, 0.7552, 0.7482, 0.7676, 0.7626, 0.7634, 0.7563, 0.7618, 0.7643, 0.758, 0.7582, 0.7572, 0.7503, 0.7557, 0.7619, 0.7542]"
160 "[0.9593, 0.9592, 0.9597, 0.9603, 0.9597, 0.9603, 0.9596, 0.9589, 0.9598, 0.9594, 0.9566, 0.9586, 0.959, 0.9593, 0.961, 0.9591, 0.9605, 0.9601, 0.9596, 0.9608]" "[0.9444, 0.9453, 0.9465, 0.9449, 0.9437, 0.9439, 0.9425, 0.9426, 0.9436, 0.9426, 0.9474, 0.9449, 0.9475, 0.9427, 0.9434, 0.9487, 0.9398, 0.9452, 0.9448, 0.9471]" "[0.844, 0.8502, 0.8533, 0.8512, 0.8539, 0.854, 0.847, 0.85, 0.8527, 0.8511, 0.849, 0.8507, 0.85, 0.8513, 0.8521, 0.849, 0.8515, 0.8472, 0.8528, 0.8456]"
320 "[0.9636, 0.9621, 0.9622, 0.9633, 0.9639, 0.9633, 0.9637, 0.9634, 0.9619, 0.9633, 0.9639, 0.9633, 0.9629, 0.9642, 0.9628, 0.9629, 0.9638, 0.9638, 0.9633, 0.9638]" "[0.9484, 0.9513, 0.9503, 0.9517, 0.9499, 0.9488, 0.9488, 0.9453, 0.9526, 0.9499, 0.9505, 0.9503, 0.9492, 0.9507, 0.9487, 0.9502, 0.9489, 0.9508, 0.9513, 0.953]" "[0.8856, 0.8852, 0.8899, 0.8845, 0.8882, 0.8851, 0.8788, 0.8872, 0.8842, 0.8821, 0.8899, 0.8787, 0.8882, 0.8853, 0.8873, 0.8849, 0.8786, 0.8883, 0.8867, 0.8856]"
640 "[0.963, 0.9642, 0.9644, 0.965, 0.9654, 0.9643, 0.9642, 0.9639, 0.9636, 0.9623, 0.9635, 0.9636, 0.9637, 0.964, 0.9644, 0.964, 0.9644, 0.9649, 0.9637, 0.9642]" "[0.9529, 0.9535, 0.9484, 0.9562, 0.9533, 0.9463, 0.9505, 0.9525, 0.9535, 0.9528, 0.9503, 0.9532, 0.9535, 0.9538, 0.9538, 0.9532, 0.9541, 0.9538, 0.9528, 0.955]" "[0.9155, 0.9127, 0.9159, 0.9169, 0.9157, 0.9178, 0.9097, 0.9151, 0.915, 0.915, 0.916, 0.9167, 0.9124, 0.916, 0.9168, 0.9145, 0.9124, 0.9126, 0.9141, 0.9116]"
1280 "[0.9667, 0.9654, 0.9659, 0.9654, 0.9658, 0.9656, 0.9661, 0.9663, 0.9665, 0.9654, 0.965, 0.9647, 0.966, 0.9653, 0.9662, 0.9652, 0.9649, 0.966, 0.9654, 0.9654]" "[0.9603, 0.9592, 0.9582, 0.9606, 0.9582, 0.9615, 0.959, 0.9587, 0.9614, 0.9606, 0.961, 0.9583, 0.9603, 0.9599, 0.9601, 0.9603, 0.961, 0.9567, 0.9607, 0.9572]" "[0.9282, 0.925, 0.9286, 0.9283, 0.9317, 0.9291, 0.932, 0.9265, 0.9271, 0.929, 0.9288, 0.9284, 0.9296, 0.9277, 0.9271, 0.9275, 0.9268, 0.9277, 0.9251, 0.9285]"
2560 "[0.9671, 0.9672, 0.9664, 0.9668, 0.9665, 0.9671, 0.9665, 0.9649, 0.9663, 0.967, 0.9667, 0.9663, 0.9668, 0.9664, 0.9669, 0.9669, 0.9662, 0.9665, 0.9674, 0.9664]" "[0.9632, 0.9624, 0.9612, 0.9652, 0.9632, 0.9638, 0.9632, 0.9618, 0.962, 0.9624, 0.9621, 0.9626, 0.9626, 0.9625, 0.9628, 0.963, 0.9625, 0.9626, 0.9617, 0.9621]" "[0.9455, 0.9451, 0.9427, 0.9446, 0.941, 0.9392, 0.9445, 0.9437, 0.9442, 0.9396, 0.9441, 0.9436, 0.9444, 0.9424, 0.9418, 0.9441, 0.9409, 0.9458, 0.9431, 0.9409]"
5120 "[0.9677, 0.9676, 0.9673, 0.9682, 0.9674, 0.968, 0.9673, 0.9665, 0.9673, 0.9684, 0.9669, 0.9674, 0.9676, 0.9675, 0.9675, 0.9669, 0.9678, 0.967, 0.9669, 0.9683]" "[0.9647, 0.9661, 0.9658, 0.9659, 0.9651, 0.9659, 0.9668, 0.9652, 0.9659, 0.9661, 0.9657, 0.9653, 0.966, 0.9643, 0.9651, 0.9659, 0.966, 0.9652, 0.9656, 0.967]" "[0.9527, 0.9501, 0.9493, 0.9511, 0.9513, 0.9515, 0.9523, 0.9526, 0.9501, 0.9524, 0.9509, 0.9534, 0.9514, 0.9495, 0.9491, 0.9511, 0.9494, 0.953, 0.9528, 0.9524]"
