 Linear4
10 "[0.962, 0.9596, 0.9633, 0.9621, 0.9611, 0.9588, 0.9626, 0.9626, 0.9639, 0.9575]"
20 "[0.964, 0.963, 0.9668, 0.9679, 0.959, 0.9555, 0.9645, 0.9656, 0.9625, 0.9524]"
40 "[0.9586, 0.962, 0.966, 0.9676, 0.9639, 0.9638, 0.9653, 0.9644, 0.962, 0.9653]"
80 "[0.9664, 0.9641, 0.964, 0.9672, 0.9669, 0.969, 0.9668, 0.9654, 0.9652, 0.9668]"
160 "[0.9654, 0.9671, 0.9658, 0.9664, 0.9666, 0.9666, 0.9672, 0.9657, 0.9666, 0.9673]"
320 "[0.968, 0.9685, 0.9673, 0.9693, 0.9681, 0.9673, 0.9691, 0.9687, 0.9678, 0.969]"
640 "[0.9696, 0.9705, 0.9702, 0.9697, 0.9698, 0.9688, 0.9694, 0.9701, 0.9686, 0.9684]"
1280 "[0.9707, 0.9699, 0.9711, 0.9705, 0.9703, 0.9706, 0.971, 0.9703, 0.9702, 0.9705]"
2560 "[0.9696, 0.9691, 0.9698, 0.9701, 0.9695, 0.9698, 0.9695, 0.9682, 0.9705, 0.9688]"
5120 "[0.9697, 0.9697, 0.971, 0.9707, 0.9709, 0.9697, 0.9706, 0.9708, 0.9699, 0.9703]"
10240 "[0.9714, 0.9701, 0.9704, 0.9704, 0.9704, 0.9709, 0.9709, 0.9707, 0.9706, 0.97]"
20480 "[0.9702, 0.9714, 0.9712, 0.9707, 0.9711, 0.9711, 0.9704, 0.9705, 0.9706, 0.9706]"
