 Linear0
10 "[0.1269, 0.1164, 0.1289, 0.1311, 0.1158, 0.1098, 0.1146, 0.1158, 0.1136, 0.115, 0.1136, 0.1144, 0.1181, 0.114, 0.1155, 0.1075, 0.1166, 0.1129, 0.1134, 0.1147, 0.116, 0.1129, 0.114, 0.1209, 0.1184, 0.1146, 0.1227, 0.1145, 0.1189, 0.114, 0.1143, 0.1177, 0.1171, 0.1295, 0.1142, 0.1143, 0.1166, 0.1295, 0.1183, 0.1193]"
20 "[0.1642, 0.1659, 0.1659, 0.1652, 0.166, 0.163, 0.1661, 0.165, 0.1649, 0.1626, 0.1653, 0.1655, 0.1655, 0.166, 0.1641, 0.1634, 0.1616, 0.1658, 0.1628, 0.164, 0.1692, 0.1639, 0.1663, 0.1659, 0.1633, 0.1652, 0.1653, 0.1641, 0.1646, 0.1658, 0.1643, 0.1653, 0.1648, 0.1617, 0.1649, 0.165, 0.1657, 0.1649, 0.1645, 0.1663]"
40 "[0.1366, 0.1387, 0.1429, 0.138, 0.1465, 0.1426, 0.1385, 0.1406, 0.1437, 0.1444, 0.1452, 0.131, 0.1479, 0.1372, 0.1441, 0.14, 0.1389, 0.1253, 0.136, 0.1402, 0.14, 0.1426, 0.1382, 0.1425, 0.1352, 0.1486, 0.1361, 0.1422, 0.1325, 0.139, 0.1451, 0.1419, 0.1364, 0.1451, 0.1469, 0.1451, 0.1428, 0.1366, 0.1445, 0.1395]"
80 "[0.1756, 0.1729, 0.175, 0.1737, 0.1729, 0.1703, 0.1736, 0.1723, 0.1733, 0.1661, 0.1677, 0.1707, 0.1728, 0.1751, 0.1673, 0.1728, 0.1683, 0.1705, 0.1742, 0.1701, 0.1729, 0.1727, 0.171, 0.172, 0.1678, 0.1742, 0.175, 0.1649, 0.1725, 0.1714, 0.1741, 0.171, 0.164, 0.1696, 0.1724, 0.1694, 0.1733, 0.1669, 0.1747, 0.1715]"
160 "[0.1761, 0.1753, 0.1741, 0.1736, 0.1758, 0.1769, 0.1743, 0.1768, 0.1745, 0.1794, 0.1761, 0.1744, 0.174, 0.1765, 0.174, 0.1781, 0.1778, 0.1781, 0.1779, 0.1798, 0.1743, 0.1766, 0.1771, 0.1742, 0.1769, 0.1751, 0.1741, 0.1753, 0.1788, 0.1766, 0.174, 0.178, 0.1798, 0.1751, 0.1777, 0.178, 0.1737, 0.1772, 0.1727, 0.1785]"
320 "[0.1747, 0.1792, 0.1741, 0.1802, 0.1748, 0.1752, 0.174, 0.1783, 0.1772, 0.177, 0.1744, 0.1727, 0.1723, 0.175, 0.1781, 0.1766, 0.1755, 0.176, 0.175, 0.1754, 0.1738, 0.1758, 0.176, 0.1766, 0.1765, 0.1706, 0.175, 0.1758, 0.1767, 0.1779, 0.1742, 0.1724, 0.1785, 0.1765, 0.1769, 0.1762, 0.1782, 0.1773, 0.1752, 0.1785]"
640 "[0.1784, 0.1805, 0.1824, 0.1796, 0.1789, 0.1787, 0.1813, 0.1797, 0.1799, 0.1825, 0.1754, 0.1787, 0.1786, 0.184, 0.183, 0.1782, 0.1799, 0.181, 0.1798, 0.1805, 0.1795, 0.1828, 0.1778, 0.1799, 0.1768, 0.1797, 0.1818, 0.1819, 0.1801, 0.1769, 0.1787, 0.1817, 0.1807, 0.1824, 0.1806, 0.1825, 0.1802, 0.1814, 0.1777, 0.1792]"
1280 "[0.1853, 0.1851, 0.1899, 0.1852, 0.1864, 0.185, 0.1868, 0.1867, 0.1864, 0.1871, 0.187, 0.1877, 0.1873, 0.1851, 0.1867, 0.184, 0.1866, 0.1841, 0.1825, 0.1864, 0.1859, 0.1831, 0.1891, 0.1872, 0.1849, 0.1877, 0.189, 0.1865, 0.1857, 0.1871, 0.1842, 0.1841, 0.1882, 0.1897, 0.1849, 0.1813, 0.1866, 0.1834, 0.1864, 0.1852]"
2560 "[0.1818, 0.1833, 0.1856, 0.1767, 0.1859, 0.1894, 0.1883, 0.1841, 0.1799, 0.1864, 0.1854, 0.1855, 0.1824, 0.1832, 0.1881, 0.1791, 0.1841, 0.1836, 0.1836, 0.1854, 0.1879, 0.1824, 0.1868, 0.1868, 0.1802, 0.1816, 0.1864, 0.1805, 0.1904, 0.1884, 0.1865, 0.1842, 0.1858, 0.1867, 0.1859, 0.1847, 0.1877, 0.1868, 0.1872, 0.1856]"
5120 "[0.1928, 0.1924, 0.1918, 0.1947, 0.1943, 0.1876, 0.1934, 0.1928, 0.1953, 0.1835, 0.1939, 0.1926, 0.1917, 0.1924, 0.1936, 0.1945, 0.1919, 0.1928, 0.1933, 0.1911, 0.1943, 0.1936, 0.1928, 0.1915, 0.1939, 0.1936, 0.1908, 0.1917, 0.1914, 0.1916, 0.1937, 0.1888, 0.192, 0.1854, 0.1924, 0.1944, 0.1944, 0.1933, 0.1954, 0.1942]"
