 Linear0
10 "[0.1249, 0.1197, 0.1078, 0.1254, 0.0802, 0.1143, 0.1225, 0.1128, 0.1224, 0.1194, 0.1249, 0.1032, 0.1153, 0.1085, 0.1225, 0.1029, 0.1244, 0.1297, 0.1181, 0.1216, 0.1131, 0.1239, 0.123, 0.1338, 0.1277, 0.0784, 0.1213, 0.1255, 0.1138, 0.1114, 0.109, 0.121, 0.1064, 0.1224, 0.1078, 0.1236, 0.0774, 0.1243, 0.1278, 0.1271]"
20 "[0.1041, 0.1227, 0.1234, 0.1004, 0.1205, 0.1159, 0.1076, 0.1193, 0.1022, 0.1046, 0.1172, 0.1064, 0.0996, 0.1105, 0.1203, 0.1209, 0.1169, 0.1205, 0.1182, 0.1203, 0.1165, 0.1205, 0.1212, 0.1229, 0.1193, 0.1358, 0.1035, 0.1233, 0.1177, 0.1237, 0.1148, 0.104, 0.1222, 0.1036, 0.119, 0.0944, 0.1166, 0.1232, 0.1051, 0.123]"
40 "[0.1317, 0.1519, 0.1605, 0.1566, 0.1538, 0.1627, 0.1602, 0.157, 0.1579, 0.1537, 0.164, 0.1625, 0.1497, 0.1594, 0.1427, 0.1536, 0.1624, 0.1609, 0.1645, 0.1604, 0.1628, 0.1587, 0.1618, 0.1574, 0.1599, 0.1548, 0.1455, 0.1559, 0.1609, 0.1618, 0.1502, 0.1555, 0.1603, 0.151, 0.1586, 0.1599, 0.1646, 0.1615, 0.1548, 0.1617]"
80 "[0.1479, 0.1456, 0.146, 0.148, 0.1449, 0.1486, 0.1459, 0.1476, 0.1505, 0.1483, 0.1455, 0.1482, 0.1465, 0.1449, 0.1488, 0.1462, 0.1452, 0.1439, 0.1477, 0.1486, 0.1484, 0.1458, 0.1439, 0.1445, 0.1446, 0.1503, 0.1484, 0.1451, 0.1452, 0.143, 0.1467, 0.148, 0.1466, 0.1483, 0.1476, 0.1486, 0.1457, 0.1459, 0.1467, 0.1467]"
160 "[0.1638, 0.1587, 0.1655, 0.1622, 0.1581, 0.1644, 0.1593, 0.1617, 0.1593, 0.1384, 0.1657, 0.1659, 0.1609, 0.1586, 0.1595, 0.1638, 0.157, 0.156, 0.1656, 0.1608, 0.1651, 0.1605, 0.1646, 0.1632, 0.1609, 0.1648, 0.1642, 0.1693, 0.16, 0.1604, 0.1616, 0.1611, 0.1672, 0.1635, 0.161, 0.1634, 0.1606, 0.164, 0.1621, 0.1608]"
320 "[0.1728, 0.1791, 0.1751, 0.1721, 0.1792, 0.1749, 0.1802, 0.1739, 0.1761, 0.1702, 0.1752, 0.1763, 0.1753, 0.1762, 0.1703, 0.1707, 0.1786, 0.1771, 0.1782, 0.1794, 0.1784, 0.1747, 0.1786, 0.1693, 0.1724, 0.1779, 0.1753, 0.1818, 0.1771, 0.1805, 0.1793, 0.1788, 0.1804, 0.176, 0.1772, 0.1768, 0.1759, 0.1766, 0.1764, 0.1753]"
640 "[0.1675, 0.1681, 0.1699, 0.1693, 0.1709, 0.1707, 0.1741, 0.165, 0.1683, 0.1685, 0.1688, 0.1746, 0.1739, 0.1699, 0.1707, 0.1699, 0.1713, 0.1686, 0.1766, 0.1702, 0.1706, 0.167, 0.1678, 0.1683, 0.1712, 0.1729, 0.1701, 0.1695, 0.1741, 0.1703, 0.1693, 0.1685, 0.1693, 0.1722, 0.1695, 0.1736, 0.1724, 0.1716, 0.172, 0.1725]"
1280 "[0.1755, 0.1772, 0.1782, 0.1795, 0.1796, 0.1754, 0.1757, 0.175, 0.1776, 0.1812, 0.1792, 0.1808, 0.1802, 0.1784, 0.1788, 0.1753, 0.18, 0.1743, 0.178, 0.1768, 0.1785, 0.1806, 0.1794, 0.1755, 0.1795, 0.1787, 0.1787, 0.1768, 0.1753, 0.1757, 0.1761, 0.176, 0.177, 0.1775, 0.1806, 0.1753, 0.1778, 0.1776, 0.1748, 0.1791]"
2560 "[0.1856, 0.179, 0.1838, 0.187, 0.1832, 0.1814, 0.1823, 0.1858, 0.1821, 0.1827, 0.1831, 0.1815, 0.1851, 0.1832, 0.183, 0.1833, 0.1858, 0.181, 0.182, 0.1844, 0.182, 0.181, 0.1806, 0.1827, 0.1849, 0.1822, 0.1818, 0.1822, 0.1839, 0.1833, 0.1863, 0.1788, 0.1833, 0.1842, 0.1855, 0.1792, 0.1811, 0.1837, 0.1812, 0.1837]"
5120 "[0.19, 0.1896, 0.1837, 0.1917, 0.1891, 0.1908, 0.1907, 0.1847, 0.1887, 0.1917, 0.1921, 0.1805, 0.1928, 0.1948, 0.1921, 0.1824, 0.1783, 0.1892, 0.1896, 0.1896, 0.1921, 0.1914, 0.1929, 0.1907, 0.1681, 0.187, 0.1928, 0.1933, 0.1894, 0.1933, 0.192, 0.1928, 0.1936, 0.1882, 0.1881, 0.1941, 0.192, 0.1885, 0.1918, 0.192]"
