 Linear0
10 "[0.6099, 0.5127, 0.3779, 0.4672, 0.6333, 0.7008, 0.5656, 0.6435, 0.5443, 0.5074, 0.3877, 0.4372, 0.5502, 0.4183, 0.5741, 0.7098, 0.4503, 0.6578, 0.621, 0.5626, 0.5712, 0.4253, 0.4132, 0.5983, 0.6481, 0.6588, 0.6291, 0.5424, 0.4835, 0.5531, 0.5266, 0.5822, 0.3128, 0.5985, 0.4485, 0.5692, 0.4608, 0.5665, 0.551, 0.5369, 0.5647, 0.5042, 0.575, 0.5327, 0.5857, 0.474, 0.638, 0.622, 0.6681, 0.5944, 0.5173, 0.5167, 0.6935, 0.5227, 0.4218, 0.5778, 0.5636, 0.5173, 0.6625, 0.6318, 0.6331, 0.4902, 0.5034, 0.6036, 0.6505, 0.5149, 0.7345, 0.5932, 0.4499, 0.4985, 0.5054, 0.6835, 0.5291, 0.5992, 0.6204, 0.5915, 0.6277, 0.5103, 0.5732, 0.6578, 0.6878, 0.4604, 0.7147, 0.5439, 0.4194, 0.4089, 0.5383, 0.613, 0.5448, 0.53, 0.643, 0.5512, 0.4118, 0.6013, 0.5199, 0.5984, 0.4763, 0.4907, 0.4387, 0.6314]"
20 "[0.7605, 0.6274, 0.6866, 0.7398, 0.726, 0.704, 0.7155, 0.6974, 0.7528, 0.6828, 0.7359, 0.7081, 0.7235, 0.6712, 0.702, 0.7621, 0.7576, 0.7527, 0.7432, 0.76, 0.739, 0.7405, 0.6337, 0.7199, 0.7125, 0.6837, 0.7086, 0.7564, 0.6935, 0.7324, 0.6932, 0.7562, 0.7086, 0.7137, 0.6719, 0.7088, 0.5768, 0.6824, 0.6262, 0.7193, 0.6955, 0.7052, 0.7545, 0.7492, 0.5701, 0.7452, 0.7515, 0.5964, 0.6836, 0.7195, 0.7445, 0.7131, 0.6605, 0.7449, 0.5875, 0.7549, 0.6902, 0.7532, 0.6818, 0.7325, 0.709, 0.7583, 0.755, 0.7389, 0.7267, 0.7515, 0.7079, 0.6117, 0.759, 0.7504, 0.7388, 0.7211, 0.7483, 0.703, 0.7567, 0.7527, 0.7073, 0.7389, 0.6705, 0.701, 0.7412, 0.715, 0.6912, 0.7619, 0.7293, 0.7474, 0.6168, 0.601, 0.71, 0.6386, 0.7601, 0.7549, 0.7421, 0.7584, 0.6494, 0.7141, 0.6984, 0.6839, 0.6517, 0.6814]"
40 "[0.7549, 0.7529, 0.7603, 0.7459, 0.7276, 0.7198, 0.7373, 0.7629, 0.7651, 0.7473, 0.7646, 0.7627, 0.7445, 0.7594, 0.7596, 0.7629, 0.7436, 0.7595, 0.7613, 0.7187, 0.759, 0.7131, 0.7623, 0.7616, 0.7593, 0.7577, 0.7493, 0.759, 0.7606, 0.7657, 0.7604, 0.734, 0.765, 0.7645, 0.757, 0.7529, 0.7647, 0.7622, 0.7637, 0.7103, 0.7596, 0.7618, 0.7578, 0.7611, 0.761, 0.7519, 0.7621, 0.7625, 0.7645, 0.7606, 0.7226, 0.7176, 0.7603, 0.7613, 0.7592, 0.7571, 0.7615, 0.7655, 0.7589, 0.7611, 0.7632, 0.7543, 0.7616, 0.7603, 0.7631, 0.7591, 0.7341, 0.7613, 0.7613, 0.7461, 0.7574, 0.7534, 0.7545, 0.7353, 0.7644, 0.7607, 0.7545, 0.7614, 0.7626, 0.749, 0.7639, 0.7518, 0.7594, 0.7179, 0.7552, 0.7594, 0.7542, 0.7615, 0.7616, 0.7617, 0.7632, 0.7546, 0.7534, 0.7445, 0.7631, 0.7592, 0.7601, 0.7585, 0.7557, 0.71]"
80 "[0.761, 0.7648, 0.763, 0.7643, 0.7599, 0.761, 0.7631, 0.7611, 0.764, 0.7623, 0.764, 0.7628, 0.7628, 0.7656, 0.7661, 0.7651, 0.7625, 0.7636, 0.764, 0.7618, 0.765, 0.7599, 0.7654, 0.7617, 0.7648, 0.7641, 0.7643, 0.7627, 0.7596, 0.7637, 0.7458, 0.7618, 0.7627, 0.7641, 0.7617, 0.766, 0.7626, 0.7601, 0.7617, 0.7651, 0.7647, 0.7631, 0.7627, 0.7637, 0.7533, 0.762, 0.7611, 0.7615, 0.7653, 0.7599, 0.7633, 0.7645, 0.765, 0.7614, 0.7634, 0.7615, 0.7656, 0.7617, 0.7633, 0.7632, 0.7622, 0.7644, 0.7516, 0.7537, 0.7625, 0.7608, 0.7617, 0.7658, 0.7656, 0.7646, 0.7599, 0.7634, 0.7623, 0.7652, 0.7668, 0.7628, 0.7609, 0.762, 0.7621, 0.7624, 0.763, 0.7651, 0.7347, 0.7653, 0.7653, 0.7612, 0.7647, 0.7582, 0.7636, 0.7644, 0.7632, 0.7636, 0.7644, 0.763, 0.764, 0.7629, 0.7654, 0.764, 0.7643, 0.763]"
160 "[0.7645, 0.7655, 0.7654, 0.7665, 0.7626, 0.7659, 0.7654, 0.7647, 0.7654, 0.7625, 0.7632, 0.7599, 0.765, 0.7661, 0.7634, 0.7633, 0.7653, 0.7642, 0.7645, 0.7654, 0.7669, 0.7642, 0.7654, 0.7658, 0.7654, 0.7653, 0.7657, 0.7654, 0.7627, 0.765, 0.766, 0.7626, 0.7653, 0.764, 0.765, 0.7661, 0.7662, 0.7653, 0.7651, 0.7645, 0.7625, 0.7646, 0.7649, 0.764, 0.7655, 0.7648, 0.7624, 0.7663, 0.7633, 0.7658, 0.7633, 0.7657, 0.7654, 0.7643, 0.7657, 0.7623, 0.7641, 0.7624, 0.7646, 0.7646, 0.7645, 0.7634, 0.7653, 0.7678, 0.7661, 0.7649, 0.7644, 0.7649, 0.7658, 0.7662, 0.7637, 0.7647, 0.7632, 0.7655, 0.764, 0.7659, 0.7669, 0.7636, 0.7629, 0.7651, 0.7637, 0.6844, 0.7646, 0.7646, 0.7651, 0.7647, 0.7642, 0.7644, 0.7638, 0.7649, 0.7658, 0.7669, 0.7647, 0.765, 0.7642, 0.7652, 0.7621, 0.7653, 0.7607, 0.765]"
320 "[0.7598, 0.7651, 0.764, 0.7649, 0.7658, 0.7644, 0.7651, 0.7563, 0.7645, 0.7657, 0.7645, 0.7616, 0.7666, 0.7654, 0.7656, 0.7652, 0.7631, 0.7647, 0.7641, 0.7632, 0.7652, 0.7646, 0.767, 0.765, 0.7601, 0.767, 0.765, 0.764, 0.7646, 0.7633, 0.7653, 0.7655, 0.7642, 0.7634, 0.7557, 0.7647, 0.7656, 0.7646, 0.7671, 0.7629, 0.7638, 0.7653, 0.7557, 0.7641, 0.7659, 0.7649, 0.7652, 0.7669, 0.7633, 0.7646, 0.7642, 0.7656, 0.7635, 0.7622, 0.7594, 0.7655, 0.7637, 0.7661, 0.7648, 0.7643, 0.7635, 0.7643, 0.7656, 0.7642, 0.7651, 0.7663, 0.7626, 0.7666, 0.765, 0.7606, 0.7635, 0.7644, 0.7652, 0.7655, 0.7637, 0.7662, 0.7628, 0.7654, 0.7627, 0.7638, 0.7637, 0.7657, 0.7643, 0.7638, 0.7652, 0.7644, 0.7671, 0.764, 0.7664, 0.7652, 0.7647, 0.7612, 0.7672, 0.7626, 0.7649, 0.756, 0.7656, 0.7638, 0.7644, 0.7649]"
640 "[0.7611, 0.7631, 0.7633, 0.7648, 0.765, 0.7619, 0.7644, 0.7637, 0.7664, 0.766, 0.7648, 0.7645, 0.7641, 0.7661, 0.7648, 0.7666, 0.7645, 0.7659, 0.765, 0.7653, 0.763, 0.7645, 0.7652, 0.7651, 0.7632, 0.7649, 0.765, 0.7659, 0.7642, 0.7651, 0.7643, 0.7625, 0.7657, 0.7654, 0.766, 0.7668, 0.7553, 0.7645, 0.7655, 0.7658, 0.7654, 0.7639, 0.7641, 0.767, 0.7612, 0.766, 0.7646, 0.7659, 0.7655, 0.7664, 0.7659, 0.7664, 0.7639, 0.7648, 0.7658, 0.7625, 0.7665, 0.7658, 0.7651, 0.7665, 0.7644, 0.7645, 0.7645, 0.764, 0.7649, 0.765, 0.7658, 0.7658, 0.7658, 0.764, 0.7653, 0.7659, 0.7657, 0.7651, 0.7663, 0.7625, 0.7662, 0.7652, 0.7643, 0.7637, 0.7653, 0.7638, 0.7657, 0.7651, 0.7657, 0.7666, 0.7663, 0.7644, 0.7648, 0.7625, 0.766, 0.7658, 0.7644, 0.7663, 0.7656, 0.7635, 0.7667, 0.7665, 0.7653, 0.7666]"
1280 "[0.7667, 0.7666, 0.7668, 0.7663, 0.766, 0.7647, 0.7651, 0.7651, 0.7615, 0.7653, 0.7653, 0.7655, 0.7653, 0.7676, 0.7652, 0.7641, 0.7649, 0.7649, 0.7644, 0.7659, 0.7666, 0.7658, 0.767, 0.7653, 0.7665, 0.7661, 0.7649, 0.7646, 0.7656, 0.7624, 0.7671, 0.7657, 0.7669, 0.7656, 0.764, 0.7657, 0.7655, 0.7657, 0.7642, 0.7643, 0.7652, 0.7659, 0.7646, 0.765, 0.7652, 0.7658, 0.7666, 0.766, 0.765, 0.7665, 0.7659, 0.7661, 0.7656, 0.7677, 0.7659, 0.7657, 0.7658, 0.7664, 0.7671, 0.7661, 0.7667, 0.7647, 0.766, 0.7665, 0.765, 0.764, 0.7664, 0.7652, 0.7642, 0.7668, 0.7638, 0.764, 0.7665, 0.7673, 0.766, 0.7665, 0.7645, 0.764, 0.7643, 0.7656, 0.7657, 0.7665, 0.7669, 0.7656, 0.7667, 0.7664, 0.766, 0.753, 0.7654, 0.7655, 0.7649, 0.7654, 0.7652, 0.7664, 0.7671, 0.763, 0.7658, 0.7641, 0.7649, 0.7652]"
2560 "[0.7663, 0.7658, 0.7654, 0.7655, 0.7659, 0.7652, 0.7654, 0.7495, 0.7649, 0.7663, 0.765, 0.7666, 0.7655, 0.766, 0.7661, 0.7664, 0.7666, 0.7658, 0.7633, 0.763, 0.7665, 0.7652, 0.7665, 0.7665, 0.7639, 0.7664, 0.7653, 0.7657, 0.7644, 0.7661, 0.7663, 0.7651, 0.7649, 0.7651, 0.7665, 0.7644, 0.7672, 0.7609, 0.7658, 0.7659, 0.7658, 0.7653, 0.7674, 0.7651, 0.7658, 0.7665, 0.7632, 0.7665, 0.7657, 0.7661, 0.7649, 0.7661, 0.7647, 0.7654, 0.7661, 0.7644, 0.7663, 0.7657, 0.7658, 0.7647, 0.7673, 0.7646, 0.764, 0.7649, 0.7666, 0.7652, 0.7648, 0.7666, 0.765, 0.7666, 0.7677, 0.7661, 0.7663, 0.7644, 0.7668, 0.7655, 0.7663, 0.7662, 0.7647, 0.7656, 0.7663, 0.7642, 0.7656, 0.7656, 0.7643, 0.7662, 0.7662, 0.7662, 0.7652, 0.7665, 0.7661, 0.7654, 0.7657, 0.7665, 0.7667, 0.765, 0.766, 0.7662, 0.7652, 0.7613]"
5120 "[0.7668, 0.7664, 0.7663, 0.7657, 0.7664, 0.7669, 0.7664, 0.7651, 0.766, 0.763, 0.7668, 0.766, 0.7654, 0.7653, 0.7662, 0.7661, 0.7669, 0.765, 0.7664, 0.7657, 0.7661, 0.7647, 0.766, 0.7654, 0.7672, 0.7638, 0.766, 0.7667, 0.7665, 0.7663, 0.7679, 0.7656, 0.7641, 0.7653, 0.7663, 0.7673, 0.7662, 0.7671, 0.7655, 0.7666, 0.7673, 0.7662, 0.767, 0.7646, 0.7666, 0.7668, 0.7671, 0.7662, 0.765, 0.7635, 0.7666, 0.7662, 0.7678, 0.7647, 0.7663, 0.7663, 0.7661, 0.7666, 0.7658, 0.7663, 0.7665, 0.7659, 0.7661, 0.7659, 0.7641, 0.7655, 0.765, 0.7675, 0.7657, 0.7669, 0.768, 0.7679, 0.7659, 0.7664, 0.7668, 0.7652, 0.7661, 0.7643, 0.7667, 0.7651, 0.767, 0.7659, 0.7656, 0.7675, 0.7657, 0.767, 0.7667, 0.7658, 0.7668, 0.7648, 0.7641, 0.7647, 0.7661, 0.7643, 0.7649, 0.7666, 0.7636, 0.7656, 0.7661, 0.7675]"
