 Linear0
10 "[0.6632, 0.6969, 0.365, 0.5688, 0.6834, 0.7129, 0.6402, 0.6543, 0.4154, 0.6647, 0.5173, 0.6249, 0.6445, 0.648, 0.7301, 0.5698, 0.5486, 0.7137, 0.5293, 0.452, 0.5584, 0.7409, 0.5956, 0.6671, 0.7269, 0.6535, 0.7447, 0.7313, 0.6744, 0.6513, 0.6491, 0.6374, 0.3118, 0.5579, 0.6861, 0.6806, 0.6883, 0.7396, 0.6268, 0.6624, 0.5345, 0.5503, 0.7065, 0.6351, 0.6931, 0.7144, 0.7056, 0.5396, 0.2111, 0.5662, 0.7088, 0.7245, 0.7157, 0.6481, 0.4695, 0.7382, 0.583, 0.4749, 0.711, 0.6478, 0.6661, 0.5334, 0.602, 0.6388, 0.6287, 0.5959, 0.7415, 0.6634, 0.702, 0.5814, 0.7293, 0.6787, 0.7121, 0.6437, 0.6601, 0.6702, 0.6561, 0.499, 0.7483, 0.7484, 0.7466, 0.563, 0.724, 0.6776, 0.7186, 0.7184, 0.6659, 0.5851, 0.5375, 0.6954, 0.7227, 0.5927, 0.7262, 0.7328, 0.4455, 0.747, 0.5923, 0.3909, 0.4977, 0.6734]"
20 "[0.7401, 0.7113, 0.7431, 0.7496, 0.7482, 0.707, 0.7506, 0.7391, 0.7504, 0.7064, 0.7352, 0.7452, 0.7534, 0.7281, 0.7307, 0.7491, 0.7146, 0.7467, 0.7316, 0.7492, 0.7319, 0.7382, 0.7239, 0.7437, 0.7431, 0.748, 0.7297, 0.7512, 0.6027, 0.752, 0.7358, 0.7453, 0.7463, 0.7453, 0.666, 0.7452, 0.687, 0.6887, 0.6724, 0.7148, 0.7488, 0.7506, 0.7508, 0.6989, 0.7499, 0.7395, 0.7498, 0.7018, 0.743, 0.6776, 0.7514, 0.7068, 0.6992, 0.7064, 0.6793, 0.7091, 0.7452, 0.7487, 0.7486, 0.7451, 0.7418, 0.7417, 0.7471, 0.7466, 0.686, 0.7483, 0.748, 0.7546, 0.7525, 0.748, 0.6983, 0.7517, 0.7495, 0.7201, 0.7421, 0.6783, 0.7518, 0.747, 0.6822, 0.7167, 0.7474, 0.7488, 0.7499, 0.746, 0.7516, 0.7516, 0.735, 0.6962, 0.6813, 0.7481, 0.7521, 0.7088, 0.7392, 0.7422, 0.7362, 0.7481, 0.7273, 0.7192, 0.7492, 0.7388]"
40 "[0.7487, 0.7408, 0.7539, 0.7538, 0.7492, 0.7438, 0.7435, 0.7544, 0.7457, 0.7533, 0.7536, 0.7415, 0.7505, 0.7522, 0.7498, 0.7569, 0.754, 0.7479, 0.7511, 0.7514, 0.7488, 0.7399, 0.7543, 0.7454, 0.7509, 0.7548, 0.7476, 0.7511, 0.7542, 0.7517, 0.7571, 0.7521, 0.753, 0.7525, 0.7512, 0.7537, 0.7525, 0.7551, 0.7555, 0.7513, 0.7503, 0.7547, 0.7538, 0.74, 0.7542, 0.7545, 0.7543, 0.7529, 0.753, 0.7524, 0.7489, 0.7529, 0.748, 0.7491, 0.7544, 0.7535, 0.7531, 0.7546, 0.7524, 0.7485, 0.7551, 0.7522, 0.751, 0.7525, 0.7532, 0.7526, 0.7511, 0.7538, 0.7537, 0.7533, 0.7529, 0.7516, 0.754, 0.7504, 0.7544, 0.7498, 0.7503, 0.7516, 0.7512, 0.7568, 0.7534, 0.7527, 0.7539, 0.7542, 0.7545, 0.7541, 0.7469, 0.7482, 0.7484, 0.7542, 0.7506, 0.7513, 0.7317, 0.7463, 0.754, 0.7545, 0.7536, 0.7534, 0.7539, 0.7468]"
80 "[0.7539, 0.7526, 0.7544, 0.7579, 0.7534, 0.7517, 0.7544, 0.7505, 0.7542, 0.7513, 0.7541, 0.755, 0.755, 0.7567, 0.7521, 0.7536, 0.7563, 0.7538, 0.756, 0.7563, 0.7556, 0.754, 0.751, 0.7554, 0.7528, 0.7537, 0.7562, 0.752, 0.7548, 0.7545, 0.7508, 0.7558, 0.7532, 0.7551, 0.7518, 0.7549, 0.7542, 0.7522, 0.7527, 0.7558, 0.7558, 0.7543, 0.7539, 0.7557, 0.7508, 0.7449, 0.7505, 0.7491, 0.7467, 0.7548, 0.7531, 0.7536, 0.7564, 0.7528, 0.7539, 0.7543, 0.7569, 0.7537, 0.7523, 0.7549, 0.7554, 0.7498, 0.7504, 0.7497, 0.7504, 0.7553, 0.7507, 0.7494, 0.7531, 0.7536, 0.7534, 0.7515, 0.7533, 0.7556, 0.7556, 0.7545, 0.7514, 0.7572, 0.7534, 0.7527, 0.7544, 0.7522, 0.7538, 0.7567, 0.7531, 0.7548, 0.7549, 0.7539, 0.7526, 0.7574, 0.7524, 0.7538, 0.7509, 0.753, 0.7554, 0.7535, 0.7557, 0.7518, 0.7532, 0.7531]"
160 "[0.7568, 0.7537, 0.7533, 0.7545, 0.7571, 0.7578, 0.7573, 0.7554, 0.7552, 0.7575, 0.7528, 0.7526, 0.755, 0.7498, 0.7541, 0.7542, 0.7549, 0.7507, 0.7556, 0.7553, 0.7542, 0.7529, 0.7556, 0.7531, 0.7542, 0.7565, 0.7577, 0.7536, 0.7557, 0.7546, 0.7557, 0.7568, 0.7531, 0.7557, 0.752, 0.7575, 0.7561, 0.7547, 0.7547, 0.7537, 0.7554, 0.7539, 0.7559, 0.7537, 0.753, 0.7542, 0.7551, 0.757, 0.7557, 0.7543, 0.7546, 0.7538, 0.7546, 0.7545, 0.7552, 0.7545, 0.7557, 0.754, 0.7536, 0.7526, 0.7577, 0.7558, 0.755, 0.7563, 0.7557, 0.7546, 0.7561, 0.7565, 0.7548, 0.7562, 0.7565, 0.7564, 0.7544, 0.7534, 0.7547, 0.7531, 0.7548, 0.7538, 0.7572, 0.756, 0.7544, 0.7395, 0.7525, 0.7539, 0.7537, 0.7546, 0.7552, 0.7534, 0.7582, 0.7538, 0.7559, 0.7524, 0.7518, 0.7535, 0.7558, 0.7542, 0.7537, 0.7524, 0.7554, 0.753]"
320 "[0.7549, 0.7559, 0.7561, 0.7561, 0.7528, 0.7552, 0.7545, 0.7563, 0.7542, 0.7559, 0.7536, 0.7535, 0.7557, 0.7558, 0.7565, 0.7503, 0.7538, 0.7541, 0.7556, 0.7568, 0.754, 0.7559, 0.7541, 0.7573, 0.7543, 0.7529, 0.7551, 0.7514, 0.7532, 0.756, 0.7536, 0.7541, 0.7565, 0.7556, 0.7562, 0.7553, 0.7561, 0.7562, 0.7556, 0.7557, 0.7549, 0.7563, 0.7537, 0.7546, 0.7587, 0.7555, 0.7554, 0.7564, 0.7546, 0.7551, 0.7523, 0.7554, 0.7548, 0.7555, 0.7557, 0.7562, 0.7522, 0.7567, 0.7528, 0.7531, 0.7525, 0.757, 0.7563, 0.7553, 0.753, 0.7546, 0.7555, 0.7561, 0.7549, 0.7527, 0.7567, 0.7535, 0.756, 0.7502, 0.7528, 0.7549, 0.7553, 0.7553, 0.7544, 0.7545, 0.7543, 0.7562, 0.7567, 0.7555, 0.7544, 0.7566, 0.7555, 0.7555, 0.7546, 0.7523, 0.7569, 0.7567, 0.7558, 0.7545, 0.7564, 0.7528, 0.7552, 0.7562, 0.7559, 0.7555]"
640 "[0.7546, 0.7529, 0.7552, 0.753, 0.7556, 0.7542, 0.756, 0.7542, 0.7549, 0.7548, 0.7517, 0.7505, 0.7566, 0.7557, 0.7549, 0.7565, 0.7551, 0.7567, 0.7549, 0.7571, 0.7534, 0.7565, 0.7558, 0.7571, 0.756, 0.7545, 0.7545, 0.7556, 0.7547, 0.7557, 0.7557, 0.7577, 0.7582, 0.758, 0.7541, 0.754, 0.7566, 0.7562, 0.7554, 0.7547, 0.7536, 0.7571, 0.7555, 0.7547, 0.7555, 0.7543, 0.7565, 0.7571, 0.7536, 0.754, 0.7529, 0.7508, 0.755, 0.7548, 0.7535, 0.7562, 0.7558, 0.7573, 0.755, 0.7559, 0.7549, 0.7578, 0.7551, 0.7564, 0.7558, 0.7542, 0.7542, 0.7552, 0.7548, 0.7557, 0.7534, 0.758, 0.755, 0.755, 0.7555, 0.7538, 0.7557, 0.7531, 0.7562, 0.7555, 0.7553, 0.7556, 0.7541, 0.7588, 0.7557, 0.7557, 0.7571, 0.7526, 0.7518, 0.7531, 0.7548, 0.7517, 0.754, 0.7549, 0.7575, 0.7572, 0.754, 0.7557, 0.7558, 0.7556]"
1280 "[0.7529, 0.7545, 0.7543, 0.7522, 0.7557, 0.7567, 0.7538, 0.7534, 0.757, 0.75, 0.7541, 0.7547, 0.7544, 0.7567, 0.7545, 0.7558, 0.7513, 0.7536, 0.7538, 0.7551, 0.756, 0.756, 0.756, 0.7555, 0.7547, 0.7567, 0.7571, 0.7556, 0.7575, 0.7527, 0.7559, 0.7546, 0.7551, 0.7525, 0.7532, 0.7541, 0.7545, 0.7555, 0.7539, 0.7563, 0.754, 0.7571, 0.7566, 0.7548, 0.7562, 0.7573, 0.7569, 0.7579, 0.7558, 0.7527, 0.7565, 0.756, 0.7534, 0.7575, 0.7516, 0.7548, 0.7584, 0.7558, 0.7539, 0.7556, 0.7561, 0.7532, 0.7558, 0.7549, 0.7556, 0.7565, 0.7567, 0.7563, 0.7559, 0.7523, 0.7535, 0.7531, 0.7543, 0.7554, 0.7554, 0.755, 0.7577, 0.7543, 0.756, 0.7555, 0.7569, 0.7536, 0.7551, 0.756, 0.7563, 0.7556, 0.7554, 0.7555, 0.7579, 0.7538, 0.7552, 0.7561, 0.7565, 0.7546, 0.7554, 0.7561, 0.7554, 0.7552, 0.7559, 0.7573]"
2560 "[0.7551, 0.7579, 0.7541, 0.7561, 0.7558, 0.7549, 0.7563, 0.7563, 0.7526, 0.7566, 0.7552, 0.7564, 0.7566, 0.7547, 0.7566, 0.7553, 0.7561, 0.7526, 0.7528, 0.756, 0.7564, 0.7555, 0.7548, 0.7565, 0.7542, 0.7556, 0.7543, 0.7546, 0.7575, 0.7571, 0.7532, 0.7555, 0.7556, 0.7553, 0.7565, 0.7556, 0.7568, 0.7535, 0.7578, 0.756, 0.7553, 0.7575, 0.7537, 0.7575, 0.7545, 0.7547, 0.7549, 0.7571, 0.7537, 0.757, 0.7571, 0.7553, 0.755, 0.7562, 0.7572, 0.7568, 0.7546, 0.7567, 0.7562, 0.7535, 0.756, 0.7554, 0.7563, 0.756, 0.7573, 0.7557, 0.753, 0.754, 0.7551, 0.7555, 0.7538, 0.758, 0.7578, 0.7562, 0.7559, 0.7545, 0.7551, 0.7552, 0.7559, 0.7562, 0.7538, 0.7548, 0.7558, 0.7542, 0.7574, 0.7523, 0.7562, 0.7573, 0.7583, 0.7557, 0.7555, 0.7575, 0.7567, 0.7538, 0.7543, 0.7558, 0.7531, 0.7582, 0.7557, 0.7555]"
5120 "[0.7558, 0.752, 0.7551, 0.757, 0.7566, 0.7576, 0.7581, 0.7553, 0.7551, 0.754, 0.7575, 0.7565, 0.7555, 0.758, 0.7563, 0.7534, 0.7568, 0.7554, 0.7557, 0.7549, 0.7565, 0.7549, 0.757, 0.7567, 0.7565, 0.7569, 0.7557, 0.7572, 0.7562, 0.7557, 0.7547, 0.7532, 0.757, 0.7548, 0.7562, 0.7549, 0.7578, 0.756, 0.7542, 0.7563, 0.7569, 0.7561, 0.7571, 0.7561, 0.758, 0.757, 0.7553, 0.7556, 0.7519, 0.7569, 0.7549, 0.7565, 0.7564, 0.758, 0.756, 0.7563, 0.7552, 0.7559, 0.7557, 0.7562, 0.7564, 0.7558, 0.755, 0.7541, 0.7549, 0.756, 0.757, 0.7579, 0.757, 0.7541, 0.7553, 0.7566, 0.7575, 0.7575, 0.7564, 0.7571, 0.7557, 0.7569, 0.7564, 0.7582, 0.7553, 0.7577, 0.7552, 0.7568, 0.7576, 0.7565, 0.7581, 0.756, 0.7545, 0.7561, 0.7577, 0.7547, 0.7574, 0.7555, 0.7574, 0.7558, 0.7556, 0.756, 0.7541, 0.7576]"
