 Linear0
10 "[0.5727, 0.7368, 0.54, 0.6613, 0.7257, 0.7168, 0.6751, 0.6334, 0.6479, 0.6377, 0.7319, 0.7394, 0.6763, 0.5622, 0.6776, 0.567, 0.6699, 0.716, 0.6705, 0.6969, 0.5757, 0.7336, 0.6885, 0.6461, 0.6519, 0.6412, 0.7321, 0.7024, 0.5855, 0.6438, 0.6848, 0.7362, 0.4149, 0.7508, 0.7469, 0.5932, 0.6746, 0.6734, 0.7323, 0.7105, 0.6999, 0.6515, 0.6819, 0.6653, 0.687, 0.6434, 0.6625, 0.6167, 0.6944, 0.6125, 0.7186, 0.5869, 0.7277, 0.5564, 0.5988, 0.6811, 0.6194, 0.5857, 0.7519, 0.6525, 0.5827, 0.7265, 0.621, 0.7325, 0.6673, 0.6767, 0.5805, 0.6699, 0.7377, 0.629, 0.6084, 0.7081, 0.5973, 0.6866, 0.6687, 0.6908, 0.7528, 0.5996, 0.6617, 0.7125, 0.698, 0.7435, 0.6985, 0.6044, 0.6608, 0.669, 0.7306, 0.6661, 0.6549, 0.6373, 0.6808, 0.6896, 0.7428, 0.6616, 0.6888, 0.7226, 0.7065, 0.4935, 0.727, 0.6694]"
20 "[0.7393, 0.7336, 0.7198, 0.7417, 0.759, 0.6978, 0.753, 0.7531, 0.7535, 0.7348, 0.7475, 0.7466, 0.7515, 0.7389, 0.7157, 0.746, 0.7169, 0.7558, 0.7315, 0.7466, 0.7407, 0.7445, 0.7597, 0.7494, 0.7422, 0.7376, 0.7477, 0.7498, 0.7179, 0.7386, 0.7507, 0.7397, 0.7566, 0.7418, 0.7518, 0.7555, 0.7262, 0.7382, 0.6883, 0.6751, 0.7567, 0.7568, 0.7346, 0.6979, 0.7599, 0.7369, 0.7573, 0.7089, 0.7133, 0.7153, 0.7464, 0.7244, 0.6715, 0.7433, 0.7587, 0.7474, 0.7246, 0.7301, 0.738, 0.7358, 0.7589, 0.7486, 0.7436, 0.7429, 0.736, 0.7402, 0.7435, 0.7563, 0.7579, 0.7373, 0.746, 0.7378, 0.7212, 0.7397, 0.7326, 0.7478, 0.7158, 0.7394, 0.7213, 0.7591, 0.7325, 0.7362, 0.7626, 0.7539, 0.7488, 0.7594, 0.7588, 0.7145, 0.7287, 0.7487, 0.7561, 0.7574, 0.7338, 0.7295, 0.7278, 0.7353, 0.7422, 0.7495, 0.7447, 0.7518]"
40 "[0.7464, 0.7533, 0.7575, 0.7531, 0.7597, 0.7594, 0.759, 0.7622, 0.756, 0.7596, 0.7637, 0.7623, 0.7587, 0.7631, 0.7576, 0.7605, 0.7542, 0.7577, 0.7598, 0.7603, 0.7605, 0.763, 0.7638, 0.7565, 0.7632, 0.7641, 0.7598, 0.7632, 0.7602, 0.7633, 0.7603, 0.7599, 0.7634, 0.7609, 0.7612, 0.7622, 0.7626, 0.7617, 0.7646, 0.756, 0.7589, 0.7587, 0.7603, 0.6999, 0.7642, 0.7498, 0.762, 0.7627, 0.764, 0.7631, 0.7594, 0.7541, 0.7599, 0.7634, 0.7627, 0.7619, 0.7628, 0.7617, 0.7588, 0.7612, 0.7627, 0.7538, 0.7636, 0.7607, 0.7594, 0.7607, 0.7586, 0.764, 0.7628, 0.761, 0.7625, 0.7598, 0.7451, 0.7618, 0.7601, 0.7594, 0.7582, 0.7616, 0.7625, 0.7647, 0.7576, 0.7599, 0.7597, 0.7594, 0.7591, 0.7571, 0.7582, 0.7605, 0.7572, 0.7617, 0.761, 0.7598, 0.7594, 0.7563, 0.7567, 0.7626, 0.7588, 0.7589, 0.7622, 0.7592]"
80 "[0.763, 0.7639, 0.7643, 0.7648, 0.7636, 0.76, 0.7596, 0.7631, 0.7592, 0.7618, 0.7639, 0.7587, 0.7638, 0.7632, 0.7596, 0.7618, 0.7626, 0.7635, 0.7636, 0.764, 0.7631, 0.7622, 0.7596, 0.7649, 0.7578, 0.7604, 0.7614, 0.7604, 0.7632, 0.7668, 0.7597, 0.7631, 0.762, 0.7622, 0.7622, 0.7613, 0.7643, 0.7634, 0.7633, 0.7558, 0.7632, 0.7614, 0.7628, 0.7644, 0.7616, 0.7643, 0.762, 0.7604, 0.7616, 0.7622, 0.7623, 0.7644, 0.7629, 0.7609, 0.761, 0.7632, 0.7627, 0.761, 0.7592, 0.763, 0.7619, 0.7648, 0.7628, 0.7615, 0.7592, 0.7625, 0.7621, 0.7597, 0.7627, 0.7618, 0.762, 0.7644, 0.7617, 0.7623, 0.7612, 0.7623, 0.7612, 0.7633, 0.7632, 0.7618, 0.7584, 0.7614, 0.7627, 0.7569, 0.7637, 0.7621, 0.7619, 0.7596, 0.7606, 0.7611, 0.7605, 0.7621, 0.7622, 0.7649, 0.7615, 0.7628, 0.7631, 0.7608, 0.763, 0.7649]"
160 "[0.7607, 0.7646, 0.7622, 0.7655, 0.7633, 0.7622, 0.7639, 0.7644, 0.7639, 0.764, 0.7631, 0.761, 0.7626, 0.7628, 0.7643, 0.7637, 0.7609, 0.7631, 0.7608, 0.7635, 0.7619, 0.7604, 0.7619, 0.763, 0.7633, 0.7644, 0.7646, 0.7637, 0.7643, 0.7647, 0.7632, 0.7615, 0.7634, 0.76, 0.7627, 0.764, 0.7645, 0.7641, 0.7648, 0.7638, 0.7644, 0.7636, 0.7603, 0.7638, 0.7654, 0.7639, 0.7634, 0.7623, 0.7643, 0.7615, 0.7633, 0.7611, 0.7612, 0.7648, 0.763, 0.764, 0.7638, 0.7631, 0.7589, 0.7629, 0.7619, 0.7645, 0.7632, 0.7617, 0.7638, 0.7621, 0.7634, 0.7623, 0.7617, 0.764, 0.7615, 0.764, 0.7621, 0.7635, 0.7633, 0.7626, 0.7644, 0.763, 0.7637, 0.7627, 0.7626, 0.7651, 0.7625, 0.765, 0.7625, 0.758, 0.7656, 0.7629, 0.7604, 0.7604, 0.7647, 0.7632, 0.7626, 0.7645, 0.7583, 0.7632, 0.7635, 0.7652, 0.7648, 0.764]"
320 "[0.7642, 0.7623, 0.7636, 0.7655, 0.7552, 0.7644, 0.7646, 0.763, 0.7562, 0.7632, 0.7618, 0.7633, 0.7553, 0.7643, 0.7658, 0.7629, 0.7625, 0.7651, 0.7557, 0.7616, 0.7635, 0.765, 0.7619, 0.7619, 0.7639, 0.762, 0.7636, 0.759, 0.7654, 0.7614, 0.7617, 0.7635, 0.7654, 0.7647, 0.7644, 0.7623, 0.7621, 0.7546, 0.7639, 0.7641, 0.764, 0.7626, 0.7626, 0.7605, 0.7641, 0.7635, 0.7648, 0.7641, 0.7638, 0.7637, 0.7639, 0.7633, 0.7637, 0.762, 0.7642, 0.7624, 0.7632, 0.7625, 0.7636, 0.762, 0.7638, 0.7621, 0.7633, 0.7625, 0.763, 0.7643, 0.7563, 0.763, 0.7631, 0.7638, 0.7621, 0.7622, 0.7647, 0.7381, 0.7635, 0.7648, 0.7651, 0.7634, 0.7633, 0.7646, 0.7556, 0.7623, 0.7638, 0.7641, 0.7613, 0.7639, 0.7619, 0.7637, 0.7643, 0.7647, 0.7642, 0.7641, 0.7653, 0.7647, 0.7646, 0.7613, 0.7633, 0.7629, 0.7636, 0.7615]"
640 "[0.763, 0.7638, 0.7651, 0.7637, 0.7657, 0.7638, 0.7646, 0.7638, 0.7617, 0.7632, 0.7628, 0.7618, 0.7634, 0.7635, 0.7634, 0.763, 0.7619, 0.7644, 0.7636, 0.7643, 0.7635, 0.7651, 0.7641, 0.7624, 0.763, 0.7633, 0.763, 0.7639, 0.7608, 0.7645, 0.7627, 0.7652, 0.7624, 0.7644, 0.7616, 0.7639, 0.7637, 0.7636, 0.7623, 0.7637, 0.7635, 0.7649, 0.7616, 0.7632, 0.7628, 0.7637, 0.7649, 0.7647, 0.7637, 0.7635, 0.7648, 0.7638, 0.7648, 0.7636, 0.7637, 0.7648, 0.7628, 0.7644, 0.7592, 0.7636, 0.7635, 0.7625, 0.7639, 0.7636, 0.7627, 0.7633, 0.7648, 0.7609, 0.7638, 0.7646, 0.7638, 0.763, 0.7643, 0.7617, 0.7606, 0.7642, 0.7641, 0.7629, 0.7629, 0.7633, 0.7652, 0.7637, 0.7644, 0.7646, 0.7624, 0.7625, 0.7624, 0.7621, 0.7613, 0.7633, 0.7637, 0.7613, 0.7635, 0.7633, 0.7633, 0.7656, 0.764, 0.7627, 0.7639, 0.7641]"
1280 "[0.7649, 0.7644, 0.7638, 0.7586, 0.7639, 0.7643, 0.7627, 0.7622, 0.7616, 0.7627, 0.7626, 0.7639, 0.7643, 0.7628, 0.7634, 0.7643, 0.7617, 0.7636, 0.763, 0.7639, 0.7647, 0.7628, 0.7652, 0.7648, 0.7642, 0.7639, 0.7576, 0.7627, 0.7645, 0.7619, 0.764, 0.7652, 0.764, 0.764, 0.7656, 0.7633, 0.7631, 0.7628, 0.7649, 0.7654, 0.763, 0.7625, 0.7646, 0.7638, 0.7625, 0.7637, 0.7628, 0.763, 0.7634, 0.7631, 0.7636, 0.7623, 0.7641, 0.7625, 0.7629, 0.7629, 0.7626, 0.7652, 0.7641, 0.7623, 0.7645, 0.7639, 0.7642, 0.7636, 0.7637, 0.7602, 0.764, 0.7637, 0.7643, 0.7629, 0.7619, 0.7651, 0.7638, 0.7635, 0.7649, 0.7643, 0.7636, 0.76, 0.7639, 0.762, 0.7645, 0.7635, 0.7637, 0.7631, 0.763, 0.765, 0.7629, 0.7623, 0.7646, 0.7637, 0.7638, 0.7648, 0.7638, 0.7634, 0.7605, 0.7634, 0.7604, 0.7642, 0.765, 0.7646]"
2560 "[0.7656, 0.7637, 0.7622, 0.764, 0.7642, 0.7648, 0.7644, 0.7639, 0.7632, 0.7651, 0.7635, 0.7633, 0.7642, 0.7648, 0.7637, 0.7633, 0.7621, 0.7632, 0.7648, 0.7648, 0.7646, 0.7642, 0.7655, 0.7609, 0.7639, 0.7648, 0.7662, 0.7634, 0.7632, 0.7641, 0.7629, 0.7646, 0.7644, 0.7646, 0.7637, 0.7612, 0.7646, 0.7634, 0.7644, 0.7634, 0.7643, 0.7639, 0.7652, 0.7646, 0.7635, 0.7651, 0.7642, 0.7641, 0.7639, 0.7634, 0.7643, 0.7652, 0.7647, 0.7641, 0.7649, 0.7643, 0.7623, 0.7646, 0.7648, 0.7618, 0.7635, 0.7649, 0.7652, 0.7655, 0.7655, 0.765, 0.7644, 0.7635, 0.7632, 0.7654, 0.7626, 0.7632, 0.7623, 0.7641, 0.7624, 0.7639, 0.7635, 0.7643, 0.7644, 0.7644, 0.7647, 0.7641, 0.7652, 0.7635, 0.7656, 0.7636, 0.7642, 0.7636, 0.7647, 0.7635, 0.7646, 0.7651, 0.7633, 0.7637, 0.7646, 0.7654, 0.7621, 0.7649, 0.7645, 0.7642]"
5120 "[0.7614, 0.7642, 0.7645, 0.7646, 0.7649, 0.7635, 0.7644, 0.7631, 0.7641, 0.7631, 0.7632, 0.7646, 0.764, 0.7643, 0.7644, 0.7623, 0.765, 0.7659, 0.7644, 0.7639, 0.7655, 0.7648, 0.764, 0.764, 0.7648, 0.7605, 0.7639, 0.7648, 0.7658, 0.7653, 0.7649, 0.7624, 0.763, 0.7656, 0.7635, 0.7645, 0.7644, 0.7628, 0.765, 0.7653, 0.7657, 0.7644, 0.765, 0.7636, 0.7651, 0.765, 0.7639, 0.765, 0.7622, 0.7648, 0.7655, 0.7651, 0.7649, 0.7638, 0.7659, 0.7642, 0.7652, 0.764, 0.7645, 0.7657, 0.7641, 0.7616, 0.7647, 0.7637, 0.7648, 0.7632, 0.7654, 0.7641, 0.7646, 0.7631, 0.7656, 0.764, 0.7637, 0.7651, 0.7649, 0.7654, 0.7643, 0.7642, 0.7651, 0.7643, 0.7641, 0.7639, 0.7637, 0.7642, 0.763, 0.7653, 0.7641, 0.7653, 0.7651, 0.7647, 0.7651, 0.7624, 0.7656, 0.7647, 0.765, 0.7648, 0.762, 0.7653, 0.7612, 0.7644]"
