 Linear2
10 "[0.9711, 0.9637, 0.9678, 0.9666, 0.9758, 0.9781, 0.9669, 0.9733, 0.9621, 0.9658, 0.9716, 0.9722, 0.9744, 0.9561, 0.9715, 0.9729, 0.9704, 0.9748, 0.9769, 0.973, 0.9754, 0.9708, 0.9656, 0.9692, 0.9749, 0.9709, 0.9695, 0.9676, 0.9685, 0.9752, 0.9668, 0.9759, 0.96, 0.9731, 0.9722, 0.9776, 0.9726, 0.9738, 0.9739, 0.977]"
20 "[0.97, 0.9749, 0.9749, 0.9731, 0.9766, 0.9731, 0.9763, 0.9715, 0.9666, 0.9763, 0.9734, 0.9775, 0.9796, 0.9777, 0.9752, 0.9753, 0.9756, 0.9757, 0.9779, 0.9779, 0.9774, 0.9749, 0.9772, 0.9745, 0.9776, 0.9665, 0.9709, 0.9757, 0.9726, 0.9764, 0.9714, 0.9792, 0.976, 0.9764, 0.9767, 0.9791, 0.9724, 0.9734, 0.9685, 0.9753]"
40 "[0.9743, 0.9772, 0.9812, 0.9807, 0.9806, 0.9793, 0.9792, 0.9786, 0.9785, 0.979, 0.9773, 0.9815, 0.9786, 0.975, 0.979, 0.9813, 0.9793, 0.9793, 0.9782, 0.979, 0.9796, 0.9765, 0.9802, 0.9802, 0.9807, 0.9824, 0.9756, 0.9798, 0.9803, 0.9814, 0.9776, 0.9762, 0.977, 0.9769, 0.9792, 0.9791, 0.9809, 0.9787, 0.9771, 0.9659]"
80 "[0.9809, 0.9775, 0.9802, 0.9809, 0.9812, 0.981, 0.9826, 0.9806, 0.9808, 0.9788, 0.9822, 0.9813, 0.9787, 0.9807, 0.9784, 0.9805, 0.9817, 0.9807, 0.9798, 0.9807, 0.9808, 0.981, 0.9808, 0.9812, 0.9765, 0.9783, 0.9819, 0.9784, 0.9816, 0.9823, 0.9817, 0.9782, 0.9811, 0.9816, 0.9802, 0.9812, 0.9824, 0.9818, 0.9812, 0.978]"
160 "[0.9825, 0.9822, 0.9786, 0.9813, 0.9822, 0.9812, 0.9811, 0.9827, 0.9816, 0.9793, 0.9826, 0.9824, 0.9806, 0.9809, 0.9817, 0.9821, 0.9807, 0.9826, 0.9815, 0.9826, 0.9831, 0.9828, 0.9821, 0.9819, 0.9838, 0.9817, 0.9797, 0.9813, 0.9808, 0.98, 0.9826, 0.9813, 0.9823, 0.9816, 0.9823, 0.981, 0.9826, 0.9812, 0.9821, 0.9826]"
320 "[0.981, 0.9812, 0.9814, 0.9827, 0.9803, 0.9815, 0.9818, 0.9807, 0.9812, 0.9826, 0.9828, 0.9798, 0.9759, 0.9816, 0.983, 0.9825, 0.9819, 0.9829, 0.9787, 0.9816, 0.9831, 0.9831, 0.9771, 0.9797, 0.9826, 0.9824, 0.9829, 0.9839, 0.9821, 0.9834, 0.9822, 0.9825, 0.9827, 0.9829, 0.9818, 0.9834, 0.9805, 0.9814, 0.9814, 0.9821]"
640 "[0.9795, 0.9813, 0.9787, 0.9814, 0.9809, 0.9816, 0.9814, 0.9816, 0.9818, 0.9831, 0.9838, 0.9821, 0.9808, 0.9815, 0.9823, 0.9836, 0.9829, 0.9823, 0.9825, 0.9817, 0.9817, 0.9814, 0.9798, 0.9825, 0.9829, 0.9817, 0.9809, 0.9829, 0.984, 0.9795, 0.9825, 0.9815, 0.9803, 0.9816, 0.9828, 0.9811, 0.9831, 0.9822, 0.9821, 0.982]"
1280 "[0.9831, 0.9833, 0.9829, 0.9826, 0.9831, 0.9836, 0.9825, 0.982, 0.9828, 0.9817, 0.9839, 0.9831, 0.9838, 0.9816, 0.9831, 0.9834, 0.9827, 0.9815, 0.9832, 0.9826, 0.9812, 0.9839, 0.9819, 0.9826, 0.9831, 0.9819, 0.9827, 0.9803, 0.9832, 0.9832, 0.9821, 0.9832, 0.9818, 0.9838, 0.9825, 0.9829, 0.984, 0.9822, 0.9836, 0.9827]"
2560 "[0.9836, 0.9822, 0.9818, 0.9836, 0.9834, 0.9812, 0.9837, 0.9844, 0.9837, 0.982, 0.9841, 0.9832, 0.9828, 0.982, 0.9819, 0.9836, 0.9834, 0.9812, 0.9835, 0.9837, 0.9825, 0.9838, 0.9827, 0.981, 0.9834, 0.9838, 0.9824, 0.9832, 0.9838, 0.9829, 0.9838, 0.9825, 0.9833, 0.9823, 0.9842, 0.982, 0.9839, 0.9824, 0.9834, 0.983]"
5120 "[0.9841, 0.9834, 0.9834, 0.9828, 0.9808, 0.9808, 0.9834, 0.9836, 0.9822, 0.9806, 0.9806, 0.9838, 0.9825, 0.9816, 0.9842, 0.9829, 0.9835, 0.9825, 0.9823, 0.9822, 0.9833, 0.9826, 0.9829, 0.9841, 0.9828, 0.9838, 0.9844, 0.9837, 0.9841, 0.9834, 0.9841, 0.984, 0.9831, 0.984, 0.9842, 0.9839, 0.9841, 0.9835, 0.983, 0.9834]"
