 Linear0
10 "[0.2172, 0.3338, 0.1848, 0.1, 0.3278, 0.4214, 0.1944, 0.5479, 0.3948, 0.1, 0.1878, 0.3671, 0.3067, 0.1855, 0.3283, 0.2414, 0.1, 0.3921, 0.2195, 0.232, 0.402, 0.3408, 0.2705, 0.4454, 0.4409, 0.1785, 0.3369, 0.2411, 0.3717, 0.1801, 0.5838, 0.2696, 0.1941, 0.2035, 0.5861, 0.3502, 0.3775, 0.1884, 0.2134, 0.3494, 0.1925, 0.196, 0.3562, 0.2609, 0.4228, 0.2842, 0.2603, 0.3732, 0.6866, 0.4196, 0.1736, 0.4782, 0.1, 0.3139, 0.1, 0.4196, 0.4477, 0.4794, 0.2857, 0.4015, 0.3278, 0.3567, 0.4284, 0.3321, 0.358, 0.4596, 0.3572, 0.3857, 0.1875, 0.1609, 0.4922, 0.7194, 0.3024, 0.1588, 0.2934, 0.3396, 0.304, 0.2102, 0.2322, 0.1845, 0.635, 0.2774, 0.4996, 0.331, 0.1461, 0.1, 0.5681, 0.1771, 0.1274, 0.2271, 0.5462, 0.2763, 0.1243, 0.4545, 0.258, 0.3525, 0.2652, 0.1, 0.4897, 0.366]"
20 "[0.7464, 0.2865, 0.494, 0.6272, 0.4992, 0.236, 0.5969, 0.6271, 0.4778, 0.4484, 0.7209, 0.3295, 0.3468, 0.2089, 0.3196, 0.7355, 0.3406, 0.8066, 0.3889, 0.7309, 0.7159, 0.5131, 0.6182, 0.471, 0.3064, 0.5377, 0.8375, 0.357, 0.1921, 0.6553, 0.6092, 0.7577, 0.5446, 0.7009, 0.1184, 0.7044, 0.4512, 0.4517, 0.3657, 0.7191, 0.3243, 0.5636, 0.7471, 0.5228, 0.3502, 0.5826, 0.5373, 0.5795, 0.6325, 0.4132, 0.4076, 0.5314, 0.6228, 0.5775, 0.7009, 0.6763, 0.7614, 0.6885, 0.6933, 0.6649, 0.6638, 0.5125, 0.8343, 0.6981, 0.5898, 0.7588, 0.3152, 0.1023, 0.6703, 0.5945, 0.1, 0.436, 0.323, 0.1165, 0.573, 0.2809, 0.4791, 0.7259, 0.134, 0.5601, 0.69, 0.5472, 0.4317, 0.5889, 0.7314, 0.6509, 0.5533, 0.4086, 0.4693, 0.6117, 0.7428, 0.6858, 0.6131, 0.7107, 0.5071, 0.5396, 0.7001, 0.5602, 0.5686, 0.3473]"
40 "[0.8238, 0.7815, 0.8218, 0.8033, 0.764, 0.7608, 0.8219, 0.8312, 0.8206, 0.83, 0.8388, 0.8391, 0.7701, 0.8397, 0.7566, 0.8171, 0.7728, 0.8294, 0.8245, 0.7963, 0.8352, 0.7619, 0.839, 0.8235, 0.8262, 0.7606, 0.7426, 0.8382, 0.7572, 0.8355, 0.8309, 0.8356, 0.8282, 0.7731, 0.8159, 0.8433, 0.8361, 0.8257, 0.8248, 0.7424, 0.8024, 0.8363, 0.8314, 0.8337, 0.8012, 0.8211, 0.827, 0.8428, 0.7763, 0.8361, 0.7721, 0.7645, 0.8303, 0.7516, 0.8169, 0.7742, 0.8315, 0.8331, 0.82, 0.8224, 0.8257, 0.8319, 0.8294, 0.8422, 0.8205, 0.8269, 0.8187, 0.7514, 0.8371, 0.8246, 0.835, 0.7801, 0.8422, 0.7537, 0.8414, 0.831, 0.79, 0.8428, 0.8335, 0.8021, 0.839, 0.8392, 0.8029, 0.8349, 0.81, 0.8354, 0.8367, 0.7967, 0.8356, 0.833, 0.8317, 0.7601, 0.8205, 0.7433, 0.8147, 0.8232, 0.8355, 0.7818, 0.7567, 0.8269]"
80 "[0.8406, 0.8407, 0.8396, 0.846, 0.842, 0.8385, 0.8445, 0.8365, 0.8425, 0.841, 0.8373, 0.8405, 0.8439, 0.8371, 0.8406, 0.8426, 0.8447, 0.8377, 0.8446, 0.8409, 0.8418, 0.8395, 0.831, 0.8309, 0.8411, 0.8317, 0.8371, 0.8412, 0.8432, 0.8369, 0.8429, 0.8295, 0.826, 0.8449, 0.8296, 0.8428, 0.8364, 0.8362, 0.8427, 0.8389, 0.8419, 0.8314, 0.8394, 0.8459, 0.8289, 0.8433, 0.8368, 0.8369, 0.8401, 0.8369, 0.8399, 0.8307, 0.838, 0.8372, 0.8401, 0.8403, 0.8423, 0.8377, 0.8351, 0.8382, 0.8417, 0.8366, 0.8413, 0.8413, 0.8384, 0.8412, 0.8272, 0.8442, 0.8379, 0.8364, 0.8409, 0.8373, 0.8389, 0.8442, 0.8387, 0.838, 0.8395, 0.8408, 0.842, 0.8354, 0.8376, 0.8379, 0.8291, 0.8339, 0.842, 0.8285, 0.837, 0.8427, 0.8374, 0.8371, 0.8366, 0.8443, 0.8429, 0.8346, 0.8322, 0.82, 0.8319, 0.8437, 0.8407, 0.8312]"
160 "[0.8423, 0.8445, 0.8444, 0.8386, 0.8427, 0.8382, 0.8408, 0.8403, 0.8418, 0.8417, 0.8423, 0.8405, 0.836, 0.8409, 0.8371, 0.8406, 0.8383, 0.8458, 0.8422, 0.8433, 0.8371, 0.8417, 0.8385, 0.8443, 0.8397, 0.838, 0.8428, 0.8357, 0.8411, 0.8408, 0.8419, 0.8382, 0.8445, 0.8424, 0.8405, 0.8401, 0.8401, 0.8419, 0.8404, 0.8434, 0.8386, 0.837, 0.8407, 0.8384, 0.8417, 0.8431, 0.8371, 0.8392, 0.8448, 0.8428, 0.844, 0.842, 0.834, 0.8425, 0.84, 0.8441, 0.8418, 0.846, 0.8459, 0.8428, 0.8392, 0.8383, 0.839, 0.8384, 0.8418, 0.8431, 0.8373, 0.8427, 0.8387, 0.839, 0.8414, 0.8376, 0.8421, 0.8439, 0.842, 0.8387, 0.8415, 0.84, 0.8384, 0.8383, 0.8452, 0.8385, 0.8412, 0.8406, 0.8409, 0.8148, 0.8399, 0.8315, 0.8408, 0.8442, 0.8414, 0.842, 0.8398, 0.8415, 0.8349, 0.8445, 0.842, 0.8473, 0.8402, 0.8374]"
320 "[0.8431, 0.8445, 0.8427, 0.8449, 0.8421, 0.8434, 0.8402, 0.8378, 0.8414, 0.8436, 0.8363, 0.8444, 0.8428, 0.8413, 0.8443, 0.8433, 0.8408, 0.8415, 0.8439, 0.8448, 0.8429, 0.8406, 0.8408, 0.8426, 0.8384, 0.8413, 0.8408, 0.8411, 0.8363, 0.842, 0.8427, 0.8395, 0.8397, 0.8404, 0.8438, 0.8425, 0.8405, 0.843, 0.8405, 0.8427, 0.8427, 0.843, 0.8422, 0.8426, 0.8426, 0.8398, 0.8419, 0.8418, 0.8429, 0.841, 0.8403, 0.8397, 0.8366, 0.8413, 0.8438, 0.8429, 0.8413, 0.8424, 0.8375, 0.8391, 0.8402, 0.8408, 0.8385, 0.8405, 0.8442, 0.8422, 0.8421, 0.8395, 0.8402, 0.8422, 0.8419, 0.8405, 0.8463, 0.843, 0.8434, 0.8436, 0.842, 0.8432, 0.8423, 0.8402, 0.843, 0.8418, 0.8399, 0.8433, 0.8413, 0.8423, 0.8412, 0.8429, 0.8376, 0.8403, 0.842, 0.8394, 0.8384, 0.8364, 0.8423, 0.8429, 0.8429, 0.8412, 0.8401, 0.8413]"
640 "[0.8442, 0.8441, 0.8406, 0.841, 0.8407, 0.8442, 0.8349, 0.8403, 0.8396, 0.8388, 0.8419, 0.8421, 0.8408, 0.8419, 0.8423, 0.8412, 0.8413, 0.8404, 0.8392, 0.8396, 0.8395, 0.8364, 0.841, 0.841, 0.844, 0.8434, 0.8447, 0.8437, 0.8418, 0.8417, 0.8458, 0.842, 0.839, 0.8425, 0.841, 0.8391, 0.8432, 0.8453, 0.8397, 0.8429, 0.8399, 0.8413, 0.8433, 0.8416, 0.8405, 0.8427, 0.8461, 0.8432, 0.8426, 0.8402, 0.8426, 0.842, 0.8434, 0.8417, 0.8402, 0.8444, 0.8421, 0.8409, 0.8422, 0.8441, 0.8412, 0.8396, 0.8394, 0.8403, 0.8416, 0.8387, 0.8421, 0.8398, 0.8431, 0.8433, 0.8429, 0.8427, 0.8429, 0.84, 0.8413, 0.8422, 0.8403, 0.8403, 0.8425, 0.8421, 0.8423, 0.8443, 0.8439, 0.8457, 0.8416, 0.8387, 0.8433, 0.8416, 0.8435, 0.8403, 0.8404, 0.8413, 0.8365, 0.8406, 0.8425, 0.844, 0.8396, 0.8429, 0.8419, 0.8392]"
1280 "[0.8413, 0.8424, 0.8432, 0.8456, 0.8425, 0.8422, 0.8402, 0.8424, 0.8397, 0.8412, 0.8382, 0.8416, 0.8418, 0.8427, 0.8442, 0.8433, 0.8432, 0.8425, 0.8436, 0.8422, 0.841, 0.8411, 0.845, 0.8391, 0.8433, 0.8418, 0.8426, 0.8412, 0.84, 0.8443, 0.839, 0.8397, 0.8431, 0.8438, 0.8427, 0.8423, 0.841, 0.8429, 0.8428, 0.8413, 0.8415, 0.8402, 0.8425, 0.8418, 0.8423, 0.8423, 0.8436, 0.841, 0.8412, 0.8425, 0.8405, 0.841, 0.8428, 0.8435, 0.8404, 0.8414, 0.843, 0.8451, 0.8406, 0.8433, 0.8402, 0.8449, 0.8403, 0.8415, 0.8416, 0.8408, 0.8424, 0.8412, 0.848, 0.8411, 0.8429, 0.8418, 0.8475, 0.8446, 0.8405, 0.8448, 0.8417, 0.8426, 0.8412, 0.8421, 0.8415, 0.8396, 0.8444, 0.8407, 0.8428, 0.8442, 0.8429, 0.8387, 0.8423, 0.8427, 0.8435, 0.8427, 0.8422, 0.8364, 0.8409, 0.8422, 0.8398, 0.8356, 0.8439, 0.8418]"
2560 "[0.8415, 0.8438, 0.8411, 0.8422, 0.8432, 0.842, 0.844, 0.8403, 0.8451, 0.8419, 0.8418, 0.8404, 0.8426, 0.8422, 0.8429, 0.8427, 0.842, 0.8422, 0.8422, 0.8432, 0.8425, 0.845, 0.8407, 0.8395, 0.8431, 0.8401, 0.8451, 0.8432, 0.8435, 0.8409, 0.8429, 0.8433, 0.8437, 0.8428, 0.8424, 0.8402, 0.8427, 0.8439, 0.842, 0.8412, 0.8432, 0.8417, 0.8437, 0.8436, 0.8403, 0.8429, 0.8394, 0.8419, 0.8421, 0.8394, 0.8414, 0.8422, 0.841, 0.8397, 0.8416, 0.8433, 0.8407, 0.8376, 0.8429, 0.8433, 0.8428, 0.8442, 0.8404, 0.8428, 0.839, 0.8436, 0.8416, 0.8431, 0.8423, 0.8433, 0.8432, 0.8416, 0.8423, 0.8438, 0.8456, 0.8413, 0.8398, 0.8408, 0.8416, 0.8424, 0.8428, 0.843, 0.8436, 0.8448, 0.8421, 0.8411, 0.8403, 0.8394, 0.8411, 0.8433, 0.8439, 0.8415, 0.8423, 0.8412, 0.8432, 0.8414, 0.8435, 0.844, 0.8418, 0.8426]"
5120 "[0.842, 0.8446, 0.8438, 0.8432, 0.8475, 0.838, 0.8413, 0.8392, 0.8417, 0.8428, 0.8439, 0.8428, 0.842, 0.8398, 0.843, 0.8468, 0.8432, 0.841, 0.8427, 0.8434, 0.8435, 0.8431, 0.8434, 0.8428, 0.843, 0.8419, 0.842, 0.8442, 0.8445, 0.8443, 0.844, 0.8449, 0.8395, 0.8392, 0.8403, 0.8434, 0.841, 0.8453, 0.8419, 0.8435, 0.844, 0.8435, 0.8437, 0.8396, 0.8435, 0.8438, 0.8423, 0.8436, 0.8434, 0.8418, 0.844, 0.8438, 0.8443, 0.8417, 0.8436, 0.8422, 0.8419, 0.8434, 0.844, 0.8435, 0.8421, 0.8386, 0.8411, 0.8433, 0.8427, 0.8426, 0.8433, 0.8446, 0.841, 0.8429, 0.8428, 0.8426, 0.8408, 0.8435, 0.8414, 0.8426, 0.8451, 0.8445, 0.8437, 0.8424, 0.8415, 0.84, 0.8452, 0.8428, 0.8406, 0.8423, 0.8429, 0.8434, 0.8422, 0.842, 0.8426, 0.842, 0.8434, 0.8417, 0.8433, 0.8422, 0.8432, 0.8424, 0.8438, 0.8432]"
