 Linear0
10 "[0.8331, 0.8235, 0.7212, 0.8202, 0.8388, 0.8356, 0.8341, 0.8179, 0.6996, 0.7775, 0.7123, 0.8443, 0.828, 0.8328, 0.832, 0.8211, 0.8157, 0.8305, 0.7559, 0.7458, 0.8377, 0.7536, 0.7585, 0.8095, 0.8287, 0.8162, 0.8455, 0.7723, 0.751, 0.7957, 0.8363, 0.8206, 0.8207, 0.84, 0.8401, 0.8377, 0.7212, 0.8429, 0.8389, 0.8451]"
20 "[0.8458, 0.8412, 0.8491, 0.84, 0.8509, 0.8465, 0.8474, 0.8406, 0.8505, 0.8376, 0.8473, 0.8462, 0.8437, 0.8416, 0.8389, 0.8484, 0.8464, 0.8444, 0.8434, 0.8462, 0.8434, 0.8392, 0.8463, 0.7597, 0.8474, 0.8364, 0.8372, 0.8441, 0.8459, 0.8435, 0.8493, 0.8479, 0.841, 0.8427, 0.84, 0.8414, 0.8408, 0.8436, 0.8394, 0.8338]"
40 "[0.8514, 0.8428, 0.8506, 0.8445, 0.8488, 0.8496, 0.8472, 0.8472, 0.8484, 0.8485, 0.8462, 0.8422, 0.8449, 0.8459, 0.8498, 0.8504, 0.8466, 0.8487, 0.8499, 0.8484, 0.8486, 0.8482, 0.8466, 0.8504, 0.8482, 0.849, 0.846, 0.8448, 0.8507, 0.8484, 0.8499, 0.8459, 0.8502, 0.8467, 0.8494, 0.8493, 0.847, 0.8495, 0.8464, 0.8496]"
80 "[0.8498, 0.8495, 0.8489, 0.8496, 0.8493, 0.849, 0.8445, 0.8495, 0.8474, 0.8463, 0.8512, 0.8416, 0.8488, 0.8482, 0.8484, 0.8489, 0.8493, 0.8468, 0.8502, 0.8469, 0.8468, 0.8499, 0.8491, 0.8479, 0.8458, 0.8486, 0.8485, 0.849, 0.8493, 0.847, 0.849, 0.8492, 0.8498, 0.8495, 0.8491, 0.8476, 0.8493, 0.8511, 0.8477, 0.8532]"
160 "[0.8491, 0.8489, 0.848, 0.8493, 0.8512, 0.8499, 0.8489, 0.8475, 0.8468, 0.8491, 0.8486, 0.8494, 0.8505, 0.8506, 0.8481, 0.8476, 0.8491, 0.8478, 0.8503, 0.8504, 0.85, 0.8485, 0.8468, 0.8489, 0.8514, 0.8475, 0.8497, 0.8471, 0.8485, 0.8498, 0.8489, 0.8514, 0.8473, 0.8477, 0.8511, 0.8508, 0.8496, 0.8489, 0.8478, 0.8477]"
320 "[0.8499, 0.8504, 0.8461, 0.8527, 0.8473, 0.852, 0.8485, 0.8477, 0.8509, 0.8486, 0.8522, 0.8514, 0.8461, 0.8483, 0.8498, 0.8487, 0.8521, 0.8506, 0.8509, 0.8516, 0.8505, 0.8503, 0.8478, 0.8506, 0.8502, 0.8482, 0.8518, 0.8499, 0.8494, 0.8502, 0.8489, 0.8486, 0.8491, 0.8504, 0.8508, 0.8467, 0.8487, 0.8446, 0.8499, 0.8503]"
640 "[0.8477, 0.8466, 0.8481, 0.85, 0.8509, 0.8496, 0.8498, 0.8484, 0.8498, 0.8446, 0.8481, 0.8487, 0.8465, 0.8486, 0.8503, 0.8505, 0.8511, 0.8488, 0.8474, 0.8495, 0.8501, 0.852, 0.851, 0.8477, 0.8513, 0.8495, 0.8521, 0.8501, 0.8497, 0.85, 0.8504, 0.8513, 0.8438, 0.8496, 0.8501, 0.8512, 0.851, 0.8489, 0.8499, 0.8504]"
1280 "[0.85, 0.8499, 0.8516, 0.8471, 0.8488, 0.8513, 0.8523, 0.8496, 0.8509, 0.8485, 0.85, 0.8487, 0.8497, 0.8488, 0.8494, 0.8515, 0.8478, 0.8484, 0.8512, 0.8498, 0.849, 0.85, 0.8509, 0.8502, 0.8507, 0.8496, 0.8531, 0.8487, 0.8517, 0.8507, 0.8511, 0.8498, 0.8487, 0.8512, 0.8506, 0.8513, 0.8496, 0.85, 0.8519, 0.8507]"
2560 "[0.8526, 0.85, 0.8513, 0.8457, 0.851, 0.8467, 0.8508, 0.8519, 0.8504, 0.8502, 0.852, 0.8495, 0.846, 0.8517, 0.8518, 0.8514, 0.852, 0.8493, 0.8498, 0.8513, 0.8497, 0.8525, 0.8512, 0.8505, 0.8479, 0.8509, 0.8515, 0.8496, 0.8506, 0.8502, 0.8517, 0.8493, 0.8491, 0.8505, 0.8526, 0.8516, 0.8497, 0.8524, 0.85, 0.8509]"
5120 "[0.8512, 0.8507, 0.8503, 0.852, 0.8479, 0.8494, 0.8517, 0.8479, 0.8527, 0.8495, 0.8481, 0.8532, 0.8518, 0.8509, 0.8499, 0.8529, 0.8485, 0.8514, 0.8528, 0.8496, 0.85, 0.8528, 0.8503, 0.8516, 0.8513, 0.8501, 0.852, 0.8489, 0.8511, 0.8496, 0.8509, 0.852, 0.8497, 0.8512, 0.8505, 0.8513, 0.8518, 0.851, 0.851, 0.8501]"
