 Linear0
10 "[0.6973, 0.702, 0.711, 0.7114, 0.7007, 0.7004, 0.6997, 0.7117, 0.6975, 0.7098, 0.7122, 0.7035, 0.7167, 0.708, 0.6944, 0.7024, 0.7173, 0.7016, 0.7091, 0.7211, 0.7061, 0.7101, 0.7132, 0.7111, 0.7052, 0.7127, 0.7097, 0.7208, 0.6911, 0.7094, 0.7005, 0.7031, 0.7036, 0.712, 0.715, 0.7063, 0.6997, 0.7068, 0.7143, 0.7027, 0.717, 0.7192, 0.6971, 0.7182, 0.7089, 0.6891, 0.6893, 0.7132, 0.7212, 0.7004, 0.7163, 0.7049, 0.706, 0.6993, 0.6876, 0.719, 0.707, 0.6768, 0.7176, 0.6974, 0.6956, 0.7172, 0.7177, 0.7043, 0.7164, 0.7116, 0.7168, 0.6871, 0.7037, 0.7097, 0.7154, 0.7029, 0.7159, 0.7046, 0.7066, 0.7128, 0.7129, 0.7227, 0.7119, 0.715, 0.7095, 0.6998, 0.7034, 0.6917, 0.7147, 0.7128, 0.7063, 0.6835, 0.713, 0.6988, 0.7119, 0.7043, 0.7144, 0.7078, 0.6997, 0.7024, 0.7024, 0.7112, 0.6869, 0.713]"
20 "[0.7249, 0.7183, 0.7182, 0.7247, 0.7223, 0.7242, 0.7335, 0.725, 0.7199, 0.7094, 0.7147, 0.7206, 0.7213, 0.7277, 0.7202, 0.7109, 0.7219, 0.7192, 0.7287, 0.7261, 0.7247, 0.7227, 0.7251, 0.7203, 0.7177, 0.7121, 0.7281, 0.7247, 0.7264, 0.7248, 0.7165, 0.7243, 0.7284, 0.7156, 0.7023, 0.7225, 0.7169, 0.7209, 0.7174, 0.7318, 0.714, 0.7191, 0.7165, 0.7238, 0.7245, 0.7263, 0.7214, 0.7112, 0.7214, 0.7252, 0.7312, 0.7273, 0.7291, 0.7221, 0.7175, 0.717, 0.7251, 0.7114, 0.729, 0.7238, 0.7219, 0.7056, 0.7152, 0.722, 0.7165, 0.7269, 0.7289, 0.7179, 0.7191, 0.7272, 0.7194, 0.7298, 0.7235, 0.7132, 0.7211, 0.7151, 0.7247, 0.7231, 0.7166, 0.7174, 0.7299, 0.7061, 0.7191, 0.7263, 0.7257, 0.7248, 0.7002, 0.718, 0.7227, 0.7252, 0.7188, 0.725, 0.7154, 0.7234, 0.7213, 0.7263, 0.7235, 0.7234, 0.7212, 0.7243]"
40 "[0.7468, 0.7489, 0.7436, 0.7438, 0.746, 0.7447, 0.7369, 0.7476, 0.7453, 0.7435, 0.7474, 0.7403, 0.7427, 0.745, 0.7435, 0.7453, 0.7436, 0.7464, 0.7487, 0.7467, 0.7448, 0.7445, 0.7435, 0.7423, 0.7462, 0.7443, 0.746, 0.7415, 0.7464, 0.7462, 0.7479, 0.7443, 0.7451, 0.7443, 0.7425, 0.7468, 0.7469, 0.7446, 0.7456, 0.7467, 0.7472, 0.7457, 0.7441, 0.7413, 0.745, 0.747, 0.7463, 0.7455, 0.7443, 0.745, 0.747, 0.7455, 0.7455, 0.7472, 0.7417, 0.7432, 0.745, 0.7446, 0.745, 0.7444, 0.7465, 0.7476, 0.7454, 0.7448, 0.7438, 0.7432, 0.743, 0.7431, 0.7468, 0.7416, 0.7442, 0.7476, 0.7473, 0.7432, 0.7473, 0.7447, 0.7418, 0.7434, 0.7458, 0.7469, 0.7453, 0.7466, 0.743, 0.7437, 0.745, 0.7449, 0.7448, 0.7431, 0.7413, 0.7447, 0.746, 0.7439, 0.7418, 0.7467, 0.7442, 0.7463, 0.7444, 0.7456, 0.7433, 0.7444]"
80 "[0.7514, 0.7474, 0.7478, 0.7489, 0.7478, 0.7508, 0.7454, 0.748, 0.7504, 0.7515, 0.7457, 0.7498, 0.7501, 0.7486, 0.7491, 0.7494, 0.7525, 0.7506, 0.7496, 0.7498, 0.7495, 0.7487, 0.7464, 0.7482, 0.7484, 0.7419, 0.7497, 0.7477, 0.749, 0.748, 0.7492, 0.7489, 0.7492, 0.7474, 0.7491, 0.7502, 0.7496, 0.7494, 0.7486, 0.7472, 0.7495, 0.7496, 0.7455, 0.7479, 0.747, 0.7493, 0.7459, 0.7441, 0.7494, 0.7477, 0.7514, 0.7516, 0.7457, 0.7496, 0.7474, 0.7485, 0.7481, 0.7484, 0.7445, 0.7464, 0.7505, 0.7514, 0.7411, 0.7467, 0.7449, 0.7438, 0.7495, 0.7403, 0.7491, 0.7418, 0.7502, 0.7493, 0.7458, 0.7481, 0.7473, 0.7499, 0.7482, 0.749, 0.75, 0.7491, 0.7481, 0.747, 0.7501, 0.7461, 0.7459, 0.7483, 0.7445, 0.7505, 0.7472, 0.75, 0.7485, 0.7498, 0.7487, 0.7479, 0.747, 0.7501, 0.7443, 0.7447, 0.7494, 0.7486]"
160 "[0.748, 0.7489, 0.7515, 0.7482, 0.749, 0.75, 0.7498, 0.7489, 0.7514, 0.7496, 0.7511, 0.7501, 0.7496, 0.7462, 0.747, 0.7473, 0.7511, 0.7489, 0.7483, 0.7501, 0.748, 0.744, 0.7477, 0.7493, 0.7512, 0.7495, 0.7525, 0.7478, 0.748, 0.747, 0.7503, 0.7432, 0.7491, 0.751, 0.744, 0.7479, 0.7499, 0.7471, 0.7505, 0.7475, 0.748, 0.7493, 0.7441, 0.7505, 0.749, 0.7471, 0.7496, 0.7479, 0.7495, 0.7506, 0.7514, 0.7496, 0.7454, 0.7479, 0.7508, 0.7474, 0.7458, 0.745, 0.7443, 0.7471, 0.7502, 0.7506, 0.7492, 0.7483, 0.7458, 0.7479, 0.7476, 0.7496, 0.7472, 0.748, 0.7479, 0.7407, 0.7488, 0.7485, 0.7509, 0.7446, 0.7499, 0.7497, 0.7508, 0.7475, 0.7483, 0.7501, 0.746, 0.7505, 0.7498, 0.7452, 0.7483, 0.7507, 0.7462, 0.7507, 0.7499, 0.7507, 0.7485, 0.7466, 0.7486, 0.7496, 0.7503, 0.7477, 0.747, 0.7466]"
320 "[0.7488, 0.7479, 0.7439, 0.7496, 0.7494, 0.7455, 0.747, 0.7482, 0.7482, 0.7523, 0.7494, 0.7504, 0.7469, 0.749, 0.7494, 0.7493, 0.7498, 0.7484, 0.75, 0.7474, 0.7505, 0.7497, 0.7507, 0.7489, 0.7498, 0.744, 0.7506, 0.7484, 0.7477, 0.7491, 0.744, 0.7485, 0.7477, 0.7508, 0.7482, 0.7482, 0.7451, 0.7486, 0.7469, 0.7489, 0.7484, 0.7487, 0.7478, 0.7466, 0.749, 0.7494, 0.7495, 0.7487, 0.7508, 0.7488, 0.7488, 0.75, 0.7503, 0.7493, 0.7503, 0.7492, 0.7494, 0.7476, 0.7484, 0.7476, 0.7507, 0.7521, 0.7475, 0.747, 0.7485, 0.7447, 0.7495, 0.7491, 0.7487, 0.7504, 0.7494, 0.7476, 0.751, 0.748, 0.7488, 0.7479, 0.7499, 0.7502, 0.7483, 0.7479, 0.7503, 0.7477, 0.7493, 0.751, 0.7523, 0.7476, 0.7478, 0.7496, 0.7494, 0.7506, 0.7495, 0.7473, 0.7501, 0.7497, 0.7486, 0.7515, 0.7494, 0.7515, 0.746, 0.7502]"
640 "[0.7497, 0.7481, 0.75, 0.7492, 0.7506, 0.7501, 0.7494, 0.75, 0.7502, 0.7497, 0.7483, 0.7476, 0.7514, 0.7496, 0.7526, 0.7513, 0.7497, 0.7516, 0.7513, 0.7513, 0.7496, 0.7504, 0.7532, 0.7486, 0.7508, 0.7515, 0.7519, 0.7497, 0.752, 0.7513, 0.7503, 0.751, 0.7511, 0.7516, 0.7519, 0.7502, 0.7508, 0.75, 0.7515, 0.751, 0.748, 0.7509, 0.7492, 0.7474, 0.7513, 0.7483, 0.7501, 0.7416, 0.7497, 0.7483, 0.7507, 0.7495, 0.7497, 0.7505, 0.7502, 0.7513, 0.7498, 0.7476, 0.7509, 0.7485, 0.7507, 0.7494, 0.7498, 0.7489, 0.7497, 0.7486, 0.7487, 0.751, 0.7501, 0.7498, 0.7505, 0.7535, 0.7521, 0.75, 0.7527, 0.7503, 0.7511, 0.7497, 0.7504, 0.7498, 0.7421, 0.7483, 0.7491, 0.7518, 0.7485, 0.7498, 0.7468, 0.7438, 0.7503, 0.7499, 0.7476, 0.7506, 0.7488, 0.7482, 0.7494, 0.7487, 0.7499, 0.7494, 0.7482, 0.7512]"
1280 "[0.7499, 0.7511, 0.7517, 0.7493, 0.7519, 0.7511, 0.7499, 0.751, 0.7515, 0.75, 0.7517, 0.7493, 0.7524, 0.7487, 0.749, 0.7521, 0.7503, 0.7489, 0.7494, 0.7498, 0.7509, 0.753, 0.7513, 0.7519, 0.7495, 0.7512, 0.7515, 0.7513, 0.7533, 0.7503, 0.7518, 0.7517, 0.7525, 0.7496, 0.7518, 0.7506, 0.7475, 0.7519, 0.7527, 0.75, 0.7513, 0.7509, 0.7489, 0.7518, 0.7511, 0.7484, 0.7505, 0.7518, 0.7516, 0.7509, 0.7491, 0.7505, 0.7501, 0.7517, 0.7505, 0.7494, 0.7523, 0.7516, 0.7499, 0.7514, 0.7542, 0.7496, 0.7522, 0.7505, 0.7537, 0.7484, 0.7511, 0.7521, 0.7519, 0.7492, 0.7503, 0.7512, 0.7507, 0.7499, 0.7518, 0.7533, 0.7528, 0.7488, 0.7492, 0.7495, 0.7448, 0.7491, 0.7524, 0.7522, 0.7517, 0.7506, 0.7517, 0.7496, 0.7533, 0.7471, 0.7514, 0.7487, 0.7499, 0.7508, 0.751, 0.7492, 0.7521, 0.7526, 0.75, 0.7495]"
2560 "[0.7515, 0.7521, 0.7522, 0.7529, 0.7504, 0.7512, 0.7528, 0.752, 0.7533, 0.7512, 0.7523, 0.7516, 0.752, 0.7528, 0.7491, 0.7515, 0.7508, 0.7505, 0.7501, 0.7501, 0.7519, 0.7535, 0.7532, 0.7511, 0.7514, 0.7511, 0.7527, 0.7512, 0.7529, 0.7526, 0.751, 0.7496, 0.7504, 0.7504, 0.7521, 0.7515, 0.751, 0.7528, 0.7494, 0.7488, 0.7523, 0.7509, 0.7519, 0.7515, 0.751, 0.7526, 0.7518, 0.7507, 0.7507, 0.7533, 0.7511, 0.7527, 0.7527, 0.7489, 0.7509, 0.752, 0.7498, 0.751, 0.7535, 0.751, 0.7534, 0.7522, 0.7512, 0.7503, 0.7494, 0.7527, 0.7509, 0.7516, 0.7525, 0.7514, 0.7526, 0.7516, 0.7533, 0.7525, 0.7521, 0.75, 0.7497, 0.7525, 0.7511, 0.7515, 0.7511, 0.75, 0.7512, 0.7513, 0.7526, 0.7505, 0.7503, 0.7512, 0.7533, 0.7522, 0.7519, 0.7523, 0.751, 0.7503, 0.7496, 0.7529, 0.7483, 0.7508, 0.7511, 0.7507]"
5120 "[0.754, 0.7542, 0.7525, 0.7545, 0.7529, 0.7517, 0.753, 0.7543, 0.7519, 0.7549, 0.7533, 0.7526, 0.7475, 0.7533, 0.7536, 0.7518, 0.7545, 0.7523, 0.7536, 0.7537, 0.7528, 0.7536, 0.7526, 0.7538, 0.7534, 0.7532, 0.7543, 0.7523, 0.752, 0.7534, 0.7516, 0.7534, 0.7541, 0.7532, 0.7523, 0.7534, 0.7504, 0.7518, 0.7531, 0.7531, 0.7524, 0.7527, 0.7526, 0.7534, 0.7524, 0.7531, 0.7512, 0.7518, 0.752, 0.7522, 0.7529, 0.7527, 0.7536, 0.7521, 0.7522, 0.7521, 0.7511, 0.7528, 0.7511, 0.7528, 0.7536, 0.752, 0.7464, 0.7536, 0.7533, 0.7534, 0.7511, 0.7548, 0.7527, 0.7527, 0.7529, 0.7486, 0.7537, 0.7526, 0.7525, 0.7521, 0.7532, 0.7537, 0.752, 0.7514, 0.7529, 0.7529, 0.7535, 0.7473, 0.7529, 0.7542, 0.7521, 0.7526, 0.7528, 0.7534, 0.7511, 0.7537, 0.7521, 0.7538, 0.7537, 0.7528, 0.754, 0.7529, 0.7496, 0.7525]"
10240 "[0.7532, 0.7536, 0.7531, 0.7535, 0.754, 0.7535, 0.7534, 0.7528, 0.7529, 0.7538, 0.7537, 0.7543, 0.7529, 0.752, 0.7544, 0.7527, 0.7547, 0.7533, 0.7528, 0.7536, 0.7533, 0.7543, 0.753, 0.7529, 0.7542, 0.7527, 0.7541, 0.7538, 0.7518, 0.7522, 0.7537, 0.7527, 0.7507, 0.7537, 0.7538, 0.7533, 0.7534, 0.7536, 0.753, 0.7548, 0.7486, 0.7528, 0.7536, 0.7535, 0.7528, 0.7531, 0.7548, 0.7533, 0.7535, 0.7512, 0.7544, 0.7528, 0.7529, 0.7535, 0.7539, 0.7534, 0.7531, 0.755, 0.7533, 0.7533, 0.7539, 0.7543, 0.7554, 0.7532, 0.7482, 0.7543, 0.7526, 0.7545, 0.7536, 0.754, 0.7499, 0.7537, 0.7523, 0.7522, 0.7533, 0.7538, 0.7532, 0.7535, 0.7536, 0.7527, 0.7539, 0.7539, 0.7531, 0.7522, 0.7535, 0.7529, 0.7543, 0.754, 0.7536, 0.7521, 0.7531, 0.754, 0.7536, 0.7543, 0.7524, 0.7509, 0.7541, 0.7544, 0.7529, 0.7525]"
20480 "[0.7528, 0.7446, 0.7548, 0.7552, 0.753, 0.7514, 0.7535, 0.7533, 0.7511, 0.7497, 0.7552, 0.7523, 0.7538, 0.7533, 0.7537, 0.7533, 0.7547, 0.752, 0.7527, 0.7539, 0.7549, 0.7539, 0.7531, 0.7539, 0.7507, 0.7521, 0.7506, 0.7486, 0.7518, 0.7541, 0.7548, 0.7545, 0.7545, 0.7542, 0.7537, 0.7519, 0.7532, 0.7535, 0.7521, 0.7513, 0.7495, 0.7525, 0.7538, 0.7541, 0.7495, 0.7541, 0.7541, 0.7505, 0.7522, 0.7553, 0.7539, 0.7542, 0.7545, 0.7551, 0.7547, 0.747, 0.7543, 0.7538, 0.7501, 0.7531, 0.7524, 0.7539, 0.75, 0.7532, 0.7542, 0.7542, 0.7532, 0.753, 0.7541, 0.7518, 0.7519, 0.7539, 0.7514, 0.7534, 0.7537, 0.7512, 0.7546, 0.7523, 0.7532, 0.7534, 0.7535, 0.7523, 0.754, 0.7528, 0.7526, 0.7544, 0.752, 0.7533, 0.7537, 0.752, 0.7534, 0.7535, 0.7544, 0.7543, 0.7541, 0.7532, 0.7536, 0.7542, 0.7535, 0.7522]"
