 Linear0
10 "[0.5713, 0.5684, 0.5756, 0.5858, 0.5444, 0.5624, 0.5719, 0.6184, 0.5604, 0.5296, 0.5535, 0.578, 0.5616, 0.5441, 0.5251, 0.6028, 0.5687, 0.562, 0.5705, 0.5699, 0.5616, 0.5905, 0.6041, 0.573, 0.5821, 0.5884, 0.5753, 0.5668, 0.5795, 0.5643, 0.5854, 0.5614, 0.5626, 0.5554, 0.5632, 0.583, 0.5743, 0.5578, 0.5975, 0.592, 0.5621, 0.5611, 0.5576, 0.5603, 0.5593, 0.5423, 0.585, 0.5631, 0.5776, 0.5856, 0.5522, 0.5614, 0.5938, 0.5853, 0.5545, 0.5887, 0.6266, 0.513, 0.5813, 0.5894, 0.5587, 0.5792, 0.5905, 0.5515, 0.5712, 0.5637, 0.557, 0.5838, 0.564, 0.5977, 0.5847, 0.5476, 0.5972, 0.5482, 0.5904, 0.5552, 0.5529, 0.5631, 0.5854, 0.5814, 0.5836, 0.5711, 0.5837, 0.5916, 0.5995, 0.5221, 0.5396, 0.5224, 0.5571, 0.5647, 0.5962, 0.5546, 0.571, 0.5506, 0.5657, 0.5966, 0.5565, 0.5709, 0.5552, 0.5582]"
20 "[0.5745, 0.5936, 0.5932, 0.5919, 0.6096, 0.5976, 0.576, 0.5801, 0.5871, 0.5919, 0.5871, 0.583, 0.5784, 0.595, 0.5874, 0.5794, 0.5858, 0.5653, 0.5895, 0.5792, 0.6123, 0.5768, 0.5632, 0.5953, 0.5857, 0.5797, 0.5707, 0.5722, 0.5968, 0.571, 0.5563, 0.5799, 0.5667, 0.5816, 0.5972, 0.5855, 0.5798, 0.5831, 0.5816, 0.5938, 0.5831, 0.5931, 0.5766, 0.6101, 0.5768, 0.5681, 0.5855, 0.5913, 0.5993, 0.5849, 0.5527, 0.6055, 0.5767, 0.5689, 0.58, 0.5834, 0.5892, 0.5807, 0.5869, 0.5875, 0.5662, 0.5846, 0.5793, 0.579, 0.5876, 0.5789, 0.5827, 0.5872, 0.5774, 0.5891, 0.6148, 0.5839, 0.5851, 0.5858, 0.5886, 0.576, 0.5872, 0.5661, 0.6011, 0.601, 0.5889, 0.5613, 0.5818, 0.5937, 0.5759, 0.5662, 0.5843, 0.5652, 0.5558, 0.5906, 0.5909, 0.584, 0.5707, 0.5968, 0.5752, 0.584, 0.5798, 0.5712, 0.5709, 0.5999]"
40 "[0.7075, 0.7085, 0.6831, 0.7066, 0.675, 0.6706, 0.6749, 0.6949, 0.6993, 0.6974, 0.6757, 0.6905, 0.6638, 0.6975, 0.6878, 0.6761, 0.667, 0.6861, 0.7127, 0.7005, 0.6942, 0.6822, 0.7063, 0.689, 0.6855, 0.6872, 0.6917, 0.6962, 0.695, 0.6608, 0.705, 0.7124, 0.6991, 0.7026, 0.7075, 0.7184, 0.6827, 0.6798, 0.6932, 0.6743, 0.6846, 0.7046, 0.7011, 0.6705, 0.6876, 0.6752, 0.6443, 0.6877, 0.6763, 0.6742, 0.6699, 0.6943, 0.703, 0.7069, 0.6928, 0.6859, 0.699, 0.6794, 0.6685, 0.7078, 0.6774, 0.6885, 0.7019, 0.6828, 0.6925, 0.7074, 0.6931, 0.6925, 0.6545, 0.6755, 0.7003, 0.7045, 0.6541, 0.6574, 0.6805, 0.6776, 0.7019, 0.7129, 0.7063, 0.7019, 0.7153, 0.7044, 0.6683, 0.7145, 0.7125, 0.6823, 0.7097, 0.6698, 0.6927, 0.6902, 0.699, 0.6685, 0.7071, 0.6809, 0.6966, 0.6988, 0.6954, 0.6763, 0.6445, 0.7194]"
80 "[0.7118, 0.7123, 0.7226, 0.7233, 0.7171, 0.7171, 0.7237, 0.7112, 0.7232, 0.727, 0.7134, 0.7207, 0.7132, 0.705, 0.7193, 0.7133, 0.7175, 0.7191, 0.7102, 0.7138, 0.7053, 0.7211, 0.7159, 0.725, 0.7055, 0.688, 0.722, 0.7186, 0.6841, 0.7016, 0.7122, 0.7143, 0.6901, 0.7124, 0.7156, 0.7108, 0.72, 0.7166, 0.7081, 0.7027, 0.7191, 0.7107, 0.712, 0.7215, 0.7126, 0.7124, 0.7105, 0.724, 0.6593, 0.699, 0.7248, 0.7082, 0.7035, 0.707, 0.7031, 0.7152, 0.7253, 0.7206, 0.7191, 0.7192, 0.7055, 0.7276, 0.728, 0.7163, 0.7296, 0.7179, 0.6865, 0.7188, 0.705, 0.7263, 0.7049, 0.7153, 0.7217, 0.7217, 0.7212, 0.729, 0.718, 0.7226, 0.7197, 0.7239, 0.7174, 0.7216, 0.7252, 0.71, 0.7168, 0.7044, 0.7203, 0.7134, 0.7215, 0.7056, 0.7147, 0.7059, 0.7154, 0.7172, 0.7176, 0.7275, 0.7088, 0.7235, 0.717, 0.707]"
160 "[0.7254, 0.7249, 0.7245, 0.7161, 0.7246, 0.7256, 0.724, 0.7219, 0.7229, 0.7083, 0.7244, 0.7323, 0.725, 0.7312, 0.7153, 0.7132, 0.7245, 0.7221, 0.7253, 0.7245, 0.7209, 0.7192, 0.7274, 0.7183, 0.7234, 0.6965, 0.7328, 0.7223, 0.7024, 0.7262, 0.717, 0.7179, 0.7168, 0.7158, 0.7203, 0.7287, 0.7318, 0.7299, 0.7192, 0.7266, 0.7222, 0.7165, 0.7201, 0.7254, 0.7212, 0.7263, 0.7265, 0.7148, 0.7279, 0.7298, 0.7256, 0.7221, 0.7211, 0.7243, 0.7257, 0.726, 0.7183, 0.7204, 0.729, 0.7271, 0.7127, 0.726, 0.7277, 0.7109, 0.7244, 0.7206, 0.7307, 0.7115, 0.7239, 0.7329, 0.7214, 0.7241, 0.7291, 0.7281, 0.7222, 0.7169, 0.7264, 0.7256, 0.7191, 0.7209, 0.734, 0.7006, 0.7222, 0.7164, 0.7236, 0.7152, 0.7225, 0.7242, 0.7235, 0.7111, 0.7283, 0.6985, 0.7273, 0.7154, 0.7277, 0.7223, 0.7302, 0.7177, 0.726, 0.727]"
320 "[0.7321, 0.7244, 0.7326, 0.731, 0.7207, 0.7245, 0.7277, 0.6825, 0.7245, 0.7333, 0.6901, 0.7334, 0.727, 0.7101, 0.7061, 0.7197, 0.7215, 0.7124, 0.7236, 0.7243, 0.7229, 0.7287, 0.726, 0.7062, 0.7209, 0.7248, 0.7289, 0.7234, 0.7142, 0.7223, 0.7228, 0.7267, 0.718, 0.726, 0.7331, 0.7278, 0.7284, 0.7084, 0.7262, 0.7245, 0.7088, 0.7138, 0.7236, 0.7253, 0.7238, 0.7226, 0.7316, 0.7263, 0.7263, 0.7261, 0.7302, 0.7173, 0.7216, 0.7121, 0.7216, 0.727, 0.7145, 0.721, 0.7298, 0.7219, 0.7148, 0.7236, 0.7202, 0.7352, 0.7045, 0.7268, 0.7239, 0.7227, 0.7237, 0.7234, 0.7255, 0.7201, 0.7284, 0.721, 0.7245, 0.732, 0.7278, 0.7225, 0.7154, 0.7287, 0.7001, 0.7215, 0.7235, 0.7141, 0.7302, 0.7312, 0.7269, 0.7163, 0.7282, 0.7241, 0.7326, 0.7263, 0.7313, 0.7177, 0.7361, 0.7311, 0.7242, 0.7223, 0.6625, 0.7208]"
640 "[0.7061, 0.7315, 0.7298, 0.7278, 0.7287, 0.7211, 0.7112, 0.7327, 0.7294, 0.7237, 0.72, 0.7249, 0.7269, 0.7241, 0.5948, 0.7272, 0.7297, 0.7349, 0.7305, 0.7303, 0.7282, 0.7252, 0.7285, 0.7325, 0.729, 0.729, 0.7314, 0.7144, 0.7261, 0.7278, 0.7316, 0.7259, 0.7304, 0.7321, 0.7178, 0.7342, 0.7215, 0.7265, 0.7271, 0.7302, 0.7288, 0.7318, 0.7167, 0.7269, 0.7257, 0.7252, 0.7273, 0.7242, 0.7317, 0.7294, 0.7349, 0.7278, 0.7298, 0.7252, 0.7217, 0.7264, 0.7186, 0.7302, 0.7234, 0.7213, 0.7254, 0.7219, 0.7293, 0.7291, 0.7065, 0.7258, 0.7052, 0.7317, 0.7277, 0.7295, 0.7208, 0.7287, 0.725, 0.7293, 0.7122, 0.7281, 0.7289, 0.7257, 0.7289, 0.731, 0.7304, 0.7259, 0.7201, 0.7313, 0.7283, 0.7288, 0.7213, 0.7224, 0.7214, 0.7293, 0.7249, 0.7228, 0.7326, 0.7295, 0.7315, 0.7296, 0.7124, 0.7264, 0.7207, 0.7163]"
1280 "[0.7289, 0.7318, 0.7214, 0.7285, 0.7316, 0.7238, 0.7341, 0.732, 0.7288, 0.7289, 0.732, 0.7306, 0.727, 0.7344, 0.7319, 0.7309, 0.7183, 0.7302, 0.7276, 0.7322, 0.7314, 0.7325, 0.7314, 0.7372, 0.7295, 0.7321, 0.7264, 0.7297, 0.7307, 0.7248, 0.7283, 0.7322, 0.7308, 0.7311, 0.7237, 0.7177, 0.7258, 0.7304, 0.7265, 0.7019, 0.7333, 0.7301, 0.725, 0.736, 0.7281, 0.7327, 0.7309, 0.7309, 0.728, 0.7293, 0.7319, 0.7221, 0.7207, 0.7321, 0.7251, 0.695, 0.7353, 0.7342, 0.7274, 0.7293, 0.731, 0.7285, 0.7331, 0.7319, 0.7343, 0.7299, 0.7301, 0.7324, 0.7255, 0.7293, 0.7278, 0.7322, 0.7307, 0.7288, 0.7285, 0.7337, 0.7299, 0.7317, 0.7275, 0.7272, 0.734, 0.7121, 0.73, 0.7292, 0.7318, 0.7302, 0.7303, 0.7273, 0.7341, 0.7118, 0.7292, 0.7263, 0.7322, 0.7345, 0.7323, 0.7317, 0.7326, 0.7357, 0.7278, 0.7291]"
2560 "[0.6802, 0.7354, 0.7328, 0.7243, 0.7382, 0.723, 0.7347, 0.7332, 0.7328, 0.7365, 0.7281, 0.7307, 0.7312, 0.7285, 0.7337, 0.7308, 0.7348, 0.7362, 0.7352, 0.7293, 0.7241, 0.7346, 0.7351, 0.7315, 0.7271, 0.7321, 0.7337, 0.7272, 0.7318, 0.7297, 0.7347, 0.7319, 0.7317, 0.7335, 0.7339, 0.7248, 0.7327, 0.7369, 0.7247, 0.7314, 0.7347, 0.7291, 0.7162, 0.729, 0.7376, 0.733, 0.7279, 0.7308, 0.7286, 0.7323, 0.728, 0.7335, 0.7331, 0.7329, 0.7318, 0.7281, 0.7279, 0.735, 0.7298, 0.7329, 0.7322, 0.6854, 0.7365, 0.7322, 0.7301, 0.7386, 0.7333, 0.7306, 0.7359, 0.7281, 0.7299, 0.729, 0.7342, 0.7345, 0.7357, 0.7287, 0.7302, 0.7303, 0.7282, 0.7308, 0.6895, 0.7281, 0.7356, 0.7317, 0.7389, 0.7345, 0.7361, 0.7388, 0.7332, 0.7159, 0.7285, 0.7297, 0.7267, 0.7084, 0.7358, 0.7294, 0.7312, 0.729, 0.7317, 0.7365]"
5120 "[0.7397, 0.7417, 0.744, 0.7359, 0.7445, 0.7461, 0.7398, 0.7383, 0.7382, 0.7375, 0.7384, 0.7341, 0.7404, 0.7413, 0.7363, 0.7379, 0.739, 0.7349, 0.737, 0.7409, 0.7316, 0.7392, 0.7372, 0.7378, 0.7363, 0.737, 0.7372, 0.7432, 0.7405, 0.7364, 0.7348, 0.7403, 0.7328, 0.7367, 0.7415, 0.7418, 0.7347, 0.7334, 0.7383, 0.7383, 0.7384, 0.7386, 0.7419, 0.7365, 0.7351, 0.7407, 0.7302, 0.7388, 0.7369, 0.7452, 0.738, 0.7334, 0.7415, 0.7376, 0.7446, 0.7381, 0.7371, 0.7374, 0.7383, 0.7406, 0.7351, 0.7383, 0.7357, 0.7373, 0.7369, 0.7357, 0.7397, 0.7383, 0.7378, 0.7389, 0.7377, 0.7335, 0.7378, 0.7387, 0.7428, 0.7368, 0.7329, 0.7438, 0.733, 0.7352, 0.7409, 0.732, 0.7425, 0.7399, 0.7397, 0.7404, 0.7392, 0.7359, 0.7421, 0.743, 0.7369, 0.7376, 0.7382, 0.7339, 0.7389, 0.7404, 0.7391, 0.7373, 0.7429, 0.7315]"
10240 "[0.7437, 0.7394, 0.7454, 0.7387, 0.7454, 0.7446, 0.7406, 0.7453, 0.7352, 0.7446, 0.7364, 0.7459, 0.7394, 0.7455, 0.7432, 0.7403, 0.7445, 0.7411, 0.741, 0.742, 0.7412, 0.7504, 0.7445, 0.7308, 0.7423, 0.7409, 0.7457, 0.7438, 0.7395, 0.748, 0.7467, 0.7439, 0.7424, 0.7417, 0.7408, 0.7418, 0.7416, 0.7453, 0.7437, 0.7421, 0.7426, 0.7441, 0.7446, 0.7386, 0.7392, 0.7443, 0.7425, 0.7438, 0.7418, 0.7401, 0.7421, 0.7428, 0.7447, 0.744, 0.7423, 0.7466, 0.7492, 0.7437, 0.7453, 0.7434, 0.7421, 0.7459, 0.748, 0.7459, 0.7361, 0.739, 0.7477, 0.7465, 0.7448, 0.7374, 0.7389, 0.7463, 0.7453, 0.7416, 0.7345, 0.7411, 0.7423, 0.7444, 0.7456, 0.7406, 0.7471, 0.7334, 0.7452, 0.7387, 0.7401, 0.7032, 0.7499, 0.7409, 0.7442, 0.7456, 0.7445, 0.7449, 0.7427, 0.741, 0.7477, 0.7509, 0.744, 0.7467, 0.7409, 0.7398]"
20480 "[0.7513, 0.7506, 0.751, 0.7525, 0.7499, 0.7286, 0.7495, 0.7481, 0.7488, 0.7491, 0.7503, 0.7463, 0.751, 0.7508, 0.7517, 0.751, 0.7519, 0.7494, 0.7514, 0.7487, 0.7426, 0.7519, 0.7492, 0.7481, 0.7511, 0.7485, 0.7454, 0.7442, 0.7439, 0.7489, 0.7507, 0.7518, 0.7499, 0.7442, 0.7512, 0.7435, 0.7505, 0.7465, 0.7506, 0.7521, 0.7507, 0.7492, 0.7496, 0.7489, 0.7513, 0.7451, 0.7476, 0.7498, 0.7369, 0.7499, 0.7526, 0.745, 0.7507, 0.7473, 0.7509, 0.7506, 0.7523, 0.7486, 0.7518, 0.7472, 0.7507, 0.7507, 0.7451, 0.751, 0.7461, 0.7518, 0.7487, 0.7511, 0.7482, 0.7492, 0.7481, 0.7505, 0.7459, 0.7464, 0.7507, 0.7505, 0.745, 0.7498, 0.7489, 0.7493, 0.7468, 0.7419, 0.7494, 0.7524, 0.7487, 0.7507, 0.7333, 0.7487, 0.7504, 0.7501, 0.748, 0.7494, 0.749, 0.7522, 0.7519, 0.748, 0.7506, 0.7445, 0.7459, 0.7453]"
