 Linear0
10 "[0.4456, 0.433, 0.4415, 0.4612, 0.4464, 0.4446, 0.4416, 0.4485, 0.4267, 0.414, 0.4355, 0.4299, 0.4495, 0.4554, 0.474, 0.4508, 0.4289, 0.4329, 0.4433, 0.4382, 0.4276, 0.4548, 0.4764, 0.4423, 0.4542, 0.4392, 0.4292, 0.4296, 0.4493, 0.4377, 0.4411, 0.4375, 0.4557, 0.4445, 0.4562, 0.4566, 0.4154, 0.4342, 0.4521, 0.4409, 0.4471, 0.4298, 0.4426, 0.4659, 0.4272, 0.4566, 0.4393, 0.4413, 0.5095, 0.4303, 0.4099, 0.428, 0.4657, 0.4509, 0.5048, 0.4433, 0.4326, 0.409, 0.445, 0.4496, 0.4747, 0.456, 0.4467, 0.4409, 0.4325, 0.477, 0.4265, 0.3979, 0.4434, 0.4429, 0.4565, 0.4396, 0.4439, 0.5116, 0.4523, 0.4286, 0.4497, 0.4321, 0.4175, 0.4516, 0.4286, 0.446, 0.435, 0.4377, 0.4335, 0.4332, 0.4396, 0.5296, 0.4438, 0.448, 0.4762, 0.4568, 0.4367, 0.4412, 0.3942, 0.4651, 0.4393, 0.4323, 0.4427, 0.4425]"
20 "[0.5903, 0.5946, 0.5129, 0.507, 0.4842, 0.597, 0.5947, 0.5943, 0.5798, 0.6431, 0.6048, 0.5752, 0.5309, 0.5996, 0.6053, 0.5462, 0.6189, 0.5411, 0.4961, 0.513, 0.5934, 0.5725, 0.5632, 0.5692, 0.6041, 0.5738, 0.5898, 0.5864, 0.5464, 0.6148, 0.5123, 0.534, 0.5224, 0.5817, 0.5889, 0.5808, 0.5705, 0.5499, 0.5601, 0.6169, 0.6038, 0.5493, 0.5834, 0.5464, 0.5916, 0.5961, 0.563, 0.5965, 0.4488, 0.6132, 0.5756, 0.5591, 0.5709, 0.5415, 0.5977, 0.5589, 0.5641, 0.5857, 0.5905, 0.5084, 0.5933, 0.4981, 0.4812, 0.6159, 0.5782, 0.6098, 0.5535, 0.6021, 0.5981, 0.6251, 0.5576, 0.5836, 0.5419, 0.5938, 0.5765, 0.5969, 0.4789, 0.5516, 0.4394, 0.514, 0.5261, 0.5896, 0.5914, 0.5157, 0.5716, 0.5441, 0.5407, 0.6209, 0.6011, 0.5972, 0.5744, 0.5842, 0.5536, 0.5833, 0.6253, 0.595, 0.5908, 0.5949, 0.5484, 0.5671]"
40 "[0.6282, 0.7152, 0.6941, 0.6628, 0.6848, 0.6934, 0.733, 0.7192, 0.6337, 0.6897, 0.7389, 0.7109, 0.7226, 0.6569, 0.6805, 0.6985, 0.6215, 0.6742, 0.7201, 0.7493, 0.683, 0.7335, 0.7136, 0.7226, 0.7253, 0.6885, 0.7388, 0.7406, 0.7037, 0.7204, 0.6618, 0.7104, 0.6767, 0.6009, 0.7057, 0.7058, 0.7189, 0.7254, 0.7161, 0.685, 0.7202, 0.6895, 0.6787, 0.6841, 0.7338, 0.6603, 0.7264, 0.7062, 0.6816, 0.7066, 0.637, 0.6944, 0.72, 0.7362, 0.7328, 0.7214, 0.7348, 0.7179, 0.7156, 0.6991, 0.705, 0.668, 0.7042, 0.7058, 0.702, 0.7196, 0.7338, 0.732, 0.6869, 0.6972, 0.713, 0.7166, 0.6782, 0.6845, 0.6823, 0.7169, 0.7285, 0.7068, 0.7012, 0.6959, 0.6825, 0.7185, 0.7262, 0.5985, 0.6594, 0.6786, 0.6941, 0.7175, 0.7174, 0.7125, 0.6906, 0.7123, 0.692, 0.7115, 0.7196, 0.6757, 0.6944, 0.7291, 0.7177, 0.7332]"
80 "[0.6599, 0.7015, 0.7146, 0.7182, 0.7151, 0.6904, 0.7123, 0.7178, 0.7087, 0.7093, 0.6357, 0.7159, 0.717, 0.7255, 0.6598, 0.7252, 0.6923, 0.7142, 0.7264, 0.6981, 0.7181, 0.7256, 0.6982, 0.722, 0.7107, 0.6505, 0.7128, 0.7152, 0.7245, 0.7206, 0.7154, 0.7203, 0.7284, 0.72, 0.7308, 0.7228, 0.7197, 0.7045, 0.7176, 0.7146, 0.7184, 0.7239, 0.7279, 0.7164, 0.6904, 0.7196, 0.7053, 0.6826, 0.6994, 0.6242, 0.7221, 0.7293, 0.724, 0.6992, 0.6794, 0.7339, 0.7274, 0.6915, 0.6903, 0.7075, 0.7062, 0.6738, 0.6906, 0.7011, 0.7185, 0.7237, 0.72, 0.6721, 0.7191, 0.7145, 0.7335, 0.7028, 0.6601, 0.7057, 0.7288, 0.7075, 0.6635, 0.7245, 0.727, 0.7058, 0.652, 0.6813, 0.7112, 0.6796, 0.6948, 0.7202, 0.7109, 0.7126, 0.6928, 0.7209, 0.696, 0.6921, 0.7163, 0.7234, 0.7212, 0.691, 0.6956, 0.653, 0.7157, 0.7073]"
160 "[0.7388, 0.7138, 0.719, 0.7391, 0.7467, 0.7519, 0.7329, 0.7439, 0.7395, 0.7399, 0.7458, 0.7393, 0.7149, 0.7474, 0.7386, 0.7276, 0.6904, 0.7308, 0.7301, 0.7421, 0.6817, 0.6858, 0.7425, 0.7252, 0.7428, 0.7414, 0.7231, 0.7403, 0.7259, 0.7333, 0.7415, 0.7275, 0.7386, 0.7445, 0.737, 0.7077, 0.738, 0.7303, 0.7323, 0.7414, 0.7467, 0.7317, 0.7449, 0.7417, 0.7378, 0.6504, 0.7123, 0.7314, 0.7471, 0.7404, 0.7131, 0.7483, 0.7321, 0.7327, 0.7426, 0.7427, 0.7348, 0.7169, 0.6406, 0.7247, 0.7183, 0.7414, 0.7027, 0.7444, 0.7431, 0.7488, 0.7297, 0.7415, 0.7437, 0.7311, 0.7448, 0.7034, 0.7212, 0.7275, 0.749, 0.7425, 0.7329, 0.6898, 0.7494, 0.7159, 0.7448, 0.7515, 0.7462, 0.73, 0.726, 0.634, 0.743, 0.7291, 0.7298, 0.7325, 0.726, 0.7122, 0.7228, 0.7511, 0.7117, 0.7205, 0.6857, 0.7242, 0.7084, 0.7387]"
320 "[0.7351, 0.7095, 0.7078, 0.7313, 0.729, 0.7331, 0.7395, 0.6634, 0.7347, 0.7291, 0.72, 0.7312, 0.7345, 0.7388, 0.7303, 0.5761, 0.7195, 0.7292, 0.7178, 0.7363, 0.7197, 0.7362, 0.7237, 0.7375, 0.7235, 0.7404, 0.6971, 0.7257, 0.6963, 0.7265, 0.7346, 0.7296, 0.7374, 0.7245, 0.7237, 0.7277, 0.7367, 0.735, 0.7297, 0.7297, 0.7348, 0.737, 0.7263, 0.7302, 0.7397, 0.7121, 0.7426, 0.7381, 0.7263, 0.7288, 0.7242, 0.7341, 0.7008, 0.7299, 0.7288, 0.7283, 0.7231, 0.7151, 0.7283, 0.7317, 0.728, 0.7383, 0.7276, 0.7297, 0.7343, 0.7381, 0.7335, 0.7308, 0.7448, 0.7167, 0.7384, 0.7404, 0.6926, 0.7267, 0.7289, 0.7249, 0.7283, 0.7276, 0.717, 0.6983, 0.7309, 0.7273, 0.7359, 0.7295, 0.7249, 0.7321, 0.7363, 0.7402, 0.7266, 0.7112, 0.7303, 0.7336, 0.7182, 0.7347, 0.7383, 0.7001, 0.7257, 0.7356, 0.7403, 0.728]"
640 "[0.7286, 0.7092, 0.7248, 0.7272, 0.7418, 0.6905, 0.7162, 0.7296, 0.7296, 0.7277, 0.7314, 0.7353, 0.7283, 0.7102, 0.7037, 0.7267, 0.725, 0.7259, 0.6781, 0.7275, 0.6881, 0.6955, 0.7266, 0.7049, 0.6807, 0.7364, 0.5358, 0.7162, 0.7308, 0.72, 0.7021, 0.7381, 0.7144, 0.7255, 0.7203, 0.7052, 0.7018, 0.693, 0.7238, 0.7312, 0.6994, 0.7223, 0.7108, 0.7187, 0.6373, 0.7262, 0.7321, 0.7288, 0.7251, 0.6589, 0.7135, 0.7333, 0.679, 0.7101, 0.7257, 0.7345, 0.733, 0.7345, 0.7338, 0.7232, 0.7318, 0.6546, 0.7236, 0.6895, 0.672, 0.7392, 0.7275, 0.7278, 0.7285, 0.7206, 0.7301, 0.7261, 0.7313, 0.7191, 0.7205, 0.7356, 0.7356, 0.7237, 0.7279, 0.6617, 0.7274, 0.7035, 0.7295, 0.7229, 0.7304, 0.7204, 0.7249, 0.6753, 0.731, 0.6911, 0.7096, 0.6951, 0.6948, 0.7286, 0.7201, 0.6955, 0.7336, 0.698, 0.7292, 0.7165]"
1280 "[0.7407, 0.7466, 0.7382, 0.7508, 0.7293, 0.7457, 0.7488, 0.7406, 0.7289, 0.7312, 0.7442, 0.7204, 0.7456, 0.7353, 0.7456, 0.7315, 0.7169, 0.7301, 0.7209, 0.7447, 0.7395, 0.7387, 0.7349, 0.7436, 0.7299, 0.7401, 0.7438, 0.731, 0.7304, 0.7053, 0.745, 0.7446, 0.7279, 0.6965, 0.7493, 0.7323, 0.7446, 0.7362, 0.6939, 0.7282, 0.741, 0.7466, 0.7429, 0.7416, 0.7302, 0.7193, 0.7395, 0.7383, 0.7358, 0.7414, 0.7372, 0.7448, 0.7463, 0.7385, 0.7387, 0.7444, 0.7437, 0.7411, 0.7394, 0.7399, 0.731, 0.7388, 0.725, 0.7415, 0.7471, 0.7127, 0.739, 0.7181, 0.7097, 0.7455, 0.7271, 0.7349, 0.7387, 0.7386, 0.7491, 0.73, 0.7484, 0.7444, 0.7364, 0.7512, 0.7409, 0.742, 0.7366, 0.7371, 0.7356, 0.749, 0.7435, 0.7539, 0.7421, 0.6982, 0.677, 0.7235, 0.7094, 0.747, 0.7411, 0.7431, 0.7408, 0.7132, 0.7483, 0.7449]"
2560 "[0.7565, 0.7398, 0.7559, 0.7396, 0.7388, 0.7406, 0.7443, 0.733, 0.754, 0.7403, 0.7317, 0.7216, 0.7537, 0.6693, 0.7515, 0.7401, 0.7485, 0.7497, 0.752, 0.7382, 0.7165, 0.7256, 0.6998, 0.7507, 0.7399, 0.7371, 0.7538, 0.7435, 0.7258, 0.7562, 0.7542, 0.7573, 0.7595, 0.7126, 0.7541, 0.7425, 0.7578, 0.7364, 0.7364, 0.7127, 0.7454, 0.7561, 0.7258, 0.761, 0.7512, 0.7403, 0.72, 0.7408, 0.7532, 0.737, 0.7443, 0.7262, 0.7247, 0.7564, 0.7614, 0.7563, 0.7522, 0.6436, 0.7186, 0.7397, 0.756, 0.7439, 0.7319, 0.7325, 0.7522, 0.7647, 0.7579, 0.7482, 0.7447, 0.7472, 0.7084, 0.7557, 0.7418, 0.7589, 0.7401, 0.7451, 0.7507, 0.6924, 0.6893, 0.743, 0.7464, 0.7533, 0.7483, 0.7441, 0.7195, 0.7333, 0.6941, 0.7148, 0.7318, 0.7572, 0.7444, 0.7308, 0.7456, 0.7556, 0.7493, 0.661, 0.7416, 0.7527, 0.736, 0.7525]"
5120 "[0.7383, 0.7554, 0.7643, 0.7512, 0.7665, 0.7612, 0.7466, 0.7581, 0.7696, 0.7496, 0.7485, 0.7411, 0.7157, 0.7649, 0.7514, 0.7683, 0.7635, 0.7433, 0.7628, 0.7524, 0.7603, 0.7558, 0.7526, 0.7634, 0.7495, 0.758, 0.7477, 0.7599, 0.7593, 0.7555, 0.7654, 0.7648, 0.6189, 0.7567, 0.7474, 0.7609, 0.7073, 0.7518, 0.7664, 0.7636, 0.7695, 0.7553, 0.7141, 0.771, 0.7605, 0.761, 0.7658, 0.7455, 0.7317, 0.757, 0.7617, 0.7616, 0.7627, 0.7589, 0.7656, 0.7612, 0.7611, 0.766, 0.7307, 0.7545, 0.7359, 0.7628, 0.7481, 0.7631, 0.7223, 0.7631, 0.7266, 0.7581, 0.7554, 0.7639, 0.7401, 0.7552, 0.6453, 0.7598, 0.6447, 0.7597, 0.7669, 0.7606, 0.7516, 0.7397, 0.7532, 0.7181, 0.7678, 0.757, 0.7623, 0.7623, 0.7629, 0.6748, 0.7648, 0.7592, 0.7441, 0.7572, 0.7642, 0.7575, 0.7622, 0.7335, 0.7712, 0.7615, 0.7501, 0.7555]"
