 Linear0
10 "[0.5704, 0.6204, 0.5922, 0.6057, 0.5841, 0.4829, 0.5975, 0.6283, 0.6115, 0.5347, 0.602, 0.6028, 0.6098, 0.5656, 0.5143, 0.5857, 0.5881, 0.5752, 0.6144, 0.5817, 0.6016, 0.6075, 0.6095, 0.5637, 0.5908, 0.6049, 0.47, 0.5906, 0.5209, 0.5928, 0.5196, 0.5775, 0.6223, 0.5603, 0.53, 0.6009, 0.6148, 0.5634, 0.4819, 0.6141, 0.5518, 0.5596, 0.5669, 0.5432, 0.6199, 0.6208, 0.6058, 0.6151, 0.6113, 0.6131, 0.546, 0.6047, 0.4886, 0.6011, 0.5031, 0.6108, 0.6031, 0.503, 0.6009, 0.5683, 0.5787, 0.6193, 0.6068, 0.5469, 0.5046, 0.5253, 0.5789, 0.5913, 0.5756, 0.5895, 0.6124, 0.5788, 0.6106, 0.591, 0.5676, 0.6085, 0.5541, 0.5827, 0.5755, 0.5616, 0.5866, 0.6301, 0.5681, 0.6129, 0.6282, 0.5816, 0.6352, 0.5633, 0.5718, 0.5419, 0.5454, 0.6073, 0.6341, 0.5667, 0.5953, 0.6143, 0.5588, 0.5712, 0.6114, 0.5383]"
20 "[0.6698, 0.6544, 0.6527, 0.6512, 0.67, 0.6532, 0.656, 0.6617, 0.6664, 0.6621, 0.6294, 0.655, 0.6639, 0.6642, 0.6082, 0.6482, 0.6463, 0.6342, 0.6629, 0.6522, 0.664, 0.6403, 0.6571, 0.6429, 0.6701, 0.6528, 0.6782, 0.6617, 0.6498, 0.657, 0.6539, 0.6615, 0.6753, 0.6623, 0.6462, 0.6235, 0.6566, 0.6347, 0.6408, 0.635, 0.6725, 0.6516, 0.6659, 0.6297, 0.6627, 0.6582, 0.6415, 0.6518, 0.6622, 0.6758, 0.657, 0.6341, 0.6177, 0.6583, 0.6488, 0.6353, 0.6339, 0.6499, 0.6619, 0.6782, 0.6582, 0.6798, 0.6701, 0.6621, 0.6464, 0.6661, 0.6568, 0.6545, 0.6557, 0.6599, 0.6348, 0.6563, 0.6604, 0.6596, 0.6652, 0.5955, 0.6538, 0.6678, 0.639, 0.6347, 0.6675, 0.6788, 0.6698, 0.6409, 0.6553, 0.6648, 0.6464, 0.6756, 0.6441, 0.6552, 0.6492, 0.6588, 0.666, 0.6604, 0.6826, 0.6568, 0.6463, 0.6769, 0.6462, 0.6787]"
40 "[0.6892, 0.6946, 0.6865, 0.6924, 0.703, 0.6883, 0.6723, 0.6944, 0.6869, 0.6956, 0.6853, 0.6777, 0.6743, 0.6993, 0.6614, 0.6754, 0.6933, 0.6882, 0.6883, 0.6948, 0.6607, 0.6884, 0.6858, 0.6891, 0.6762, 0.6937, 0.6934, 0.6914, 0.6838, 0.6984, 0.6946, 0.6765, 0.6831, 0.6913, 0.6887, 0.6821, 0.6942, 0.6955, 0.6831, 0.7063, 0.6931, 0.695, 0.6849, 0.6698, 0.6912, 0.6531, 0.6767, 0.6896, 0.681, 0.6871, 0.6852, 0.6843, 0.6903, 0.689, 0.691, 0.6889, 0.6907, 0.6934, 0.6887, 0.6916, 0.6799, 0.6639, 0.6863, 0.6828, 0.6849, 0.6899, 0.6851, 0.691, 0.6929, 0.6802, 0.6829, 0.6867, 0.6873, 0.6754, 0.6843, 0.6736, 0.6866, 0.7018, 0.663, 0.6896, 0.6943, 0.6864, 0.6983, 0.6977, 0.6779, 0.6931, 0.6822, 0.6878, 0.6878, 0.6797, 0.6842, 0.6867, 0.6985, 0.6971, 0.6894, 0.6816, 0.7031, 0.6859, 0.7047, 0.694]"
80 "[0.6934, 0.6994, 0.7068, 0.6988, 0.7003, 0.7021, 0.7056, 0.7078, 0.7024, 0.6935, 0.6993, 0.7047, 0.7069, 0.7013, 0.7056, 0.7041, 0.6977, 0.7036, 0.7037, 0.6968, 0.6982, 0.7004, 0.6975, 0.7059, 0.7033, 0.7029, 0.703, 0.7062, 0.7169, 0.7094, 0.7047, 0.7057, 0.7098, 0.7058, 0.7011, 0.7022, 0.7009, 0.6898, 0.6997, 0.7027, 0.6997, 0.7023, 0.7055, 0.7052, 0.6781, 0.6996, 0.693, 0.6981, 0.7113, 0.6781, 0.6987, 0.7126, 0.7124, 0.6998, 0.705, 0.7008, 0.6931, 0.7009, 0.7017, 0.707, 0.703, 0.7099, 0.7101, 0.6995, 0.6987, 0.705, 0.7068, 0.7033, 0.7032, 0.7103, 0.701, 0.7076, 0.7036, 0.7037, 0.6999, 0.6945, 0.7037, 0.6967, 0.7063, 0.7014, 0.7055, 0.6995, 0.6678, 0.7065, 0.6972, 0.708, 0.6895, 0.7084, 0.6961, 0.7056, 0.6944, 0.7151, 0.7026, 0.7083, 0.7025, 0.7016, 0.7126, 0.6912, 0.6936, 0.6988]"
160 "[0.6956, 0.6825, 0.7026, 0.6978, 0.6897, 0.6991, 0.7043, 0.699, 0.701, 0.7046, 0.7019, 0.7141, 0.7023, 0.7005, 0.6906, 0.6953, 0.6989, 0.7076, 0.7191, 0.7025, 0.6919, 0.7043, 0.698, 0.7026, 0.688, 0.6895, 0.6959, 0.7002, 0.6967, 0.6936, 0.6989, 0.7049, 0.7006, 0.6869, 0.696, 0.6978, 0.6987, 0.6929, 0.6969, 0.6999, 0.6933, 0.7048, 0.7014, 0.6909, 0.6985, 0.705, 0.6992, 0.7009, 0.6883, 0.7031, 0.7202, 0.7025, 0.7002, 0.6942, 0.6942, 0.7146, 0.7077, 0.7063, 0.7014, 0.7069, 0.6964, 0.6977, 0.6987, 0.6843, 0.6914, 0.6987, 0.6966, 0.6844, 0.6996, 0.6967, 0.6987, 0.7079, 0.7044, 0.7005, 0.6922, 0.711, 0.712, 0.7018, 0.6865, 0.6959, 0.7013, 0.7136, 0.7065, 0.6923, 0.7007, 0.7042, 0.7, 0.7183, 0.7079, 0.7015, 0.6865, 0.7006, 0.6999, 0.6975, 0.6929, 0.7028, 0.6967, 0.7019, 0.6996, 0.6901]"
320 "[0.6919, 0.6891, 0.7147, 0.6835, 0.6966, 0.6998, 0.6942, 0.718, 0.6938, 0.6995, 0.6396, 0.7023, 0.6941, 0.6907, 0.698, 0.6965, 0.6928, 0.6965, 0.7014, 0.6997, 0.692, 0.6739, 0.6996, 0.7038, 0.6906, 0.6972, 0.6946, 0.6997, 0.7045, 0.7039, 0.7167, 0.7013, 0.7022, 0.6967, 0.6938, 0.6973, 0.6985, 0.6857, 0.6922, 0.7, 0.6974, 0.7025, 0.703, 0.6929, 0.7, 0.6951, 0.6901, 0.6889, 0.6971, 0.6938, 0.6869, 0.6985, 0.6958, 0.695, 0.5117, 0.6858, 0.6881, 0.6939, 0.6896, 0.6939, 0.6886, 0.6947, 0.6737, 0.6961, 0.6904, 0.6899, 0.6982, 0.6982, 0.6908, 0.6948, 0.7038, 0.7046, 0.6855, 0.693, 0.6986, 0.6827, 0.6923, 0.6979, 0.6988, 0.7012, 0.6664, 0.6987, 0.6921, 0.7051, 0.702, 0.7035, 0.6967, 0.703, 0.6988, 0.7008, 0.69, 0.7032, 0.7061, 0.6892, 0.6977, 0.6917, 0.6944, 0.7038, 0.638, 0.6955]"
640 "[0.7055, 0.6484, 0.6877, 0.6975, 0.7172, 0.7088, 0.7057, 0.7115, 0.7106, 0.7013, 0.7006, 0.7037, 0.7039, 0.7163, 0.5592, 0.7036, 0.7042, 0.7082, 0.702, 0.716, 0.7027, 0.7065, 0.7027, 0.6997, 0.6928, 0.7234, 0.7045, 0.7006, 0.7056, 0.7003, 0.7146, 0.7076, 0.7038, 0.7072, 0.6949, 0.6978, 0.7203, 0.7008, 0.7026, 0.7005, 0.697, 0.7, 0.6959, 0.7056, 0.7101, 0.7127, 0.7049, 0.7045, 0.707, 0.6927, 0.7079, 0.7015, 0.7129, 0.7014, 0.7031, 0.7149, 0.696, 0.7068, 0.6267, 0.7036, 0.7025, 0.711, 0.6641, 0.7064, 0.709, 0.6927, 0.6828, 0.704, 0.7057, 0.7068, 0.7055, 0.6969, 0.7132, 0.7064, 0.7147, 0.7042, 0.7057, 0.7015, 0.7087, 0.7059, 0.7058, 0.7042, 0.7018, 0.7004, 0.6942, 0.6947, 0.7038, 0.6935, 0.6989, 0.7015, 0.7074, 0.6969, 0.7022, 0.7065, 0.701, 0.7048, 0.7096, 0.7049, 0.7081, 0.698]"
1280 "[0.7079, 0.7051, 0.7045, 0.7, 0.7128, 0.7039, 0.7077, 0.7098, 0.7069, 0.7115, 0.7025, 0.7102, 0.7097, 0.7119, 0.7025, 0.7075, 0.6986, 0.7238, 0.7129, 0.7026, 0.7133, 0.7088, 0.7157, 0.7155, 0.7065, 0.7083, 0.7084, 0.7154, 0.7085, 0.7131, 0.705, 0.7084, 0.7, 0.6725, 0.7063, 0.7104, 0.7059, 0.7022, 0.7089, 0.69, 0.7105, 0.7133, 0.6968, 0.7139, 0.7078, 0.7061, 0.7048, 0.7123, 0.7052, 0.708, 0.7065, 0.7028, 0.6965, 0.7062, 0.7055, 0.71, 0.713, 0.7114, 0.7081, 0.705, 0.6764, 0.7032, 0.7084, 0.6957, 0.7064, 0.6942, 0.6956, 0.7248, 0.716, 0.7115, 0.7044, 0.7047, 0.7018, 0.7047, 0.7095, 0.705, 0.71, 0.7077, 0.7029, 0.7071, 0.7048, 0.7001, 0.7103, 0.7073, 0.7019, 0.7008, 0.7079, 0.7035, 0.7066, 0.6994, 0.7015, 0.7022, 0.705, 0.6942, 0.7094, 0.7159, 0.7087, 0.7062, 0.7012, 0.7034]"
2560 "[0.6693, 0.7182, 0.7157, 0.7182, 0.7061, 0.7211, 0.7218, 0.7106, 0.7305, 0.71, 0.715, 0.7099, 0.7166, 0.7044, 0.7254, 0.719, 0.7145, 0.7073, 0.7208, 0.7158, 0.7134, 0.7184, 0.7086, 0.7188, 0.7039, 0.7215, 0.7051, 0.7083, 0.7166, 0.7072, 0.7188, 0.7203, 0.6999, 0.7095, 0.7232, 0.7155, 0.6863, 0.7115, 0.7182, 0.7046, 0.6607, 0.6806, 0.7071, 0.7099, 0.7133, 0.716, 0.7087, 0.7123, 0.7248, 0.716, 0.7155, 0.7122, 0.7158, 0.7179, 0.7211, 0.7305, 0.7102, 0.7202, 0.7174, 0.7152, 0.7059, 0.7209, 0.7245, 0.7225, 0.7087, 0.7118, 0.7154, 0.7176, 0.7112, 0.7197, 0.6976, 0.7037, 0.7066, 0.7128, 0.7138, 0.7227, 0.7057, 0.7041, 0.7193, 0.7055, 0.7142, 0.6952, 0.677, 0.7153, 0.7368, 0.7156, 0.7092, 0.7175, 0.7176, 0.7016, 0.7094, 0.7104, 0.7193, 0.7102, 0.7309, 0.7029, 0.709, 0.7073, 0.7178, 0.7031]"
5120 "[0.7248, 0.724, 0.732, 0.7227, 0.7278, 0.7272, 0.7118, 0.7315, 0.7249, 0.7354, 0.7249, 0.7341, 0.7175, 0.7241, 0.7284, 0.7223, 0.6906, 0.7221, 0.7182, 0.7259, 0.7267, 0.7238, 0.7249, 0.7234, 0.7076, 0.725, 0.7208, 0.7275, 0.7203, 0.718, 0.724, 0.7191, 0.7282, 0.7292, 0.7265, 0.7306, 0.7402, 0.7406, 0.7274, 0.7229, 0.7196, 0.7317, 0.7382, 0.7203, 0.7231, 0.7314, 0.7275, 0.7212, 0.6944, 0.7292, 0.7173, 0.7257, 0.722, 0.7366, 0.7244, 0.7261, 0.7298, 0.7205, 0.7237, 0.7259, 0.7259, 0.7176, 0.7221, 0.7272, 0.7409, 0.7292, 0.7198, 0.7328, 0.7217, 0.7226, 0.7195, 0.7275, 0.7245, 0.7167, 0.7206, 0.7224, 0.7258, 0.7227, 0.7299, 0.7171, 0.738, 0.7261, 0.7307, 0.7324, 0.7259, 0.7356, 0.7195, 0.7214, 0.7334, 0.7331, 0.7229, 0.7297, 0.73, 0.7137, 0.7288, 0.7338, 0.7237, 0.7287, 0.7323, 0.7163]"
