 Linear0
10 "[0.5918, 0.5812, 0.5677, 0.5839, 0.6, 0.5814, 0.5972, 0.5866, 0.564, 0.5819, 0.5907, 0.5857, 0.5862, 0.5884, 0.5874, 0.6118, 0.5641, 0.5707, 0.5891, 0.5796, 0.5868, 0.5739, 0.5788, 0.5763, 0.5809, 0.5827, 0.5588, 0.5666, 0.5976, 0.5805, 0.5904, 0.5828, 0.5555, 0.5835, 0.5785, 0.5904, 0.5899, 0.5784, 0.5928, 0.5899, 0.5867, 0.5754, 0.5417, 0.5797, 0.5813, 0.5965, 0.582, 0.5802, 0.5589, 0.5848, 0.5748, 0.5864, 0.5799, 0.5701, 0.5807, 0.578, 0.5897, 0.5583, 0.585, 0.5983, 0.5974, 0.5695, 0.5758, 0.5866, 0.577, 0.5749, 0.591, 0.5832, 0.5829, 0.5842, 0.5693, 0.5621, 0.6, 0.5757, 0.5529, 0.5837, 0.5822, 0.6027, 0.5858, 0.5732, 0.5902, 0.5865, 0.5775, 0.5871, 0.5801, 0.5755, 0.5687, 0.5919, 0.5954, 0.5733, 0.579, 0.5898, 0.5614, 0.5848, 0.5933, 0.5926, 0.5792, 0.6011, 0.585, 0.5773]"
20 "[0.6689, 0.6796, 0.6782, 0.6924, 0.6719, 0.6614, 0.6872, 0.6767, 0.6651, 0.6624, 0.6853, 0.7035, 0.6893, 0.6863, 0.6691, 0.6863, 0.6893, 0.6706, 0.6667, 0.6879, 0.6806, 0.6815, 0.6773, 0.6856, 0.6593, 0.6794, 0.6649, 0.6731, 0.6754, 0.7043, 0.6534, 0.68, 0.6537, 0.6667, 0.6968, 0.6754, 0.7013, 0.6869, 0.6354, 0.6914, 0.6648, 0.6748, 0.6755, 0.6887, 0.6751, 0.6793, 0.67, 0.6698, 0.6769, 0.6754, 0.6726, 0.6949, 0.6889, 0.6849, 0.6835, 0.6765, 0.6841, 0.6902, 0.6721, 0.6662, 0.6779, 0.6747, 0.6846, 0.6783, 0.6845, 0.6883, 0.6741, 0.6564, 0.6884, 0.6854, 0.673, 0.6824, 0.686, 0.6681, 0.692, 0.6929, 0.6688, 0.6843, 0.6653, 0.6713, 0.6796, 0.6796, 0.6734, 0.6796, 0.6763, 0.6797, 0.6876, 0.6571, 0.6717, 0.6772, 0.6759, 0.6797, 0.6682, 0.6622, 0.6947, 0.6725, 0.693, 0.6837, 0.6757, 0.6888]"
40 "[0.7196, 0.7268, 0.7193, 0.7239, 0.7249, 0.7182, 0.718, 0.7261, 0.7277, 0.7204, 0.7259, 0.7233, 0.7171, 0.7154, 0.7123, 0.7188, 0.719, 0.7238, 0.718, 0.7234, 0.7218, 0.7237, 0.7264, 0.7245, 0.7154, 0.7197, 0.7208, 0.72, 0.7198, 0.7262, 0.7208, 0.7122, 0.7156, 0.724, 0.721, 0.7242, 0.7241, 0.7228, 0.7262, 0.6979, 0.7215, 0.7171, 0.7145, 0.7196, 0.7178, 0.7145, 0.7259, 0.7182, 0.7266, 0.7222, 0.7197, 0.7273, 0.7248, 0.7163, 0.7187, 0.7183, 0.7196, 0.7272, 0.722, 0.7266, 0.7214, 0.7257, 0.7283, 0.7206, 0.7164, 0.7162, 0.7144, 0.7251, 0.7214, 0.726, 0.7215, 0.7217, 0.7254, 0.7233, 0.7196, 0.7221, 0.7259, 0.7216, 0.7209, 0.7222, 0.7215, 0.7242, 0.7247, 0.7089, 0.7202, 0.7183, 0.7195, 0.7189, 0.7253, 0.7256, 0.7185, 0.7169, 0.7252, 0.7185, 0.722, 0.7221, 0.724, 0.7147, 0.7247, 0.7204]"
80 "[0.7316, 0.7256, 0.7294, 0.7279, 0.7279, 0.7303, 0.7291, 0.7245, 0.7271, 0.7243, 0.7246, 0.7264, 0.729, 0.7262, 0.7157, 0.7287, 0.7299, 0.7289, 0.7281, 0.7291, 0.7229, 0.7242, 0.7297, 0.7248, 0.73, 0.7303, 0.7315, 0.73, 0.7248, 0.7287, 0.7273, 0.7306, 0.7318, 0.7315, 0.7319, 0.7286, 0.7299, 0.7217, 0.7272, 0.7292, 0.7298, 0.728, 0.7293, 0.7232, 0.7262, 0.7261, 0.7264, 0.7287, 0.7269, 0.7278, 0.729, 0.7259, 0.7247, 0.7255, 0.7219, 0.7305, 0.7302, 0.7294, 0.7291, 0.7301, 0.7266, 0.7302, 0.7252, 0.727, 0.7302, 0.7297, 0.7284, 0.7243, 0.7248, 0.729, 0.7301, 0.727, 0.7291, 0.7304, 0.7295, 0.7288, 0.7285, 0.729, 0.7286, 0.7292, 0.7211, 0.7287, 0.7293, 0.7244, 0.727, 0.7328, 0.7323, 0.7276, 0.7312, 0.73, 0.7293, 0.7308, 0.723, 0.7302, 0.7258, 0.7282, 0.7176, 0.7313, 0.7132, 0.7265]"
160 "[0.7293, 0.7264, 0.7257, 0.7269, 0.7318, 0.7293, 0.7287, 0.7259, 0.7266, 0.7285, 0.7268, 0.726, 0.7315, 0.7279, 0.7278, 0.7242, 0.7304, 0.7264, 0.731, 0.7314, 0.728, 0.7298, 0.7282, 0.7316, 0.733, 0.7286, 0.7287, 0.731, 0.7325, 0.7296, 0.7273, 0.7306, 0.7301, 0.7272, 0.725, 0.7304, 0.7309, 0.7277, 0.7284, 0.7283, 0.7312, 0.73, 0.7229, 0.7288, 0.7208, 0.7291, 0.7296, 0.7278, 0.7234, 0.7295, 0.7304, 0.7298, 0.7309, 0.728, 0.7312, 0.7302, 0.7279, 0.7293, 0.7288, 0.7302, 0.7294, 0.7283, 0.7315, 0.7259, 0.731, 0.7256, 0.73, 0.7298, 0.7301, 0.7313, 0.7314, 0.7236, 0.7294, 0.7283, 0.7278, 0.7251, 0.7283, 0.7255, 0.7279, 0.7274, 0.7304, 0.7274, 0.7297, 0.7312, 0.7295, 0.7272, 0.726, 0.728, 0.7292, 0.7228, 0.731, 0.7316, 0.73, 0.7318, 0.7252, 0.7259, 0.7292, 0.7268, 0.7329, 0.7324]"
320 "[0.7333, 0.7317, 0.7285, 0.7318, 0.7234, 0.7292, 0.7343, 0.7317, 0.7299, 0.7336, 0.7333, 0.7323, 0.7214, 0.7297, 0.7308, 0.7313, 0.7309, 0.7331, 0.7316, 0.7307, 0.7311, 0.7314, 0.7295, 0.7308, 0.734, 0.7185, 0.7336, 0.7332, 0.7316, 0.7351, 0.7302, 0.7348, 0.7332, 0.7331, 0.7323, 0.7324, 0.7322, 0.7241, 0.7311, 0.7286, 0.7332, 0.7289, 0.7339, 0.6908, 0.7328, 0.7323, 0.7342, 0.7334, 0.7317, 0.7325, 0.7336, 0.7349, 0.7322, 0.7342, 0.7345, 0.7319, 0.7279, 0.7346, 0.7317, 0.7318, 0.7305, 0.7298, 0.7342, 0.7307, 0.7312, 0.7294, 0.7366, 0.7312, 0.7331, 0.7335, 0.7326, 0.7341, 0.7307, 0.7325, 0.7266, 0.7335, 0.7297, 0.7318, 0.7293, 0.7295, 0.7332, 0.7337, 0.7273, 0.7316, 0.7295, 0.7326, 0.7298, 0.7318, 0.734, 0.7311, 0.7336, 0.7339, 0.7251, 0.7312, 0.7307, 0.725, 0.7327, 0.7326, 0.7327, 0.7305]"
640 "[0.7296, 0.7334, 0.7338, 0.7296, 0.7343, 0.7332, 0.7336, 0.733, 0.7303, 0.7331, 0.7312, 0.7298, 0.7329, 0.7332, 0.7327, 0.734, 0.7315, 0.734, 0.7324, 0.7317, 0.717, 0.735, 0.7342, 0.7295, 0.7323, 0.7249, 0.7345, 0.7327, 0.7313, 0.7332, 0.7343, 0.7345, 0.7357, 0.7359, 0.7343, 0.735, 0.7342, 0.732, 0.735, 0.733, 0.7324, 0.7332, 0.7329, 0.7339, 0.7315, 0.7355, 0.7329, 0.7336, 0.733, 0.7318, 0.7316, 0.7336, 0.7338, 0.7337, 0.7331, 0.7337, 0.7289, 0.7341, 0.7326, 0.7345, 0.7289, 0.7351, 0.7311, 0.733, 0.733, 0.735, 0.7333, 0.7348, 0.7347, 0.7309, 0.7332, 0.7292, 0.7329, 0.715, 0.7322, 0.7307, 0.7308, 0.7314, 0.7349, 0.7331, 0.7349, 0.7313, 0.735, 0.7342, 0.7348, 0.735, 0.7352, 0.7343, 0.7321, 0.7307, 0.7345, 0.7298, 0.7312, 0.7339, 0.7334, 0.7356, 0.7337, 0.7168, 0.7347, 0.7363]"
1280 "[0.7349, 0.7353, 0.7358, 0.7313, 0.7351, 0.7309, 0.7355, 0.7307, 0.7335, 0.7359, 0.7335, 0.7346, 0.7365, 0.7373, 0.7323, 0.7345, 0.7284, 0.7349, 0.7343, 0.7255, 0.736, 0.7337, 0.7344, 0.7347, 0.7353, 0.7323, 0.7321, 0.7319, 0.7359, 0.7365, 0.7326, 0.736, 0.7357, 0.7339, 0.7343, 0.736, 0.7324, 0.736, 0.7341, 0.7333, 0.736, 0.7356, 0.7366, 0.7353, 0.7352, 0.7378, 0.7335, 0.7357, 0.7336, 0.7292, 0.7348, 0.7349, 0.736, 0.7362, 0.735, 0.7343, 0.733, 0.7371, 0.734, 0.7309, 0.7341, 0.735, 0.7367, 0.7366, 0.7317, 0.7349, 0.7342, 0.7355, 0.7351, 0.7301, 0.7327, 0.7334, 0.7338, 0.7336, 0.7364, 0.7354, 0.7332, 0.7291, 0.7363, 0.733, 0.7344, 0.7327, 0.7328, 0.7335, 0.7346, 0.7357, 0.7358, 0.7335, 0.7357, 0.7347, 0.7366, 0.7347, 0.7317, 0.7328, 0.7353, 0.7358, 0.7342, 0.7338, 0.7354, 0.7356]"
2560 "[0.7352, 0.7362, 0.7366, 0.7378, 0.7363, 0.7352, 0.7376, 0.7355, 0.7338, 0.7365, 0.7356, 0.7377, 0.7384, 0.7385, 0.7363, 0.7327, 0.73, 0.7363, 0.7346, 0.7389, 0.7384, 0.7357, 0.7383, 0.7337, 0.7361, 0.7378, 0.7367, 0.736, 0.7324, 0.738, 0.738, 0.7331, 0.7361, 0.7367, 0.7395, 0.735, 0.7359, 0.7384, 0.7365, 0.7364, 0.737, 0.7379, 0.7366, 0.7384, 0.7364, 0.7388, 0.7366, 0.7381, 0.7369, 0.7379, 0.7378, 0.734, 0.7385, 0.7366, 0.7362, 0.7364, 0.7353, 0.7357, 0.7362, 0.7346, 0.7361, 0.7361, 0.7376, 0.7374, 0.7369, 0.7365, 0.7354, 0.7363, 0.7366, 0.7368, 0.7374, 0.7374, 0.7335, 0.7376, 0.7341, 0.7367, 0.7371, 0.7359, 0.7357, 0.7376, 0.7381, 0.7359, 0.7371, 0.7331, 0.7273, 0.7362, 0.7372, 0.7376, 0.7387, 0.7342, 0.7364, 0.7354, 0.7363, 0.7347, 0.7374, 0.7386, 0.7365, 0.739, 0.7389, 0.737]"
5120 "[0.7383, 0.7373, 0.7372, 0.7382, 0.7366, 0.7352, 0.7365, 0.7349, 0.7369, 0.7365, 0.7371, 0.7376, 0.7367, 0.7379, 0.7303, 0.7329, 0.7384, 0.7376, 0.7394, 0.7366, 0.7387, 0.7395, 0.7379, 0.7366, 0.7389, 0.7333, 0.7401, 0.7392, 0.7386, 0.7366, 0.7373, 0.7354, 0.7334, 0.7391, 0.7376, 0.7358, 0.7393, 0.7371, 0.7376, 0.7385, 0.7395, 0.7392, 0.739, 0.7378, 0.7378, 0.7372, 0.7373, 0.7376, 0.7376, 0.7373, 0.7401, 0.7371, 0.7395, 0.7369, 0.7386, 0.7377, 0.7363, 0.7386, 0.7387, 0.7397, 0.738, 0.7368, 0.7359, 0.7389, 0.7383, 0.7386, 0.7385, 0.7401, 0.7386, 0.7346, 0.7391, 0.7371, 0.739, 0.7395, 0.7374, 0.7404, 0.7382, 0.737, 0.7379, 0.7397, 0.7377, 0.7369, 0.7371, 0.7375, 0.7381, 0.7379, 0.7364, 0.7369, 0.7394, 0.7381, 0.7387, 0.7346, 0.7388, 0.7367, 0.7391, 0.7376, 0.7337, 0.739, 0.7343, 0.7358]"
