 Linear0
10 "[0.602, 0.6144, 0.5311, 0.5699, 0.5559, 0.5553, 0.608, 0.5741, 0.5994, 0.5526, 0.6034, 0.6041, 0.6175, 0.546, 0.5971, 0.5819, 0.6135, 0.5883, 0.6088, 0.588, 0.5561, 0.6169, 0.6107, 0.5632, 0.6203, 0.5902, 0.6119, 0.6107, 0.6013, 0.6151, 0.6, 0.5961, 0.6125, 0.6233, 0.6185, 0.6087, 0.5646, 0.6095, 0.5735, 0.5824, 0.6086, 0.5112, 0.5644, 0.6097, 0.6182, 0.567, 0.6297, 0.5422, 0.581, 0.6165, 0.6158, 0.6011, 0.6109, 0.61, 0.5366, 0.6046, 0.5538, 0.4967, 0.6118, 0.6032, 0.5575, 0.6081, 0.5797, 0.5614, 0.5833, 0.586, 0.6111, 0.5249, 0.5891, 0.607, 0.5852, 0.6249, 0.6053, 0.5543, 0.5586, 0.5999, 0.6162, 0.5906, 0.5373, 0.6171, 0.6114, 0.6131, 0.6204, 0.5954, 0.6184, 0.5637, 0.5572, 0.5516, 0.6006, 0.5765, 0.5867, 0.6121, 0.5972, 0.5579, 0.6102, 0.5759, 0.5825, 0.6078, 0.6123, 0.5905]"
20 "[0.6675, 0.6613, 0.6416, 0.6411, 0.6599, 0.6009, 0.6267, 0.6458, 0.6344, 0.6139, 0.6623, 0.6268, 0.6056, 0.6188, 0.6499, 0.6458, 0.5483, 0.6691, 0.5987, 0.6553, 0.619, 0.6578, 0.634, 0.6699, 0.6286, 0.6609, 0.6706, 0.6309, 0.6575, 0.6662, 0.6055, 0.6294, 0.6269, 0.6376, 0.6465, 0.5795, 0.6583, 0.6101, 0.6644, 0.5934, 0.6537, 0.6432, 0.6699, 0.6309, 0.6321, 0.6715, 0.6628, 0.6665, 0.655, 0.6634, 0.6171, 0.6389, 0.6432, 0.6181, 0.6522, 0.6561, 0.568, 0.6473, 0.6399, 0.6291, 0.652, 0.6634, 0.6427, 0.6665, 0.6633, 0.6335, 0.6445, 0.6332, 0.5665, 0.6618, 0.6304, 0.6601, 0.656, 0.6536, 0.6333, 0.5825, 0.6334, 0.6557, 0.6354, 0.6356, 0.6536, 0.607, 0.6627, 0.6657, 0.6533, 0.6636, 0.567, 0.677, 0.6469, 0.6324, 0.6177, 0.6108, 0.6449, 0.6514, 0.6119, 0.6374, 0.6655, 0.5944, 0.5854, 0.473]"
40 "[0.705, 0.6898, 0.676, 0.7121, 0.6843, 0.692, 0.6656, 0.611, 0.6768, 0.6719, 0.6724, 0.6329, 0.6002, 0.6908, 0.6859, 0.7032, 0.6851, 0.6523, 0.6932, 0.6503, 0.6919, 0.6882, 0.6919, 0.6297, 0.6614, 0.6711, 0.6891, 0.6979, 0.7017, 0.6913, 0.7097, 0.6542, 0.6777, 0.6759, 0.7031, 0.6917, 0.6913, 0.6775, 0.6793, 0.6535, 0.681, 0.6959, 0.7119, 0.6726, 0.694, 0.6567, 0.679, 0.6622, 0.68, 0.6843, 0.6675, 0.6272, 0.7028, 0.6323, 0.6832, 0.6922, 0.6338, 0.6897, 0.6856, 0.6955, 0.6964, 0.6844, 0.5708, 0.6791, 0.6907, 0.6914, 0.6902, 0.689, 0.6735, 0.6943, 0.6996, 0.6642, 0.6454, 0.6301, 0.6936, 0.6968, 0.7064, 0.6728, 0.6914, 0.6768, 0.7012, 0.6953, 0.6487, 0.6981, 0.6719, 0.6814, 0.7086, 0.6929, 0.6176, 0.6983, 0.6945, 0.6485, 0.6598, 0.6902, 0.6803, 0.6805, 0.6906, 0.6802, 0.629, 0.6764]"
80 "[0.7267, 0.726, 0.7196, 0.7249, 0.7273, 0.71, 0.725, 0.7063, 0.7222, 0.7265, 0.7113, 0.7094, 0.6748, 0.7082, 0.7287, 0.728, 0.7101, 0.6997, 0.7215, 0.7237, 0.7199, 0.7184, 0.7191, 0.7352, 0.7026, 0.7077, 0.7227, 0.7239, 0.7179, 0.7237, 0.7197, 0.691, 0.7289, 0.7001, 0.7258, 0.7314, 0.6942, 0.7145, 0.6944, 0.7253, 0.7201, 0.7045, 0.7315, 0.6926, 0.7189, 0.7102, 0.7276, 0.6928, 0.712, 0.7081, 0.723, 0.7134, 0.7249, 0.7195, 0.7212, 0.7026, 0.7298, 0.7291, 0.721, 0.6945, 0.7371, 0.725, 0.7194, 0.7308, 0.717, 0.6815, 0.712, 0.7012, 0.7225, 0.7234, 0.7015, 0.7217, 0.7109, 0.7013, 0.7236, 0.7214, 0.6325, 0.7269, 0.7216, 0.725, 0.6638, 0.7125, 0.731, 0.7162, 0.7241, 0.7255, 0.6617, 0.7202, 0.6968, 0.719, 0.7214, 0.7231, 0.7083, 0.7329, 0.7034, 0.7172, 0.7356, 0.6986, 0.7296, 0.7242]"
160 "[0.7341, 0.7222, 0.714, 0.7293, 0.7087, 0.7083, 0.7083, 0.7316, 0.6827, 0.7092, 0.7334, 0.6976, 0.7265, 0.6239, 0.685, 0.6898, 0.7364, 0.7092, 0.7261, 0.7305, 0.7219, 0.5931, 0.7224, 0.7304, 0.7053, 0.7234, 0.715, 0.7177, 0.7209, 0.7289, 0.7324, 0.7314, 0.7174, 0.7296, 0.716, 0.6994, 0.7344, 0.7231, 0.6763, 0.7137, 0.7337, 0.7141, 0.7327, 0.7272, 0.724, 0.7215, 0.6931, 0.7347, 0.7258, 0.705, 0.714, 0.7242, 0.7007, 0.7075, 0.6991, 0.7236, 0.7279, 0.7163, 0.7126, 0.7139, 0.7128, 0.7137, 0.7244, 0.7146, 0.7192, 0.7061, 0.7128, 0.7202, 0.7134, 0.7164, 0.7287, 0.6502, 0.726, 0.6931, 0.6969, 0.7059, 0.7221, 0.7176, 0.7205, 0.7286, 0.7143, 0.6089, 0.6912, 0.7294, 0.726, 0.6631, 0.7197, 0.7269, 0.7252, 0.7228, 0.7206, 0.7291, 0.7276, 0.7057, 0.6012, 0.6974, 0.7233, 0.7045, 0.7212, 0.7031]"
320 "[0.7231, 0.7142, 0.7215, 0.7187, 0.734, 0.7415, 0.7331, 0.7267, 0.72, 0.7247, 0.7096, 0.6994, 0.7319, 0.7244, 0.7216, 0.5426, 0.7069, 0.7237, 0.7027, 0.7231, 0.7114, 0.7256, 0.7097, 0.6961, 0.7226, 0.7338, 0.7379, 0.6934, 0.7025, 0.7281, 0.7249, 0.7253, 0.7365, 0.706, 0.7062, 0.7305, 0.7455, 0.7224, 0.7268, 0.7169, 0.7151, 0.6834, 0.734, 0.725, 0.7277, 0.7076, 0.5125, 0.7208, 0.7033, 0.715, 0.7299, 0.7333, 0.7184, 0.7328, 0.7218, 0.7229, 0.7262, 0.7305, 0.716, 0.7151, 0.7295, 0.7376, 0.7213, 0.7198, 0.7154, 0.7367, 0.7051, 0.7301, 0.7414, 0.7155, 0.706, 0.6974, 0.6709, 0.7358, 0.7286, 0.7213, 0.7159, 0.7287, 0.7114, 0.7153, 0.7034, 0.7301, 0.7329, 0.7136, 0.7227, 0.7162, 0.6911, 0.7198, 0.7336, 0.7294, 0.7388, 0.7231, 0.7077, 0.7116, 0.7268, 0.665, 0.6962, 0.7319, 0.657, 0.7357]"
640 "[0.7321, 0.7225, 0.7292, 0.7394, 0.7369, 0.7223, 0.7359, 0.7431, 0.7424, 0.7393, 0.7171, 0.7398, 0.7354, 0.7369, 0.7141, 0.7381, 0.7132, 0.7407, 0.7013, 0.7102, 0.6863, 0.7234, 0.743, 0.7127, 0.7188, 0.7381, 0.7264, 0.7285, 0.7183, 0.7358, 0.727, 0.7383, 0.7287, 0.7198, 0.7376, 0.7019, 0.7375, 0.7274, 0.7342, 0.7394, 0.7329, 0.7195, 0.7322, 0.7155, 0.7314, 0.7326, 0.7024, 0.7345, 0.7384, 0.7083, 0.7306, 0.7082, 0.7263, 0.7235, 0.7267, 0.7343, 0.7252, 0.735, 0.7242, 0.7285, 0.7108, 0.7256, 0.7383, 0.7335, 0.7184, 0.7308, 0.7379, 0.7404, 0.7253, 0.7311, 0.7204, 0.7372, 0.7365, 0.6214, 0.7313, 0.5657, 0.7285, 0.7384, 0.6425, 0.7358, 0.7335, 0.7321, 0.7357, 0.7432, 0.7286, 0.7295, 0.735, 0.7188, 0.7389, 0.7407, 0.7427, 0.7179, 0.7384, 0.7385, 0.7449, 0.727, 0.7379, 0.7401, 0.7241, 0.7414]"
1280 "[0.6821, 0.7394, 0.7304, 0.7406, 0.7422, 0.6457, 0.734, 0.7414, 0.6208, 0.7308, 0.7144, 0.7377, 0.734, 0.7202, 0.741, 0.7417, 0.725, 0.7349, 0.7402, 0.7208, 0.7289, 0.7432, 0.7328, 0.7341, 0.7455, 0.6875, 0.744, 0.7042, 0.6884, 0.7372, 0.7403, 0.7478, 0.7369, 0.7381, 0.731, 0.7429, 0.7319, 0.7467, 0.7457, 0.7352, 0.7405, 0.7399, 0.7437, 0.7249, 0.7379, 0.7379, 0.7344, 0.7382, 0.7436, 0.7408, 0.743, 0.7397, 0.7367, 0.7395, 0.7483, 0.7264, 0.7259, 0.7379, 0.723, 0.7297, 0.7477, 0.734, 0.7403, 0.7402, 0.7388, 0.7372, 0.7405, 0.7409, 0.7204, 0.7242, 0.7032, 0.7081, 0.7483, 0.6888, 0.6999, 0.7437, 0.7412, 0.7393, 0.7406, 0.7329, 0.6913, 0.7185, 0.7469, 0.6516, 0.7393, 0.7469, 0.7457, 0.7365, 0.7406, 0.7328, 0.7397, 0.743, 0.7401, 0.7363, 0.74, 0.7354, 0.7327, 0.7073, 0.6978, 0.7389]"
2560 "[0.7482, 0.7442, 0.7466, 0.7448, 0.7514, 0.7377, 0.7464, 0.7382, 0.739, 0.7475, 0.7474, 0.7387, 0.7437, 0.747, 0.7529, 0.7427, 0.7461, 0.7336, 0.7517, 0.7471, 0.729, 0.7378, 0.7452, 0.7389, 0.7494, 0.7417, 0.7464, 0.7381, 0.7484, 0.7466, 0.7441, 0.75, 0.7445, 0.7486, 0.7484, 0.7325, 0.7497, 0.7443, 0.7459, 0.7471, 0.7416, 0.7408, 0.748, 0.7502, 0.7493, 0.7509, 0.7396, 0.7464, 0.7485, 0.7489, 0.7496, 0.7486, 0.7526, 0.7505, 0.748, 0.7507, 0.7502, 0.7169, 0.7416, 0.7529, 0.7466, 0.7461, 0.7519, 0.743, 0.7457, 0.7485, 0.7285, 0.7478, 0.7478, 0.7421, 0.7412, 0.7442, 0.7509, 0.7402, 0.7499, 0.747, 0.7485, 0.7509, 0.7346, 0.7431, 0.7477, 0.7511, 0.7451, 0.7454, 0.7347, 0.7263, 0.7294, 0.7357, 0.7325, 0.7122, 0.7386, 0.7485, 0.7407, 0.7331, 0.7399, 0.7009, 0.7494, 0.749, 0.7458, 0.7379]"
5120 "[0.7507, 0.7515, 0.7534, 0.7471, 0.7438, 0.7039, 0.7386, 0.7451, 0.7454, 0.7397, 0.7409, 0.7421, 0.7522, 0.741, 0.7393, 0.7491, 0.746, 0.7467, 0.746, 0.7158, 0.7517, 0.742, 0.7521, 0.7509, 0.7492, 0.7367, 0.745, 0.7321, 0.7389, 0.7545, 0.7547, 0.7473, 0.7492, 0.7462, 0.735, 0.7539, 0.7456, 0.7434, 0.7524, 0.7489, 0.7478, 0.7476, 0.745, 0.7417, 0.7349, 0.7487, 0.7407, 0.7458, 0.7372, 0.7378, 0.7481, 0.7546, 0.7512, 0.7453, 0.7487, 0.7353, 0.7468, 0.7422, 0.7512, 0.7446, 0.7562, 0.7404, 0.7485, 0.7431, 0.7508, 0.7383, 0.7477, 0.7429, 0.7481, 0.7485, 0.7486, 0.735, 0.746, 0.7495, 0.7492, 0.7448, 0.7521, 0.7431, 0.7566, 0.7509, 0.7446, 0.7474, 0.7262, 0.74, 0.7404, 0.7397, 0.7411, 0.7521, 0.729, 0.7528, 0.7469, 0.7534, 0.7466, 0.7564, 0.7425, 0.7376, 0.749, 0.7502, 0.7465, 0.757]"
