 Linear0
10 "[0.4895, 0.4868, 0.4275, 0.4795, 0.4797, 0.5524, 0.5008, 0.5195, 0.4258, 0.5232, 0.4703, 0.4909, 0.482, 0.4399, 0.4716, 0.4916, 0.4797, 0.4884, 0.5324, 0.505, 0.4925, 0.5291, 0.5182, 0.4463, 0.4905, 0.4797, 0.4102, 0.5134, 0.4236, 0.4885, 0.4611, 0.4839, 0.5006, 0.5028, 0.4799, 0.4931, 0.5105, 0.5049, 0.4903, 0.494, 0.507, 0.4323, 0.4945, 0.4827, 0.5335, 0.466, 0.503, 0.4423, 0.4768, 0.5052, 0.4971, 0.4994, 0.4834, 0.4885, 0.429, 0.4884, 0.479, 0.3313, 0.4635, 0.491, 0.4891, 0.533, 0.4673, 0.4725, 0.49, 0.5122, 0.5035, 0.4562, 0.457, 0.4959, 0.484, 0.5099, 0.5113, 0.4759, 0.4879, 0.4909, 0.503, 0.4364, 0.4508, 0.5249, 0.4883, 0.4711, 0.518, 0.464, 0.4925, 0.4517, 0.5038, 0.4825, 0.5023, 0.4902, 0.4857, 0.4896, 0.5024, 0.4771, 0.4534, 0.4881, 0.4574, 0.4992, 0.4619, 0.4867]"
20 "[0.6505, 0.6609, 0.5002, 0.6167, 0.5667, 0.6264, 0.6681, 0.5801, 0.6087, 0.6013, 0.6385, 0.6595, 0.5554, 0.6507, 0.6417, 0.6034, 0.5623, 0.5904, 0.6174, 0.6281, 0.6326, 0.6523, 0.5865, 0.5768, 0.6084, 0.5538, 0.6295, 0.5864, 0.6478, 0.6051, 0.6527, 0.6394, 0.6006, 0.6598, 0.4944, 0.6546, 0.6477, 0.5925, 0.659, 0.5842, 0.6341, 0.6296, 0.6645, 0.5499, 0.6631, 0.6217, 0.5983, 0.6093, 0.5993, 0.6052, 0.6032, 0.6281, 0.638, 0.6364, 0.6181, 0.5744, 0.6466, 0.6337, 0.6291, 0.5808, 0.6368, 0.6109, 0.6238, 0.6662, 0.6545, 0.6574, 0.6488, 0.635, 0.6629, 0.6439, 0.6194, 0.624, 0.6455, 0.6095, 0.6217, 0.5765, 0.593, 0.5958, 0.6641, 0.5618, 0.6623, 0.6358, 0.6297, 0.6514, 0.6291, 0.61, 0.5779, 0.6383, 0.6035, 0.6019, 0.6071, 0.6584, 0.6415, 0.6498, 0.6563, 0.6261, 0.6544, 0.6043, 0.5635, 0.6588]"
40 "[0.6964, 0.6772, 0.659, 0.6525, 0.6311, 0.6562, 0.6576, 0.6701, 0.5972, 0.6725, 0.6729, 0.6649, 0.6723, 0.6875, 0.6613, 0.6761, 0.6345, 0.6198, 0.679, 0.6669, 0.6759, 0.652, 0.6789, 0.6777, 0.6745, 0.6471, 0.6542, 0.6646, 0.6658, 0.6666, 0.6901, 0.6732, 0.6709, 0.6481, 0.6655, 0.6765, 0.6764, 0.6633, 0.6719, 0.6688, 0.6684, 0.6776, 0.6578, 0.673, 0.6648, 0.6385, 0.6643, 0.6636, 0.6248, 0.6623, 0.6444, 0.6856, 0.6716, 0.624, 0.6646, 0.672, 0.6755, 0.6624, 0.67, 0.6653, 0.6722, 0.6636, 0.6774, 0.6595, 0.6862, 0.6709, 0.6631, 0.6874, 0.671, 0.6803, 0.6796, 0.6673, 0.6758, 0.6684, 0.6675, 0.6576, 0.6721, 0.6436, 0.6689, 0.6563, 0.6725, 0.6818, 0.6725, 0.676, 0.6623, 0.6516, 0.6758, 0.6702, 0.6066, 0.6794, 0.667, 0.6682, 0.6036, 0.6806, 0.6371, 0.6734, 0.6517, 0.6731, 0.6611, 0.6644]"
80 "[0.6636, 0.6795, 0.6972, 0.691, 0.6877, 0.6832, 0.6819, 0.692, 0.6894, 0.6884, 0.6847, 0.6933, 0.6853, 0.7044, 0.684, 0.6881, 0.6877, 0.6797, 0.6899, 0.6794, 0.6904, 0.6898, 0.6908, 0.6894, 0.6897, 0.6836, 0.6941, 0.6758, 0.6926, 0.69, 0.6883, 0.6916, 0.6782, 0.6744, 0.6843, 0.6857, 0.6894, 0.6556, 0.6898, 0.7142, 0.6905, 0.6863, 0.6894, 0.6952, 0.6864, 0.6925, 0.684, 0.6465, 0.6738, 0.6386, 0.6845, 0.6892, 0.6873, 0.6894, 0.684, 0.6899, 0.6872, 0.7015, 0.6859, 0.6911, 0.6774, 0.6862, 0.6814, 0.6886, 0.6742, 0.6873, 0.6901, 0.6687, 0.6865, 0.6917, 0.6889, 0.6952, 0.6971, 0.69, 0.6809, 0.6865, 0.6783, 0.6813, 0.6868, 0.691, 0.6513, 0.6866, 0.6838, 0.6842, 0.6986, 0.6685, 0.6914, 0.6837, 0.6859, 0.6875, 0.6863, 0.6799, 0.6885, 0.6906, 0.6815, 0.6879, 0.7117, 0.6893, 0.6934, 0.6815]"
160 "[0.6899, 0.7053, 0.6908, 0.6961, 0.7047, 0.6889, 0.6743, 0.6881, 0.6803, 0.7043, 0.7097, 0.668, 0.6887, 0.6984, 0.6669, 0.6819, 0.6965, 0.6922, 0.6962, 0.702, 0.6905, 0.7059, 0.6932, 0.6822, 0.6725, 0.6916, 0.6596, 0.6957, 0.7014, 0.7049, 0.7022, 0.7064, 0.7045, 0.693, 0.6262, 0.6854, 0.7112, 0.693, 0.6902, 0.6887, 0.6894, 0.6856, 0.6932, 0.6906, 0.6818, 0.6371, 0.694, 0.6655, 0.6897, 0.6836, 0.6862, 0.7146, 0.7055, 0.7058, 0.6824, 0.6931, 0.6893, 0.6896, 0.6845, 0.7212, 0.6606, 0.6939, 0.6954, 0.6917, 0.6989, 0.6991, 0.6751, 0.6928, 0.6823, 0.6923, 0.7059, 0.6973, 0.7007, 0.6124, 0.6964, 0.6751, 0.687, 0.6864, 0.6937, 0.6875, 0.7092, 0.4582, 0.692, 0.7003, 0.7036, 0.6857, 0.6819, 0.6768, 0.6967, 0.6909, 0.6813, 0.6965, 0.6829, 0.6842, 0.6917, 0.7086, 0.6952, 0.6747, 0.6985, 0.6749]"
320 "[0.7017, 0.6901, 0.7054, 0.7076, 0.7087, 0.7195, 0.6927, 0.6404, 0.7113, 0.7003, 0.6913, 0.7051, 0.6999, 0.7079, 0.7061, 0.613, 0.7121, 0.704, 0.701, 0.7048, 0.6966, 0.7187, 0.6926, 0.6884, 0.6914, 0.7055, 0.7029, 0.6719, 0.7023, 0.6608, 0.693, 0.7167, 0.7086, 0.6983, 0.6524, 0.6954, 0.7022, 0.7054, 0.7089, 0.6752, 0.7026, 0.6994, 0.7005, 0.6923, 0.7114, 0.7155, 0.7216, 0.6973, 0.7119, 0.7073, 0.6861, 0.7147, 0.7102, 0.7045, 0.716, 0.6886, 0.7036, 0.7066, 0.6893, 0.6931, 0.6296, 0.7049, 0.7125, 0.7073, 0.7022, 0.707, 0.6982, 0.6938, 0.7103, 0.7051, 0.7127, 0.7057, 0.6285, 0.7143, 0.7031, 0.6982, 0.7011, 0.6986, 0.7112, 0.7003, 0.6813, 0.6994, 0.7163, 0.7064, 0.7062, 0.6843, 0.6841, 0.7005, 0.7007, 0.677, 0.7122, 0.7122, 0.7181, 0.7006, 0.7137, 0.7096, 0.7041, 0.7097, 0.7293, 0.7122]"
640 "[0.6973, 0.6979, 0.7123, 0.657, 0.71, 0.7137, 0.6936, 0.7095, 0.712, 0.6937, 0.6978, 0.7124, 0.6861, 0.7069, 0.6008, 0.6949, 0.701, 0.7016, 0.7075, 0.7046, 0.6756, 0.686, 0.7187, 0.671, 0.692, 0.7011, 0.7071, 0.6855, 0.6884, 0.7062, 0.7023, 0.7022, 0.6997, 0.7095, 0.7053, 0.706, 0.6715, 0.7065, 0.7013, 0.7011, 0.6961, 0.6909, 0.7115, 0.7034, 0.6493, 0.7128, 0.7011, 0.6901, 0.7069, 0.7032, 0.7059, 0.7031, 0.6523, 0.7078, 0.6618, 0.6949, 0.6931, 0.7078, 0.6972, 0.6698, 0.6989, 0.7021, 0.71, 0.6958, 0.6882, 0.714, 0.7054, 0.7046, 0.7034, 0.7018, 0.7056, 0.7079, 0.6934, 0.6968, 0.7013, 0.7057, 0.7115, 0.7169, 0.6965, 0.6819, 0.7018, 0.708, 0.6983, 0.6996, 0.7005, 0.7073, 0.705, 0.6662, 0.7134, 0.7075, 0.6917, 0.6928, 0.7112, 0.6982, 0.7056, 0.698, 0.6999, 0.7037, 0.6944, 0.7007]"
1280 "[0.7121, 0.7207, 0.7172, 0.7307, 0.7146, 0.7207, 0.7201, 0.7397, 0.7107, 0.7127, 0.7199, 0.7193, 0.7266, 0.7091, 0.702, 0.6774, 0.7321, 0.6918, 0.7079, 0.7241, 0.7118, 0.7174, 0.7173, 0.7147, 0.695, 0.684, 0.715, 0.7275, 0.7073, 0.6417, 0.7237, 0.7295, 0.7094, 0.6854, 0.7126, 0.7279, 0.7126, 0.7154, 0.7084, 0.7213, 0.7231, 0.719, 0.7245, 0.7086, 0.7233, 0.7235, 0.7213, 0.717, 0.7165, 0.7131, 0.7194, 0.7064, 0.7138, 0.7144, 0.7195, 0.7244, 0.7205, 0.7344, 0.7201, 0.7055, 0.7248, 0.7151, 0.7151, 0.7117, 0.7253, 0.7041, 0.7283, 0.712, 0.7135, 0.7254, 0.6677, 0.715, 0.7199, 0.7125, 0.716, 0.711, 0.7163, 0.7213, 0.7201, 0.7228, 0.7056, 0.7197, 0.7202, 0.7227, 0.7033, 0.713, 0.721, 0.7258, 0.7157, 0.7277, 0.683, 0.7115, 0.7116, 0.7112, 0.7206, 0.7108, 0.7244, 0.6938, 0.7129, 0.7169]"
2560 "[0.7373, 0.73, 0.7293, 0.7454, 0.7329, 0.7237, 0.7262, 0.7339, 0.7407, 0.7302, 0.7365, 0.7313, 0.7293, 0.7333, 0.7347, 0.7325, 0.726, 0.7231, 0.729, 0.7294, 0.7332, 0.7157, 0.731, 0.7285, 0.7167, 0.7269, 0.7276, 0.7381, 0.7219, 0.7306, 0.7296, 0.711, 0.7128, 0.7266, 0.7336, 0.7178, 0.7422, 0.7293, 0.7298, 0.7247, 0.7283, 0.7201, 0.7338, 0.7289, 0.7339, 0.7247, 0.7269, 0.7285, 0.726, 0.7286, 0.708, 0.7333, 0.7271, 0.7255, 0.7435, 0.7352, 0.7337, 0.7378, 0.7283, 0.7332, 0.7326, 0.7336, 0.7314, 0.7326, 0.7354, 0.7317, 0.7281, 0.72, 0.7307, 0.7353, 0.7085, 0.7217, 0.7248, 0.7312, 0.7303, 0.7078, 0.7269, 0.7444, 0.7289, 0.7321, 0.717, 0.7317, 0.7193, 0.7296, 0.7205, 0.7256, 0.6982, 0.7366, 0.7249, 0.7303, 0.7232, 0.7233, 0.7251, 0.7339, 0.7203, 0.7276, 0.7358, 0.7138, 0.7268, 0.7255]"
5120 "[0.7239, 0.7322, 0.7226, 0.7338, 0.7243, 0.7246, 0.7293, 0.7271, 0.7387, 0.7027, 0.723, 0.7189, 0.708, 0.7337, 0.7233, 0.7323, 0.727, 0.7078, 0.7342, 0.7239, 0.7171, 0.7135, 0.7066, 0.7285, 0.7289, 0.7321, 0.7105, 0.7302, 0.7347, 0.7253, 0.7211, 0.7325, 0.6598, 0.7289, 0.7143, 0.7394, 0.719, 0.7398, 0.714, 0.7443, 0.7337, 0.7302, 0.6553, 0.732, 0.7321, 0.7336, 0.7256, 0.7299, 0.7354, 0.7357, 0.7136, 0.7344, 0.7103, 0.7242, 0.7333, 0.7339, 0.7205, 0.7298, 0.727, 0.7213, 0.7161, 0.719, 0.7245, 0.7242, 0.7172, 0.7336, 0.7311, 0.7341, 0.7249, 0.7353, 0.72, 0.731, 0.6713, 0.7229, 0.6645, 0.7243, 0.7302, 0.7257, 0.7263, 0.7284, 0.7333, 0.6667, 0.7256, 0.7234, 0.7347, 0.7216, 0.7222, 0.6646, 0.7226, 0.7184, 0.7207, 0.7294, 0.7293, 0.7324, 0.717, 0.6987, 0.7331, 0.7282, 0.7308, 0.7333]"
