 Linear0
10 "[0.4647, 0.4758, 0.4522, 0.4521, 0.4571, 0.43, 0.4737, 0.453, 0.476, 0.4523, 0.4652, 0.4601, 0.4779, 0.4673, 0.4591, 0.4541, 0.4603, 0.4624, 0.464, 0.4663, 0.4709, 0.4759, 0.4753, 0.469, 0.4647, 0.4629, 0.4756, 0.4664, 0.4951, 0.4674, 0.461, 0.4813, 0.4627, 0.4668, 0.4821, 0.4738, 0.4497, 0.478, 0.4761, 0.4705, 0.477, 0.4682, 0.4325, 0.4745, 0.4736, 0.4674, 0.4673, 0.4667, 0.4703, 0.4339, 0.4729, 0.4702, 0.4671, 0.4593, 0.4723, 0.4831, 0.486, 0.4575, 0.4694, 0.4736, 0.4648, 0.4541, 0.4475, 0.4425, 0.4357, 0.4817, 0.4541, 0.4398, 0.4598, 0.4687, 0.4743, 0.4652, 0.4599, 0.4666, 0.4596, 0.4721, 0.4759, 0.4643, 0.4643, 0.4701, 0.4546, 0.4543, 0.458, 0.4687, 0.4761, 0.4636, 0.4736, 0.4623, 0.4967, 0.4132, 0.4702, 0.4722, 0.4793, 0.4319, 0.4782, 0.4706, 0.4775, 0.4486, 0.4714, 0.4603]"
20 "[0.6212, 0.624, 0.6377, 0.6312, 0.6237, 0.6274, 0.6315, 0.6375, 0.6126, 0.6128, 0.6333, 0.6434, 0.621, 0.6399, 0.6204, 0.6386, 0.6409, 0.6355, 0.6276, 0.6453, 0.6295, 0.6265, 0.6196, 0.6421, 0.6354, 0.5932, 0.6444, 0.6239, 0.6211, 0.6135, 0.6287, 0.6422, 0.6394, 0.6315, 0.5786, 0.6466, 0.6213, 0.6459, 0.6208, 0.6165, 0.6366, 0.6426, 0.6365, 0.6413, 0.6285, 0.636, 0.6385, 0.6345, 0.635, 0.6308, 0.5999, 0.6259, 0.6415, 0.6374, 0.6001, 0.6375, 0.6153, 0.6385, 0.6014, 0.6485, 0.6227, 0.6152, 0.6494, 0.6249, 0.6301, 0.6191, 0.6301, 0.6436, 0.6335, 0.6294, 0.6162, 0.6298, 0.6337, 0.6356, 0.6329, 0.6412, 0.5866, 0.6337, 0.6293, 0.6025, 0.641, 0.6385, 0.6086, 0.6235, 0.6298, 0.6341, 0.637, 0.6383, 0.609, 0.6468, 0.6345, 0.6352, 0.6397, 0.6229, 0.627, 0.6407, 0.6322, 0.6327, 0.6142, 0.6307]"
40 "[0.6618, 0.6722, 0.6707, 0.6804, 0.664, 0.6779, 0.6774, 0.6492, 0.6425, 0.6702, 0.6719, 0.6582, 0.6643, 0.6725, 0.6715, 0.6639, 0.6583, 0.6694, 0.6682, 0.6719, 0.6685, 0.681, 0.6743, 0.6664, 0.6588, 0.6572, 0.6707, 0.6794, 0.6604, 0.6798, 0.6661, 0.6792, 0.6702, 0.6586, 0.6721, 0.6766, 0.6789, 0.6563, 0.6624, 0.6738, 0.6769, 0.6683, 0.6714, 0.673, 0.6813, 0.6564, 0.6666, 0.6776, 0.6736, 0.672, 0.6826, 0.6646, 0.6734, 0.674, 0.6732, 0.6713, 0.6784, 0.6772, 0.6712, 0.6703, 0.6741, 0.6682, 0.6765, 0.669, 0.6688, 0.6735, 0.6715, 0.6808, 0.6693, 0.6691, 0.6736, 0.6771, 0.6655, 0.6635, 0.6682, 0.6683, 0.6677, 0.6718, 0.6764, 0.6687, 0.6772, 0.6815, 0.6746, 0.6851, 0.6636, 0.6649, 0.6619, 0.6647, 0.6766, 0.6655, 0.6688, 0.6702, 0.6646, 0.681, 0.6797, 0.6778, 0.6625, 0.6802, 0.6727, 0.6745]"
80 "[0.6801, 0.6791, 0.6743, 0.6817, 0.6851, 0.678, 0.682, 0.6778, 0.6814, 0.6771, 0.6849, 0.6743, 0.6792, 0.6769, 0.6828, 0.679, 0.6823, 0.6835, 0.6769, 0.6729, 0.6772, 0.6747, 0.6663, 0.6803, 0.6699, 0.6687, 0.681, 0.6688, 0.6636, 0.6822, 0.6737, 0.6735, 0.6792, 0.6753, 0.6767, 0.6784, 0.6813, 0.6727, 0.6583, 0.6802, 0.6786, 0.6781, 0.6684, 0.6814, 0.6736, 0.672, 0.668, 0.6769, 0.6818, 0.6551, 0.6829, 0.6668, 0.6856, 0.6813, 0.6884, 0.686, 0.6734, 0.6832, 0.6865, 0.6736, 0.6786, 0.657, 0.6833, 0.6734, 0.6829, 0.6793, 0.6769, 0.6759, 0.6773, 0.6722, 0.6788, 0.6881, 0.6785, 0.6727, 0.683, 0.6765, 0.669, 0.6827, 0.6887, 0.678, 0.6776, 0.681, 0.6735, 0.6824, 0.6807, 0.6794, 0.6745, 0.6832, 0.68, 0.6736, 0.6789, 0.6775, 0.6838, 0.683, 0.6783, 0.6674, 0.6801, 0.6772, 0.6767, 0.6799]"
160 "[0.6908, 0.69, 0.6879, 0.6897, 0.688, 0.6923, 0.6945, 0.6915, 0.6924, 0.6903, 0.6892, 0.6885, 0.6931, 0.6909, 0.6899, 0.6868, 0.6922, 0.6894, 0.6936, 0.6944, 0.6903, 0.695, 0.6892, 0.6907, 0.6863, 0.6915, 0.6842, 0.6821, 0.6869, 0.6918, 0.6931, 0.6899, 0.6901, 0.6918, 0.6912, 0.6855, 0.6895, 0.6888, 0.6903, 0.6864, 0.6905, 0.6919, 0.6959, 0.6883, 0.6887, 0.696, 0.6912, 0.6941, 0.6923, 0.6916, 0.6942, 0.6907, 0.6929, 0.6915, 0.6901, 0.6871, 0.6923, 0.6813, 0.692, 0.693, 0.6928, 0.6943, 0.6934, 0.6905, 0.6914, 0.6909, 0.6853, 0.6909, 0.6887, 0.6945, 0.6872, 0.6901, 0.6825, 0.6915, 0.6894, 0.6873, 0.6868, 0.6871, 0.6868, 0.6918, 0.6925, 0.6906, 0.693, 0.6905, 0.69, 0.6621, 0.6878, 0.6969, 0.6937, 0.6893, 0.6864, 0.6934, 0.6948, 0.6921, 0.6933, 0.6858, 0.6814, 0.6914, 0.6911, 0.6939]"
320 "[0.7043, 0.7032, 0.7041, 0.7017, 0.6992, 0.697, 0.7008, 0.6996, 0.7013, 0.6991, 0.6989, 0.701, 0.7019, 0.7034, 0.7023, 0.6676, 0.7007, 0.6961, 0.6926, 0.6928, 0.6984, 0.7029, 0.7059, 0.7015, 0.697, 0.6988, 0.6985, 0.6867, 0.6991, 0.7013, 0.6962, 0.6969, 0.7023, 0.6976, 0.6978, 0.6977, 0.6967, 0.6998, 0.7032, 0.6961, 0.7024, 0.7044, 0.7015, 0.6964, 0.7052, 0.7014, 0.6972, 0.6991, 0.7018, 0.6974, 0.6989, 0.6935, 0.6946, 0.7015, 0.6995, 0.6942, 0.697, 0.7007, 0.6973, 0.6966, 0.7012, 0.6938, 0.7007, 0.6995, 0.6961, 0.6974, 0.698, 0.7045, 0.701, 0.7007, 0.6979, 0.7018, 0.6951, 0.7019, 0.6991, 0.6955, 0.6939, 0.6968, 0.6974, 0.6913, 0.6981, 0.7026, 0.6974, 0.6956, 0.696, 0.6934, 0.6971, 0.7015, 0.7016, 0.6976, 0.7018, 0.6976, 0.6866, 0.6957, 0.7022, 0.6985, 0.6942, 0.7034, 0.6968, 0.7014]"
640 "[0.703, 0.7008, 0.7021, 0.7049, 0.7039, 0.7039, 0.694, 0.7036, 0.6984, 0.7025, 0.7033, 0.6944, 0.704, 0.704, 0.7036, 0.705, 0.6948, 0.7035, 0.7055, 0.7057, 0.6909, 0.7054, 0.7042, 0.7012, 0.698, 0.7045, 0.683, 0.7046, 0.6998, 0.7064, 0.6975, 0.6986, 0.7055, 0.6994, 0.7056, 0.7064, 0.7013, 0.6967, 0.7048, 0.6996, 0.693, 0.6908, 0.7031, 0.7022, 0.701, 0.7065, 0.7008, 0.6983, 0.7072, 0.7006, 0.6995, 0.7025, 0.703, 0.7008, 0.7038, 0.7032, 0.7025, 0.7078, 0.7025, 0.7009, 0.6951, 0.7048, 0.7014, 0.7055, 0.701, 0.6961, 0.7016, 0.7024, 0.6978, 0.6954, 0.704, 0.7031, 0.7017, 0.7008, 0.7038, 0.6967, 0.6996, 0.703, 0.7039, 0.6946, 0.7028, 0.6984, 0.7035, 0.7012, 0.703, 0.6904, 0.7039, 0.6997, 0.7014, 0.7028, 0.7013, 0.7033, 0.7017, 0.7036, 0.7007, 0.702, 0.7047, 0.7059, 0.7055, 0.7019]"
1280 "[0.7075, 0.7068, 0.7087, 0.7034, 0.7032, 0.6987, 0.7027, 0.7053, 0.7096, 0.7048, 0.7066, 0.7003, 0.7028, 0.7051, 0.7059, 0.7058, 0.7009, 0.7063, 0.7099, 0.7067, 0.7051, 0.7041, 0.7041, 0.7065, 0.706, 0.7023, 0.7075, 0.7023, 0.6942, 0.7025, 0.7045, 0.7063, 0.7057, 0.707, 0.7049, 0.7065, 0.7087, 0.7051, 0.7015, 0.7042, 0.708, 0.708, 0.706, 0.6987, 0.7077, 0.7067, 0.7036, 0.7078, 0.7056, 0.7059, 0.7084, 0.7039, 0.7047, 0.705, 0.7068, 0.7066, 0.7035, 0.7007, 0.7052, 0.7049, 0.7076, 0.7052, 0.7028, 0.7089, 0.7082, 0.7041, 0.7026, 0.7018, 0.706, 0.7067, 0.7065, 0.6788, 0.7048, 0.7096, 0.7045, 0.7044, 0.7058, 0.7026, 0.7062, 0.7071, 0.7015, 0.6937, 0.7102, 0.7011, 0.7082, 0.7039, 0.7061, 0.7039, 0.7059, 0.7069, 0.7066, 0.7071, 0.7027, 0.7046, 0.7115, 0.7065, 0.7041, 0.7022, 0.7063, 0.7051]"
2560 "[0.7098, 0.7088, 0.711, 0.7068, 0.7098, 0.7101, 0.7104, 0.7023, 0.7009, 0.7135, 0.7078, 0.711, 0.7052, 0.7075, 0.7069, 0.7123, 0.7029, 0.7082, 0.7092, 0.7118, 0.7075, 0.713, 0.7062, 0.7095, 0.7097, 0.7093, 0.7106, 0.7071, 0.7085, 0.7077, 0.7084, 0.7101, 0.7104, 0.709, 0.7097, 0.7052, 0.7083, 0.7112, 0.7077, 0.6985, 0.7098, 0.7078, 0.709, 0.7134, 0.7045, 0.7123, 0.7033, 0.7108, 0.7087, 0.7091, 0.7103, 0.7091, 0.7087, 0.7086, 0.7083, 0.7086, 0.7067, 0.7051, 0.7075, 0.7108, 0.7091, 0.7103, 0.7133, 0.7083, 0.708, 0.7092, 0.7103, 0.7106, 0.7101, 0.7097, 0.709, 0.71, 0.7102, 0.7039, 0.7081, 0.6998, 0.7087, 0.7119, 0.7086, 0.7098, 0.7112, 0.7117, 0.7069, 0.7107, 0.7136, 0.7109, 0.7095, 0.7067, 0.7069, 0.7098, 0.712, 0.7088, 0.7091, 0.7083, 0.7078, 0.6968, 0.7045, 0.7101, 0.7094, 0.7055]"
5120 "[0.7077, 0.7053, 0.7132, 0.7104, 0.7109, 0.7127, 0.7016, 0.7129, 0.7144, 0.7124, 0.7114, 0.713, 0.7129, 0.7141, 0.7125, 0.7102, 0.714, 0.7113, 0.7118, 0.711, 0.7114, 0.7117, 0.7114, 0.7123, 0.7108, 0.7065, 0.7113, 0.7036, 0.7091, 0.7132, 0.7107, 0.7146, 0.7035, 0.7093, 0.7121, 0.7108, 0.7115, 0.7047, 0.7142, 0.7063, 0.709, 0.7074, 0.7069, 0.713, 0.7083, 0.7117, 0.7073, 0.7145, 0.707, 0.712, 0.7126, 0.7115, 0.7117, 0.7091, 0.712, 0.71, 0.7097, 0.7075, 0.709, 0.7112, 0.7112, 0.7034, 0.7088, 0.7114, 0.7078, 0.7128, 0.7124, 0.7075, 0.7095, 0.7108, 0.7093, 0.7139, 0.7124, 0.7065, 0.7087, 0.7118, 0.7118, 0.7059, 0.7124, 0.711, 0.7114, 0.7119, 0.7114, 0.7134, 0.7117, 0.708, 0.7129, 0.7123, 0.7106, 0.7107, 0.7071, 0.7128, 0.7096, 0.7111, 0.709, 0.711, 0.7114, 0.7063, 0.7045, 0.7112]"
