 Linear0
10 "[0.1291, 0.1375, 0.1317, 0.143, 0.138, 0.1328, 0.1394, 0.1437, 0.1338, 0.1326, 0.1336, 0.1279, 0.1414, 0.1234, 0.1427, 0.1369, 0.1436, 0.1376, 0.1472, 0.1449, 0.1409, 0.1427, 0.1417, 0.1443, 0.1385, 0.1293, 0.1423, 0.1435, 0.14, 0.1382, 0.1292, 0.146, 0.1418, 0.1282, 0.1388, 0.1414, 0.1361, 0.1411, 0.1371, 0.1421]"
20 "[0.0956, 0.0987, 0.0942, 0.1009, 0.098, 0.0995, 0.0957, 0.1001, 0.0958, 0.1001, 0.0986, 0.0998, 0.1002, 0.0952, 0.0992, 0.0955, 0.0969, 0.0992, 0.0992, 0.0986, 0.0986, 0.0999, 0.0958, 0.1002, 0.1023, 0.0955, 0.0997, 0.0962, 0.0966, 0.1286, 0.0955, 0.0978, 0.0996, 0.0973, 0.0956, 0.0965, 0.0992, 0.0973, 0.0963, 0.0989]"
40 "[0.1033, 0.1063, 0.106, 0.1024, 0.1037, 0.1056, 0.0986, 0.1039, 0.1029, 0.103, 0.1009, 0.104, 0.1041, 0.1, 0.1005, 0.1033, 0.1034, 0.1001, 0.1056, 0.1004, 0.104, 0.1037, 0.1032, 0.1025, 0.1036, 0.1034, 0.1038, 0.1059, 0.1034, 0.1061, 0.1058, 0.1005, 0.1001, 0.1024, 0.1058, 0.1056, 0.1009, 0.1002, 0.1061, 0.1018]"
80 "[0.1033, 0.1038, 0.1034, 0.1043, 0.1039, 0.104, 0.1005, 0.1032, 0.1063, 0.103, 0.103, 0.1005, 0.1065, 0.1041, 0.1039, 0.1006, 0.1061, 0.1, 0.106, 0.1001, 0.1032, 0.1036, 0.1035, 0.1037, 0.1038, 0.1028, 0.104, 0.1047, 0.1035, 0.1059, 0.1063, 0.1001, 0.1006, 0.1012, 0.1037, 0.1059, 0.1039, 0.1003, 0.1062, 0.1034]"
160 "[0.1077, 0.1032, 0.1049, 0.1005, 0.1047, 0.1077, 0.105, 0.1054, 0.1052, 0.105, 0.105, 0.105, 0.1053, 0.1051, 0.1025, 0.1019, 0.1051, 0.1002, 0.1078, 0.1052, 0.1048, 0.1077, 0.1056, 0.1018, 0.1017, 0.1053, 0.1075, 0.1052, 0.1049, 0.1053, 0.1077, 0.1051, 0.1068, 0.1014, 0.1047, 0.1017, 0.1076, 0.1055, 0.1016, 0.1051]"
320 "[0.0986, 0.1013, 0.0991, 0.1048, 0.0986, 0.1023, 0.1019, 0.1025, 0.099, 0.1025, 0.1021, 0.1017, 0.0989, 0.1027, 0.0978, 0.1022, 0.1032, 0.1052, 0.1021, 0.1053, 0.1025, 0.1026, 0.1027, 0.1009, 0.0976, 0.1022, 0.1041, 0.1008, 0.1019, 0.1019, 0.1051, 0.1047, 0.105, 0.0996, 0.1019, 0.103, 0.1051, 0.1022, 0.1007, 0.1034]"
640 "[0.1034, 0.098, 0.1031, 0.1033, 0.1019, 0.0991, 0.1002, 0.1033, 0.1032, 0.1021, 0.1047, 0.1032, 0.1034, 0.1193, 0.1014, 0.1039, 0.1059, 0.1034, 0.102, 0.1013, 0.1, 0.1007, 0.0989, 0.1035, 0.1011, 0.102, 0.1025, 0.1005, 0.0991, 0.1059, 0.0985, 0.1014, 0.1031, 0.1044, 0.1032, 0.1017, 0.102, 0.104, 0.1039, 0.1025]"
1280 "[0.1051, 0.1038, 0.1005, 0.1051, 0.1046, 0.1068, 0.1038, 0.1044, 0.1048, 0.1039, 0.1033, 0.1037, 0.104, 0.1047, 0.1052, 0.1054, 0.1053, 0.1034, 0.1064, 0.1049, 0.1045, 0.1022, 0.1058, 0.1051, 0.1049, 0.1024, 0.1013, 0.1049, 0.1037, 0.1052, 0.1017, 0.1013, 0.1059, 0.1042, 0.1034, 0.1032, 0.1071, 0.1054, 0.1051, 0.1055]"
2560 "[0.1051, 0.1037, 0.1017, 0.1046, 0.1024, 0.1039, 0.1006, 0.1055, 0.0999, 0.1052, 0.102, 0.1043, 0.1016, 0.1042, 0.1051, 0.1039, 0.1054, 0.103, 0.1074, 0.1076, 0.1053, 0.1076, 0.1025, 0.1035, 0.1038, 0.1059, 0.1037, 0.1052, 0.1048, 0.1048, 0.1049, 0.1047, 0.1054, 0.1044, 0.1049, 0.1016, 0.1047, 0.1057, 0.1056, 0.1076]"
5120 "[0.1057, 0.1026, 0.1055, 0.1057, 0.1081, 0.1048, 0.1052, 0.1022, 0.1055, 0.105, 0.1036, 0.1075, 0.1037, 0.104, 0.104, 0.105, 0.1028, 0.1056, 0.1058, 0.1027, 0.1079, 0.1051, 0.1049, 0.1053, 0.1051, 0.1056, 0.1049, 0.1075, 0.1012, 0.1053, 0.1057, 0.1061, 0.1055, 0.1062, 0.1005, 0.1052, 0.1061, 0.1, 0.103, 0.1004]"
