 Linear0
10 "[0.1241, 0.1244, 0.1223, 0.1238, 0.1166, 0.1215, 0.1229, 0.1211, 0.12, 0.1195, 0.1232, 0.1265, 0.127, 0.1246, 0.1069, 0.118, 0.1173, 0.1207, 0.1217, 0.1279, 0.122, 0.1165, 0.1216, 0.12, 0.1259, 0.1142, 0.1272, 0.1235, 0.1229, 0.119, 0.1237, 0.1218, 0.1172, 0.1256, 0.126, 0.1248, 0.1097, 0.1281, 0.1241, 0.1238]"
20 "[0.128, 0.1218, 0.12, 0.1104, 0.1125, 0.1289, 0.1294, 0.1296, 0.122, 0.1301, 0.1307, 0.1295, 0.1347, 0.1283, 0.1271, 0.1286, 0.1283, 0.1144, 0.1247, 0.1304, 0.1255, 0.1276, 0.125, 0.1294, 0.1317, 0.1281, 0.1293, 0.1308, 0.1245, 0.1325, 0.1248, 0.1241, 0.1247, 0.1274, 0.1201, 0.1356, 0.1228, 0.1281, 0.122, 0.1304]"
40 "[0.1245, 0.1203, 0.1237, 0.1293, 0.1188, 0.1292, 0.1058, 0.1319, 0.1233, 0.1318, 0.1319, 0.1216, 0.1304, 0.1264, 0.1369, 0.1345, 0.1227, 0.1155, 0.1241, 0.1099, 0.1264, 0.135, 0.1259, 0.1198, 0.1303, 0.117, 0.1247, 0.1213, 0.109, 0.1252, 0.1302, 0.1369, 0.1279, 0.124, 0.1152, 0.1326, 0.1237, 0.1202, 0.1315, 0.1234]"
80 "[0.1242, 0.1261, 0.1309, 0.1034, 0.1263, 0.1328, 0.1093, 0.1105, 0.1028, 0.1204, 0.1056, 0.1177, 0.1234, 0.0972, 0.1062, 0.1207, 0.127, 0.1094, 0.1233, 0.1293, 0.126, 0.1175, 0.1159, 0.1056, 0.1283, 0.1327, 0.0915, 0.103, 0.1071, 0.129, 0.1177, 0.1014, 0.121, 0.1197, 0.1133, 0.1065, 0.1174, 0.0938, 0.1326, 0.1308]"
160 "[0.1219, 0.1046, 0.113, 0.1249, 0.1211, 0.1229, 0.1033, 0.1217, 0.1057, 0.1202, 0.1178, 0.1226, 0.1137, 0.1045, 0.127, 0.1126, 0.1132, 0.1092, 0.1195, 0.1225, 0.1234, 0.1233, 0.1044, 0.1124, 0.128, 0.1179, 0.1091, 0.1314, 0.1167, 0.1253, 0.1316, 0.1174, 0.1343, 0.12, 0.1215, 0.1181, 0.1293, 0.1128, 0.113, 0.1091]"
320 "[0.1038, 0.097, 0.1098, 0.1064, 0.1061, 0.1063, 0.1056, 0.1066, 0.11, 0.1065, 0.1102, 0.1046, 0.1125, 0.1107, 0.1057, 0.1048, 0.1083, 0.1055, 0.1118, 0.1087, 0.1095, 0.1064, 0.1066, 0.1122, 0.0975, 0.1076, 0.1097, 0.103, 0.103, 0.1158, 0.1103, 0.1077, 0.1054, 0.105, 0.107, 0.1059, 0.1043, 0.1076, 0.1133, 0.1054]"
640 "[0.1049, 0.1075, 0.1041, 0.1037, 0.1063, 0.106, 0.108, 0.0973, 0.106, 0.1043, 0.1116, 0.1017, 0.1076, 0.0989, 0.1041, 0.1038, 0.1096, 0.1052, 0.1052, 0.1065, 0.1042, 0.1094, 0.1084, 0.1058, 0.1108, 0.1059, 0.1106, 0.0964, 0.1036, 0.1105, 0.0967, 0.1048, 0.1132, 0.1057, 0.1098, 0.11, 0.1053, 0.1078, 0.106, 0.1093]"
1280 "[0.1106, 0.1106, 0.0997, 0.1102, 0.1099, 0.1109, 0.109, 0.1099, 0.1105, 0.1115, 0.1083, 0.1172, 0.1008, 0.1096, 0.1106, 0.1118, 0.1101, 0.1134, 0.1097, 0.1076, 0.1102, 0.1124, 0.1086, 0.1103, 0.1075, 0.1105, 0.1107, 0.1089, 0.1097, 0.1096, 0.1101, 0.1078, 0.0994, 0.103, 0.1117, 0.1101, 0.1005, 0.1083, 0.1093, 0.108]"
2560 "[0.111, 0.1074, 0.1035, 0.1099, 0.1116, 0.1117, 0.111, 0.1104, 0.1113, 0.1099, 0.1061, 0.1082, 0.1063, 0.1039, 0.1089, 0.1107, 0.1098, 0.105, 0.1096, 0.1082, 0.1099, 0.1083, 0.1102, 0.1112, 0.1091, 0.1075, 0.1042, 0.1082, 0.1082, 0.1089, 0.1102, 0.1062, 0.1107, 0.1127, 0.1063, 0.1097, 0.1054, 0.1149, 0.1093, 0.1089]"
5120 "[0.1107, 0.1072, 0.1107, 0.1092, 0.1107, 0.104, 0.1103, 0.1111, 0.1087, 0.1117, 0.1067, 0.1136, 0.1095, 0.1097, 0.1097, 0.1083, 0.1037, 0.1105, 0.1121, 0.1092, 0.1092, 0.1082, 0.1127, 0.1084, 0.114, 0.1108, 0.1121, 0.1083, 0.1024, 0.1081, 0.1081, 0.1094, 0.1104, 0.1098, 0.108, 0.1116, 0.1114, 0.1127, 0.1065, 0.11]"
