 Linear2
10 "[0.9215, 0.9456, 0.9435, 0.9481, 0.9387, 0.9392, 0.9301, 0.9462, 0.9525, 0.9373, 0.9363, 0.9493, 0.9316, 0.9415, 0.96, 0.9426, 0.9394, 0.9396, 0.9277, 0.9346, 0.9422, 0.9396, 0.9464, 0.9443, 0.9332, 0.949, 0.9315, 0.9324, 0.9446, 0.9311, 0.9496, 0.942, 0.94, 0.9356, 0.9519, 0.9273, 0.9473, 0.9352, 0.9393, 0.9364]"
20 "[0.9761, 0.9767, 0.9701, 0.9726, 0.9771, 0.9708, 0.9724, 0.9783, 0.9768, 0.973, 0.9778, 0.9748, 0.9753, 0.9715, 0.9778, 0.9776, 0.968, 0.976, 0.9766, 0.9748, 0.9746, 0.9758, 0.9704, 0.9753, 0.9742, 0.9669, 0.9767, 0.9756, 0.9783, 0.9694, 0.9695, 0.9768, 0.9687, 0.9739, 0.9719, 0.9787, 0.9748, 0.9764, 0.9732, 0.9729]"
40 "[0.9781, 0.9807, 0.9774, 0.9801, 0.9791, 0.9802, 0.9798, 0.9758, 0.981, 0.9773, 0.9807, 0.981, 0.9828, 0.9787, 0.97, 0.981, 0.9791, 0.9802, 0.98, 0.9807, 0.9807, 0.9801, 0.9808, 0.9806, 0.9791, 0.9804, 0.9805, 0.981, 0.9797, 0.9792, 0.9797, 0.9806, 0.9805, 0.9811, 0.9792, 0.9814, 0.9809, 0.9795, 0.979, 0.9785]"
80 "[0.9713, 0.9752, 0.9735, 0.9754, 0.9745, 0.9702, 0.9738, 0.9738, 0.9782, 0.9757, 0.9749, 0.9742, 0.9731, 0.9736, 0.9728, 0.9776, 0.9726, 0.9718, 0.9721, 0.9747, 0.9741, 0.9719, 0.9714, 0.9709, 0.9749, 0.9752, 0.9731, 0.9723, 0.9737, 0.9731, 0.9742, 0.9742, 0.9738, 0.9731, 0.9772, 0.9754, 0.973, 0.9711, 0.9718, 0.9767]"
160 "[0.9713, 0.9718, 0.9729, 0.9738, 0.9723, 0.9717, 0.9731, 0.9741, 0.9704, 0.9734, 0.971, 0.9702, 0.9713, 0.9724, 0.975, 0.9726, 0.97, 0.9734, 0.9725, 0.9716, 0.9707, 0.9697, 0.9692, 0.9706, 0.974, 0.9723, 0.9727, 0.9716, 0.9729, 0.9738, 0.973, 0.974, 0.9715, 0.9728, 0.9717, 0.9707, 0.9715, 0.9732, 0.9716, 0.9708]"
320 "[0.9696, 0.9688, 0.9729, 0.9708, 0.9709, 0.9708, 0.9737, 0.9674, 0.9694, 0.9685, 0.97, 0.9705, 0.9723, 0.9717, 0.971, 0.9735, 0.9701, 0.9723, 0.9686, 0.9692, 0.9729, 0.9711, 0.9715, 0.9703, 0.9725, 0.9703, 0.9724, 0.9704, 0.9734, 0.9698, 0.9681, 0.9708, 0.974, 0.9723, 0.9723, 0.9704, 0.9725, 0.9707, 0.9741, 0.9714]"
640 "[0.964, 0.9646, 0.9655, 0.9656, 0.963, 0.9652, 0.9645, 0.966, 0.9661, 0.9654, 0.9633, 0.9641, 0.9651, 0.9622, 0.9635, 0.9617, 0.9639, 0.9621, 0.9635, 0.9647, 0.9635, 0.9673, 0.9655, 0.9639, 0.9669, 0.9636, 0.9649, 0.9653, 0.963, 0.963, 0.9656, 0.9656, 0.966, 0.9655, 0.9659, 0.9644, 0.9649, 0.9655, 0.9641, 0.9667]"
1280 "[0.965, 0.9666, 0.9657, 0.9657, 0.9641, 0.9657, 0.964, 0.9655, 0.9644, 0.9649, 0.9667, 0.9646, 0.9658, 0.9657, 0.9651, 0.9646, 0.9647, 0.965, 0.9651, 0.9667, 0.9661, 0.9659, 0.9638, 0.9656, 0.9662, 0.9653, 0.9656, 0.9642, 0.9646, 0.9643, 0.9657, 0.9641, 0.9657, 0.9635, 0.9659, 0.9655, 0.9648, 0.9653, 0.9654, 0.9661]"
2560 "[0.9712, 0.9711, 0.9712, 0.9715, 0.9707, 0.9711, 0.9714, 0.9711, 0.9719, 0.9716, 0.9712, 0.9722, 0.9715, 0.9719, 0.9707, 0.9714, 0.9717, 0.9713, 0.9711, 0.9718, 0.9714, 0.9709, 0.9709, 0.9706, 0.971, 0.9707, 0.9709, 0.9715, 0.9715, 0.9723, 0.9716, 0.9709, 0.9717, 0.9711, 0.9714, 0.9715, 0.9715, 0.9703, 0.9708, 0.971]"
5120 "[0.9741, 0.9746, 0.9741, 0.9738, 0.9747, 0.974, 0.9742, 0.9746, 0.9742, 0.9738, 0.974, 0.9735, 0.974, 0.9746, 0.9745, 0.9748, 0.9742, 0.9742, 0.9745, 0.9742, 0.974, 0.9745, 0.9751, 0.9739, 0.9742, 0.9751, 0.9738, 0.9737, 0.9741, 0.9752, 0.9742, 0.9742, 0.9737, 0.9742, 0.9743, 0.9742, 0.9743, 0.974, 0.9742, 0.9739]"
