 Linear4 Linear3 Linear2
10 "[0.1009, 0.0974, 0.101, 0.0958, 0.1009, 0.101, 0.1135, 0.0982, 0.098, 0.101, 0.0982, 0.0974, 0.0982, 0.0892, 0.1028, 0.098, 0.1009, 0.1028, 0.1032, 0.1009, 0.0892, 0.1032, 0.1032, 0.1032, 0.0982, 0.1135, 0.098, 0.0892, 0.0958, 0.101, 0.0974, 0.1135, 0.0974, 0.1009, 0.0974, 0.0892, 0.098, 0.0892, 0.0974, 0.1028]" "[0.1328, 0.136, 0.1348, 0.1277, 0.1457, 0.1263, 0.1418, 0.1356, 0.1302, 0.1463, 0.1397, 0.1379, 0.1409, 0.1366, 0.1394, 0.1488, 0.1368, 0.1394, 0.1278, 0.1413, 0.1337, 0.1394, 0.1388, 0.1441, 0.135, 0.1391, 0.1349, 0.1515, 0.1418, 0.1378, 0.14, 0.1261, 0.1412, 0.1379, 0.1515, 0.1525, 0.1372, 0.1401, 0.1341, 0.1432]" "[0.1671, 0.1535, 0.1656, 0.165, 0.1535, 0.1773, 0.1589, 0.165, 0.1672, 0.1524, 0.1772, 0.1528, 0.1526, 0.1612, 0.1531, 0.1623, 0.1592, 0.1617, 0.1616, 0.1665, 0.1672, 0.1657, 0.1651, 0.1668, 0.1654, 0.1643, 0.1649, 0.1614, 0.1674, 0.1772, 0.1526, 0.1527, 0.1671, 0.167, 0.1588, 0.1525, 0.167, 0.1614, 0.1597, 0.1528]"
20 "[0.1429, 0.1135, 0.1135, 0.0958, 0.1135, 0.1312, 0.1032, 0.1266, 0.0974, 0.1381, 0.1429, 0.1292, 0.1028, 0.0892, 0.1028, 0.0892, 0.1032, 0.1345, 0.141, 0.0892, 0.1424, 0.1009, 0.0974, 0.1409, 0.1028, 0.0974, 0.0892, 0.142, 0.1415, 0.1396, 0.1362, 0.0958, 0.1347, 0.1258, 0.1348, 0.1397, 0.0974, 0.1517, 0.1411, 0.1367]" "[0.1705, 0.155, 0.1542, 0.145, 0.1566, 0.1606, 0.1469, 0.1592, 0.146, 0.16, 0.1701, 0.1589, 0.1697, 0.1587, 0.1608, 0.146, 0.1704, 0.1606, 0.1597, 0.1586, 0.1594, 0.1704, 0.1698, 0.1661, 0.1597, 0.1523, 0.1579, 0.1526, 0.1543, 0.146, 0.1553, 0.1595, 0.158, 0.1457, 0.1459, 0.1607, 0.1541, 0.1598, 0.1598, 0.1579]" "[0.1553, 0.1549, 0.1551, 0.1552, 0.1602, 0.1587, 0.156, 0.1546, 0.1565, 0.1599, 0.1595, 0.1527, 0.1581, 0.1552, 0.16, 0.1581, 0.1561, 0.1604, 0.1587, 0.1609, 0.1605, 0.1582, 0.1594, 0.1604, 0.1553, 0.1581, 0.1582, 0.1611, 0.1715, 0.1546, 0.1703, 0.1581, 0.1588, 0.1702, 0.1705, 0.1599, 0.1545, 0.1587, 0.1525, 0.1561]"
40 "[0.1424, 0.142, 0.1378, 0.1428, 0.143, 0.0958, 0.098, 0.1364, 0.1028, 0.1009, 0.101, 0.1384, 0.1028, 0.1032, 0.139, 0.1259, 0.0974, 0.1529, 0.1325, 0.137, 0.1333, 0.1329, 0.1404, 0.1367, 0.1009, 0.1437, 0.1384, 0.1257, 0.1372, 0.1288, 0.1271, 0.1028, 0.0982, 0.1009, 0.1135, 0.1344, 0.101, 0.1032, 0.1388, 0.1447]" "[0.177, 0.1645, 0.1589, 0.1661, 0.1772, 0.1769, 0.161, 0.1514, 0.1646, 0.1518, 0.177, 0.1617, 0.1588, 0.1646, 0.1647, 0.1645, 0.1643, 0.1615, 0.1646, 0.1646, 0.1647, 0.1608, 0.1513, 0.1658, 0.1645, 0.1653, 0.1611, 0.1617, 0.1666, 0.1664, 0.1644, 0.1609, 0.1617, 0.1591, 0.1661, 0.1616, 0.1646, 0.1612, 0.1644, 0.1661]" "[0.1743, 0.1596, 0.1516, 0.1581, 0.1639, 0.1615, 0.1624, 0.1628, 0.1551, 0.1599, 0.163, 0.1761, 0.1566, 0.1559, 0.1631, 0.1754, 0.1746, 0.1602, 0.162, 0.1648, 0.1608, 0.1592, 0.1624, 0.1629, 0.1563, 0.1627, 0.1599, 0.1575, 0.1648, 0.1656, 0.1613, 0.1596, 0.1586, 0.1511, 0.1592, 0.1629, 0.1604, 0.1599, 0.1609, 0.1575]"
80 "[0.1378, 0.142, 0.1374, 0.1423, 0.1499, 0.1286, 0.1399, 0.1396, 0.1383, 0.1391, 0.1345, 0.1379, 0.1386, 0.1379, 0.1383, 0.1403, 0.1322, 0.136, 0.1349, 0.1417, 0.1507, 0.1417, 0.1521, 0.1343, 0.1401, 0.1257, 0.1389, 0.1369, 0.138, 0.151, 0.1368, 0.1372, 0.1343, 0.1353, 0.1395, 0.1373, 0.1367, 0.1334, 0.137, 0.1326]" "[0.1568, 0.1566, 0.1581, 0.144, 0.1436, 0.1679, 0.1572, 0.1602, 0.1577, 0.1492, 0.1526, 0.157, 0.1566, 0.1532, 0.1441, 0.1552, 0.157, 0.1501, 0.1683, 0.1515, 0.1571, 0.1466, 0.1585, 0.1447, 0.1571, 0.1447, 0.1507, 0.1565, 0.1569, 0.1699, 0.1533, 0.1518, 0.1593, 0.169, 0.1585, 0.1503, 0.1571, 0.1556, 0.1693, 0.1529]" "[0.1558, 0.1547, 0.1645, 0.1516, 0.1556, 0.1574, 0.1682, 0.1425, 0.156, 0.1575, 0.1577, 0.1534, 0.1577, 0.1683, 0.1568, 0.1426, 0.1505, 0.1529, 0.1553, 0.1579, 0.1585, 0.1531, 0.1528, 0.1495, 0.152, 0.1506, 0.1435, 0.1568, 0.1501, 0.1488, 0.1432, 0.1503, 0.1548, 0.1524, 0.1566, 0.1497, 0.1491, 0.1559, 0.1519, 0.1513]"
160 "[0.1348, 0.1337, 0.1263, 0.1349, 0.1326, 0.1503, 0.1389, 0.1345, 0.1356, 0.1351, 0.1331, 0.1372, 0.1403, 0.1389, 0.133, 0.1322, 0.1386, 0.1498, 0.1375, 0.1387, 0.139, 0.1322, 0.1382, 0.1382, 0.1497, 0.1386, 0.1503, 0.1406, 0.1378, 0.135, 0.1511, 0.1347, 0.1338, 0.1322, 0.1522, 0.1346, 0.135, 0.127, 0.1424, 0.1342]" "[0.1594, 0.1593, 0.1716, 0.1606, 0.1528, 0.1524, 0.1583, 0.1538, 0.1581, 0.1558, 0.1536, 0.1717, 0.1592, 0.1567, 0.1595, 0.1531, 0.1609, 0.1457, 0.145, 0.1598, 0.1609, 0.1592, 0.172, 0.1611, 0.1545, 0.1539, 0.1721, 0.1554, 0.1584, 0.1602, 0.1537, 0.1523, 0.1556, 0.1555, 0.1539, 0.1525, 0.1564, 0.1566, 0.1584, 0.1463]" "[0.1593, 0.1589, 0.1553, 0.1573, 0.1546, 0.1625, 0.157, 0.1486, 0.1563, 0.1495, 0.1541, 0.1557, 0.1728, 0.1546, 0.1542, 0.1723, 0.1594, 0.1445, 0.1573, 0.1597, 0.1601, 0.1565, 0.1635, 0.1559, 0.1596, 0.1573, 0.1622, 0.1579, 0.1616, 0.1533, 0.1551, 0.1575, 0.1708, 0.1602, 0.1466, 0.1638, 0.1736, 0.1585, 0.1566, 0.1607]"
320 "[0.139, 0.1414, 0.1361, 0.1349, 0.1384, 0.1416, 0.139, 0.1393, 0.1406, 0.1338, 0.1348, 0.1352, 0.1421, 0.1414, 0.1342, 0.1396, 0.1272, 0.1368, 0.1395, 0.1414, 0.1386, 0.1354, 0.1514, 0.139, 0.1368, 0.152, 0.135, 0.1515, 0.1337, 0.136, 0.1405, 0.1352, 0.1517, 0.1332, 0.1266, 0.1394, 0.1393, 0.1354, 0.1359, 0.1388]" "[0.1765, 0.1611, 0.1587, 0.176, 0.1629, 0.1609, 0.1634, 0.1496, 0.158, 0.1661, 0.1606, 0.1611, 0.1614, 0.166, 0.1662, 0.1623, 0.1638, 0.1605, 0.1611, 0.164, 0.1627, 0.1643, 0.1576, 0.1512, 0.1502, 0.1575, 0.1643, 0.1758, 0.1607, 0.165, 0.166, 0.1654, 0.1567, 0.1755, 0.1661, 0.1575, 0.1761, 0.1659, 0.1519, 0.1606]" "[0.1731, 0.1625, 0.1609, 0.1571, 0.1552, 0.1733, 0.1626, 0.1609, 0.158, 0.1728, 0.159, 0.1562, 0.1552, 0.1736, 0.1583, 0.161, 0.1614, 0.1571, 0.1625, 0.1569, 0.1583, 0.1614, 0.1576, 0.1582, 0.1601, 0.1582, 0.1581, 0.1573, 0.1614, 0.1625, 0.1723, 0.1629, 0.1596, 0.1615, 0.1607, 0.1552, 0.1545, 0.1585, 0.163, 0.1739]"
640 "[0.1335, 0.1387, 0.1267, 0.1362, 0.1513, 0.1407, 0.1335, 0.1384, 0.1515, 0.1392, 0.1407, 0.1361, 0.1269, 0.1517, 0.134, 0.1338, 0.1389, 0.1269, 0.141, 0.139, 0.152, 0.1354, 0.1407, 0.1391, 0.127, 0.1355, 0.1411, 0.1409, 0.1408, 0.1411, 0.1414, 0.1362, 0.1351, 0.14, 0.1338, 0.1515, 0.1337, 0.1417, 0.141, 0.1521]" "[0.1671, 0.1651, 0.1654, 0.1766, 0.1642, 0.1596, 0.1592, 0.1663, 0.1654, 0.1667, 0.1649, 0.1652, 0.1622, 0.1766, 0.1623, 0.1621, 0.1665, 0.1632, 0.1593, 0.1677, 0.1669, 0.1588, 0.1608, 0.1651, 0.1521, 0.1646, 0.1623, 0.1655, 0.1671, 0.1615, 0.1654, 0.167, 0.1665, 0.1665, 0.1775, 0.1762, 0.1621, 0.1621, 0.1622, 0.1664]" "[0.1595, 0.1603, 0.1742, 0.1642, 0.1497, 0.1499, 0.1752, 0.1639, 0.165, 0.1625, 0.1589, 0.1563, 0.156, 0.1567, 0.1621, 0.16, 0.1572, 0.1572, 0.1569, 0.1627, 0.1561, 0.1645, 0.1498, 0.1587, 0.1502, 0.1567, 0.1626, 0.1573, 0.1622, 0.1569, 0.1504, 0.1613, 0.1566, 0.1604, 0.1758, 0.1643, 0.1616, 0.163, 0.158, 0.1622]"
1280 "[0.1407, 0.1389, 0.1515, 0.1389, 0.1334, 0.1386, 0.1266, 0.1337, 0.1389, 0.1353, 0.1388, 0.1362, 0.1514, 0.1383, 0.1337, 0.1407, 0.1269, 0.1389, 0.1405, 0.1514, 0.1514, 0.136, 0.1385, 0.1403, 0.1408, 0.1388, 0.1391, 0.1338, 0.1392, 0.1405, 0.1352, 0.1349, 0.1509, 0.1383, 0.1347, 0.1509, 0.1354, 0.1408, 0.1352, 0.1402]" "[0.1656, 0.1623, 0.1676, 0.153, 0.1657, 0.1667, 0.1656, 0.1771, 0.1669, 0.1622, 0.1629, 0.1672, 0.1671, 0.1675, 0.1671, 0.1632, 0.162, 0.1596, 0.1667, 0.1596, 0.1617, 0.1775, 0.1657, 0.1676, 0.1657, 0.1656, 0.1675, 0.178, 0.1651, 0.1614, 0.1651, 0.1776, 0.1667, 0.1656, 0.1659, 0.1659, 0.1659, 0.163, 0.1672, 0.1671]" "[0.1652, 0.1642, 0.1517, 0.1588, 0.152, 0.1645, 0.1616, 0.1771, 0.1516, 0.1646, 0.1518, 0.1661, 0.1514, 0.152, 0.1661, 0.1647, 0.1665, 0.1591, 0.1645, 0.1616, 0.159, 0.1652, 0.1665, 0.1648, 0.161, 0.1589, 0.1642, 0.1611, 0.1588, 0.1616, 0.1623, 0.1587, 0.1607, 0.1516, 0.1609, 0.1662, 0.1662, 0.1589, 0.1588, 0.1663]"
2560 "[0.1266, 0.1406, 0.136, 0.141, 0.1514, 0.1384, 0.1409, 0.1403, 0.1406, 0.1407, 0.135, 0.1388, 0.1404, 0.1269, 0.1266, 0.1348, 0.1406, 0.1353, 0.1354, 0.1388, 0.1514, 0.1388, 0.1387, 0.127, 0.1385, 0.1352, 0.1268, 0.1337, 0.1333, 0.1266, 0.1387, 0.1514, 0.1514, 0.1384, 0.139, 0.1362, 0.1387, 0.1333, 0.1349, 0.1404]" "[0.1777, 0.1776, 0.1651, 0.1623, 0.1776, 0.1659, 0.1615, 0.1595, 0.165, 0.1777, 0.1617, 0.1659, 0.1658, 0.1674, 0.1626, 0.1653, 0.1656, 0.1521, 0.1594, 0.166, 0.1656, 0.1548, 0.1594, 0.1517, 0.16, 0.167, 0.1627, 0.1665, 0.167, 0.1622, 0.1622, 0.1594, 0.167, 0.1622, 0.1599, 0.1526, 0.1624, 0.1524, 0.1779, 0.165]" "[0.1786, 0.1677, 0.1532, 0.1532, 0.1684, 0.1679, 0.1663, 0.1683, 0.1676, 0.1537, 0.1603, 0.1673, 0.1667, 0.1786, 0.1603, 0.1533, 0.1535, 0.1605, 0.1661, 0.164, 0.1623, 0.1533, 0.1657, 0.1681, 0.1606, 0.1533, 0.163, 0.1677, 0.1661, 0.1631, 0.1604, 0.1631, 0.1676, 0.1534, 0.1606, 0.1676, 0.1663, 0.1628, 0.1679, 0.1533]"
5120 "[0.1346, 0.1419, 0.1415, 0.1275, 0.1345, 0.1399, 0.1398, 0.1397, 0.1371, 0.1415, 0.1362, 0.1279, 0.1415, 0.1419, 0.1522, 0.128, 0.1278, 0.1368, 0.1397, 0.1278, 0.1395, 0.1416, 0.1402, 0.1363, 0.1361, 0.1418, 0.1278, 0.1369, 0.1416, 0.1371, 0.1418, 0.1419, 0.1278, 0.1414, 0.1368, 0.1361, 0.1345, 0.1399, 0.1417, 0.1415]" "[0.1601, 0.1784, 0.1656, 0.1783, 0.1782, 0.166, 0.163, 0.1681, 0.1603, 0.1762, 0.1546, 0.1786, 0.1673, 0.153, 0.1624, 0.1662, 0.1623, 0.1671, 0.1679, 0.1528, 0.1658, 0.1603, 0.168, 0.1782, 0.1679, 0.1623, 0.1678, 0.1681, 0.1679, 0.153, 0.1601, 0.153, 0.1673, 0.1678, 0.1678, 0.162, 0.166, 0.1658, 0.1782, 0.1657]" "[0.1789, 0.1664, 0.1668, 0.1625, 0.167, 0.1681, 0.1679, 0.1663, 0.1682, 0.1607, 0.166, 0.1637, 0.168, 0.179, 0.1538, 0.1609, 0.1688, 0.1666, 0.1683, 0.1659, 0.1634, 0.1662, 0.1633, 0.1665, 0.1538, 0.1789, 0.1681, 0.1789, 0.1678, 0.1538, 0.168, 0.1787, 0.1674, 0.154, 0.1687, 0.1669, 0.154, 0.168, 0.1636, 0.1611]"
