 Linear2
10 "[0.429, 0.4081, 0.4124, 0.4184, 0.4149, 0.3995, 0.4229, 0.4139, 0.3927, 0.4226, 0.429, 0.3859, 0.4307, 0.4147, 0.4311, 0.3798, 0.4166, 0.4315, 0.3929, 0.4252, 0.4129, 0.4334, 0.422, 0.4203, 0.431, 0.4178, 0.413, 0.4195, 0.4101, 0.4194, 0.4252, 0.4214, 0.394, 0.4168, 0.3931, 0.4283, 0.4345, 0.4269, 0.4301, 0.4281]"
20 "[0.4664, 0.4509, 0.463, 0.4421, 0.456, 0.4316, 0.4649, 0.448, 0.4605, 0.4364, 0.4525, 0.4676, 0.4828, 0.4397, 0.4365, 0.4799, 0.4394, 0.4603, 0.4572, 0.4696, 0.4487, 0.4589, 0.453, 0.4558, 0.458, 0.4556, 0.4707, 0.4596, 0.475, 0.4616, 0.4683, 0.4353, 0.4448, 0.4714, 0.4482, 0.4509, 0.4614, 0.4325, 0.4572, 0.4161]"
40 "[0.5709, 0.5811, 0.5946, 0.5927, 0.5802, 0.5807, 0.5938, 0.5831, 0.575, 0.5924, 0.5894, 0.5781, 0.5639, 0.5898, 0.5854, 0.5851, 0.5739, 0.561, 0.5784, 0.575, 0.5836, 0.5957, 0.5803, 0.5736, 0.5641, 0.5922, 0.5741, 0.5974, 0.5846, 0.5845, 0.5849, 0.5824, 0.5793, 0.5905, 0.5892, 0.5775, 0.5773, 0.5782, 0.6098, 0.5845]"
80 "[0.6405, 0.6347, 0.6296, 0.6399, 0.6309, 0.6474, 0.6307, 0.627, 0.64, 0.6414, 0.6448, 0.6457, 0.6283, 0.6413, 0.6335, 0.6425, 0.6411, 0.6327, 0.6381, 0.6409, 0.6397, 0.6449, 0.6402, 0.6452, 0.6319, 0.6247, 0.6372, 0.6331, 0.6344, 0.6382, 0.6167, 0.6249, 0.6427, 0.6474, 0.6347, 0.6349, 0.6392, 0.6355, 0.6423, 0.638]"
160 "[0.7317, 0.7341, 0.7437, 0.7219, 0.7284, 0.7069, 0.7243, 0.7341, 0.7395, 0.7286, 0.7348, 0.7355, 0.7253, 0.7311, 0.7328, 0.7261, 0.7339, 0.7359, 0.7326, 0.7215, 0.7338, 0.7178, 0.7365, 0.7363, 0.7213, 0.7404, 0.742, 0.7244, 0.727, 0.729, 0.728, 0.7428, 0.7384, 0.7357, 0.7262, 0.718, 0.7446, 0.7391, 0.7223, 0.7423]"
320 "[0.7784, 0.7887, 0.7805, 0.7991, 0.7892, 0.7802, 0.7827, 0.7821, 0.79, 0.7918, 0.7884, 0.7911, 0.7853, 0.7892, 0.7938, 0.786, 0.7968, 0.7757, 0.7816, 0.7923, 0.7927, 0.7826, 0.7933, 0.7928, 0.7979, 0.7951, 0.7772, 0.7738, 0.7946, 0.7926, 0.7923, 0.7771, 0.7907, 0.7897, 0.7693, 0.7921, 0.7822, 0.7961, 0.7951, 0.7835]"
640 "[0.8384, 0.8235, 0.8289, 0.8313, 0.8259, 0.8212, 0.8234, 0.835, 0.8296, 0.8303, 0.8266, 0.8339, 0.8264, 0.8336, 0.8316, 0.8281, 0.826, 0.8351, 0.7994, 0.8368, 0.8151, 0.8371, 0.8326, 0.8204, 0.8224, 0.831, 0.8198, 0.8251, 0.8199, 0.8253, 0.8276, 0.8212, 0.8233, 0.829, 0.827, 0.8304, 0.829, 0.8311, 0.8321, 0.8262]"
1280 "[0.8471, 0.8471, 0.8551, 0.8443, 0.8472, 0.8243, 0.854, 0.8541, 0.8303, 0.8478, 0.8502, 0.856, 0.8531, 0.85, 0.8483, 0.8489, 0.8406, 0.8508, 0.8538, 0.8481, 0.8497, 0.8487, 0.8472, 0.8494, 0.8497, 0.8525, 0.8479, 0.8418, 0.8209, 0.846, 0.8452, 0.8445, 0.8424, 0.8496, 0.8564, 0.8521, 0.8484, 0.8463, 0.8481, 0.8392]"
2560 "[0.872, 0.8664, 0.8708, 0.8629, 0.8658, 0.8661, 0.8654, 0.8603, 0.8726, 0.8711, 0.8722, 0.8627, 0.8668, 0.8729, 0.8677, 0.8599, 0.8692, 0.8671, 0.8661, 0.8697, 0.8665, 0.8697, 0.8713, 0.871, 0.8691, 0.8706, 0.8655, 0.873, 0.8716, 0.8669, 0.8682, 0.8659, 0.8622, 0.8683, 0.8647, 0.8666, 0.8707, 0.8723, 0.8714, 0.8595]"
5120 "[0.8774, 0.8754, 0.8775, 0.8778, 0.8784, 0.8824, 0.8796, 0.8802, 0.8813, 0.8762, 0.8777, 0.8785, 0.8774, 0.8774, 0.8776, 0.8807, 0.8612, 0.8811, 0.8787, 0.8808, 0.8822, 0.876, 0.878, 0.8775, 0.8769, 0.8723, 0.8818, 0.8822, 0.8752, 0.8795, 0.8767, 0.8789, 0.8732, 0.8791, 0.8798, 0.8777, 0.8789, 0.8813, 0.8805, 0.8794]"
