 Linear0
10 "[0.613, 0.6225, 0.6121, 0.6109, 0.6102, 0.6197, 0.5987, 0.617, 0.6203, 0.6281, 0.6408, 0.6075, 0.6314, 0.6207, 0.5967, 0.6116, 0.6014, 0.635, 0.6281, 0.6142, 0.6397, 0.6195, 0.6191, 0.6246, 0.6173, 0.6108, 0.635, 0.6108, 0.6087, 0.6153, 0.6164, 0.6307, 0.6115, 0.6361, 0.6378, 0.6149, 0.6258, 0.6306, 0.6182, 0.6103, 0.6452, 0.6083, 0.6005, 0.6504, 0.6196, 0.6228, 0.6172, 0.6011, 0.6084, 0.6066, 0.6223, 0.6303, 0.6255, 0.6134, 0.64, 0.6204, 0.6429, 0.5938, 0.6199, 0.6072, 0.629, 0.617, 0.6009, 0.5913, 0.6228, 0.6134, 0.6218, 0.6178, 0.6071, 0.605, 0.6239, 0.5979, 0.6254, 0.6265, 0.614, 0.628, 0.6336, 0.6198, 0.6313, 0.6141, 0.6313, 0.6285, 0.6114, 0.6125, 0.6133, 0.6203, 0.617, 0.6083, 0.6134, 0.5966, 0.617, 0.6301, 0.6188, 0.5977, 0.6122, 0.6195, 0.643, 0.6297, 0.6228, 0.6235]"
20 "[0.6249, 0.6267, 0.6363, 0.6184, 0.6415, 0.6421, 0.6249, 0.6134, 0.6227, 0.6157, 0.6198, 0.6409, 0.6292, 0.632, 0.623, 0.6264, 0.6203, 0.6145, 0.635, 0.6311, 0.6276, 0.6186, 0.6251, 0.6372, 0.6274, 0.6081, 0.5906, 0.6166, 0.6218, 0.6353, 0.6197, 0.6204, 0.5957, 0.6287, 0.6202, 0.6235, 0.6365, 0.6112, 0.6101, 0.6356, 0.6242, 0.6191, 0.617, 0.6358, 0.6052, 0.6153, 0.6385, 0.6158, 0.625, 0.6199, 0.613, 0.6139, 0.6443, 0.6012, 0.6375, 0.6184, 0.6124, 0.6317, 0.6427, 0.643, 0.6285, 0.6424, 0.6288, 0.6382, 0.6249, 0.6345, 0.6368, 0.6412, 0.638, 0.6231, 0.6308, 0.6327, 0.6438, 0.631, 0.6452, 0.6245, 0.6238, 0.6397, 0.6284, 0.6087, 0.6197, 0.6268, 0.6059, 0.6156, 0.6208, 0.6362, 0.5958, 0.6231, 0.6098, 0.6299, 0.6223, 0.64, 0.6321, 0.6384, 0.6283, 0.604, 0.6235, 0.6414, 0.6176, 0.6345]"
40 "[0.6963, 0.7008, 0.69, 0.6974, 0.7182, 0.6942, 0.6932, 0.6933, 0.7029, 0.6927, 0.7032, 0.6886, 0.6333, 0.7081, 0.693, 0.6992, 0.6988, 0.6944, 0.6986, 0.6988, 0.6906, 0.7008, 0.6873, 0.6738, 0.7047, 0.6963, 0.6967, 0.7036, 0.6766, 0.7109, 0.6929, 0.6928, 0.6762, 0.6916, 0.699, 0.6966, 0.6956, 0.7006, 0.7045, 0.7095, 0.6987, 0.6942, 0.6741, 0.6867, 0.7026, 0.6902, 0.6924, 0.6871, 0.6832, 0.6961, 0.6762, 0.7029, 0.6894, 0.6961, 0.6943, 0.7182, 0.7069, 0.7118, 0.7003, 0.6915, 0.7043, 0.6975, 0.687, 0.6899, 0.7028, 0.6863, 0.703, 0.7032, 0.7003, 0.712, 0.7015, 0.7011, 0.6553, 0.6963, 0.6854, 0.703, 0.6899, 0.6979, 0.7134, 0.6865, 0.7005, 0.6949, 0.6878, 0.6647, 0.672, 0.6867, 0.688, 0.6946, 0.6819, 0.6897, 0.698, 0.6917, 0.7034, 0.6894, 0.7004, 0.6912, 0.6833, 0.6937, 0.6942, 0.6941]"
80 "[0.6905, 0.7075, 0.6966, 0.6979, 0.6942, 0.6877, 0.6876, 0.7109, 0.6912, 0.6964, 0.7001, 0.6971, 0.6994, 0.6941, 0.7006, 0.6981, 0.691, 0.7079, 0.6963, 0.698, 0.697, 0.6933, 0.6784, 0.6981, 0.691, 0.6881, 0.6983, 0.6732, 0.6864, 0.6995, 0.683, 0.6884, 0.6946, 0.6934, 0.6976, 0.6918, 0.7032, 0.6933, 0.7049, 0.6993, 0.6963, 0.6969, 0.6766, 0.7034, 0.6913, 0.6483, 0.6947, 0.6909, 0.7018, 0.6004, 0.6944, 0.701, 0.7062, 0.6916, 0.7037, 0.6982, 0.6921, 0.6958, 0.7043, 0.6898, 0.6978, 0.6992, 0.6929, 0.6954, 0.6981, 0.7033, 0.6934, 0.6824, 0.6927, 0.7001, 0.6966, 0.6894, 0.6914, 0.7008, 0.7056, 0.7016, 0.6998, 0.6878, 0.7044, 0.6986, 0.7078, 0.6664, 0.7065, 0.7078, 0.6979, 0.7052, 0.6853, 0.6924, 0.6964, 0.7019, 0.7081, 0.6933, 0.7076, 0.6998, 0.7038, 0.6911, 0.7124, 0.6949, 0.7036, 0.6848]"
160 "[0.7132, 0.6925, 0.715, 0.7049, 0.7056, 0.706, 0.7117, 0.7132, 0.7112, 0.6997, 0.6943, 0.6997, 0.7021, 0.7123, 0.7119, 0.7015, 0.7067, 0.7046, 0.6951, 0.7105, 0.7085, 0.6574, 0.712, 0.6975, 0.6976, 0.7078, 0.6831, 0.7088, 0.7098, 0.7072, 0.7038, 0.7073, 0.7086, 0.7141, 0.7046, 0.7062, 0.7112, 0.7105, 0.7031, 0.7113, 0.7041, 0.7118, 0.7043, 0.7067, 0.7085, 0.7049, 0.7087, 0.7179, 0.7038, 0.7092, 0.7067, 0.6992, 0.6995, 0.7037, 0.7008, 0.7084, 0.6965, 0.6976, 0.6972, 0.7023, 0.7122, 0.7045, 0.7077, 0.7064, 0.683, 0.6835, 0.6995, 0.7091, 0.7007, 0.7041, 0.7031, 0.7069, 0.6944, 0.6928, 0.7058, 0.7047, 0.6943, 0.6993, 0.7072, 0.7014, 0.6913, 0.52, 0.7122, 0.7026, 0.7074, 0.6992, 0.7005, 0.6993, 0.6923, 0.7021, 0.7081, 0.7136, 0.7076, 0.71, 0.7041, 0.6963, 0.7061, 0.7064, 0.7075, 0.6983]"
320 "[0.69, 0.6888, 0.6994, 0.7056, 0.7059, 0.6962, 0.7093, 0.6482, 0.7021, 0.6926, 0.6943, 0.6743, 0.7148, 0.7085, 0.7096, 0.7084, 0.7062, 0.6957, 0.6666, 0.6895, 0.6844, 0.6934, 0.7055, 0.6559, 0.691, 0.6999, 0.692, 0.6785, 0.6706, 0.7038, 0.7147, 0.6965, 0.6995, 0.6973, 0.695, 0.7027, 0.698, 0.71, 0.7055, 0.6938, 0.7023, 0.6931, 0.7105, 0.6854, 0.7078, 0.6879, 0.6309, 0.6996, 0.7005, 0.701, 0.6997, 0.7134, 0.6996, 0.7124, 0.6909, 0.6976, 0.7095, 0.7101, 0.7083, 0.7071, 0.7175, 0.6951, 0.7021, 0.7085, 0.6997, 0.6965, 0.7003, 0.7028, 0.7132, 0.6951, 0.6837, 0.692, 0.7057, 0.708, 0.7007, 0.7125, 0.6822, 0.6997, 0.7092, 0.6858, 0.6914, 0.7186, 0.6974, 0.7146, 0.6872, 0.692, 0.7009, 0.7131, 0.711, 0.7005, 0.7111, 0.7071, 0.6961, 0.6915, 0.6885, 0.652, 0.6963, 0.6951, 0.6958, 0.7047]"
640 "[0.7119, 0.709, 0.7055, 0.7159, 0.7117, 0.7079, 0.7028, 0.7147, 0.705, 0.7087, 0.713, 0.7119, 0.7072, 0.7138, 0.7047, 0.7095, 0.6943, 0.7106, 0.7141, 0.7106, 0.7, 0.7224, 0.709, 0.7032, 0.715, 0.7074, 0.6649, 0.7062, 0.708, 0.7077, 0.7048, 0.709, 0.7128, 0.6989, 0.7175, 0.6315, 0.7174, 0.7059, 0.7104, 0.714, 0.7101, 0.6915, 0.7126, 0.7122, 0.7061, 0.7209, 0.7038, 0.707, 0.715, 0.7047, 0.6914, 0.7118, 0.708, 0.7039, 0.7071, 0.7085, 0.709, 0.7128, 0.7082, 0.7118, 0.7123, 0.7125, 0.7091, 0.7125, 0.6973, 0.7146, 0.7097, 0.712, 0.6876, 0.7064, 0.7109, 0.7038, 0.7102, 0.7135, 0.713, 0.7064, 0.7086, 0.7108, 0.7184, 0.7092, 0.7139, 0.6858, 0.7082, 0.7051, 0.7125, 0.7077, 0.7126, 0.6981, 0.7068, 0.7132, 0.7115, 0.7159, 0.7134, 0.7095, 0.7091, 0.7075, 0.7183, 0.7114, 0.7104, 0.7184]"
1280 "[0.721, 0.7183, 0.722, 0.7032, 0.7198, 0.7185, 0.7006, 0.7199, 0.7192, 0.7099, 0.7059, 0.719, 0.7175, 0.7177, 0.7151, 0.7251, 0.7137, 0.711, 0.7207, 0.7218, 0.7093, 0.7094, 0.7172, 0.7168, 0.7205, 0.7202, 0.7149, 0.7134, 0.7117, 0.7085, 0.7251, 0.7196, 0.7164, 0.7134, 0.7076, 0.7193, 0.7261, 0.7204, 0.6984, 0.7146, 0.7103, 0.7128, 0.7127, 0.7048, 0.7119, 0.7195, 0.716, 0.7183, 0.7198, 0.7108, 0.709, 0.7105, 0.7189, 0.7129, 0.7166, 0.713, 0.7111, 0.7212, 0.7066, 0.7109, 0.7188, 0.7151, 0.7051, 0.7174, 0.717, 0.7236, 0.7089, 0.7175, 0.7166, 0.7109, 0.7052, 0.7203, 0.7202, 0.7122, 0.7125, 0.7128, 0.7144, 0.6945, 0.7216, 0.7119, 0.7209, 0.7069, 0.7201, 0.7238, 0.7167, 0.7099, 0.7161, 0.7185, 0.7141, 0.7146, 0.7183, 0.7138, 0.7245, 0.7205, 0.7243, 0.7184, 0.7152, 0.7178, 0.6946, 0.7194]"
2560 "[0.7285, 0.7235, 0.7243, 0.7254, 0.7252, 0.7225, 0.7218, 0.7177, 0.7114, 0.7181, 0.7155, 0.7216, 0.7222, 0.7226, 0.7185, 0.7244, 0.7225, 0.7241, 0.7202, 0.7244, 0.7233, 0.7207, 0.7194, 0.7146, 0.7249, 0.7167, 0.724, 0.719, 0.7111, 0.7196, 0.7189, 0.7239, 0.7272, 0.7249, 0.7292, 0.7126, 0.725, 0.7177, 0.7185, 0.7212, 0.7213, 0.7161, 0.7228, 0.7314, 0.7178, 0.72, 0.7122, 0.727, 0.7276, 0.7238, 0.7179, 0.7269, 0.7276, 0.7195, 0.7229, 0.7252, 0.7205, 0.7143, 0.7298, 0.7228, 0.7247, 0.7229, 0.724, 0.7167, 0.7221, 0.7264, 0.7267, 0.7216, 0.7171, 0.7241, 0.7251, 0.7174, 0.7218, 0.7085, 0.7194, 0.7234, 0.7254, 0.721, 0.7255, 0.7273, 0.7147, 0.7156, 0.7185, 0.7226, 0.7238, 0.7172, 0.7154, 0.7221, 0.7237, 0.7221, 0.7162, 0.7246, 0.724, 0.7192, 0.7228, 0.7123, 0.7255, 0.721, 0.7193, 0.7316]"
5120 "[0.7286, 0.7268, 0.7298, 0.7262, 0.7154, 0.7176, 0.7272, 0.728, 0.7316, 0.7265, 0.7231, 0.7283, 0.7273, 0.7293, 0.7258, 0.7309, 0.729, 0.7287, 0.7264, 0.7243, 0.7235, 0.7242, 0.7261, 0.7276, 0.7264, 0.7266, 0.7274, 0.7211, 0.7211, 0.7319, 0.7309, 0.7207, 0.7145, 0.7257, 0.7193, 0.7126, 0.7193, 0.7307, 0.7315, 0.7305, 0.7227, 0.7301, 0.7277, 0.7308, 0.7204, 0.7309, 0.7335, 0.7275, 0.7278, 0.7302, 0.7252, 0.7317, 0.7339, 0.7304, 0.7257, 0.7252, 0.7275, 0.7288, 0.7275, 0.724, 0.7275, 0.7222, 0.7307, 0.7239, 0.7287, 0.7289, 0.7273, 0.7288, 0.7187, 0.7248, 0.7222, 0.732, 0.7308, 0.7227, 0.7012, 0.7283, 0.7245, 0.7324, 0.7214, 0.7308, 0.7307, 0.7283, 0.7344, 0.7259, 0.7302, 0.7294, 0.7308, 0.6863, 0.7296, 0.7273, 0.7236, 0.7296, 0.7261, 0.7266, 0.7282, 0.717, 0.7285, 0.7299, 0.7266, 0.731]"
