 Linear0
10 "[0.5083, 0.5201, 0.5282, 0.5537, 0.5105, 0.5011, 0.5346, 0.5234, 0.5029, 0.5313, 0.5133, 0.5546, 0.522, 0.4965, 0.512, 0.5064, 0.5694, 0.4935, 0.5273, 0.541, 0.5442, 0.5311, 0.5171, 0.5222, 0.5408, 0.5524, 0.5022, 0.5232, 0.5427, 0.56, 0.5696, 0.514, 0.5265, 0.5145, 0.5167, 0.5417, 0.5653, 0.5023, 0.5048, 0.5159, 0.502, 0.4959, 0.5087, 0.5461, 0.5214, 0.5079, 0.547, 0.5181, 0.5243, 0.5295, 0.5054, 0.5176, 0.5538, 0.534, 0.5139, 0.5476, 0.5139, 0.4461, 0.5299, 0.5295, 0.5109, 0.5002, 0.5365, 0.5193, 0.5057, 0.5133, 0.5429, 0.52, 0.531, 0.5522, 0.5101, 0.5392, 0.5632, 0.5103, 0.5186, 0.5383, 0.5186, 0.5441, 0.5557, 0.5449, 0.5358, 0.5289, 0.5399, 0.5179, 0.5323, 0.5095, 0.5138, 0.5085, 0.5126, 0.5585, 0.5664, 0.4943, 0.5195, 0.5101, 0.5081, 0.5287, 0.5103, 0.5556, 0.5127, 0.5103]"
20 "[0.6382, 0.6041, 0.6305, 0.6366, 0.64, 0.6279, 0.6312, 0.6295, 0.6065, 0.6186, 0.6134, 0.6323, 0.6243, 0.6445, 0.6207, 0.6254, 0.6398, 0.6316, 0.6367, 0.6328, 0.6372, 0.6409, 0.6177, 0.6263, 0.6214, 0.6081, 0.6213, 0.6362, 0.6229, 0.6262, 0.6196, 0.6012, 0.5321, 0.6329, 0.5852, 0.6352, 0.6414, 0.6067, 0.6251, 0.6257, 0.5966, 0.6426, 0.6201, 0.6391, 0.621, 0.6344, 0.6244, 0.6403, 0.6382, 0.6361, 0.5992, 0.639, 0.6059, 0.6293, 0.6055, 0.6401, 0.6354, 0.6325, 0.6266, 0.6381, 0.6131, 0.6163, 0.63, 0.6249, 0.6366, 0.6284, 0.625, 0.6361, 0.6316, 0.6344, 0.6266, 0.6406, 0.6341, 0.6149, 0.6337, 0.6025, 0.6012, 0.6269, 0.6048, 0.5987, 0.6364, 0.6257, 0.6205, 0.6392, 0.6237, 0.6359, 0.6288, 0.6248, 0.6129, 0.6243, 0.6259, 0.6427, 0.6376, 0.635, 0.6277, 0.6393, 0.6254, 0.6294, 0.633, 0.6388]"
40 "[0.6706, 0.6603, 0.6499, 0.6542, 0.663, 0.6695, 0.6522, 0.6668, 0.5751, 0.6573, 0.6618, 0.6557, 0.6569, 0.6636, 0.6508, 0.6713, 0.6529, 0.6592, 0.6473, 0.6034, 0.6421, 0.6576, 0.6628, 0.6656, 0.6504, 0.6644, 0.6646, 0.6581, 0.6449, 0.6536, 0.6632, 0.6064, 0.6547, 0.6518, 0.6492, 0.6574, 0.6561, 0.6548, 0.6657, 0.654, 0.6514, 0.6485, 0.6362, 0.6515, 0.665, 0.6241, 0.6566, 0.6565, 0.6554, 0.6489, 0.6556, 0.6532, 0.6579, 0.6647, 0.6561, 0.6604, 0.6614, 0.6636, 0.6423, 0.6622, 0.6586, 0.6431, 0.6614, 0.6515, 0.6671, 0.6537, 0.6553, 0.6545, 0.6626, 0.6485, 0.6614, 0.665, 0.6605, 0.6465, 0.6563, 0.6631, 0.6604, 0.6593, 0.6608, 0.6682, 0.6616, 0.6605, 0.6534, 0.6583, 0.6367, 0.6606, 0.6612, 0.6515, 0.6564, 0.6583, 0.66, 0.6448, 0.6647, 0.6559, 0.6535, 0.6487, 0.6311, 0.6635, 0.64, 0.6681]"
80 "[0.6338, 0.643, 0.6452, 0.6528, 0.6438, 0.6444, 0.6041, 0.6492, 0.6519, 0.6341, 0.646, 0.6543, 0.6506, 0.6453, 0.6459, 0.6584, 0.6432, 0.6502, 0.6488, 0.6459, 0.6433, 0.656, 0.644, 0.6556, 0.6367, 0.6314, 0.6493, 0.6415, 0.656, 0.6461, 0.6359, 0.6508, 0.6333, 0.649, 0.6513, 0.6457, 0.6563, 0.6301, 0.6484, 0.6458, 0.6607, 0.6385, 0.6327, 0.6424, 0.6189, 0.6481, 0.6562, 0.6223, 0.6155, 0.5792, 0.6343, 0.6489, 0.6416, 0.6395, 0.6322, 0.6459, 0.6404, 0.6464, 0.644, 0.6318, 0.6544, 0.6349, 0.6555, 0.6502, 0.6383, 0.6515, 0.6551, 0.6387, 0.6361, 0.6516, 0.6582, 0.6228, 0.6467, 0.6453, 0.6474, 0.645, 0.6491, 0.6352, 0.6374, 0.6486, 0.6552, 0.6293, 0.5958, 0.654, 0.6288, 0.6434, 0.6426, 0.6539, 0.6087, 0.6499, 0.6389, 0.6536, 0.6426, 0.6582, 0.6528, 0.6442, 0.6212, 0.6515, 0.332, 0.6555]"
160 "[0.6603, 0.653, 0.6716, 0.6618, 0.6628, 0.6374, 0.662, 0.6579, 0.6634, 0.6707, 0.6757, 0.6796, 0.6723, 0.6529, 0.6618, 0.6593, 0.6652, 0.6739, 0.6689, 0.6691, 0.6537, 0.672, 0.6523, 0.67, 0.6585, 0.6594, 0.6568, 0.6646, 0.6632, 0.6644, 0.6723, 0.6823, 0.6693, 0.6635, 0.6505, 0.6636, 0.6661, 0.6604, 0.6572, 0.6679, 0.659, 0.6679, 0.6766, 0.674, 0.655, 0.6774, 0.6564, 0.6696, 0.6637, 0.6667, 0.6782, 0.6638, 0.6504, 0.6614, 0.6568, 0.661, 0.6655, 0.6695, 0.6606, 0.6705, 0.6632, 0.6575, 0.6587, 0.6615, 0.6651, 0.6662, 0.6609, 0.6564, 0.6693, 0.6627, 0.6694, 0.6526, 0.668, 0.671, 0.6607, 0.672, 0.6551, 0.6673, 0.6594, 0.6642, 0.6696, 0.5099, 0.6733, 0.659, 0.6567, 0.5742, 0.6698, 0.6772, 0.6518, 0.6732, 0.6509, 0.6604, 0.6509, 0.6605, 0.6563, 0.6691, 0.6731, 0.6558, 0.663, 0.6587]"
320 "[0.6644, 0.6699, 0.678, 0.6574, 0.6725, 0.6875, 0.6584, 0.6744, 0.6756, 0.6515, 0.6113, 0.6785, 0.6828, 0.659, 0.673, 0.6783, 0.6782, 0.6817, 0.6241, 0.6765, 0.6655, 0.6578, 0.6767, 0.6765, 0.6664, 0.675, 0.673, 0.6779, 0.6762, 0.6764, 0.6775, 0.599, 0.67, 0.675, 0.6249, 0.6861, 0.6733, 0.6774, 0.6755, 0.6772, 0.676, 0.6592, 0.679, 0.6848, 0.68, 0.6703, 0.6686, 0.6702, 0.6749, 0.6685, 0.6695, 0.678, 0.6762, 0.6782, 0.4251, 0.6717, 0.6596, 0.6713, 0.6723, 0.6624, 0.6646, 0.6754, 0.6642, 0.6833, 0.6679, 0.6684, 0.6721, 0.6682, 0.6801, 0.5866, 0.6739, 0.6844, 0.6694, 0.6706, 0.6755, 0.6711, 0.6729, 0.6717, 0.6684, 0.6834, 0.6016, 0.6786, 0.6812, 0.6203, 0.6793, 0.6625, 0.6712, 0.6778, 0.6738, 0.6788, 0.6898, 0.6823, 0.6894, 0.674, 0.6816, 0.6699, 0.6747, 0.6729, 0.5895, 0.6716]"
640 "[0.6734, 0.5673, 0.6616, 0.6691, 0.6814, 0.6816, 0.6595, 0.5969, 0.6731, 0.6621, 0.6557, 0.6691, 0.6775, 0.6795, 0.47, 0.6677, 0.6647, 0.6782, 0.6611, 0.633, 0.6806, 0.6728, 0.6523, 0.6747, 0.6596, 0.665, 0.6846, 0.6851, 0.6648, 0.665, 0.683, 0.683, 0.6783, 0.6656, 0.6685, 0.6829, 0.6807, 0.6824, 0.6677, 0.6749, 0.6732, 0.6785, 0.6302, 0.6749, 0.6755, 0.6822, 0.6686, 0.6772, 0.6753, 0.6379, 0.6651, 0.6664, 0.6807, 0.6628, 0.6748, 0.6592, 0.6686, 0.6725, 0.4959, 0.677, 0.6728, 0.669, 0.5278, 0.6618, 0.6509, 0.6555, 0.643, 0.6736, 0.6836, 0.6619, 0.6735, 0.6547, 0.6714, 0.6749, 0.6734, 0.675, 0.6765, 0.6682, 0.6566, 0.6683, 0.677, 0.6706, 0.6704, 0.6667, 0.6606, 0.682, 0.6625, 0.672, 0.6716, 0.6735, 0.6741, 0.6715, 0.6775, 0.6579, 0.6756, 0.6766, 0.68, 0.6384, 0.6772, 0.6508]"
1280 "[0.6813, 0.6808, 0.6708, 0.6846, 0.6829, 0.6842, 0.681, 0.6793, 0.6832, 0.6743, 0.6715, 0.6808, 0.6809, 0.6852, 0.6811, 0.681, 0.6876, 0.6878, 0.6826, 0.6917, 0.672, 0.6883, 0.6838, 0.6936, 0.6754, 0.6817, 0.6824, 0.6832, 0.6851, 0.68, 0.6783, 0.689, 0.6749, 0.6454, 0.67, 0.6824, 0.6774, 0.6808, 0.6866, 0.6381, 0.6817, 0.6803, 0.6701, 0.6819, 0.6832, 0.6842, 0.6821, 0.6743, 0.68, 0.6885, 0.6838, 0.6697, 0.6575, 0.6911, 0.684, 0.6241, 0.6794, 0.6842, 0.6849, 0.6869, 0.6527, 0.6638, 0.6871, 0.6633, 0.6799, 0.6775, 0.6776, 0.6801, 0.6858, 0.6797, 0.683, 0.6884, 0.6834, 0.6872, 0.6837, 0.6719, 0.6791, 0.6758, 0.6684, 0.6816, 0.6702, 0.6782, 0.6748, 0.6819, 0.6799, 0.677, 0.6752, 0.6748, 0.679, 0.6708, 0.6699, 0.6691, 0.6787, 0.6932, 0.6836, 0.6877, 0.6805, 0.667, 0.6773, 0.6787]"
2560 "[0.6954, 0.6922, 0.7041, 0.6786, 0.693, 0.6856, 0.6886, 0.6889, 0.6916, 0.678, 0.6867, 0.6925, 0.6926, 0.6891, 0.7017, 0.6858, 0.6895, 0.6953, 0.6977, 0.6897, 0.6839, 0.6948, 0.6951, 0.6389, 0.6856, 0.6928, 0.6936, 0.6856, 0.6954, 0.6956, 0.6889, 0.6909, 0.6942, 0.6921, 0.6912, 0.6783, 0.6819, 0.6957, 0.6878, 0.6912, 0.6943, 0.6573, 0.682, 0.6927, 0.6994, 0.6935, 0.6895, 0.6879, 0.6876, 0.6939, 0.6933, 0.6897, 0.6883, 0.6931, 0.6898, 0.686, 0.6476, 0.6899, 0.6802, 0.6939, 0.6868, 0.6396, 0.6943, 0.6914, 0.6946, 0.6965, 0.6948, 0.6939, 0.6937, 0.6881, 0.6941, 0.6892, 0.6959, 0.6922, 0.693, 0.6949, 0.6896, 0.6928, 0.6906, 0.6917, 0.6096, 0.6824, 0.6867, 0.6983, 0.7036, 0.6969, 0.6962, 0.7025, 0.6905, 0.6757, 0.6836, 0.6899, 0.6904, 0.6822, 0.6889, 0.687, 0.6937, 0.6903, 0.694, 0.6855]"
5120 "[0.6979, 0.6948, 0.6764, 0.6932, 0.6898, 0.6987, 0.6919, 0.6941, 0.6889, 0.6939, 0.6922, 0.6921, 0.6928, 0.6991, 0.6956, 0.6629, 0.6975, 0.6945, 0.6942, 0.6944, 0.6841, 0.6945, 0.6927, 0.6966, 0.6926, 0.6959, 0.6874, 0.6961, 0.6952, 0.695, 0.6805, 0.6919, 0.6874, 0.6919, 0.6926, 0.7004, 0.693, 0.691, 0.6942, 0.6925, 0.6928, 0.6954, 0.6945, 0.6911, 0.6832, 0.6947, 0.6889, 0.6951, 0.6908, 0.6966, 0.6962, 0.6934, 0.6964, 0.6876, 0.7016, 0.6959, 0.6927, 0.6938, 0.6872, 0.6981, 0.6855, 0.6858, 0.6842, 0.691, 0.6898, 0.6853, 0.6941, 0.6947, 0.6941, 0.6954, 0.6952, 0.6925, 0.6924, 0.6961, 0.6972, 0.6954, 0.691, 0.6921, 0.6892, 0.6912, 0.6945, 0.6863, 0.6955, 0.6967, 0.6914, 0.6896, 0.6917, 0.6914, 0.6781, 0.6926, 0.6899, 0.6853, 0.6925, 0.6914, 0.6868, 0.691, 0.6948, 0.6964, 0.6964, 0.6853]"
