 Linear0
10 "[0.5427, 0.5791, 0.56, 0.5664, 0.5429, 0.5885, 0.5484, 0.5643, 0.5726, 0.5155, 0.5554, 0.5623, 0.5358, 0.538, 0.4988, 0.5709, 0.5628, 0.5899, 0.5355, 0.5737, 0.5594, 0.5488, 0.5787, 0.5749, 0.565, 0.5657, 0.5609, 0.5517, 0.5556, 0.5588, 0.5615, 0.545, 0.5511, 0.5375, 0.5459, 0.5619, 0.56, 0.5287, 0.5854, 0.5675, 0.5395, 0.5522, 0.5441, 0.531, 0.5558, 0.5845, 0.5685, 0.5687, 0.5588, 0.5554, 0.5119, 0.5323, 0.5567, 0.5581, 0.5455, 0.5712, 0.5682, 0.4727, 0.5628, 0.5588, 0.5846, 0.5795, 0.5646, 0.5312, 0.5286, 0.5876, 0.5256, 0.573, 0.5378, 0.5707, 0.5736, 0.5526, 0.5656, 0.5983, 0.5584, 0.5403, 0.5293, 0.5498, 0.5668, 0.5533, 0.5619, 0.5641, 0.5549, 0.5717, 0.5673, 0.5015, 0.5199, 0.5687, 0.537, 0.5348, 0.5437, 0.5347, 0.5802, 0.527, 0.5813, 0.5724, 0.5315, 0.5461, 0.5787, 0.5239]"
20 "[0.5867, 0.579, 0.5851, 0.5827, 0.6057, 0.5763, 0.5882, 0.5732, 0.5874, 0.5478, 0.5749, 0.5953, 0.5896, 0.5953, 0.5877, 0.5829, 0.5738, 0.5755, 0.5944, 0.5804, 0.5971, 0.5622, 0.5936, 0.5707, 0.5887, 0.5797, 0.5851, 0.5728, 0.5886, 0.555, 0.5883, 0.5833, 0.5371, 0.5851, 0.5866, 0.5982, 0.5851, 0.587, 0.5708, 0.5994, 0.5789, 0.5729, 0.5896, 0.5605, 0.5812, 0.582, 0.5642, 0.6084, 0.5784, 0.5962, 0.5722, 0.5582, 0.6092, 0.5641, 0.579, 0.5635, 0.5623, 0.5847, 0.6014, 0.6365, 0.5954, 0.601, 0.5918, 0.5718, 0.5636, 0.5961, 0.6294, 0.583, 0.5936, 0.6068, 0.5651, 0.5842, 0.588, 0.5802, 0.5896, 0.5865, 0.564, 0.603, 0.5729, 0.5688, 0.5844, 0.586, 0.5866, 0.5709, 0.5714, 0.5801, 0.5454, 0.6036, 0.5287, 0.5881, 0.5731, 0.5893, 0.5806, 0.5892, 0.6242, 0.5644, 0.5648, 0.5921, 0.5651, 0.6145]"
40 "[0.6672, 0.6782, 0.6692, 0.6966, 0.6808, 0.6874, 0.6922, 0.6794, 0.6898, 0.6767, 0.6614, 0.6684, 0.6548, 0.6705, 0.6702, 0.6769, 0.6727, 0.6864, 0.6729, 0.6289, 0.683, 0.6714, 0.6651, 0.6631, 0.6907, 0.6807, 0.6643, 0.687, 0.6577, 0.6711, 0.6751, 0.6719, 0.6634, 0.6742, 0.6783, 0.6689, 0.6788, 0.68, 0.6678, 0.6888, 0.6726, 0.6694, 0.6553, 0.6636, 0.6733, 0.6516, 0.6592, 0.6761, 0.6758, 0.6672, 0.6848, 0.6885, 0.6708, 0.671, 0.6714, 0.6729, 0.6792, 0.69, 0.6804, 0.6714, 0.6831, 0.6638, 0.6715, 0.677, 0.6743, 0.6676, 0.665, 0.6841, 0.6817, 0.6868, 0.6791, 0.673, 0.6576, 0.6634, 0.6714, 0.6664, 0.6643, 0.6775, 0.6737, 0.6694, 0.6801, 0.6657, 0.6635, 0.6815, 0.6563, 0.6658, 0.6258, 0.6821, 0.6812, 0.6679, 0.6773, 0.6766, 0.6578, 0.6776, 0.6684, 0.6799, 0.6726, 0.6798, 0.6899, 0.6766]"
80 "[0.6905, 0.6976, 0.6806, 0.6899, 0.6886, 0.6847, 0.6912, 0.6885, 0.6977, 0.6797, 0.6973, 0.6974, 0.6834, 0.6943, 0.6836, 0.697, 0.6892, 0.6938, 0.7024, 0.696, 0.6963, 0.6989, 0.683, 0.6949, 0.6891, 0.682, 0.6959, 0.685, 0.7028, 0.6956, 0.6954, 0.6954, 0.6867, 0.6889, 0.6895, 0.6931, 0.6957, 0.6834, 0.6941, 0.6966, 0.6997, 0.7006, 0.6719, 0.6944, 0.6771, 0.6015, 0.6938, 0.6851, 0.6928, 0.6395, 0.6948, 0.6901, 0.6923, 0.692, 0.7039, 0.6885, 0.6878, 0.6877, 0.6809, 0.7029, 0.6947, 0.6709, 0.6865, 0.6868, 0.6919, 0.6925, 0.6968, 0.6824, 0.6904, 0.6945, 0.6906, 0.6822, 0.6972, 0.6905, 0.7025, 0.691, 0.7062, 0.6941, 0.7034, 0.6956, 0.7039, 0.6524, 0.6647, 0.6999, 0.6903, 0.6858, 0.6822, 0.6821, 0.6844, 0.6935, 0.6864, 0.7063, 0.6908, 0.696, 0.694, 0.6857, 0.7009, 0.6937, 0.6909, 0.6943]"
160 "[0.6948, 0.6946, 0.694, 0.6887, 0.6627, 0.6969, 0.7026, 0.7015, 0.6997, 0.6705, 0.683, 0.6824, 0.6913, 0.6895, 0.6916, 0.6739, 0.707, 0.6724, 0.6667, 0.6904, 0.6967, 0.6888, 0.6787, 0.691, 0.6807, 0.6879, 0.6966, 0.7026, 0.6915, 0.6944, 0.6852, 0.7005, 0.6983, 0.6979, 0.6938, 0.694, 0.6861, 0.6816, 0.6971, 0.6728, 0.6951, 0.701, 0.6864, 0.6896, 0.6931, 0.6917, 0.6804, 0.7018, 0.6898, 0.6876, 0.685, 0.6741, 0.6977, 0.7012, 0.6989, 0.6969, 0.684, 0.6595, 0.6791, 0.6919, 0.703, 0.678, 0.69, 0.6813, 0.6683, 0.6943, 0.6886, 0.698, 0.6929, 0.6939, 0.6789, 0.6925, 0.6781, 0.6957, 0.6852, 0.6898, 0.6898, 0.6847, 0.7025, 0.694, 0.6894, 0.6866, 0.6965, 0.6929, 0.6962, 0.6874, 0.6921, 0.6854, 0.6851, 0.696, 0.6945, 0.6912, 0.6959, 0.6949, 0.7001, 0.6878, 0.6871, 0.6849, 0.6982, 0.7047]"
320 "[0.6856, 0.6891, 0.6873, 0.7032, 0.6957, 0.6922, 0.7006, 0.7117, 0.697, 0.6877, 0.6873, 0.6906, 0.6989, 0.6944, 0.7027, 0.7043, 0.699, 0.6971, 0.6618, 0.7066, 0.6928, 0.707, 0.7054, 0.7022, 0.7002, 0.7022, 0.7078, 0.6638, 0.6994, 0.7079, 0.7142, 0.6957, 0.7008, 0.6979, 0.6868, 0.698, 0.6894, 0.7005, 0.7101, 0.6861, 0.7059, 0.7072, 0.7066, 0.6859, 0.6989, 0.7047, 0.7024, 0.6985, 0.7044, 0.7047, 0.6977, 0.705, 0.6768, 0.7026, 0.6914, 0.6852, 0.697, 0.6937, 0.6884, 0.6928, 0.7015, 0.7081, 0.6929, 0.7049, 0.6921, 0.703, 0.6977, 0.7014, 0.7042, 0.7029, 0.7019, 0.6888, 0.6969, 0.7029, 0.7024, 0.6964, 0.7061, 0.7009, 0.6974, 0.6709, 0.6831, 0.7051, 0.6954, 0.6799, 0.6787, 0.69, 0.7048, 0.7053, 0.6939, 0.6992, 0.708, 0.7069, 0.6793, 0.6821, 0.6958, 0.6415, 0.6989, 0.6925, 0.6949, 0.7016]"
640 "[0.7022, 0.7102, 0.7017, 0.7044, 0.7039, 0.7054, 0.6617, 0.7022, 0.7054, 0.699, 0.7026, 0.7056, 0.7083, 0.7128, 0.7007, 0.7064, 0.6763, 0.7047, 0.6983, 0.7123, 0.7059, 0.7123, 0.7017, 0.6894, 0.6999, 0.7024, 0.7064, 0.7087, 0.6899, 0.7126, 0.7041, 0.6993, 0.71, 0.7034, 0.6987, 0.6992, 0.6844, 0.7022, 0.7054, 0.7072, 0.6956, 0.7076, 0.7071, 0.7037, 0.6998, 0.7089, 0.7004, 0.7038, 0.7058, 0.6923, 0.6836, 0.7031, 0.6892, 0.6982, 0.7064, 0.7078, 0.7047, 0.7107, 0.7038, 0.7014, 0.71, 0.6973, 0.7047, 0.7068, 0.699, 0.7043, 0.7032, 0.7049, 0.7087, 0.7008, 0.7043, 0.7048, 0.7039, 0.7043, 0.7002, 0.7063, 0.7033, 0.7017, 0.7017, 0.6799, 0.7088, 0.71, 0.7018, 0.7002, 0.701, 0.7086, 0.7014, 0.6895, 0.7016, 0.7091, 0.6982, 0.7056, 0.7142, 0.701, 0.7008, 0.6985, 0.7084, 0.6994, 0.6932, 0.6987]"
1280 "[0.7044, 0.7065, 0.6951, 0.708, 0.709, 0.7027, 0.7079, 0.708, 0.709, 0.7086, 0.7095, 0.7103, 0.7083, 0.7113, 0.703, 0.7042, 0.7107, 0.7154, 0.7112, 0.7037, 0.7088, 0.7021, 0.7105, 0.7096, 0.7031, 0.701, 0.7019, 0.7102, 0.6917, 0.7093, 0.7039, 0.7125, 0.7029, 0.6763, 0.7041, 0.7111, 0.7069, 0.7019, 0.6954, 0.6926, 0.7058, 0.7022, 0.7015, 0.7074, 0.7065, 0.7134, 0.7088, 0.7028, 0.6993, 0.712, 0.7093, 0.7006, 0.7081, 0.7047, 0.7009, 0.6968, 0.7104, 0.708, 0.7077, 0.7048, 0.7062, 0.7033, 0.7048, 0.6975, 0.7047, 0.7068, 0.702, 0.7148, 0.7158, 0.7127, 0.7064, 0.706, 0.6966, 0.7003, 0.7016, 0.6973, 0.7138, 0.7105, 0.7055, 0.7063, 0.7011, 0.7004, 0.705, 0.7034, 0.6967, 0.7066, 0.704, 0.707, 0.6954, 0.6916, 0.7066, 0.7162, 0.7034, 0.7046, 0.7079, 0.7111, 0.6981, 0.7155, 0.6994, 0.7033]"
2560 "[0.6944, 0.723, 0.7153, 0.7161, 0.7147, 0.7163, 0.7213, 0.7066, 0.7222, 0.7064, 0.7174, 0.7163, 0.7171, 0.7167, 0.7148, 0.7218, 0.7168, 0.7124, 0.7175, 0.7152, 0.7181, 0.7153, 0.7122, 0.7156, 0.716, 0.7256, 0.7079, 0.7158, 0.7164, 0.6996, 0.7173, 0.7203, 0.7153, 0.716, 0.7194, 0.7198, 0.7148, 0.7141, 0.7167, 0.7136, 0.6883, 0.7093, 0.7046, 0.7142, 0.7178, 0.7165, 0.7155, 0.7101, 0.7209, 0.7174, 0.7144, 0.7086, 0.7161, 0.712, 0.7219, 0.7194, 0.7066, 0.7199, 0.7155, 0.7149, 0.7183, 0.7151, 0.7072, 0.7186, 0.7154, 0.7168, 0.7159, 0.7204, 0.7155, 0.7163, 0.6933, 0.703, 0.7082, 0.7079, 0.7138, 0.7167, 0.7114, 0.7093, 0.7197, 0.7132, 0.7132, 0.709, 0.7032, 0.7156, 0.7156, 0.7151, 0.7116, 0.7163, 0.717, 0.7102, 0.7083, 0.7079, 0.718, 0.6992, 0.7236, 0.7099, 0.7133, 0.7081, 0.7192, 0.711]"
5120 "[0.7205, 0.7155, 0.7127, 0.7218, 0.7218, 0.7223, 0.7185, 0.7197, 0.721, 0.7278, 0.7193, 0.7236, 0.7211, 0.7206, 0.7253, 0.7203, 0.7183, 0.7191, 0.7192, 0.7215, 0.7219, 0.7229, 0.7239, 0.7129, 0.6953, 0.7224, 0.7181, 0.7217, 0.7203, 0.7218, 0.7195, 0.7206, 0.7201, 0.7122, 0.7272, 0.7226, 0.7227, 0.7294, 0.7161, 0.7179, 0.7197, 0.7284, 0.7292, 0.7189, 0.7203, 0.72, 0.7227, 0.7141, 0.7147, 0.7234, 0.7205, 0.7304, 0.7225, 0.7205, 0.72, 0.7181, 0.7201, 0.7207, 0.7192, 0.7219, 0.7281, 0.7211, 0.7225, 0.7233, 0.7267, 0.7258, 0.7172, 0.7234, 0.7176, 0.7184, 0.7213, 0.7261, 0.7195, 0.7213, 0.6955, 0.7154, 0.7117, 0.7181, 0.703, 0.7019, 0.7188, 0.7185, 0.7221, 0.7213, 0.7237, 0.73, 0.7205, 0.7209, 0.7228, 0.7246, 0.7159, 0.7249, 0.7192, 0.7105, 0.7197, 0.7285, 0.7312, 0.7252, 0.7226, 0.72]"
