 Linear0
10 "[0.6609, 0.6554, 0.6761, 0.6647, 0.6599, 0.6595, 0.6521, 0.6614, 0.6603, 0.6605, 0.6646, 0.6552, 0.657, 0.6634, 0.6626, 0.6556, 0.6495, 0.6611, 0.6604, 0.6623, 0.6615, 0.6598, 0.6625, 0.6515, 0.661, 0.6603, 0.6567, 0.6627, 0.6574, 0.6577, 0.6616, 0.6584, 0.6597, 0.6585, 0.6603, 0.6619, 0.6613, 0.6585, 0.6618, 0.6618, 0.6528, 0.6578, 0.6602, 0.6605, 0.6605, 0.6575, 0.6533, 0.6573, 0.6627, 0.6552, 0.6617, 0.6631, 0.6601, 0.6588, 0.6612, 0.6591, 0.6582, 0.6598, 0.6617, 0.6569, 0.6611, 0.6597, 0.6556, 0.6607, 0.641, 0.6614, 0.657, 0.6585, 0.6558, 0.6527, 0.6616, 0.6559, 0.6566, 0.6585, 0.6617, 0.6582, 0.6601, 0.6566, 0.6545, 0.6577, 0.6591, 0.6575, 0.661, 0.6594, 0.6629, 0.6589, 0.6584, 0.6552, 0.6611, 0.6568, 0.6645, 0.6632, 0.659, 0.6479, 0.6578, 0.6615, 0.661, 0.6628, 0.6584, 0.6607]"
20 "[0.7367, 0.7134, 0.7483, 0.7477, 0.7434, 0.7197, 0.7409, 0.7441, 0.7451, 0.7367, 0.7402, 0.7467, 0.7453, 0.7465, 0.7427, 0.7458, 0.7509, 0.7441, 0.7466, 0.7366, 0.7419, 0.7401, 0.7461, 0.7281, 0.7389, 0.7237, 0.7432, 0.7463, 0.743, 0.7392, 0.7472, 0.7379, 0.748, 0.7403, 0.7467, 0.7458, 0.7201, 0.749, 0.743, 0.7427, 0.7161, 0.746, 0.7453, 0.7461, 0.7479, 0.7397, 0.7376, 0.7254, 0.7315, 0.7424, 0.7415, 0.7396, 0.744, 0.7499, 0.7466, 0.7349, 0.7446, 0.7452, 0.7427, 0.7394, 0.7364, 0.7366, 0.7444, 0.7464, 0.7457, 0.746, 0.7463, 0.74, 0.7465, 0.7409, 0.7394, 0.7467, 0.7468, 0.733, 0.7419, 0.7356, 0.7496, 0.6993, 0.7347, 0.7458, 0.7426, 0.7461, 0.7423, 0.7424, 0.7435, 0.7373, 0.7461, 0.7451, 0.7464, 0.7428, 0.7417, 0.7472, 0.7451, 0.7417, 0.7411, 0.7474, 0.7451, 0.7486, 0.7435, 0.7466]"
40 "[0.7441, 0.747, 0.7509, 0.7522, 0.7504, 0.7514, 0.7469, 0.7495, 0.7488, 0.7437, 0.7496, 0.7534, 0.7487, 0.7478, 0.7456, 0.7516, 0.7497, 0.749, 0.7513, 0.7471, 0.7443, 0.7488, 0.7514, 0.7476, 0.747, 0.7519, 0.7481, 0.7521, 0.7476, 0.7519, 0.7496, 0.7512, 0.7487, 0.7461, 0.7499, 0.7505, 0.748, 0.7503, 0.7483, 0.7473, 0.7473, 0.7518, 0.7484, 0.7448, 0.7497, 0.7484, 0.7512, 0.748, 0.7472, 0.7464, 0.751, 0.7495, 0.7505, 0.746, 0.749, 0.7482, 0.7491, 0.7523, 0.7514, 0.7515, 0.7483, 0.7479, 0.7485, 0.7489, 0.7503, 0.7496, 0.7449, 0.7488, 0.7467, 0.7505, 0.7488, 0.7501, 0.75, 0.752, 0.7484, 0.743, 0.7473, 0.7505, 0.7509, 0.7473, 0.7465, 0.7503, 0.7496, 0.7495, 0.7524, 0.7463, 0.7473, 0.7467, 0.7484, 0.7518, 0.7495, 0.7488, 0.7477, 0.7426, 0.7492, 0.7507, 0.7519, 0.7511, 0.752, 0.7515]"
80 "[0.7523, 0.7522, 0.7534, 0.7541, 0.7536, 0.7557, 0.7517, 0.7523, 0.7532, 0.7534, 0.753, 0.7555, 0.754, 0.7537, 0.754, 0.7554, 0.7528, 0.7543, 0.7499, 0.754, 0.7536, 0.7544, 0.7544, 0.7547, 0.7529, 0.7556, 0.7522, 0.7518, 0.753, 0.7532, 0.7512, 0.7557, 0.7529, 0.7547, 0.7567, 0.7519, 0.7514, 0.7544, 0.7541, 0.7561, 0.753, 0.7523, 0.7537, 0.7549, 0.752, 0.753, 0.7532, 0.7491, 0.7524, 0.7525, 0.7529, 0.7506, 0.7555, 0.7505, 0.7545, 0.7536, 0.7555, 0.7534, 0.749, 0.7554, 0.7544, 0.7555, 0.7535, 0.7554, 0.7502, 0.7546, 0.7558, 0.7504, 0.752, 0.7548, 0.7551, 0.756, 0.7501, 0.7506, 0.751, 0.7559, 0.7533, 0.7543, 0.7548, 0.7549, 0.7537, 0.7549, 0.7551, 0.7499, 0.7517, 0.7554, 0.7565, 0.7554, 0.7545, 0.755, 0.7526, 0.755, 0.7538, 0.7538, 0.7548, 0.7523, 0.7553, 0.7561, 0.7514, 0.7534]"
160 "[0.7545, 0.754, 0.7548, 0.755, 0.7562, 0.7556, 0.7552, 0.7534, 0.7569, 0.7555, 0.7541, 0.7538, 0.7558, 0.7513, 0.755, 0.7552, 0.7544, 0.7546, 0.7537, 0.755, 0.7547, 0.7558, 0.7515, 0.7548, 0.7448, 0.7557, 0.7574, 0.7536, 0.7572, 0.7561, 0.7567, 0.755, 0.753, 0.7518, 0.7556, 0.7577, 0.755, 0.7526, 0.7555, 0.7556, 0.7572, 0.7564, 0.7517, 0.7545, 0.7554, 0.7507, 0.7543, 0.751, 0.7509, 0.7543, 0.7529, 0.7538, 0.7578, 0.7566, 0.7561, 0.7549, 0.7573, 0.7557, 0.7479, 0.7566, 0.7555, 0.7562, 0.7548, 0.7571, 0.7533, 0.7539, 0.7535, 0.7532, 0.7541, 0.7556, 0.7554, 0.7542, 0.7569, 0.753, 0.7572, 0.7516, 0.7562, 0.7541, 0.7542, 0.7548, 0.7574, 0.7553, 0.7548, 0.754, 0.7555, 0.7518, 0.7551, 0.7536, 0.7543, 0.7524, 0.754, 0.7507, 0.7564, 0.7499, 0.7493, 0.7554, 0.7554, 0.7558, 0.7534, 0.7515]"
320 "[0.7573, 0.7538, 0.7579, 0.7535, 0.7552, 0.7553, 0.7547, 0.7556, 0.7579, 0.7546, 0.7553, 0.7557, 0.7556, 0.7566, 0.7561, 0.7578, 0.7531, 0.7567, 0.7568, 0.7567, 0.7559, 0.756, 0.7555, 0.7535, 0.7556, 0.7573, 0.7558, 0.7556, 0.7545, 0.7552, 0.7573, 0.755, 0.7546, 0.7564, 0.7568, 0.7557, 0.7559, 0.7581, 0.7578, 0.755, 0.7556, 0.756, 0.7562, 0.7575, 0.7557, 0.756, 0.7548, 0.7561, 0.7547, 0.7531, 0.7529, 0.757, 0.7434, 0.7549, 0.7578, 0.7533, 0.756, 0.7556, 0.7558, 0.7556, 0.7574, 0.7557, 0.7571, 0.7584, 0.7558, 0.7523, 0.7549, 0.756, 0.7574, 0.7567, 0.754, 0.7546, 0.7566, 0.7553, 0.7542, 0.7538, 0.7556, 0.7548, 0.7545, 0.7546, 0.758, 0.7567, 0.7539, 0.7554, 0.7572, 0.7551, 0.7565, 0.7573, 0.76, 0.756, 0.7576, 0.7571, 0.7567, 0.7569, 0.7537, 0.7567, 0.7558, 0.7542, 0.7572, 0.7551]"
640 "[0.7551, 0.7568, 0.7561, 0.7508, 0.7565, 0.7579, 0.7577, 0.7556, 0.7572, 0.7555, 0.7568, 0.7545, 0.7563, 0.7567, 0.7574, 0.7575, 0.7529, 0.7527, 0.758, 0.7544, 0.7583, 0.7563, 0.7585, 0.7585, 0.758, 0.7497, 0.755, 0.7556, 0.7586, 0.7575, 0.7572, 0.7566, 0.7582, 0.7568, 0.7566, 0.7572, 0.7578, 0.7575, 0.7555, 0.7548, 0.7569, 0.7565, 0.7562, 0.757, 0.7573, 0.7574, 0.7557, 0.7566, 0.755, 0.7574, 0.7557, 0.7527, 0.7584, 0.7565, 0.7589, 0.7582, 0.7572, 0.755, 0.7529, 0.7581, 0.7573, 0.7583, 0.7576, 0.7585, 0.7555, 0.7565, 0.7558, 0.757, 0.7543, 0.7566, 0.7547, 0.7578, 0.7574, 0.758, 0.7561, 0.7509, 0.758, 0.755, 0.758, 0.7582, 0.7563, 0.7567, 0.7591, 0.7593, 0.7578, 0.7546, 0.7573, 0.7572, 0.7558, 0.7561, 0.7582, 0.7535, 0.757, 0.7557, 0.7557, 0.7581, 0.7549, 0.7554, 0.7581, 0.7575]"
1280 "[0.7563, 0.7554, 0.757, 0.7505, 0.7591, 0.7538, 0.7559, 0.758, 0.7579, 0.7502, 0.7567, 0.7589, 0.7562, 0.7575, 0.7592, 0.7546, 0.7558, 0.7571, 0.7553, 0.7529, 0.7583, 0.7545, 0.758, 0.7559, 0.7581, 0.7523, 0.7552, 0.7532, 0.7581, 0.7566, 0.7534, 0.7586, 0.7562, 0.7557, 0.7561, 0.7576, 0.7557, 0.7582, 0.7582, 0.7587, 0.7566, 0.7559, 0.7504, 0.756, 0.757, 0.755, 0.7573, 0.7559, 0.7549, 0.7572, 0.7571, 0.7546, 0.7581, 0.7574, 0.7553, 0.7551, 0.7575, 0.7559, 0.7559, 0.7571, 0.7574, 0.7573, 0.7584, 0.757, 0.7572, 0.7533, 0.7571, 0.7588, 0.7573, 0.759, 0.7589, 0.7578, 0.753, 0.7549, 0.7556, 0.7576, 0.757, 0.7564, 0.7567, 0.7581, 0.7584, 0.7562, 0.7556, 0.7552, 0.7555, 0.7576, 0.7555, 0.7572, 0.7549, 0.7564, 0.7557, 0.7547, 0.7569, 0.7543, 0.7545, 0.7574, 0.7554, 0.7568, 0.7586, 0.7573]"
2560 "[0.7591, 0.7588, 0.756, 0.7576, 0.7585, 0.758, 0.7579, 0.7581, 0.7567, 0.7588, 0.7573, 0.7586, 0.7573, 0.7557, 0.7574, 0.7578, 0.7568, 0.7562, 0.7579, 0.7567, 0.7569, 0.7553, 0.7599, 0.7554, 0.7577, 0.7565, 0.7594, 0.7574, 0.7569, 0.7546, 0.7574, 0.7567, 0.7589, 0.7588, 0.7574, 0.7584, 0.7571, 0.7571, 0.7578, 0.7564, 0.7585, 0.7571, 0.7585, 0.7547, 0.7547, 0.7571, 0.7589, 0.7585, 0.7598, 0.7528, 0.7578, 0.7576, 0.7573, 0.7588, 0.7579, 0.7591, 0.7565, 0.7568, 0.7561, 0.7559, 0.7573, 0.7574, 0.7583, 0.7589, 0.7591, 0.759, 0.7575, 0.7569, 0.7569, 0.7575, 0.7566, 0.7553, 0.7587, 0.7573, 0.7566, 0.7501, 0.7583, 0.7572, 0.7584, 0.7577, 0.7585, 0.7572, 0.7582, 0.7592, 0.7591, 0.7562, 0.758, 0.7585, 0.759, 0.7584, 0.7582, 0.7593, 0.7571, 0.7546, 0.7562, 0.7578, 0.7526, 0.7587, 0.7578, 0.7556]"
5120 "[0.7586, 0.7591, 0.7582, 0.7585, 0.7578, 0.7573, 0.7595, 0.7583, 0.7591, 0.7576, 0.7584, 0.7589, 0.756, 0.7569, 0.7592, 0.7584, 0.7591, 0.7586, 0.7575, 0.7582, 0.7593, 0.7575, 0.7582, 0.7573, 0.7585, 0.7571, 0.7588, 0.759, 0.7589, 0.7583, 0.7569, 0.7596, 0.7566, 0.759, 0.7555, 0.7588, 0.7578, 0.7574, 0.7589, 0.758, 0.7603, 0.7564, 0.753, 0.7566, 0.7596, 0.7589, 0.759, 0.7598, 0.7566, 0.7577, 0.759, 0.7582, 0.7587, 0.7549, 0.7575, 0.7579, 0.7568, 0.7583, 0.7565, 0.7579, 0.757, 0.7554, 0.7561, 0.7588, 0.7566, 0.7591, 0.7589, 0.7578, 0.7586, 0.7559, 0.7595, 0.7579, 0.7578, 0.759, 0.755, 0.7578, 0.7579, 0.7579, 0.759, 0.7583, 0.7579, 0.7565, 0.7578, 0.7577, 0.7578, 0.7595, 0.7594, 0.7592, 0.7581, 0.7584, 0.7586, 0.7561, 0.7584, 0.7584, 0.7584, 0.7575, 0.7572, 0.758, 0.7582, 0.7587]"
