 Linear0
10 "[0.5715, 0.6012, 0.5809, 0.5682, 0.5891, 0.523, 0.5895, 0.5793, 0.5997, 0.6077, 0.5904, 0.5951, 0.5939, 0.5583, 0.5698, 0.5579, 0.5246, 0.5833, 0.6032, 0.5954, 0.5783, 0.6079, 0.6061, 0.6162, 0.5932, 0.5815, 0.5214, 0.5979, 0.5722, 0.6007, 0.5831, 0.5796, 0.598, 0.5956, 0.5891, 0.5912, 0.5862, 0.5774, 0.6134, 0.606, 0.5887, 0.5498, 0.5439, 0.6118, 0.6149, 0.605, 0.5972, 0.5926, 0.5996, 0.5227, 0.5919, 0.6164, 0.598, 0.5846, 0.5392, 0.5938, 0.5808, 0.4812, 0.597, 0.5953, 0.5702, 0.5906, 0.5901, 0.5661, 0.5365, 0.5577, 0.6039, 0.5779, 0.5749, 0.594, 0.5782, 0.5913, 0.6009, 0.5939, 0.591, 0.6021, 0.6038, 0.5986, 0.6006, 0.5867, 0.5721, 0.6027, 0.5686, 0.5829, 0.6009, 0.5911, 0.5998, 0.567, 0.5973, 0.5078, 0.5998, 0.5871, 0.6151, 0.5855, 0.5444, 0.5941, 0.566, 0.576, 0.6059, 0.5983]"
20 "[0.6225, 0.6443, 0.6576, 0.6447, 0.6513, 0.623, 0.6371, 0.6403, 0.6506, 0.6478, 0.6311, 0.6254, 0.6348, 0.6209, 0.6486, 0.6433, 0.4373, 0.6396, 0.6455, 0.6423, 0.6539, 0.6493, 0.6442, 0.6414, 0.6222, 0.6357, 0.626, 0.642, 0.6424, 0.6379, 0.624, 0.6465, 0.6356, 0.6305, 0.6444, 0.607, 0.6595, 0.6302, 0.6418, 0.579, 0.6271, 0.648, 0.6286, 0.6387, 0.6177, 0.6046, 0.6295, 0.6236, 0.6418, 0.6392, 0.6336, 0.6256, 0.5864, 0.6043, 0.6277, 0.6329, 0.5858, 0.623, 0.6503, 0.6293, 0.6287, 0.6534, 0.6113, 0.6273, 0.6579, 0.6356, 0.6155, 0.6199, 0.6227, 0.6452, 0.6046, 0.6533, 0.6199, 0.6243, 0.5898, 0.5925, 0.6377, 0.6145, 0.6035, 0.6451, 0.6154, 0.638, 0.6487, 0.6432, 0.638, 0.6258, 0.6068, 0.6125, 0.6492, 0.6193, 0.6608, 0.6419, 0.6363, 0.6412, 0.6026, 0.6411, 0.6504, 0.5129, 0.6321, 0.63]"
40 "[0.6709, 0.6522, 0.6651, 0.603, 0.6745, 0.6714, 0.6049, 0.673, 0.6832, 0.6818, 0.6571, 0.6704, 0.6605, 0.6799, 0.5554, 0.6831, 0.6838, 0.6607, 0.6541, 0.6774, 0.6741, 0.6769, 0.6872, 0.6627, 0.6794, 0.6644, 0.6627, 0.6759, 0.6364, 0.6724, 0.6805, 0.6815, 0.6563, 0.657, 0.669, 0.676, 0.6774, 0.6558, 0.5716, 0.667, 0.6674, 0.6822, 0.6871, 0.6811, 0.6746, 0.4375, 0.5887, 0.6753, 0.6735, 0.681, 0.6775, 0.6553, 0.6739, 0.6755, 0.6751, 0.673, 0.679, 0.6747, 0.6619, 0.664, 0.6805, 0.6405, 0.6752, 0.6783, 0.678, 0.6797, 0.669, 0.6785, 0.6719, 0.6663, 0.6826, 0.6737, 0.6672, 0.6503, 0.6764, 0.6845, 0.6588, 0.6733, 0.6065, 0.6739, 0.6807, 0.6767, 0.6698, 0.6605, 0.6138, 0.663, 0.6664, 0.6723, 0.6712, 0.6218, 0.5987, 0.6762, 0.5064, 0.6575, 0.6745, 0.6766, 0.6687, 0.68, 0.5921, 0.6735]"
80 "[0.5811, 0.6833, 0.6699, 0.6787, 0.6818, 0.6738, 0.6672, 0.6765, 0.6889, 0.5921, 0.666, 0.6901, 0.6795, 0.6875, 0.679, 0.6539, 0.6752, 0.6857, 0.6688, 0.6533, 0.6833, 0.6835, 0.6853, 0.6874, 0.6822, 0.6804, 0.6851, 0.6602, 0.6779, 0.691, 0.6691, 0.6744, 0.6819, 0.6866, 0.6596, 0.6817, 0.6761, 0.66, 0.6817, 0.6887, 0.6903, 0.6833, 0.673, 0.6736, 0.641, 0.677, 0.6881, 0.6879, 0.6723, 0.5147, 0.6794, 0.6778, 0.6877, 0.6727, 0.6938, 0.659, 0.6706, 0.6865, 0.6774, 0.6727, 0.6264, 0.6867, 0.6878, 0.6584, 0.6735, 0.6942, 0.6706, 0.6784, 0.6681, 0.6935, 0.6674, 0.6537, 0.5066, 0.6663, 0.6848, 0.6932, 0.6811, 0.6607, 0.674, 0.6867, 0.6896, 0.6634, 0.6896, 0.6868, 0.6743, 0.6706, 0.6607, 0.6776, 0.6043, 0.6877, 0.6554, 0.687, 0.6832, 0.6876, 0.6898, 0.6777, 0.6127, 0.6859, 0.6874, 0.6794]"
160 "[0.6901, 0.6972, 0.663, 0.6916, 0.6989, 0.6928, 0.6805, 0.6952, 0.6849, 0.6975, 0.6956, 0.668, 0.6735, 0.6907, 0.6932, 0.6756, 0.695, 0.6988, 0.6909, 0.6844, 0.6846, 0.6943, 0.6965, 0.6793, 0.6964, 0.6911, 0.6943, 0.6884, 0.6745, 0.6948, 0.6686, 0.6825, 0.6912, 0.6892, 0.699, 0.6937, 0.6855, 0.6939, 0.6761, 0.689, 0.6851, 0.7017, 0.685, 0.6864, 0.6749, 0.6852, 0.6991, 0.6891, 0.6814, 0.6941, 0.6928, 0.6919, 0.686, 0.6937, 0.7034, 0.6969, 0.6279, 0.6956, 0.6971, 0.682, 0.6896, 0.686, 0.6631, 0.6953, 0.6965, 0.6926, 0.6926, 0.6918, 0.6851, 0.6962, 0.6876, 0.6853, 0.6951, 0.6924, 0.6729, 0.6848, 0.69, 0.6941, 0.6749, 0.6254, 0.6869, 0.6827, 0.6932, 0.5465, 0.701, 0.6952, 0.6852, 0.6554, 0.6835, 0.6868, 0.686, 0.6887, 0.6827, 0.6022, 0.6909, 0.6981, 0.6564, 0.6907, 0.6903, 0.6948]"
320 "[0.6822, 0.6938, 0.6995, 0.6586, 0.6917, 0.6951, 0.6975, 0.4806, 0.6964, 0.6533, 0.5853, 0.705, 0.6195, 0.6864, 0.6964, 0.6998, 0.6867, 0.7016, 0.689, 0.7011, 0.6859, 0.6351, 0.6987, 0.6965, 0.7002, 0.7004, 0.6984, 0.7058, 0.6837, 0.701, 0.6897, 0.6156, 0.6806, 0.6515, 0.6945, 0.7026, 0.6766, 0.6934, 0.6945, 0.6935, 0.6947, 0.6878, 0.6794, 0.692, 0.6998, 0.6945, 0.6603, 0.6834, 0.6939, 0.7008, 0.6731, 0.701, 0.6835, 0.6982, 0.3013, 0.6172, 0.6988, 0.6968, 0.6981, 0.6872, 0.6958, 0.6878, 0.6955, 0.6979, 0.6718, 0.6816, 0.6873, 0.6917, 0.7026, 0.452, 0.686, 0.6923, 0.6936, 0.697, 0.6921, 0.6826, 0.6905, 0.6921, 0.6894, 0.7003, 0.6892, 0.6978, 0.6943, 0.7026, 0.6933, 0.6947, 0.6868, 0.7015, 0.6954, 0.6802, 0.7017, 0.7029, 0.7074, 0.7017, 0.6904, 0.6844, 0.7007, 0.6884, 0.7017, 0.6939]"
640 "[0.6886, 0.6958, 0.6889, 0.6974, 0.7011, 0.704, 0.6728, 0.7037, 0.7021, 0.6949, 0.6857, 0.7038, 0.6841, 0.7032, 0.7017, 0.6937, 0.6944, 0.7032, 0.684, 0.7052, 0.6968, 0.674, 0.6835, 0.6896, 0.6959, 0.6978, 0.6912, 0.6625, 0.6938, 0.6966, 0.7081, 0.6966, 0.7017, 0.6921, 0.6941, 0.7045, 0.7032, 0.6925, 0.687, 0.6922, 0.6902, 0.6986, 0.6838, 0.6994, 0.6976, 0.6763, 0.6945, 0.6975, 0.6931, 0.6863, 0.6994, 0.6947, 0.6977, 0.6772, 0.6842, 0.7007, 0.7048, 0.6971, 0.6959, 0.6979, 0.6889, 0.7002, 0.698, 0.6995, 0.6974, 0.6971, 0.6569, 0.7036, 0.6872, 0.6828, 0.6938, 0.695, 0.7039, 0.6931, 0.7004, 0.6886, 0.6972, 0.6862, 0.6986, 0.6932, 0.7026, 0.6957, 0.6849, 0.7027, 0.7033, 0.6949, 0.6831, 0.6973, 0.6919, 0.6973, 0.6897, 0.6817, 0.6919, 0.7053, 0.7009, 0.7024, 0.6958, 0.7039, 0.6984, 0.6564]"
1280 "[0.7097, 0.7024, 0.7098, 0.7064, 0.7049, 0.7084, 0.7045, 0.7099, 0.7103, 0.7038, 0.7096, 0.7046, 0.7052, 0.7101, 0.7085, 0.7082, 0.7076, 0.7132, 0.6939, 0.7036, 0.707, 0.7047, 0.7084, 0.7042, 0.6973, 0.7074, 0.7029, 0.7057, 0.7078, 0.7112, 0.6957, 0.7021, 0.7029, 0.702, 0.7048, 0.6844, 0.6936, 0.7012, 0.704, 0.7072, 0.7052, 0.6876, 0.7056, 0.7036, 0.7128, 0.7059, 0.7073, 0.707, 0.7021, 0.7049, 0.7095, 0.7136, 0.7093, 0.7043, 0.7032, 0.699, 0.7081, 0.6963, 0.7004, 0.7115, 0.7017, 0.7101, 0.7077, 0.707, 0.7055, 0.706, 0.7132, 0.7031, 0.6993, 0.7022, 0.7069, 0.7088, 0.703, 0.7046, 0.7048, 0.7084, 0.7031, 0.7015, 0.7112, 0.705, 0.713, 0.707, 0.7001, 0.6992, 0.7159, 0.7055, 0.7039, 0.7089, 0.7061, 0.6951, 0.7099, 0.7071, 0.7034, 0.7072, 0.7091, 0.7067, 0.7095, 0.7081, 0.7114, 0.7073]"
2560 "[0.7127, 0.7174, 0.7144, 0.6762, 0.7195, 0.7172, 0.7141, 0.7116, 0.719, 0.715, 0.72, 0.7153, 0.7131, 0.7157, 0.7134, 0.7146, 0.7105, 0.7148, 0.7169, 0.7077, 0.7045, 0.7132, 0.7173, 0.7122, 0.7142, 0.7167, 0.7093, 0.7129, 0.7198, 0.71, 0.7168, 0.712, 0.7162, 0.7127, 0.7153, 0.7145, 0.7103, 0.7172, 0.7215, 0.7163, 0.7149, 0.7114, 0.7129, 0.7093, 0.7163, 0.7116, 0.7095, 0.7116, 0.7104, 0.7182, 0.7138, 0.7225, 0.7072, 0.7177, 0.7088, 0.7151, 0.7228, 0.7173, 0.7079, 0.7099, 0.6852, 0.7155, 0.7119, 0.7142, 0.7222, 0.7142, 0.7126, 0.7122, 0.7163, 0.7091, 0.7094, 0.717, 0.7143, 0.7122, 0.7115, 0.7206, 0.7116, 0.716, 0.72, 0.7085, 0.706, 0.7097, 0.7149, 0.7174, 0.7222, 0.7232, 0.7186, 0.7142, 0.7086, 0.7184, 0.712, 0.7162, 0.7161, 0.704, 0.7071, 0.7136, 0.7175, 0.7175, 0.7078, 0.7148]"
5120 "[0.7248, 0.721, 0.7226, 0.7317, 0.726, 0.7232, 0.7211, 0.7211, 0.7177, 0.7213, 0.7214, 0.7194, 0.7218, 0.7189, 0.7194, 0.7206, 0.7273, 0.7248, 0.721, 0.7285, 0.7161, 0.7229, 0.7278, 0.7208, 0.7246, 0.7249, 0.7293, 0.7232, 0.7216, 0.7269, 0.727, 0.721, 0.7258, 0.7272, 0.725, 0.7257, 0.7167, 0.7175, 0.7237, 0.7239, 0.7252, 0.7196, 0.7288, 0.7223, 0.7254, 0.7267, 0.7129, 0.7164, 0.7191, 0.7217, 0.7184, 0.7202, 0.7231, 0.7221, 0.728, 0.7246, 0.7193, 0.7225, 0.715, 0.7278, 0.7215, 0.7283, 0.7241, 0.7236, 0.7198, 0.6912, 0.7243, 0.7295, 0.7262, 0.7177, 0.7168, 0.7053, 0.7228, 0.7224, 0.7243, 0.7219, 0.7167, 0.7205, 0.7247, 0.7267, 0.7111, 0.7269, 0.7257, 0.7214, 0.7219, 0.7055, 0.7257, 0.7246, 0.7265, 0.7228, 0.7184, 0.7208, 0.7194, 0.7231, 0.7093, 0.7195, 0.7264, 0.7163, 0.7202, 0.7105]"
