 Linear0
10 "[0.5938, 0.6046, 0.5833, 0.5934, 0.5619, 0.538, 0.6005, 0.5852, 0.5609, 0.6157, 0.5684, 0.5663, 0.5882, 0.6021, 0.5657, 0.6017, 0.5485, 0.4368, 0.61, 0.5476, 0.5811, 0.5836, 0.5752, 0.6137, 0.5862, 0.5896, 0.5892, 0.6025, 0.5221, 0.6329, 0.5857, 0.5531, 0.5904, 0.615, 0.5661, 0.6023, 0.5769, 0.5962, 0.6028, 0.5871, 0.5818, 0.4823, 0.5657, 0.654, 0.5948, 0.6128, 0.6082, 0.5482, 0.5713, 0.4864, 0.588, 0.593, 0.5211, 0.5894, 0.5221, 0.5618, 0.6014, 0.4874, 0.546, 0.5987, 0.5658, 0.6059, 0.5177, 0.5576, 0.5527, 0.5994, 0.6017, 0.5462, 0.6116, 0.6384, 0.6018, 0.6285, 0.64, 0.5818, 0.6143, 0.6019, 0.6039, 0.5935, 0.589, 0.5957, 0.6043, 0.5782, 0.5799, 0.5752, 0.6078, 0.5442, 0.5864, 0.5724, 0.5802, 0.4121, 0.5749, 0.6128, 0.3965, 0.5686, 0.5943, 0.5605, 0.6007, 0.6038, 0.5951, 0.6405]"
20 "[0.6787, 0.6817, 0.6848, 0.6855, 0.6852, 0.6902, 0.6938, 0.6718, 0.6083, 0.6748, 0.6957, 0.6815, 0.6316, 0.6885, 0.6908, 0.6739, 0.6056, 0.6736, 0.6225, 0.6862, 0.6869, 0.682, 0.6797, 0.6794, 0.6875, 0.4921, 0.6876, 0.6295, 0.6815, 0.6882, 0.6753, 0.6771, 0.6331, 0.6851, 0.6936, 0.6926, 0.6781, 0.6781, 0.7158, 0.6823, 0.6851, 0.6798, 0.6644, 0.6914, 0.6609, 0.6761, 0.6745, 0.5647, 0.6696, 0.6868, 0.6839, 0.6699, 0.7117, 0.6641, 0.692, 0.7055, 0.6632, 0.6901, 0.6852, 0.7016, 0.6699, 0.7025, 0.7061, 0.6892, 0.6778, 0.6889, 0.6567, 0.6716, 0.6829, 0.6897, 0.6898, 0.6848, 0.6421, 0.6825, 0.6758, 0.7089, 0.6736, 0.6773, 0.6853, 0.6621, 0.6994, 0.6815, 0.6717, 0.6772, 0.6881, 0.676, 0.6798, 0.6722, 0.6946, 0.6889, 0.6964, 0.6872, 0.6345, 0.6518, 0.7041, 0.6736, 0.6833, 0.6872, 0.6712, 0.6817]"
40 "[0.7265, 0.7323, 0.7091, 0.7475, 0.7452, 0.7392, 0.7459, 0.7367, 0.6996, 0.7132, 0.7424, 0.7207, 0.7193, 0.7403, 0.7188, 0.7457, 0.7276, 0.7336, 0.7199, 0.7407, 0.7551, 0.7462, 0.7324, 0.7206, 0.7266, 0.7511, 0.7323, 0.7349, 0.7272, 0.7525, 0.7418, 0.7423, 0.7205, 0.7405, 0.744, 0.7224, 0.738, 0.7392, 0.7359, 0.7352, 0.7422, 0.7352, 0.7454, 0.7213, 0.7426, 0.7095, 0.7425, 0.7472, 0.732, 0.7337, 0.6626, 0.727, 0.7364, 0.7343, 0.7354, 0.7445, 0.7338, 0.7407, 0.7303, 0.7351, 0.73, 0.7189, 0.744, 0.7158, 0.7395, 0.7433, 0.7413, 0.7023, 0.7395, 0.7296, 0.7361, 0.7296, 0.7107, 0.7217, 0.7259, 0.7413, 0.7408, 0.7447, 0.7553, 0.7202, 0.7233, 0.745, 0.6811, 0.6394, 0.7386, 0.7278, 0.7365, 0.7263, 0.6396, 0.7277, 0.7189, 0.7484, 0.7267, 0.7489, 0.7381, 0.7358, 0.7359, 0.742, 0.7428, 0.7442]"
80 "[0.7335, 0.754, 0.7468, 0.7525, 0.7497, 0.7531, 0.7287, 0.7516, 0.7422, 0.744, 0.7432, 0.7522, 0.7494, 0.7495, 0.7484, 0.7523, 0.7323, 0.7441, 0.7437, 0.7421, 0.7452, 0.7404, 0.7409, 0.7507, 0.7314, 0.7398, 0.7502, 0.7399, 0.7348, 0.7485, 0.7455, 0.7484, 0.7472, 0.7258, 0.7484, 0.757, 0.7473, 0.7498, 0.734, 0.7406, 0.7443, 0.7484, 0.7458, 0.7468, 0.732, 0.7418, 0.736, 0.7328, 0.7196, 0.4702, 0.7478, 0.7044, 0.7383, 0.7385, 0.7498, 0.7524, 0.737, 0.7396, 0.7391, 0.7433, 0.7361, 0.7112, 0.7361, 0.7338, 0.7474, 0.7517, 0.748, 0.7253, 0.7491, 0.7507, 0.7407, 0.7114, 0.7453, 0.7428, 0.7502, 0.745, 0.7443, 0.7481, 0.7552, 0.7451, 0.7033, 0.7493, 0.7479, 0.7501, 0.7458, 0.7477, 0.7505, 0.7509, 0.7343, 0.7481, 0.7416, 0.7434, 0.7555, 0.7474, 0.7447, 0.748, 0.747, 0.737, 0.7427, 0.7416]"
160 "[0.7525, 0.7409, 0.7278, 0.7298, 0.7296, 0.7296, 0.7406, 0.7262, 0.7435, 0.7271, 0.7248, 0.7229, 0.7333, 0.7071, 0.7302, 0.7269, 0.7335, 0.7269, 0.7116, 0.7338, 0.7401, 0.6548, 0.7376, 0.7304, 0.722, 0.7355, 0.7354, 0.7361, 0.7466, 0.7422, 0.7403, 0.7259, 0.7345, 0.7381, 0.7369, 0.7409, 0.7377, 0.7376, 0.7245, 0.7388, 0.7239, 0.7374, 0.7203, 0.7235, 0.7365, 0.7059, 0.7344, 0.7359, 0.7203, 0.7319, 0.7276, 0.736, 0.733, 0.731, 0.7308, 0.7361, 0.7362, 0.7261, 0.7374, 0.7328, 0.7504, 0.7385, 0.7416, 0.7396, 0.7254, 0.7096, 0.7284, 0.7362, 0.7338, 0.7299, 0.7461, 0.7036, 0.7216, 0.7231, 0.739, 0.717, 0.7193, 0.7265, 0.7335, 0.7386, 0.7435, 0.6366, 0.7238, 0.736, 0.7088, 0.6995, 0.737, 0.7086, 0.739, 0.7375, 0.7218, 0.7408, 0.7251, 0.7314, 0.7406, 0.7297, 0.732, 0.7421, 0.7388, 0.7496]"
320 "[0.7445, 0.7265, 0.7391, 0.7469, 0.7473, 0.7515, 0.7447, 0.724, 0.7385, 0.7449, 0.7424, 0.7145, 0.7524, 0.7433, 0.7533, 0.6539, 0.7306, 0.7393, 0.7429, 0.7458, 0.7372, 0.7449, 0.7422, 0.7462, 0.7472, 0.7366, 0.7409, 0.7309, 0.7398, 0.7042, 0.748, 0.7423, 0.7462, 0.7517, 0.7502, 0.7411, 0.7526, 0.7488, 0.7519, 0.7449, 0.7455, 0.7351, 0.7489, 0.7416, 0.747, 0.735, 0.6678, 0.7436, 0.7439, 0.7384, 0.7373, 0.7373, 0.743, 0.7499, 0.7441, 0.7432, 0.7479, 0.738, 0.7421, 0.7478, 0.7118, 0.748, 0.7473, 0.7467, 0.7421, 0.754, 0.7555, 0.7443, 0.7427, 0.7459, 0.7203, 0.7472, 0.6856, 0.7513, 0.7473, 0.7447, 0.752, 0.7502, 0.7406, 0.7389, 0.7361, 0.7499, 0.7497, 0.7341, 0.7473, 0.7441, 0.745, 0.7465, 0.7523, 0.7196, 0.7527, 0.7512, 0.7244, 0.7389, 0.7482, 0.7482, 0.7328, 0.75, 0.7156, 0.7564]"
640 "[0.7475, 0.7392, 0.7556, 0.7566, 0.7561, 0.745, 0.7526, 0.7569, 0.7507, 0.7495, 0.7582, 0.7264, 0.7544, 0.7536, 0.7402, 0.7536, 0.7527, 0.753, 0.7516, 0.7549, 0.7116, 0.7584, 0.7543, 0.7481, 0.7446, 0.7502, 0.7436, 0.7528, 0.7553, 0.7563, 0.7468, 0.7547, 0.7157, 0.7527, 0.7558, 0.7387, 0.7621, 0.7464, 0.7568, 0.7508, 0.7376, 0.7316, 0.7563, 0.7558, 0.7353, 0.7526, 0.7499, 0.7539, 0.7565, 0.7541, 0.7475, 0.753, 0.7511, 0.7419, 0.7366, 0.7426, 0.7489, 0.7575, 0.7512, 0.7344, 0.7539, 0.757, 0.7574, 0.7611, 0.7414, 0.7478, 0.7544, 0.7569, 0.7515, 0.7509, 0.757, 0.7503, 0.7568, 0.758, 0.7535, 0.7392, 0.7526, 0.7572, 0.7538, 0.7514, 0.7529, 0.7471, 0.7534, 0.7517, 0.7548, 0.7461, 0.7553, 0.7049, 0.756, 0.7515, 0.7492, 0.756, 0.7521, 0.7596, 0.7552, 0.7442, 0.7481, 0.7563, 0.7517, 0.7558]"
1280 "[0.7415, 0.7586, 0.7572, 0.7405, 0.76, 0.708, 0.7479, 0.7578, 0.6937, 0.7538, 0.7469, 0.7605, 0.7573, 0.7478, 0.7586, 0.7533, 0.7313, 0.7569, 0.7595, 0.7469, 0.7435, 0.7537, 0.7477, 0.7486, 0.7604, 0.7532, 0.7553, 0.7524, 0.7081, 0.7584, 0.7541, 0.7552, 0.7569, 0.7565, 0.7476, 0.7551, 0.7534, 0.7567, 0.7552, 0.7497, 0.7481, 0.7463, 0.7579, 0.7436, 0.7566, 0.7419, 0.7541, 0.7536, 0.7609, 0.7474, 0.7421, 0.7559, 0.7598, 0.7556, 0.7643, 0.7384, 0.7513, 0.7451, 0.7429, 0.7535, 0.7568, 0.7562, 0.7578, 0.7599, 0.7505, 0.7596, 0.7607, 0.7591, 0.7515, 0.7447, 0.7352, 0.7298, 0.7578, 0.7466, 0.71, 0.7424, 0.7625, 0.7512, 0.7466, 0.7547, 0.7487, 0.7419, 0.7456, 0.7373, 0.7608, 0.7535, 0.7569, 0.7484, 0.7593, 0.7582, 0.7574, 0.7624, 0.7525, 0.7574, 0.7563, 0.744, 0.7542, 0.7471, 0.733, 0.7595]"
2560 "[0.7634, 0.7588, 0.7592, 0.7559, 0.7607, 0.7544, 0.7589, 0.7501, 0.7519, 0.7631, 0.7562, 0.7626, 0.7579, 0.7611, 0.765, 0.7629, 0.7602, 0.7593, 0.7558, 0.7595, 0.7527, 0.7552, 0.7565, 0.7621, 0.7594, 0.7574, 0.7604, 0.7512, 0.7524, 0.7571, 0.756, 0.7555, 0.7605, 0.7605, 0.7631, 0.7503, 0.7629, 0.7578, 0.7605, 0.7422, 0.7591, 0.7532, 0.7597, 0.7607, 0.7579, 0.7657, 0.75, 0.7656, 0.7661, 0.7615, 0.7558, 0.7581, 0.7646, 0.7609, 0.7576, 0.7615, 0.7525, 0.7413, 0.7574, 0.7579, 0.7559, 0.7513, 0.7627, 0.7563, 0.7584, 0.7652, 0.7602, 0.7583, 0.7612, 0.7543, 0.7632, 0.7557, 0.7618, 0.7504, 0.7584, 0.7624, 0.7616, 0.7646, 0.7495, 0.7602, 0.7592, 0.7524, 0.7584, 0.7585, 0.7584, 0.7564, 0.7524, 0.7617, 0.7595, 0.7645, 0.7591, 0.7618, 0.7605, 0.7637, 0.7562, 0.7041, 0.7566, 0.7557, 0.7581, 0.7649]"
5120 "[0.7637, 0.7576, 0.7632, 0.7668, 0.7575, 0.759, 0.7658, 0.7632, 0.7585, 0.7621, 0.7583, 0.7523, 0.7612, 0.7566, 0.7657, 0.7573, 0.7668, 0.7634, 0.7612, 0.7652, 0.7616, 0.7619, 0.7645, 0.7588, 0.7608, 0.7617, 0.7603, 0.7525, 0.7535, 0.7645, 0.7574, 0.7636, 0.7263, 0.7561, 0.7626, 0.7648, 0.7605, 0.76, 0.7544, 0.7643, 0.7596, 0.7503, 0.7542, 0.7628, 0.7648, 0.76, 0.76, 0.7624, 0.7617, 0.7597, 0.7635, 0.7595, 0.7585, 0.7639, 0.7611, 0.7649, 0.764, 0.7636, 0.7618, 0.7627, 0.7647, 0.7629, 0.7606, 0.7523, 0.7584, 0.759, 0.7663, 0.7645, 0.7449, 0.7602, 0.7657, 0.7658, 0.7584, 0.7562, 0.7573, 0.7626, 0.7585, 0.7608, 0.7681, 0.7586, 0.7611, 0.7573, 0.7633, 0.7669, 0.7588, 0.762, 0.7555, 0.7674, 0.7597, 0.7582, 0.7619, 0.7633, 0.764, 0.7593, 0.7593, 0.746, 0.759, 0.7657, 0.7294, 0.7668]"
